s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 2.2204460E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.1611825E-002, 0.0000000E+000, 0.0000000E+000,-4.2765936E-007, 1.7672105E-004, 0.0000000E+000,-2.5785961E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1566219E-005, 0.0000000E+000, 1.0080000E-004, 0.0000000E+000
 1.8322365E-001, 2.7115154E+000, 0.0000000E+000,-7.9923059E-006, 4.9863856E-002,-1.1762585E-005,-4.9551386E-004, 0.0000000E+000, 0.0000000E+000, 4.0218666E-002, 2.7608639E+000,-1.1529285E+000, 2.0832000E-004, 0.0000000E+000
 2.7483547E-001, 2.0449399E+000, 0.0000000E+000,-4.2953153E-002, 3.0257903E-002,-2.3685793E-003,-7.3208197E-004, 0.0000000E+000, 0.0000000E+000, 2.7778532E+000, 2.0291440E+000,-2.2867703E+000, 3.0912000E-004, 0.0000000E+000
 3.5069749E-001, 1.3166099E+001, 0.0000000E+000,-1.6068151E-001, 2.2526612E-001,-3.7638395E-003,-8.3537919E-004, 0.0000000E+000, 0.0000000E+000, 2.0871765E+000, 1.3226084E+001,-3.3836827E+000, 3.8976000E-004, 0.0000000E+000
 4.2655948E-001, 9.2215385E+000, 0.0000000E+000,-5.7504964E-001, 1.3672773E-001,-1.7599891E-002,-1.2274873E-003, 0.0000000E+000, 0.0000000E+000, 1.3220413E+001, 8.7643892E+000,-4.2528953E+000, 4.7712000E-004, 0.0000000E+000
 4.9007884E-001, 2.4011607E+001, 0.0000000E+000,-1.0352315E+000, 3.8602193E-001,-2.4262072E-002,-1.1889497E-003, 0.0000000E+000, 0.0000000E+000, 8.8926498E+000, 2.3336946E+001,-5.0788520E+000, 5.5104000E-004, 0.0000000E+000
 5.5359823E-001, 1.8810329E+001, 0.0000000E+000,-3.4564834E+000, 2.4278339E-001,-4.8909390E-002,-1.5982789E-003, 0.0000000E+000, 0.0000000E+000, 2.3264612E+001, 1.5546121E+001,-5.7330355E+000, 6.1824000E-004, 0.0000000E+000
 6.1711758E-001, 3.6713971E+001, 0.0000000E+000,-6.0297410E+000, 4.9524542E-001,-5.8691446E-002,-1.6576876E-003, 0.0000000E+000, 0.0000000E+000, 1.5855151E+001, 3.1119126E+001,-6.3505708E+000, 6.9216000E-004, 0.0000000E+000
 6.7361552E-001, 3.4557408E+001, 0.0000000E+000,-1.5837452E+001, 2.9595843E-001,-8.6937628E-002,-2.0261243E-003, 0.0000000E+000, 0.0000000E+000, 3.0971537E+001, 1.8926951E+001,-6.9298998E+000, 7.5264000E-004, 0.0000000E+000
 7.3011351E-001, 4.3159747E+001, 0.0000000E+000,-1.7930910E+001, 3.9862413E-001,-8.6279622E-002,-2.2036571E-003, 0.0000000E+000, 0.0000000E+000, 1.9176444E+001, 2.5538978E+001,-7.4124256E+000, 8.1984000E-004, 0.0000000E+000
 7.8661144E-001, 4.2056688E+001, 0.0000000E+000,-2.7415481E+001, 2.3560348E-001,-9.4116868E-002,-2.4225117E-003, 0.0000000E+000, 0.0000000E+000, 2.5465287E+001, 1.4780272E+001,-7.8639836E+000, 8.8032000E-004, 0.0000000E+000
 8.4310943E-001, 4.4708497E+001, 0.0000000E+000,-2.1565172E+001, 3.6126955E-001,-8.4657389E-002,-2.6454414E-003, 0.0000000E+000, 0.0000000E+000, 1.4991034E+001, 2.3417291E+001,-8.2848581E+000, 9.4752000E-004, 0.0000000E+000
 8.9960736E-001, 4.2449428E+001, 0.0000000E+000,-2.9637523E+001, 2.0255159E-001,-8.6527217E-002,-2.8111719E-003, 0.0000000E+000, 0.0000000E+000, 2.3385171E+001, 1.2925117E+001,-8.6756580E+000, 1.0080000E-003,-6.6199302E-033
 9.4519341E-001, 4.6796318E+001, 0.0000000E+000,-2.2182541E+001, 3.7650861E-001,-8.3272152E-002,-2.9652558E-003, 0.0000000E+000, 0.0000000E+000, 1.3155098E+001, 2.4904048E+001,-9.0372564E+000, 1.0617600E-003,-1.4709136E-030
 9.9077946E-001, 4.5971985E+001, 0.0000000E+000,-2.5038555E+001, 3.1916218E-001,-8.5221592E-002,-3.0904037E-003, 0.0000000E+000, 0.0000000E+000, 2.4882983E+001, 2.1164281E+001,-9.3084788E+000, 1.1088000E-003,-4.9944660E-029
 1.0309693E+000, 4.7172593E+001, 0.0000000E+000,-2.0671685E+001, 3.9999117E-001,-8.8792216E-002,-3.2624235E-003, 0.0000000E+000, 0.0000000E+000, 2.1300495E+001, 2.6808845E+001,-9.5620653E+000, 1.1558400E-003,-4.5119685E-028
 1.0711590E+000, 4.7452793E+001, 0.0000000E+000,-2.1608077E+001, 3.8359470E-001,-9.3155326E-002,-3.3872641E-003, 0.0000000E+000, 0.0000000E+000, 2.6854895E+001, 2.6131768E+001,-9.7715635E+000, 1.2028800E-003,-2.4631292E-027
 1.1113489E+000, 5.1443825E+001, 0.0000000E+000,-2.1357246E+001, 4.4211893E-001,-9.9711759E-002,-3.4899174E-003, 0.0000000E+000, 0.0000000E+000, 2.6223621E+001, 3.0425496E+001,-9.9684208E+000, 1.2432000E-003,-1.0177912E-026
 1.1458150E+000, 5.3737812E+001, 0.0000000E+000,-2.3221078E+001, 4.4379584E-001,-1.0550377E-001,-3.5788967E-003, 0.0000000E+000, 0.0000000E+000, 3.0485410E+001, 3.0851447E+001,-1.0153168E+001, 1.2835200E-003,-3.0454894E-026
 1.1802810E+000, 5.3710486E+001, 0.0000000E+000,-2.1679566E+001, 4.5697436E-001,-1.1156282E-001,-3.6722864E-003, 0.0000000E+000, 0.0000000E+000, 3.0951522E+001, 3.2372659E+001,-1.0302362E+001, 1.3238400E-003,-8.1310758E-026
 1.2105391E+000, 5.7765684E+001, 0.0000000E+000,-2.3076294E+001, 4.9566181E-001,-1.1546384E-001,-3.7487167E-003, 0.0000000E+000, 0.0000000E+000, 3.2439951E+001, 3.5065840E+001,-1.0443391E+001, 1.3574400E-003,-1.8010458E-025
 1.2407972E+000, 5.8566117E+001, 0.0000000E+000,-2.3722858E+001, 4.8768437E-001,-1.1801234E-001,-3.8234353E-003, 0.0000000E+000, 0.0000000E+000, 3.5158985E+001, 3.5209108E+001,-1.0560742E+001, 1.3910400E-003,-3.7316315E-025
 1.2645415E+000, 6.1054457E+001, 0.0000000E+000,-2.4081276E+001, 5.1517866E-001,-1.1779011E-001,-3.8764503E-003, 0.0000000E+000, 0.0000000E+000, 3.5311982E+001, 3.7366694E+001,-1.0672292E+001, 1.4179200E-003,-6.4047879E-025
 1.2882860E+000, 6.1025218E+001, 0.0000000E+000,-2.3758636E+001, 5.1193663E-001,-1.1795971E-001,-3.9389554E-003, 0.0000000E+000, 0.0000000E+000, 3.7438921E+001, 3.7656620E+001,-1.0755918E+001, 1.4448000E-003,-1.0615079E-024
 1.3120303E+000, 6.1731851E+001, 0.0000000E+000,-2.4045533E+001, 5.1060900E-001,-1.1869125E-001,-4.0062803E-003, 0.0000000E+000, 0.0000000E+000, 3.7731181E+001, 3.8074229E+001,-1.0836226E+001, 1.4716800E-003,-1.7090974E-024
 1.3327264E+000, 6.2783018E+001, 0.0000000E+000,-2.4414853E+001, 5.1368446E-001,-1.1975989E-001,-4.0505778E-003, 0.0000000E+000, 0.0000000E+000, 3.8165839E+001, 3.8758039E+001,-1.0913321E+001, 1.4918400E-003,-2.5399763E-024
 1.3534224E+000, 6.3551173E+001, 0.0000000E+000,-2.4299439E+001, 5.2046971E-001,-1.2263994E-001,-4.1060269E-003, 0.0000000E+000, 0.0000000E+000, 3.8851593E+001, 3.9645458E+001,-1.0977983E+001, 1.5187200E-003,-3.7029295E-024
 1.3741184E+000, 6.4135443E+001, 0.0000000E+000,-2.4842871E+001, 5.1127466E-001,-1.2648782E-001,-4.1353664E-003, 0.0000000E+000, 0.0000000E+000, 3.9769862E+001, 3.9673224E+001,-1.1040357E+001, 1.5388800E-003,-5.3088043E-024
 1.3948144E+000, 6.5034135E+001, 0.0000000E+000,-2.5619575E+001, 5.0374912E-001,-1.3147401E-001,-4.1530337E-003, 0.0000000E+000, 0.0000000E+000, 3.9800859E+001, 3.9782682E+001,-1.1100509E+001, 1.5590400E-003,-7.4950963E-024
 1.4155104E+000, 6.6024257E+001, 0.0000000E+000,-2.6076013E+001, 5.0121927E-001,-1.3748165E-001,-4.1934916E-003, 0.0000000E+000, 0.0000000E+000, 3.9908108E+001, 4.0307788E+001,-1.1158509E+001, 1.5859200E-003,-1.0433421E-023
 1.4362065E+000, 6.7889925E+001, 0.0000000E+000,-2.7045665E+001, 5.0728028E-001,-1.4386518E-001,-4.2001815E-003, 0.0000000E+000, 0.0000000E+000, 4.0457372E+001, 4.1203475E+001,-1.1214424E+001, 1.6060800E-003,-1.4336504E-023
 1.4569025E+000, 6.8141497E+001, 0.0000000E+000,-2.8108976E+001, 4.8011443E-001,-1.5102418E-001,-4.2675132E-003, 0.0000000E+000, 0.0000000E+000, 4.1332199E+001, 4.0357344E+001,-1.1268315E+001, 1.6329600E-003,-1.9466284E-023
 1.4775985E+000, 6.9824665E+001, 0.0000000E+000,-2.8761439E+001, 4.8711696E-001,-1.5666094E-001,-4.2933166E-003, 0.0000000E+000, 0.0000000E+000, 4.0531370E+001, 4.1389389E+001,-1.1320250E+001, 1.6531200E-003,-2.6142785E-023
 1.4982946E+000, 7.0789489E+001, 0.0000000E+000,-3.0023457E+001, 4.6852827E-001,-1.6264707E-001,-4.3353197E-003, 0.0000000E+000, 0.0000000E+000, 4.1561063E+001, 4.1067578E+001,-1.1370289E+001, 1.6800000E-003,-3.4755266E-023
 1.5189906E+000, 7.2640743E+001, 0.0000000E+000,-3.1304836E+001, 4.6884777E-001,-1.6771877E-001,-4.3912017E-003, 0.0000000E+000, 0.0000000E+000, 4.1274176E+001, 4.1632645E+001,-1.1418493E+001, 1.7001600E-003,-4.5772539E-023
 1.5369340E+000, 7.3679028E+001, 0.0000000E+000,-3.1762957E+001, 4.6762006E-001,-1.7240764E-001,-4.4447823E-003, 0.0000000E+000, 0.0000000E+000, 4.1795510E+001, 4.2206838E+001,-1.1464924E+001, 1.7203200E-003,-5.7752564E-023
 1.5548774E+000, 7.4367246E+001, 0.0000000E+000,-3.2904915E+001, 4.5035661E-001,-1.7576688E-001,-4.4737465E-003, 0.0000000E+000, 0.0000000E+000, 4.2358124E+001, 4.1732448E+001,-1.1503789E+001, 1.7404800E-003,-7.2372392E-023
 1.5728209E+000, 7.5248959E+001, 0.0000000E+000,-3.3710289E+001, 4.4143540E-001,-1.7850665E-001,-4.5218059E-003, 0.0000000E+000, 0.0000000E+000, 4.1906470E+001, 4.1797077E+001,-1.1541399E+001, 1.7606400E-003,-9.0154273E-023
 1.5907643E+000, 7.6153480E+001, 0.0000000E+000,-3.3838005E+001, 4.4538777E-001,-1.8069767E-001,-4.5696934E-003, 0.0000000E+000, 0.0000000E+000, 4.1976718E+001, 4.2575595E+001,-1.1577794E+001, 1.7808000E-003,-1.1167113E-022
 1.6087077E+000, 7.6392554E+001, 0.0000000E+000,-3.4620527E+001, 4.2538156E-001,-1.8264927E-001,-4.6290783E-003, 0.0000000E+000, 0.0000000E+000, 4.2720757E+001, 4.2010131E+001,-1.1613009E+001, 1.8009600E-003,-1.3757958E-022
 1.6266512E+000, 7.7134507E+001, 0.0000000E+000,-3.5093453E+001, 4.1985230E-001,-1.8355447E-001,-4.7027199E-003, 0.0000000E+000, 0.0000000E+000, 4.2172289E+001, 4.2272649E+001,-1.1647078E+001, 1.8211200E-003,-1.6862752E-022
 1.6445946E+000, 7.7924496E+001, 0.0000000E+000,-3.4992718E+001, 4.2344713E-001,-1.8391917E-001,-4.7778470E-003, 0.0000000E+000, 0.0000000E+000, 4.2437180E+001, 4.3166528E+001,-1.1680034E+001, 1.8412800E-003,-2.0566717E-022
 1.6625379E+000, 7.8712621E+001, 0.0000000E+000,-3.5698787E+001, 4.1414263E-001,-1.8414988E-001,-4.8565340E-003, 0.0000000E+000, 0.0000000E+000, 4.3297238E+001, 4.3238970E+001,-1.1711913E+001, 1.8614400E-003,-2.4966518E-022
 1.6804814E+000, 7.7094973E+001, 0.0000000E+000,-3.3925282E+001, 4.0405960E-001,-1.8411542E-001,-4.9246686E-003, 0.0000000E+000, 0.0000000E+000, 4.3375328E+001, 4.3384711E+001,-1.1742744E+001, 1.8816000E-003,-3.0171255E-022
 1.6984248E+000, 8.0429564E+001, 0.0000000E+000,-3.5595700E+001, 4.1824198E-001,-1.8391411E-001,-4.9777451E-003, 0.0000000E+000, 0.0000000E+000, 4.3545864E+001, 4.5063214E+001,-1.1772560E+001, 1.9017600E-003,-3.6303947E-022
 1.7163682E+000, 7.8447428E+001, 0.0000000E+000,-3.4074743E+001, 3.9953282E-001,-1.8324055E-001,-5.0138928E-003, 0.0000000E+000, 0.0000000E+000, 4.5214296E+001, 4.4583963E+001,-1.1801393E+001, 1.9219200E-003,-4.3503281E-022
