s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 1.6653345E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.3704772E-002, 0.0000000E+000, 0.0000000E+000,-3.4243025E-007, 1.7502898E-004, 0.0000000E+000,-2.1563348E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0946935E-005, 0.0000000E+000, 8.0640000E-005, 0.0000000E+000
 1.2027253E-001, 1.0860702E+000, 0.0000000E+000,-4.8352006E-006, 1.9604379E-002,-1.2507834E-005,-3.3518198E-004, 0.0000000E+000, 0.0000000E+000, 4.7314967E-002, 1.1053221E+000,-2.5322245E+000, 1.3440000E-004, 0.0000000E+000
 1.6369541E-001, 1.1603638E+000, 0.0000000E+000,-2.9693741E-002, 1.6113224E-002,-7.4223987E-004,-4.4793920E-004, 0.0000000E+000, 0.0000000E+000, 1.1585942E+000, 1.1455931E+000,-4.1197527E+000, 1.8144000E-004, 0.0000000E+000
 2.0138270E-001, 4.0434024E+000, 0.0000000E+000,-6.8939325E-002, 7.0244175E-002,-1.7346483E-003,-5.4601134E-004, 0.0000000E+000, 0.0000000E+000, 1.2104862E+000, 4.0424266E+000,-5.5843532E+000, 2.2848000E-004, 0.0000000E+000
 2.3906998E-001, 2.2430962E+000, 0.0000000E+000,-1.4984951E-001, 2.6186856E-002,-5.2858919E-003,-6.9555983E-004, 0.0000000E+000, 0.0000000E+000, 4.0960728E+000, 2.1134521E+000,-6.8390737E+000, 2.6880000E-004, 0.0000000E+000
 2.7052954E-001, 7.2224204E+000, 0.0000000E+000,-2.3845758E-001, 1.1468315E-001,-7.4684539E-003,-7.1849439E-004, 0.0000000E+000, 0.0000000E+000, 2.2036359E+000, 7.0904590E+000,-8.0751482E+000, 3.0240000E-004, 0.0000000E+000
 3.0198908E-001, 5.1355376E+000, 0.0000000E+000,-4.2282869E-001, 6.4023609E-002,-1.4196541E-002,-8.9664225E-004, 0.0000000E+000, 0.0000000E+000, 7.1566569E+000, 4.7616393E+000,-9.0904981E+000, 3.3600000E-004, 0.0000000E+000
 3.3344862E-001, 1.4750403E+001, 0.0000000E+000,-6.0333449E-001, 2.3046868E-001,-1.9118265E-002,-9.5097322E-004, 0.0000000E+000, 0.0000000E+000, 4.9213628E+000, 1.4357468E+001,-1.0089118E+001, 3.7632000E-004, 0.0000000E+000
 3.6062297E-001, 1.1571754E+001, 0.0000000E+000,-9.9107909E-001, 1.5674821E-001,-3.2922520E-002,-1.1371415E-003, 0.0000000E+000, 0.0000000E+000, 1.4392219E+001, 1.0703363E+001,-1.1069491E+001, 4.0320000E-004,-2.7532798E-029
 3.8779733E-001, 1.5267811E+001, 0.0000000E+000,-1.4438645E+000, 2.1060135E-001,-4.2229866E-002,-1.1418445E-003, 0.0000000E+000, 0.0000000E+000, 1.0856960E+001, 1.3991177E+001,-1.1900568E+001, 4.3680000E-004,-3.2654327E-027
 4.1497168E-001, 1.6453663E+001, 0.0000000E+000,-2.2907287E+000, 2.0618851E-001,-5.4386367E-002,-1.2451723E-003, 0.0000000E+000, 0.0000000E+000, 1.4106502E+001, 1.4313491E+001,-1.2716175E+001, 4.6368000E-004,-8.9263729E-026
 4.3935180E-001, 1.9995185E+001, 0.0000000E+000,-3.3324717E+000, 2.4660348E-001,-6.4284311E-002,-1.2094984E-003, 0.0000000E+000, 0.0000000E+000, 1.4530595E+001, 1.6843823E+001,-1.3515570E+001, 4.9056000E-004,-9.4899262E-025
 4.6373191E-001, 2.0167276E+001, 0.0000000E+000,-5.1765969E+000, 2.1058761E-001,-7.5607219E-002,-1.3415930E-003, 0.0000000E+000, 0.0000000E+000, 1.6988279E+001, 1.5124318E+001,-1.4218420E+001, 5.1744000E-004,-5.3942062E-024
 4.8811203E-001, 2.2739309E+001, 0.0000000E+000,-7.6610538E+000, 2.0971006E-001,-8.3031344E-002,-1.2886117E-003, 0.0000000E+000, 0.0000000E+000, 1.5375784E+001, 1.5203645E+001,-1.4907254E+001, 5.4432000E-004,-2.0339748E-023
