s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 2.2204460E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4674281E-002, 0.0000000E+000, 0.0000000E+000,-4.2765936E-007, 4.6256917E-004, 0.0000000E+000,-2.0588830E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5625321E-004, 0.0000000E+000, 7.3920000E-005, 0.0000000E+000
 1.0940517E-001, 9.6462668E-001, 0.0000000E+000,-7.4365342E-006, 1.7129212E-002,-1.5802495E-005,-3.1402787E-004, 0.0000000E+000, 0.0000000E+000, 7.7323187E-002, 9.8141863E-001,-3.4084373E+000, 1.2096000E-004, 0.0000000E+000
 1.4909431E-001, 1.2252801E+000, 0.0000000E+000,-3.6235174E-002, 1.7013705E-002,-4.8986232E-004,-4.2129240E-004, 0.0000000E+000, 0.0000000E+000, 1.0732499E+000, 1.2051474E+000,-5.7509322E+000, 1.6800000E-004, 0.0000000E+000
 1.8396665E-001, 3.4592852E+000, 0.0000000E+000,-8.0687451E-002, 5.6507930E-002,-1.2458330E-003,-5.0682276E-004, 0.0000000E+000, 0.0000000E+000, 1.3141014E+000, 3.4333530E+000,-7.8106588E+000, 2.0832000E-004, 0.0000000E+000
 2.1883900E-001, 2.5578057E+000, 0.0000000E+000,-1.4891059E-001, 2.5625456E-002,-3.5134686E-003,-6.0712043E-004, 0.0000000E+000, 0.0000000E+000, 3.5485788E+000, 2.4304000E+000,-9.6007631E+000, 2.4192000E-004, 0.0000000E+000
 2.4778287E-001, 8.8786452E+000, 0.0000000E+000,-2.3953037E-001, 1.4042125E-001,-5.2871019E-003,-6.5886657E-004, 0.0000000E+000, 0.0000000E+000, 2.5810231E+000, 8.7735901E+000,-1.1368304E+001, 2.7552000E-004, 0.0000000E+000
 2.7672675E-001, 5.9205027E+000, 0.0000000E+000,-4.3427671E-001, 7.3417767E-002,-1.1268961E-002,-8.4368819E-004, 0.0000000E+000, 0.0000000E+000, 8.9082919E+000, 5.5475312E+000,-1.2815498E+001, 3.0912000E-004, 0.0000000E+000
 3.0567062E-001, 1.2632661E+001, 0.0000000E+000,-6.1906380E-001, 1.8614423E-001,-1.5673039E-002,-8.8186138E-004, 0.0000000E+000, 0.0000000E+000, 5.7511496E+000, 1.2183187E+001,-1.4242494E+001, 3.4272000E-004, 0.0000000E+000
 3.3055595E-001, 1.1377865E+001, 0.0000000E+000,-8.8369257E-001, 1.4970331E-001,-2.4531758E-002,-1.0231110E-003, 0.0000000E+000, 0.0000000E+000, 1.2333863E+001, 1.0618321E+001,-1.5647373E+001, 3.6960000E-004, 0.0000000E+000
 3.5544127E-001, 1.5343783E+001, 0.0000000E+000,-1.1966501E+000, 2.0986295E-001,-3.2481239E-002,-1.0707687E-003, 0.0000000E+000, 0.0000000E+000, 1.0857761E+001, 1.4323444E+001,-1.6836212E+001, 3.9648000E-004, 0.0000000E+000
 3.8032660E-001, 1.5487570E+001, 0.0000000E+000,-1.7158653E+000, 1.9347759E-001,-4.3770825E-002,-1.1657199E-003, 0.0000000E+000, 0.0000000E+000, 1.4515647E+001, 1.3920245E+001,-1.8006325E+001, 4.2336000E-004, 0.0000000E+000
 4.0260011E-001, 1.7688698E+001, 0.0000000E+000,-2.2802880E+000, 2.1689718E-001,-5.4090457E-002,-1.1834016E-003, 0.0000000E+000, 0.0000000E+000, 1.4175754E+001, 1.5570033E+001,-1.9156737E+001, 4.5024000E-004,-1.8673117E-033
 4.2487362E-001, 1.8612124E+001, 0.0000000E+000,-3.2059259E+000, 2.0467023E-001,-6.5495618E-002,-1.2673871E-003, 0.0000000E+000, 0.0000000E+000, 1.5820216E+001, 1.5544106E+001,-2.0168967E+001, 4.7712000E-004,-1.3933101E-030
 4.4714713E-001, 2.2771673E+001, 0.0000000E+000,-4.4534436E+000, 2.4963582E-001,-7.6610106E-002,-1.3338701E-003, 0.0000000E+000, 0.0000000E+000, 1.5953181E+001, 1.8489921E+001,-2.1164110E+001, 5.0400000E-004,-3.2880417E-029
 4.6942064E-001, 2.3777232E+001, 0.0000000E+000,-6.3085597E+000, 2.2576050E-001,-9.0044315E-002,-1.4079229E-003, 0.0000000E+000, 0.0000000E+000, 1.8822874E+001, 1.7602981E+001,-2.2141634E+001, 5.2416000E-004,-3.3241638E-028
 4.9169415E-001, 2.5235183E+001, 0.0000000E+000,-9.0470160E+000, 1.9614655E-001,-1.0154090E-001,-1.4033544E-003, 0.0000000E+000, 0.0000000E+000, 1.7955876E+001, 1.6281369E+001,-2.3101059E+001, 5.5104000E-004,-2.1800848E-027
 5.1142269E-001, 2.6845917E+001, 0.0000000E+000,-1.1664001E+001, 1.7106708E-001,-1.1077857E-001,-1.4142548E-003, 0.0000000E+000, 0.0000000E+000, 1.6699397E+001, 1.5240791E+001,-2.4041955E+001, 5.7120000E-004,-9.7553841E-027
 5.5087984E-001, 2.8698497E+001, 0.0000000E+000,-1.4781096E+001, 1.4106572E-001,-1.2046068E-001,-1.5386688E-003, 0.0000000E+000, 0.0000000E+000, 1.5498368E+001, 1.3936468E+001,-2.5260851E+001, 6.0816000E-004,-8.7117377E-026
 5.7060838E-001, 2.9123039E+001, 0.0000000E+000,-1.7523864E+001, 9.3759116E-002,-1.2617139E-001,-1.6366673E-003, 0.0000000E+000, 0.0000000E+000, 1.3400550E+001, 1.1565126E+001,-2.6449435E+001, 6.3840000E-004,-4.3832935E-025
 6.1006552E-001, 2.8395356E+001, 0.0000000E+000,-1.6638792E+001, 8.3035350E-002,-1.2878031E-001,-1.7416989E-003, 0.0000000E+000, 0.0000000E+000, 1.1922847E+001, 1.1709077E+001,-2.7599491E+001, 6.7200000E-004,-2.4074276E-024
 6.4952266E-001, 2.7188885E+001, 0.0000000E+000,-1.4336602E+001, 7.8066076E-002,-1.3178208E-001,-1.8437437E-003, 0.0000000E+000, 0.0000000E+000, 1.2224318E+001, 1.2796722E+001,-2.9080803E+001, 7.1568000E-004,-1.5754570E-023
