s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 2.2204460E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.1611825E-002, 0.0000000E+000, 0.0000000E+000,-4.2765936E-007, 5.8526277E-004, 0.0000000E+000,-4.6932962E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1550549E-004, 0.0000000E+000, 1.0080000E-004, 0.0000000E+000
 1.8322365E-001, 2.8044268E+000, 0.0000000E+000,-5.3009709E-006, 4.9323315E-002,-2.4259074E-006,-8.5233514E-004, 0.0000000E+000, 0.0000000E+000, 2.6212086E-002, 2.8528900E+000,-1.1529285E+000, 2.0832000E-004, 0.0000000E+000
 2.7483547E-001, 2.7090557E+000, 0.0000000E+000,-5.1685455E-002, 4.4130443E-002,-2.3698033E-003,-1.2880705E-003, 0.0000000E+000, 0.0000000E+000, 2.8091539E+000, 2.6978428E+000,-2.2867703E+000, 3.0912000E-004, 0.0000000E+000
 3.5070387E-001, 1.6533853E+001, 0.0000000E+000,-1.8497233E-001, 2.7812673E-001,-4.3096971E-003,-1.3485358E-003, 0.0000000E+000, 0.0000000E+000, 2.7509801E+000, 1.6621349E+001,-3.3836827E+000, 3.8976000E-004, 0.0000000E+000
 4.2657229E-001, 1.1666813E+001, 0.0000000E+000,-9.7362299E-001, 1.7713152E-001,-2.4323676E-002,-2.4684982E-003, 0.0000000E+000, 0.0000000E+000, 1.6520179E+001, 1.0843530E+001,-4.2529669E+000, 4.7712000E-004, 0.0000000E+000
 4.9010172E-001, 2.5475710E+001, 0.0000000E+000,-1.7148095E+000, 3.9337041E-001,-3.2274800E-002,-2.0358790E-003, 0.0000000E+000, 0.0000000E+000, 1.0922123E+001, 2.4119960E+001,-5.0789874E+000, 5.5104000E-004, 0.0000000E+000
 5.5363119E-001, 2.7742912E+001, 0.0000000E+000,-5.5477133E+000, 3.6326463E-001,-5.7948664E-002,-2.7430567E-003, 0.0000000E+000, 0.0000000E+000, 2.4106484E+001, 2.2497772E+001,-5.7332648E+000, 6.1824000E-004, 0.0000000E+000
 6.1716068E-001, 3.8794478E+001, 0.0000000E+000,-9.5347442E+000, 4.7195834E-001,-7.2246510E-002,-3.1649644E-003, 0.0000000E+000, 0.0000000E+000, 2.2560175E+001, 2.9656281E+001,-6.3508815E+000, 6.9216000E-004, 0.0000000E+000
 6.7364818E-001, 4.5030358E+001, 0.0000000E+000,-1.6805284E+001, 4.5112225E-001,-9.1718666E-002,-3.7795057E-003, 0.0000000E+000, 0.0000000E+000, 2.9662860E+001, 2.8580698E+001,-6.9302792E+000, 7.5264000E-004, 0.0000000E+000
 7.3013562E-001, 4.8740215E+001, 0.0000000E+000,-2.3095473E+001, 4.1060970E-001,-1.0034798E-001,-4.3228984E-003, 0.0000000E+000, 0.0000000E+000, 2.8520164E+001, 2.5950681E+001,-7.4126947E+000, 8.1984000E-004, 0.0000000E+000
 7.8662312E-001, 4.9862073E+001, 0.0000000E+000,-2.6897857E+001, 3.6957486E-001,-9.8678098E-002,-4.7296166E-003, 0.0000000E+000, 0.0000000E+000, 2.5909520E+001, 2.3230383E+001,-7.8641539E+000, 8.8032000E-004, 0.0000000E+000
 8.4311062E-001, 4.9912381E+001, 0.0000000E+000,-2.4988383E+001, 3.9757895E-001,-9.4784602E-002,-5.1282012E-003, 0.0000000E+000, 0.0000000E+000, 2.3310091E+001, 2.5221664E+001,-8.2849410E+000, 9.4752000E-004, 0.0000000E+000
 8.9120823E-001, 5.1213558E+001, 0.0000000E+000,-2.6025255E+001, 4.0202090E-001,-9.0997852E-002,-5.4116290E-003, 0.0000000E+000, 0.0000000E+000, 2.5270493E+001, 2.5493914E+001,-8.6756649E+000, 1.0012800E-003,-5.5914722E-033
 9.3440974E-001, 5.2467286E+001, 0.0000000E+000,-2.3875935E+001, 4.5209443E-001,-9.1919560E-002,-5.6192657E-003, 0.0000000E+000, 0.0000000E+000, 2.5560673E+001, 2.8945907E+001,-8.9853043E+000, 1.0483200E-003,-4.5080637E-030
 9.7018558E-001, 5.3398283E+001, 0.0000000E+000,-2.1508952E+001, 5.0355079E-001,-9.3708526E-002,-5.9232062E-003, 0.0000000E+000, 0.0000000E+000, 2.8978844E+001, 3.2293251E+001,-9.2459340E+000, 1.0886400E-003,-7.5418517E-029
 1.0059614E+000, 5.1590138E+001, 0.0000000E+000,-1.8911643E+001, 5.1206243E-001,-9.6353483E-002,-6.1436115E-003, 0.0000000E+000, 0.0000000E+000, 3.2366524E+001, 3.3088061E+001,-9.4496408E+000, 1.1289600E-003,-5.3001671E-028
 1.0364166E+000, 5.5436698E+001, 0.0000000E+000,-1.9228256E+001, 5.6269525E-001,-1.0103340E-001,-6.2720139E-003, 0.0000000E+000, 0.0000000E+000, 3.3152065E+001, 3.6663832E+001,-9.6427149E+000, 1.1625600E-003,-2.0596403E-027
 1.0668718E+000, 5.6152923E+001, 0.0000000E+000,-1.8079630E+001, 5.8705370E-001,-1.0658775E-001,-6.3620262E-003, 0.0000000E+000, 0.0000000E+000, 3.6768909E+001, 3.8547398E+001,-9.7989660E+000, 1.1961600E-003,-6.4514344E-027
 1.0934021E+000, 5.8357339E+001, 0.0000000E+000,-1.7793928E+001, 6.2000977E-001,-1.1322873E-001,-6.4197862E-003, 0.0000000E+000, 0.0000000E+000, 3.8632312E+001, 4.1063773E+001,-9.9479987E+000, 1.2230400E-003,-1.5696959E-026
 1.1199325E+000, 5.9184557E+001, 0.0000000E+000,-1.8329396E+001, 6.1909536E-001,-1.1763922E-001,-6.5437126E-003, 0.0000000E+000, 0.0000000E+000, 4.1172188E+001, 4.1350073E+001,-1.0072119E+001, 1.2566400E-003,-3.4964697E-026
 1.1464629E+000, 6.1044648E+001, 0.0000000E+000,-1.7365817E+001, 6.5992669E-001,-1.2135323E-001,-6.6698678E-003, 0.0000000E+000, 0.0000000E+000, 4.1445682E+001, 4.4210734E+001,-1.0191091E+001, 1.2835200E-003,-7.2788653E-026
 1.1729933E+000, 6.2103913E+001, 0.0000000E+000,-1.7444328E+001, 6.6884759E-001,-1.2317834E-001,-6.7966407E-003, 0.0000000E+000, 0.0000000E+000, 4.4308990E+001, 4.5198458E+001,-1.0305072E+001, 1.3104000E-003,-1.4335053E-025
 1.1951309E+000, 6.4042569E+001, 0.0000000E+000,-1.7342023E+001, 6.9651175E-001,-1.2336225E-001,-6.8965072E-003, 0.0000000E+000, 0.0000000E+000, 4.5329534E+001, 4.7266799E+001,-1.0414215E+001, 1.3372800E-003,-2.4478851E-025
 1.2172686E+000, 6.4388019E+001, 0.0000000E+000,-1.6572057E+001, 7.0924554E-001,-1.2301178E-001,-6.9980271E-003, 0.0000000E+000, 0.0000000E+000, 4.7334380E+001, 4.8395198E+001,-1.0501701E+001, 1.3641600E-003,-4.0478519E-025
 1.2362671E+000, 6.5210949E+001, 0.0000000E+000,-1.6210561E+001, 7.2346807E-001,-1.2187467E-001,-7.0606801E-003, 0.0000000E+000, 0.0000000E+000, 4.8458146E+001, 4.9594921E+001,-1.0586021E+001, 1.3843200E-003,-6.1168314E-025
 1.2552656E+000, 6.5185039E+001, 0.0000000E+000,-1.5803251E+001, 7.2361472E-001,-1.2227520E-001,-7.1537902E-003, 0.0000000E+000, 0.0000000E+000, 4.9666466E+001, 4.9975973E+001,-1.0655927E+001, 1.4044800E-003,-9.0627767E-025
 1.2742641E+000, 6.6101145E+001, 0.0000000E+000,-1.5540217E+001, 7.3688491E-001,-1.2358254E-001,-7.2149478E-003, 0.0000000E+000, 0.0000000E+000, 5.0095342E+001, 5.1167015E+001,-1.0723626E+001, 1.4246400E-003,-1.3201646E-024
 1.2913375E+000, 6.7401639E+001, 0.0000000E+000,-1.5392742E+001, 7.5343080E-001,-1.2617429E-001,-7.2729822E-003, 0.0000000E+000, 0.0000000E+000, 5.1318127E+001, 5.2628881E+001,-1.0789172E+001, 1.4448000E-003,-1.8289080E-024
 1.3084110E+000, 6.8094223E+001, 0.0000000E+000,-1.5672695E+001, 7.5342032E-001,-1.3025242E-001,-7.3177855E-003, 0.0000000E+000, 0.0000000E+000, 5.2792408E+001, 5.3037378E+001,-1.0846288E+001, 1.4649600E-003,-2.5023608E-024
 1.3254845E+000, 6.8933612E+001, 0.0000000E+000,-1.6077168E+001, 7.5286579E-001,-1.3533362E-001,-7.3864253E-003, 0.0000000E+000, 0.0000000E+000, 5.3199963E+001, 5.3466590E+001,-1.0901751E+001, 1.4851200E-003,-3.3862253E-024
 1.3425579E+000, 7.0230697E+001, 0.0000000E+000,-1.6519449E+001, 7.6171286E-001,-1.4059559E-001,-7.4359720E-003, 0.0000000E+000, 0.0000000E+000, 5.3644687E+001, 5.4324930E+001,-1.0955600E+001, 1.5052800E-003,-4.5351958E-024
 1.3596314E+000, 7.1459548E+001, 0.0000000E+000,-1.6886242E+001, 7.6806162E-001,-1.4666829E-001,-7.5286084E-003, 0.0000000E+000, 0.0000000E+000, 5.4505055E+001, 5.5187171E+001,-1.1007876E+001, 1.5254400E-003,-6.0154305E-024
 1.3767049E+000, 7.2525165E+001, 0.0000000E+000,-1.7228855E+001, 7.7391914E-001,-1.5241677E-001,-7.5765220E-003, 0.0000000E+000, 0.0000000E+000, 5.5383079E+001, 5.5910236E+001,-1.1058617E+001, 1.5388800E-003,-7.9063859E-024
 1.3937783E+000, 7.3233150E+001, 0.0000000E+000,-1.7681791E+001, 7.7220831E-001,-1.5825522E-001,-7.6857925E-003, 0.0000000E+000, 0.0000000E+000, 5.6109572E+001, 5.6157627E+001,-1.1107862E+001, 1.5590400E-003,-1.0302907E-023
 1.4108518E+000, 7.4430905E+001, 0.0000000E+000,-1.8164386E+001, 7.7607000E-001,-1.6356380E-001,-7.7864211E-003, 0.0000000E+000, 0.0000000E+000, 5.6351635E+001, 5.6871238E+001,-1.1155647E+001, 1.5792000E-003,-1.3317630E-023
 1.4279253E+000, 7.5021225E+001, 0.0000000E+000,-1.8562195E+001, 7.7121769E-001,-1.6867322E-001,-7.8782361E-003, 0.0000000E+000, 0.0000000E+000, 5.7079883E+001, 5.7053696E+001,-1.1202010E+001, 1.5993600E-003,-1.7083833E-023
 1.4449987E+000, 7.6065624E+001, 0.0000000E+000,-1.9126743E+001, 7.7214034E-001,-1.7333267E-001,-7.9801319E-003, 0.0000000E+000, 0.0000000E+000, 5.7272163E+001, 5.7529709E+001,-1.1246989E+001, 1.6195200E-003,-2.1758388E-023
 1.4620723E+000, 7.6617699E+001, 0.0000000E+000,-1.9601563E+001, 7.6531625E-001,-1.7778745E-001,-8.0272283E-003, 0.0000000E+000, 0.0000000E+000, 5.7779882E+001, 5.7595637E+001,-1.1290618E+001, 1.6396800E-003,-2.7525421E-023
 1.4791456E+000, 7.7650626E+001, 0.0000000E+000,-1.9948129E+001, 7.7110363E-001,-1.8185882E-001,-8.1036266E-003, 0.0000000E+000, 0.0000000E+000, 5.7826917E+001, 5.8283639E+001,-1.1332934E+001, 1.6598400E-003,-3.4599902E-023
 1.4962192E+000, 7.8336103E+001, 0.0000000E+000,-2.0530708E+001, 7.6528377E-001,-1.8569992E-001,-8.1007138E-003, 0.0000000E+000, 0.0000000E+000, 5.8485099E+001, 5.8376878E+001,-1.1373971E+001, 1.6732800E-003,-4.3231985E-023
