s,C
Time,"TC_Door_Top"
 0.0000000E+000, 2.0000000E+001
 2.0612660E-001, 2.0000153E+001
 2.4220930E-001, 2.0029684E+001
 3.6525131E-001, 2.0129339E+001
 4.9879357E-001, 2.0181539E+001
 6.1705307E-001, 2.0225147E+001
 7.2379087E-001, 2.0320604E+001
 8.4593222E-001, 2.0489674E+001
 9.6986659E-001, 2.0785616E+001
 1.0826103E+000, 2.1170132E+001
 1.2010447E+000, 2.1616449E+001
 1.3221998E+000, 2.2088066E+001
 1.4419878E+000, 2.2545987E+001
 1.5640001E+000, 2.3112656E+001
 1.6844180E+000, 2.3749640E+001
 1.8030763E+000, 2.4326086E+001
 1.9212690E+000, 2.4979786E+001
 2.0462462E+000, 2.5542574E+001
 2.1615168E+000, 2.6078608E+001
 2.2864372E+000, 2.6708876E+001
 2.4015448E+000, 2.7378690E+001
 2.5217562E+000, 2.8089113E+001
 2.6412316E+000, 2.8846229E+001
 2.7631053E+000, 3.8955358E+001
 2.8849790E+000, 4.7181326E+001
 3.0022592E+000, 4.3074412E+001
 3.1203970E+000, 5.1932421E+001
 3.2438397E+000, 9.1074828E+001
 3.3645182E+000, 1.4453083E+002
 3.4852999E+000, 1.7556153E+002
 3.6057450E+000, 1.8405660E+002
 3.7270698E+000, 1.8998334E+002
 3.8470982E+000, 2.5055722E+002
 3.9632076E+000, 2.9534825E+002
 4.0828271E+000, 3.0100773E+002
 4.2057067E+000, 3.1675997E+002
 4.3246246E+000, 3.3013222E+002
 4.4404900E+000, 3.4340246E+002
 4.5615240E+000, 3.4960852E+002
 4.6854464E+000, 3.4073700E+002
 4.8016645E+000, 3.1462192E+002
 4.9256462E+000, 2.9440575E+002
 5.0456049E+000, 3.0863641E+002
 5.1619153E+000, 3.4686248E+002
 5.2859522E+000, 3.4845846E+002
 5.4020719E+000, 3.4975114E+002
 5.5211863E+000, 3.2507093E+002
 5.6463683E+000, 2.9326319E+002
 5.7635471E+000, 3.2612518E+002
 5.8848703E+000, 3.5346852E+002
 6.0050018E+000, 3.3864095E+002
 6.1202172E+000, 2.9980074E+002
 6.2424367E+000, 3.3015165E+002
 6.3679762E+000, 3.7861439E+002
 6.4832517E+000, 4.0334238E+002
 6.6008965E+000, 3.9541052E+002
 6.7222763E+000, 3.7378949E+002
 6.8425533E+000, 3.7448638E+002
 6.9622087E+000, 3.8590308E+002
 7.0805196E+000, 4.1322654E+002
 7.2051024E+000, 4.0423467E+002
 7.3202034E+000, 3.6658460E+002
 7.4439197E+000, 3.3128542E+002
 7.5620675E+000, 3.3073911E+002
 7.6852995E+000, 3.3828908E+002
 7.8023699E+000, 3.6003699E+002
 7.9214325E+000, 3.9946205E+002
 8.0429758E+000, 4.3877849E+002
 8.1630832E+000, 4.5162628E+002
 8.2826114E+000, 4.6046475E+002
 8.4053770E+000, 4.6232104E+002
 8.5260491E+000, 4.5259807E+002
 8.6429925E+000, 4.4579983E+002
 8.7614412E+000, 4.4482483E+002
 8.8822856E+000, 4.4698476E+002
 9.0067971E+000, 4.6388371E+002
 9.1230079E+000, 4.7176939E+002
 9.2447017E+000, 4.7437904E+002
 9.3608522E+000, 4.6837040E+002
 9.4859145E+000, 5.1052667E+002
 9.6055053E+000, 4.6556299E+002
 9.7274129E+000, 4.3852199E+002
 9.8432629E+000, 4.4715479E+002
 9.9605148E+000, 4.7529131E+002
 1.0080872E+001, 5.2635639E+002
 1.0207068E+001, 5.2384013E+002
 1.0326736E+001, 5.0490361E+002
 1.0441713E+001, 5.1046670E+002
 1.0562977E+001, 5.1395709E+002
 1.0684678E+001, 5.1977437E+002
 1.0805011E+001, 5.2971068E+002
 1.0925345E+001, 5.9025754E+002
