s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 1.4706967E+001, 0.0000000E+000,-1.4145954E-005,-9.2653537E-003,-5.3581745E-006,-9.6568105E-004, 3.0152287E+000, 0.0000000E+000, 4.2899420E-002, 1.7711945E+001, 0.0000000E+000, 1.2438180E-003, 0.0000000E+000,-2.3228237E-001
 3.0918992E-001, 6.2346209E+001, 0.0000000E+000,-6.6962102E-001,-1.5271726E-002,-1.2731562E-001,-5.0090817E-003, 1.7264790E+001, 0.0000000E+000, 3.9785326E+001, 7.8793782E+001, 0.0000000E+000, 2.4367700E-003, 0.0000000E+000, 4.1829370E+001
 3.7459952E-001, 9.5807588E+001, 0.0000000E+000,-1.0478287E+001,-1.7449015E-002,-6.6235877E-001,-6.6162354E-003, 2.5986963E+001, 0.0000000E+000, 8.1970404E+001, 1.1062984E+002, 0.0000000E+000, 2.9108578E-003, 0.0000000E+000, 9.4802436E+001
 4.8794931E-001, 1.1208152E+002, 0.0000000E+000,-6.3688942E+001,-2.1189603E-002,-1.0978627E+000,-7.8125719E-003, 1.9458487E+001, 0.0000000E+000, 8.5002480E+001, 6.6724198E+001, 0.0000000E+000, 3.4287614E-003, 0.0000000E+000, 1.8673489E+002
 6.1297989E-001, 1.0802344E+002, 0.0000000E+000,-6.5697475E+001,-2.6277902E-002,-1.3337366E+000,-8.7512566E-003, 1.4334220E+001, 0.0000000E+000, 5.1055212E+001, 5.5291422E+001, 0.0000000E+000, 4.1654161E-003, 0.0000000E+000, 2.4857627E+002
 7.3048568E-001, 1.5105009E+002, 0.0000000E+000,-7.4454948E+001,-3.2131529E-002,-1.5616139E+000,-9.8789359E-003, 2.6743801E+001, 0.0000000E+000, 9.5628695E+001, 1.0173532E+002, 0.0000000E+000, 4.8157105E-003, 0.0000000E+000, 3.5807519E+002
 8.5147887E-001, 1.9277833E+002, 0.0000000E+000,-8.3268056E+001,-3.2521011E-002,-2.1455742E+000,-1.1848257E-002, 3.8997894E+001, 0.0000000E+000, 1.3933064E+002, 1.4631822E+002, 0.0000000E+000, 5.3852875E-003, 0.0000000E+000, 5.2433421E+002
 9.6317178E-001, 2.5684039E+002, 0.0000000E+000,-9.9529193E+001,-3.6112815E-002,-3.0459551E+000,-1.2401126E-002, 5.8043972E+001, 0.0000000E+000, 2.1007325E+002, 2.1226070E+002, 0.0000000E+000, 5.8699748E-003, 0.0000000E+000, 7.5727052E+002
 1.0841104E+000, 2.6811039E+002, 0.0000000E+000,-9.0701417E+001,-4.0448412E-002,-4.0753412E+000,-1.3215487E-002, 6.6485860E+001, 0.0000000E+000, 2.3672796E+002, 2.3976583E+002, 0.0000000E+000, 6.2838590E-003, 0.0000000E+000, 1.0462275E+003
 1.2076707E+000, 2.6883088E+002, 0.0000000E+000,-9.1380637E+001,-4.1302526E-002,-5.2266067E+000,-1.3420952E-002, 6.6282160E+001, 0.0000000E+000, 2.3986157E+002, 2.3845107E+002, 0.0000000E+000, 6.6478594E-003, 0.0000000E+000, 1.3438031E+003
 1.3230979E+000, 2.5898421E+002, 0.0000000E+000,-9.3004371E+001,-4.2432296E-002,-6.6745939E+000,-1.5097431E-002, 5.9859160E+001, 0.0000000E+000, 2.1747894E+002, 2.1910687E+002, 0.0000000E+000, 6.9395794E-003, 0.0000000E+000, 1.5931841E+003
 1.4409431E+000, 2.8452606E+002, 0.0000000E+000,-8.9907458E+001,-4.1823155E-002,-8.1274638E+000,-1.6272931E-002, 7.1751706E+001, 0.0000000E+000, 2.5917051E+002, 2.5818474E+002, 0.0000000E+000, 7.1713297E-003, 0.0000000E+000, 1.8995052E+003
 1.5658259E+000, 2.7895903E+002, 0.0000000E+000,-8.4529018E+001,-4.7468539E-002,-1.0041441E+001,-1.6262265E-002, 6.9387072E+001, 0.0000000E+000, 2.4976273E+002, 2.5371192E+002, 0.0000000E+000, 7.3680976E-003, 0.0000000E+000, 2.2102408E+003
 1.6814501E+000, 3.3463042E+002, 0.0000000E+000,-9.1936802E+001,-4.6890697E-002,-1.2999042E+001,-1.6064984E-002, 8.9323909E+001, 0.0000000E+000, 3.1759880E+002, 3.1895553E+002, 0.0000000E+000, 7.5251513E-003, 0.0000000E+000, 2.5825832E+003
