,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-04T13:38:16.217+01:00, 0.103E+00,   0.10306, 0.22522E+01
       2,2026-02-04T13:38:16.285+01:00, 0.103E+00,   0.20613, 0.23194E+01
       3,2026-02-04T13:38:16.366+01:00, 0.103E+00,   0.30919, 0.24002E+01
       4,2026-02-04T13:38:16.456+01:00, 0.654E-01,   0.37460, 0.24901E+01
       5,2026-02-04T13:38:16.538+01:00, 0.378E-01,   0.41238, 0.25725E+01
       6,2026-02-04T13:38:16.616+01:00, 0.378E-01,   0.45017, 0.26496E+01
       7,2026-02-04T13:38:16.676+01:00, 0.378E-01,   0.48795, 0.27104E+01
       8,2026-02-04T13:38:16.735+01:00, 0.378E-01,   0.52573, 0.27694E+01
       9,2026-02-04T13:38:16.830+01:00, 0.309E-01,   0.55668, 0.28641E+01
      10,2026-02-04T13:38:16.890+01:00, 0.309E-01,   0.58762, 0.29236E+01
      20,2026-02-04T13:38:17.614+01:00, 0.133E-01,   0.77416, 0.36446E+01
      30,2026-02-04T13:38:18.265+01:00, 0.975E-02,   0.89494, 0.42953E+01
      40,2026-02-04T13:38:18.881+01:00, 0.975E-02,   0.99241, 0.49114E+01
      50,2026-02-04T13:38:19.493+01:00, 0.950E-02,   1.08411, 0.55226E+01
      60,2026-02-04T13:38:20.211+01:00, 0.950E-02,   1.17916, 0.62150E+01
      70,2026-02-04T13:38:20.854+01:00, 0.834E-02,   1.27304, 0.68572E+01
      80,2026-02-04T13:38:21.501+01:00, 0.834E-02,   1.35647, 0.75048E+01
      90,2026-02-04T13:38:22.170+01:00, 0.652E-02,   1.42660, 0.81733E+01
     100,2026-02-04T13:38:22.801+01:00, 0.768E-02,   1.49668, 0.88034E+01
     200,2026-02-04T13:38:29.064+01:00, 0.826E-02,   2.22208, 0.15058E+02
     300,2026-02-04T13:38:35.532+01:00, 0.840E-02,   2.96675, 0.21496E+02
     400,2026-02-04T13:38:41.932+01:00, 0.841E-02,   3.72100, 0.27892E+02
     500,2026-02-04T13:38:48.553+01:00, 0.793E-02,   4.44682, 0.34507E+02
     600,2026-02-04T13:38:54.989+01:00, 0.746E-02,   5.19045, 0.40938E+02
     700,2026-02-04T13:39:01.876+01:00, 0.899E-02,   5.98768, 0.47731E+02
