s,C
Time,"TC_Door_Top"
 0.0000000E+000, 2.0000000E+001
 1.0306330E-001, 2.0000000E+001
 2.0612660E-001, 1.9999955E+001
 3.0918990E-001, 2.0041585E+001
 3.5601434E-001, 2.0080394E+001
 3.9268420E-001, 2.0120802E+001
 4.2935406E-001, 2.0151369E+001
 4.6969091E-001, 2.0168744E+001
 5.0348735E-001, 2.0181231E+001
 5.6671286E-001, 2.0199108E+001
 6.1983468E-001, 2.0225337E+001
 6.6119594E-001, 2.0256049E+001
 7.3187098E-001, 2.0303296E+001
 7.8968279E-001, 2.0371654E+001
 8.4031548E-001, 2.0438761E+001
 9.0317854E-001, 2.0528191E+001
 9.6367862E-001, 2.0644173E+001
 1.0203691E+000, 2.0756696E+001
 1.0820634E+000, 2.0880584E+001
 1.1437577E+000, 2.1009749E+001
 1.2080961E+000, 2.1139367E+001
 1.2685623E+000, 2.1257099E+001
 1.3238307E+000, 2.1361198E+001
 1.3803005E+000, 2.1468375E+001
 1.4400871E+000, 2.1585313E+001
 1.5026106E+000, 2.1693755E+001
 1.5635767E+000, 2.1808226E+001
 1.6235683E+000, 2.1959674E+001
 1.6806702E+000, 2.2130532E+001
 1.7413968E+000, 2.2280797E+001
 1.8000991E+000, 2.2404154E+001
 1.8636507E+000, 2.2504275E+001
 1.9212875E+000, 2.2612797E+001
 1.9832165E+000, 2.2734105E+001
 2.0405008E+000, 2.2864206E+001
 2.1001074E+000, 2.3004285E+001
 2.1682293E+000, 2.3153165E+001
 2.2223411E+000, 2.3305494E+001
 2.2810373E+000, 2.3465811E+001
 2.3446937E+000, 2.3628016E+001
 2.4041524E+000, 2.3784601E+001
 2.4625988E+000, 2.3935268E+001
 2.5219490E+000, 2.4107123E+001
 2.5856219E+000, 2.4291782E+001
 2.6408525E+000, 2.4430733E+001
 2.7019217E+000, 2.4480442E+001
 2.7632864E+000, 3.1752558E+001
 2.8214579E+000, 4.3889269E+001
 2.8802980E+000, 3.8249213E+001
 2.9460316E+000, 3.2708051E+001
 3.0005182E+000, 3.1238340E+001
 3.0647347E+000, 3.2798996E+001
 3.1218159E+000, 3.5310505E+001
 3.1860324E+000, 3.6069690E+001
 3.2431136E+000, 3.5346570E+001
 3.3009084E+000, 3.5055870E+001
 3.3659293E+000, 3.7129387E+001
 3.4262062E+000, 4.4673187E+001
 3.4847549E+000, 5.5432588E+001
 3.5433036E+000, 6.5439670E+001
 3.6035251E+000, 7.1760334E+001
 3.6657112E+000, 7.4941191E+001
 3.7223537E+000, 7.8631365E+001
 3.7870881E+000, 8.6307662E+001
 3.8411690E+000, 9.5909798E+001
 3.9021804E+000, 1.0691682E+002
 3.9605114E+000, 1.2159354E+002
 4.0256090E+000, 1.3885567E+002
 4.0859633E+000, 1.5353819E+002
 4.1464383E+000, 1.6194919E+002
 4.2020132E+000, 1.6547759E+002
 4.2667946E+000, 1.6702810E+002
 4.3224018E+000, 1.6736742E+002
 4.3850212E+000, 1.6891937E+002
 4.4411185E+000, 1.7185139E+002
 4.5028255E+000, 1.7400891E+002
 4.5645325E+000, 1.7679942E+002
 4.6200294E+000, 1.8059618E+002
 4.6814655E+000, 1.8438636E+002
 4.7429015E+000, 1.8627639E+002
 4.8043376E+000, 1.8470915E+002
 4.8630431E+000, 1.8237002E+002
 4.9231139E+000, 1.8420773E+002
 4.9800935E+000, 1.9323311E+002
 5.0410858E+000, 2.0489915E+002
 5.1009686E+000, 2.1568504E+002
 5.1642395E+000, 2.2661977E+002
 5.2262104E+000, 2.3879144E+002
 5.2810018E+000, 2.4270093E+002
 5.3449251E+000, 2.4638216E+002
 5.4011696E+000, 2.5433253E+002
 5.4654492E+000, 2.5619221E+002
