s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 1.0306330E-001, 0.0000000E+000, 0.0000000E+000,-3.9470260E-006,-7.4456230E-003, 0.0000000E+000,-9.0559494E-004, 7.8196721E-002, 0.0000000E+000, 0.0000000E+000, 6.9841556E-002, 0.0000000E+000, 1.0110254E-003, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 3.5610058E+001, 0.0000000E+000,-2.8613773E-005,-1.5277887E-002,-1.3263930E-005,-1.1589079E-003, 7.2131350E+000, 0.0000000E+000, 1.0387730E-001, 4.2806714E+001, 0.0000000E+000, 2.0009462E-003, 0.0000000E+000,-1.5675276E-001
 3.0918992E-001, 7.5365849E+001, 0.0000000E+000,-1.0345890E+000,-1.9238687E-002,-1.4785794E-001,-5.3950756E-003, 2.0363077E+001, 0.0000000E+000, 4.7114819E+001, 9.4521846E+001, 0.0000000E+000, 2.9503841E-003, 0.0000000E+000, 4.9495016E+001
 3.5601434E-001, 1.1303641E+002, 0.0000000E+000,-1.0555955E+001,-1.9719667E-002,-6.6703442E-001,-7.9748698E-003, 3.1536521E+001, 0.0000000E+000, 9.9680632E+001, 1.3332225E+002, 0.0000000E+000, 3.3638376E-003, 0.0000000E+000, 9.5383645E+001
 3.9268419E-001, 1.2543351E+002, 0.0000000E+000,-4.8766455E+001,-2.2039047E-002,-8.2071134E-001,-8.4726146E-003, 3.0445540E+001, 0.0000000E+000, 1.3592254E+002, 1.0626138E+002, 0.0000000E+000, 3.6785986E-003, 0.0000000E+000, 1.4273399E+002
 4.2935407E-001, 1.2230901E+002, 0.0000000E+000,-8.7860661E+001,-2.6038321E-002,-1.3203888E+000,-8.5588616E-003, 1.9144906E+001, 0.0000000E+000, 1.0135480E+002, 5.2238272E+001, 0.0000000E+000, 3.9848539E-003, 0.0000000E+000, 1.7743097E+002
 4.6969092E-001, 1.1172209E+002, 0.0000000E+000,-7.8309105E+001,-2.6515321E-002,-1.2377084E+000,-9.8344484E-003, 1.2078904E+001, 0.0000000E+000, 4.6092166E+001, 4.4217827E+001, 0.0000000E+000, 4.3113768E-003, 0.0000000E+000, 1.9604324E+002
 5.0348735E-001, 9.9947719E+001, 0.0000000E+000,-6.6374327E+001,-2.8190466E-002,-1.3413722E+000,-9.4191646E-003, 1.1363950E+001, 0.0000000E+000, 4.3552466E+001, 4.3558361E+001, 0.0000000E+000, 4.5762500E-003, 0.0000000E+000, 2.0994380E+002
 5.6671286E-001, 1.0757049E+002, 0.0000000E+000,-6.4482253E+001,-3.1214814E-002,-1.3643844E+000,-1.0136431E-002, 1.4034049E+001, 0.0000000E+000, 4.9645178E+001, 5.5716552E+001, 0.0000000E+000, 4.9337961E-003, 0.0000000E+000, 2.3992522E+002
 6.1983466E-001, 1.2679904E+002, 0.0000000E+000,-6.3577902E+001,-3.7330884E-002,-1.4493391E+000,-1.0653666E-002, 1.9922456E+001, 0.0000000E+000, 6.6033625E+001, 8.1646267E+001, 0.0000000E+000, 5.3332688E-003, 0.0000000E+000, 2.7358189E+002
 6.6119593E-001, 1.5437884E+002, 0.0000000E+000,-7.9482866E+001,-3.8241916E-002,-1.5811360E+000,-1.1102052E-002, 2.5970483E+001, 0.0000000E+000, 9.5049148E+001, 9.9235973E+001, 0.0000000E+000, 5.6330448E-003, 0.0000000E+000, 3.1140922E+002
 7.3187101E-001, 1.8279987E+002, 0.0000000E+000,-8.7940918E+001,-4.0007536E-002,-1.7907293E+000,-1.2485846E-002, 3.2716025E+001, 0.0000000E+000, 1.1605519E+002, 1.2573176E+002, 0.0000000E+000, 5.9822775E-003, 0.0000000E+000, 3.9124670E+002
 7.8968281E-001, 2.0553172E+002, 0.0000000E+000,-9.4969487E+001,-3.8453631E-002,-2.1347341E+000,-1.3257608E-002, 3.9987592E+001, 0.0000000E+000, 1.4647680E+002, 1.4836338E+002, 0.0000000E+000, 6.3562593E-003, 0.0000000E+000, 4.7421507E+002
 8.4031546E-001, 2.3230102E+002, 0.0000000E+000,-9.5470973E+001,-4.1365093E-002,-2.4779625E+000,-1.3735594E-002, 4.8441347E+001, 0.0000000E+000, 1.7291557E+002, 1.8273833E+002, 0.0000000E+000, 6.6520851E-003, 0.0000000E+000, 5.6037530E+002
