s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 1.9999992E+001
 3.4678551E-001, 1.9999977E+001
 4.3115599E-001, 2.0000039E+001
 4.9278833E-001, 2.0000085E+001
 5.4475887E-001, 2.0000126E+001
 5.8816111E-001, 2.0000690E+001
 6.3156336E-001, 2.0001258E+001
 6.6568628E-001, 2.0001705E+001
 6.9980920E-001, 2.0004614E+001
 7.2922678E-001, 2.0007131E+001
 7.5864436E-001, 2.0009658E+001
 7.8806194E-001, 2.0017989E+001
 8.1106868E-001, 2.0024536E+001
 8.3407543E-001, 2.0031121E+001
 8.5708217E-001, 2.0038969E+001
 8.7683112E-001, 2.0045728E+001
 8.9658006E-001, 2.0052510E+001
 9.1632900E-001, 2.0061919E+001
 9.3607794E-001, 2.0071556E+001
 9.5373067E-001, 2.0080548E+001
 9.7138339E-001, 2.0098852E+001
 9.8903611E-001, 2.0184313E+001
 1.0066888E+000, 2.5461574E+001
 1.0243416E+000, 4.9787793E+001
 1.0401494E+000, 1.0619118E+002
 1.0559572E+000, 1.9019649E+002
 1.0717650E+000, 2.6230864E+002
 1.0875729E+000, 2.9470111E+002
 1.1033807E+000, 3.0736110E+002
 1.1191885E+000, 3.0945839E+002
 1.1333738E+000, 3.0366369E+002
 1.1475590E+000, 2.9640826E+002
 1.1617443E+000, 2.9009536E+002
 1.1759295E+000, 2.8951044E+002
 1.1901147E+000, 2.9354658E+002
 1.2043000E+000, 2.9809756E+002
 1.2184852E+000, 2.9893202E+002
 1.2326705E+000, 2.9280911E+002
 1.2468557E+000, 2.8085290E+002
 1.2610410E+000, 2.5852516E+002
 1.2752262E+000, 2.4175086E+002
 1.3035967E+000, 2.2762790E+002
 1.3319672E+000, 2.1503856E+002
 1.3603377E+000, 2.4231147E+002
 1.3887082E+000, 3.2510680E+002
 1.4170787E+000, 3.5604861E+002
 1.4454492E+000, 3.4137476E+002
 1.4738197E+000, 3.1274482E+002
 1.5021902E+000, 2.9257350E+002
 1.5333977E+000, 3.1107210E+002
 1.5646052E+000, 3.3966989E+002
 1.5958128E+000, 3.5553644E+002
 1.6270203E+000, 3.6551851E+002
 1.6582279E+000, 3.7285504E+002
 1.6894354E+000, 3.7846048E+002
 1.7206429E+000, 3.8419763E+002
 1.7549712E+000, 3.9273716E+002
 1.7721354E+000, 4.0075784E+002
 1.8064637E+000, 4.0744217E+002
 1.8407920E+000, 4.1167019E+002
 1.8751203E+000, 4.0744125E+002
 1.8922844E+000, 4.0154747E+002
 1.9266127E+000, 3.9343924E+002
 1.9609410E+000, 3.8391363E+002
 1.9952693E+000, 3.7486406E+002
 2.0124334E+000, 3.6743696E+002
 2.0467617E+000, 3.6040640E+002
 2.0810900E+000, 3.4839532E+002
 2.1154183E+000, 3.3775073E+002
 2.1325825E+000, 3.3417621E+002
 2.1669108E+000, 3.3312407E+002
 2.2012391E+000, 3.3580956E+002
 2.2355673E+000, 3.4081498E+002
 2.2527315E+000, 3.4352572E+002
 2.2870598E+000, 3.4394849E+002
 2.3213881E+000, 3.4510992E+002
 2.3557164E+000, 3.4650494E+002
 2.3728805E+000, 3.4862856E+002
 2.4072088E+000, 3.5212968E+002
 2.4415371E+000, 3.5578596E+002
 2.4758654E+000, 3.5608412E+002
