s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000005E+001
 3.4678551E-001, 1.9999982E+001
 4.6238068E-001, 2.0000170E+001
 5.2259985E-001, 2.0000271E+001
 5.8884093E-001, 2.0000391E+001
 6.4059548E-001, 2.0004593E+001
 6.9235003E-001, 2.0008814E+001
 7.3680834E-001, 2.0012462E+001
 7.8126664E-001, 2.0021936E+001
 8.1964589E-001, 2.0030181E+001
 8.5284037E-001, 2.0037383E+001
 8.7898170E-001, 2.0050207E+001
 9.0512304E-001, 2.0063169E+001
 9.2526860E-001, 2.0073272E+001
 9.4541416E-001, 2.0086870E+001
 9.6555972E-001, 2.0100651E+001
 9.8203073E-001, 2.0112042E+001
 9.9850173E-001, 2.0129181E+001
 1.0149727E+000, 2.0146477E+001
 1.0314437E+000, 2.0163847E+001
 1.0455774E+000, 2.0181521E+001
 1.0597110E+000, 2.0199325E+001
 1.0738446E+000, 2.0217348E+001
 1.0879782E+000, 2.0237969E+001
 1.1021118E+000, 2.0259219E+001
 1.1162454E+000, 2.0281189E+001
 1.1303790E+000, 2.0306102E+001
 1.1445126E+000, 2.0335691E+001
 1.1586462E+000, 2.0376485E+001
 1.1727798E+000, 2.0434909E+001
 1.1869135E+000, 2.0515817E+001
 1.2010471E+000, 2.0646970E+001
 1.2151807E+000, 2.0839242E+001
 1.2293143E+000, 2.3399898E+001
 1.2448613E+000, 3.4296101E+001
 1.2604082E+000, 6.1330457E+001
 1.2759552E+000, 1.2377504E+002
 1.2915022E+000, 2.0982172E+002
 1.3052805E+000, 2.9875996E+002
 1.3190588E+000, 4.0118942E+002
 1.3328372E+000, 4.7638837E+002
 1.3447083E+000, 5.2272389E+002
 1.3565794E+000, 5.4812564E+002
 1.3684506E+000, 5.5233562E+002
 1.3803217E+000, 5.5222876E+002
 1.4159351E+000, 5.0188500E+002
 1.4501916E+000, 3.1006341E+002
 1.4712201E+000, 2.4100802E+002
 1.5027629E+000, 2.3116661E+002
 1.5343057E+000, 3.8603030E+002
 1.5690027E+000, 6.0023595E+002
 1.5921341E+000, 6.2585410E+002
 1.6268311E+000, 6.7279150E+002
 1.6592072E+000, 6.6583100E+002
 1.6800176E+000, 6.2237091E+002
 1.7112332E+000, 6.2961245E+002
 1.7424489E+000, 7.3017440E+002
 1.7736645E+000, 7.0552113E+002
 1.8048801E+000, 6.2108766E+002
 1.8360957E+000, 6.0276439E+002
 1.8673113E+000, 6.5216030E+002
 1.8985269E+000, 5.9485054E+002
 1.9297426E+000, 5.8389308E+002
 1.9505530E+000, 7.3349967E+002
 1.9817686E+000, 7.8328512E+002
 2.0129842E+000, 7.8536479E+002
 2.0441998E+000, 8.0216738E+002
 2.0754154E+000, 8.0955517E+002
 2.1097526E+000, 7.8871573E+002
 2.1326441E+000, 7.8816412E+002
 2.1669813E+000, 7.4771817E+002
 2.2013184E+000, 6.4438178E+002
 2.2242099E+000, 5.7094399E+002
 2.2585471E+000, 6.7768545E+002
 2.2814385E+000, 7.4583484E+002
 2.3157757E+000, 7.4140030E+002
 2.3501129E+000, 7.8938443E+002
 2.3730043E+000, 8.7544189E+002
 2.4073415E+000, 9.0385584E+002
 2.4302330E+000, 8.8600202E+002
 2.4645702E+000, 8.3090239E+002
