s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-9.7800621E-007,-4.5707989E-003, 0.0000000E+000,-1.0798382E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6516151E-003, 0.0000000E+000, 1.1357879E-003, 0.0000000E+000
 2.3119034E-001, 4.0114730E+001, 0.0000000E+000,-9.7276361E-007, 6.7342338E-001,-2.5721332E-011,-1.3713206E-003, 0.0000000E+000, 0.0000000E+000,-8.2224482E-003, 4.0786781E+001, 0.0000000E+000, 2.1601127E-003, 0.0000000E+000
 3.4678552E-001, 8.1476522E+001, 0.0000000E+000,-1.2604259E+000, 1.3093556E+000,-5.3635766E-002,-5.7565967E-003, 0.0000000E+000, 0.0000000E+000, 3.9321591E+001, 8.1466059E+001, 0.0000000E+000, 3.0013559E-003, 0.0000000E+000
 4.6238068E-001, 1.1877180E+002, 0.0000000E+000,-3.3358843E+001, 1.2764725E+000,-1.8418784E-001,-5.5349350E-003, 0.0000000E+000, 0.0000000E+000, 7.8964771E+001, 8.6499707E+001, 0.0000000E+000, 3.6407106E-003, 0.0000000E+000
 5.2269590E-001, 1.4485143E+002, 0.0000000E+000,-9.8477370E+001, 7.5941517E-001,-2.3647747E-001,-8.7617233E-003, 0.0000000E+000, 0.0000000E+000, 8.4529517E+001, 4.6888234E+001, 0.0000000E+000, 3.9000416E-003, 0.0000000E+000
 6.4082736E-001, 1.3624087E+002, 0.0000000E+000,-6.8775964E+001, 1.0710261E+000,-1.8205394E-001,-1.0105622E-002, 0.0000000E+000, 0.0000000E+000, 5.6484882E+001, 6.8343771E+001, 0.0000000E+000, 4.2001608E-003, 0.0000000E+000
 7.3708266E-001, 1.5093753E+002, 0.0000000E+000,-6.8948339E+001, 1.3247822E+000,-1.7654834E-001,-1.1309362E-002, 0.0000000E+000, 0.0000000E+000, 6.8616721E+001, 8.3126114E+001, 0.0000000E+000, 4.4527444E-003, 0.0000000E+000
 8.1995004E-001, 1.8492886E+002, 0.0000000E+000,-8.1935779E+001, 1.6701196E+000,-1.6834409E-001,-1.1970258E-002, 0.0000000E+000, 0.0000000E+000, 9.9189099E+001, 1.0448288E+002, 0.0000000E+000, 4.6063383E-003, 0.0000000E+000
 9.0571201E-001, 2.5493895E+002, 0.0000000E+000,-1.0312556E+002, 2.4475461E+000,-1.4746318E-001,-1.2368480E-002, 0.0000000E+000, 0.0000000E+000, 1.3465365E+002, 1.5410110E+002, 0.0000000E+000, 4.7084912E-003, 0.0000000E+000
 1.0139179E+000, 2.7365849E+002, 0.0000000E+000,-1.1486418E+002, 2.6796122E+000,-1.3673335E-001,-1.2544625E-002, 0.0000000E+000, 0.0000000E+000, 1.6170096E+002, 1.6132464E+002, 0.0000000E+000, 4.7954394E-003, 0.0000000E+000
 1.1009457E+000, 2.1764654E+002, 0.0000000E+000,-6.8087999E+001, 2.5549187E+000,-1.3783196E-001,-1.2245665E-002, 0.0000000E+000, 0.0000000E+000, 1.5263910E+002, 1.5196338E+002, 0.0000000E+000, 4.8599313E-003, 0.0000000E+000
