s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-3.0002187E-004, 0.0000000E+000,-1.7333846E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0342289E-003, 0.0000000E+000, 1.0222091E-003, 0.0000000E+000
 2.3119034E-001, 3.9383506E+001, 0.0000000E+000,-8.1312694E-007, 6.6911351E-001, 4.5718631E-010,-2.1360890E-003, 0.0000000E+000, 0.0000000E+000,-2.9910720E-003, 4.0050483E+001, 0.0000000E+000, 1.9441014E-003, 0.0000000E+000
 3.4678552E-001, 8.0073494E+001, 0.0000000E+000,-9.7424868E-001, 1.3307346E+000,-4.8851404E-002,-1.0483008E-002, 0.0000000E+000, 0.0000000E+000, 3.9797247E+001, 8.0370646E+001, 0.0000000E+000, 2.7012203E-003, 0.0000000E+000
 4.6238068E-001, 1.1666549E+002, 0.0000000E+000,-1.6426014E+001, 1.6132984E+000,-1.7953089E-001,-1.1571167E-002, 0.0000000E+000, 0.0000000E+000, 7.8529832E+001, 1.0166167E+002, 0.0000000E+000, 3.2766395E-003, 0.0000000E+000
 5.5365658E-001, 1.4999499E+002, 0.0000000E+000,-7.5711820E+001, 1.1644766E+000,-3.0377385E-001,-1.5335231E-002, 0.0000000E+000, 0.0000000E+000, 1.0004668E+002, 7.5128541E+001, 0.0000000E+000, 3.6139976E-003, 0.0000000E+000
 6.1284792E-001, 1.6929450E+002, 0.0000000E+000,-9.2480475E+001, 1.2168637E+000,-2.9229555E-001,-1.7043923E-002, 0.0000000E+000, 0.0000000E+000, 7.4346759E+001, 7.7721553E+001, 0.0000000E+000, 3.7859685E-003, 0.0000000E+000
 7.2334546E-001, 1.4623757E+002, 0.0000000E+000,-8.6387538E+001, 1.0042222E+000,-2.7457871E-001,-1.9062371E-002, 0.0000000E+000, 0.0000000E+000, 6.4254803E+001, 6.0560617E+001, 0.0000000E+000, 3.9730309E-003, 0.0000000E+000
 8.2369119E-001, 1.4251146E+002, 0.0000000E+000,-5.2432253E+001, 1.4907541E+000,-2.4013035E-001,-2.0817627E-002, 0.0000000E+000, 0.0000000E+000, 7.2627561E+001, 9.1309017E+001, 0.0000000E+000, 4.1447073E-003, 0.0000000E+000
 9.2552233E-001, 2.2288410E+002, 0.0000000E+000,-8.0796004E+001, 2.3028176E+000,-2.3239000E-001,-2.1836440E-002, 0.0000000E+000, 0.0000000E+000, 1.3100970E+002, 1.4413669E+002, 0.0000000E+000, 4.2512533E-003, 0.0000000E+000
