s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-3.1673978E-003, 0.0000000E+000,-5.3742500E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7056452E-003, 0.0000000E+000, 9.6541969E-004, 0.0000000E+000
 2.3119034E-001, 2.0761547E+001, 0.0000000E+000,-8.2035732E-007, 3.4909058E-001,-2.0486916E-009,-7.3717349E-004, 0.0000000E+000, 0.0000000E+000,-5.3937162E-003, 2.1109899E+001, 0.0000000E+000, 1.8360958E-003, 0.0000000E+000
 3.4678552E-001, 4.2107446E+001, 0.0000000E+000,-4.7969143E-001, 6.9745482E-001,-2.1597714E-002,-2.0585926E-003, 0.0000000E+000, 0.0000000E+000, 2.1056800E+001, 4.2301553E+001, 0.0000000E+000, 2.5511526E-003, 0.0000000E+000
 4.6238068E-001, 6.1390590E+001, 0.0000000E+000,-4.1052299E+000, 9.3929471E-001,-8.1618990E-002,-2.6038548E-003, 0.0000000E+000, 0.0000000E+000, 4.1925740E+001, 5.8140432E+001, 0.0000000E+000, 3.0946040E-003, 0.0000000E+000
 5.7797587E-001, 7.7277042E+001, 0.0000000E+000,-2.7838027E+001, 7.8655233E-001,-1.7232941E-001,-3.0300531E-003, 0.0000000E+000, 0.0000000E+000, 5.7389954E+001, 5.0050208E+001, 0.0000000E+000, 3.4837937E-003, 0.0000000E+000
 6.6919321E-001, 9.3087843E+001, 0.0000000E+000,-4.9891131E+001, 6.9555641E-001,-1.9627426E-001,-3.4468054E-003, 0.0000000E+000, 0.0000000E+000, 4.9272782E+001, 4.3692547E+001, 0.0000000E+000, 3.7029576E-003, 0.0000000E+000
 7.3829257E-001, 1.0362588E+002, 0.0000000E+000,-5.6702175E+001, 7.6726952E-001,-1.7807693E-001,-3.7142591E-003, 0.0000000E+000, 0.0000000E+000, 4.3264717E+001, 4.7509179E+001, 0.0000000E+000, 3.8285114E-003, 0.0000000E+000
 8.0739188E-001, 1.0525070E+002, 0.0000000E+000,-7.0865042E+001, 5.8921821E-001,-1.7214298E-001,-3.9449436E-003, 0.0000000E+000, 0.0000000E+000, 4.7359542E+001, 3.4798785E+001, 0.0000000E+000, 3.9264213E-003, 0.0000000E+000
 9.2788404E-001, 1.0481640E+002, 0.0000000E+000,-4.9736212E+001, 9.1551020E-001,-1.6417645E-001,-4.2128725E-003, 0.0000000E+000, 0.0000000E+000, 4.2690465E+001, 5.5827307E+001, 0.0000000E+000, 4.0214491E-003, 0.0000000E+000
 1.0182990E+000, 1.1273763E+002, 0.0000000E+000,-4.8021407E+001, 1.0755491E+000,-1.6513004E-001,-4.4482320E-003, 0.0000000E+000, 0.0000000E+000, 6.0232154E+001, 6.5622194E+001, 0.0000000E+000, 4.0939091E-003, 0.0000000E+000
 1.1303071E+000, 1.2440737E+002, 0.0000000E+000,-5.1195099E+001, 1.2310368E+000,-1.5310460E-001,-4.4996410E-003, 0.0000000E+000, 0.0000000E+000, 7.1343938E+001, 7.4285706E+001, 0.0000000E+000, 4.1435543E-003, 0.0000000E+000
 1.2079723E+000, 1.2787242E+002, 0.0000000E+000,-4.5847899E+001, 1.3937317E+000,-1.3329563E-001,-4.5234050E-003, 0.0000000E+000, 0.0000000E+000, 8.0415189E+001, 8.3280429E+001, 0.0000000E+000, 4.1752864E-003, 0.0000000E+000
 1.3190534E+000, 1.2260238E+002, 0.0000000E+000,-3.5369022E+001, 1.4732769E+000,-1.1512483E-001,-4.4641025E-003, 0.0000000E+000, 0.0000000E+000, 8.8593381E+001, 8.8587044E+001, 0.0000000E+000, 4.1980358E-003, 0.0000000E+000
 1.4157176E+000, 1.1827119E+002, 0.0000000E+000,-3.5446483E+001, 1.3817565E+000,-1.3012414E-001,-4.3147606E-003, 0.0000000E+000, 0.0000000E+000, 8.5291097E+001, 8.4072026E+001, 0.0000000E+000, 4.2155001E-003, 0.0000000E+000
 1.5030378E+000, 1.1871782E+002, 0.0000000E+000,-3.8700459E+001, 1.3271746E+000,-1.4922127E-001,-4.3109315E-003, 0.0000000E+000, 0.0000000E+000, 8.1491870E+001, 8.1191000E+001, 0.0000000E+000, 4.2260156E-003, 0.0000000E+000
 1.6078219E+000, 1.2157740E+002, 0.0000000E+000,-3.9599409E+001, 1.3645958E+000,-1.5243979E-001,-4.3254573E-003, 0.0000000E+000, 0.0000000E+000, 8.2589862E+001, 8.3185816E+001, 0.0000000E+000, 4.2336157E-003, 0.0000000E+000
 1.7126062E+000, 1.1835024E+002, 0.0000000E+000,-3.5342052E+001, 1.3785834E+000,-1.4687913E-001,-4.2619130E-003, 0.0000000E+000, 0.0000000E+000, 8.4320198E+001, 8.4235626E+001, 0.0000000E+000, 4.2392182E-003, 0.0000000E+000
 1.8068789E+000, 1.1652657E+002, 0.0000000E+000,-3.3238746E+001, 1.3334801E+000,-1.5624639E-001,-4.2350564E-003, 0.0000000E+000, 0.0000000E+000, 8.4479821E+001, 8.4460822E+001, 0.0000000E+000, 4.2427405E-003, 0.0000000E+000
 1.9069188E+000, 1.1976435E+002, 0.0000000E+000,-3.5350534E+001,-8.7858860E+000,-1.6727917E-001,-4.3196429E-003, 0.0000000E+000, 0.0000000E+000, 7.7216596E+001, 7.5456336E+001, 0.0000000E+000, 4.2450596E-003, 0.0000000E+000
 2.0053010E+000, 1.2127575E+002, 0.0000000E+000,-3.4270561E+001,-6.3104322E+001,-1.7235365E-001,-4.4219030E-003, 0.0000000E+000, 0.0000000E+000, 2.7277929E+001, 2.3724088E+001, 0.0000000E+000, 4.2466759E-003, 0.0000000E+000
 2.1078997E+000, 1.2121862E+002, 0.0000000E+000,-3.2433227E+001,-9.8718663E+001,-1.7055479E-001,-4.4827291E-003, 0.0000000E+000, 0.0000000E+000,-9.5774403E+000,-1.0108303E+001, 0.0000000E+000, 4.2477772E-003, 0.0000000E+000
 2.2006602E+000, 1.1966181E+002, 0.0000000E+000,-3.1013959E+001,-9.9293625E+001,-1.7292254E-001,-4.4983330E-003, 0.0000000E+000, 0.0000000E+000,-1.0611627E+001,-1.0823193E+001, 0.0000000E+000, 4.2485004E-003, 0.0000000E+000
 2.3088808E+000, 1.1792009E+002, 0.0000000E+000,-2.9856854E+001,-9.9234278E+001,-1.8500401E-001,-4.4886936E-003, 0.0000000E+000, 0.0000000E+000,-1.1404394E+001,-1.1360539E+001, 0.0000000E+000, 4.2489947E-003, 0.0000000E+000
 2.4016414E+000, 1.1698180E+002, 0.0000000E+000,-2.9678289E+001,-1.0128545E+002,-1.8617419E-001,-4.4700695E-003, 0.0000000E+000, 0.0000000E+000,-1.3621045E+001,-1.4172583E+001, 0.0000000E+000, 4.2493288E-003, 0.0000000E+000
 2.5098617E+000, 1.1675602E+002, 0.0000000E+000,-3.0546351E+001,-1.0423421E+002,-1.9496073E-001,-4.4469065E-003, 0.0000000E+000, 0.0000000E+000,-1.7752601E+001,-1.8223949E+001, 0.0000000E+000, 4.2495500E-003, 0.0000000E+000
 2.6026223E+000, 1.1703148E+002, 0.0000000E+000,-3.0765174E+001,-1.0517779E+002,-2.0946362E-001,-4.4248443E-003, 0.0000000E+000, 0.0000000E+000,-1.9446718E+001,-1.9125375E+001, 0.0000000E+000, 4.2496996E-003, 0.0000000E+000
 2.7108428E+000, 1.1758960E+002, 0.0000000E+000,-3.0793836E+001,-1.0654042E+002,-2.3208032E-001,-4.4077722E-003, 0.0000000E+000, 0.0000000E+000,-1.9943720E+001,-1.9981142E+001, 0.0000000E+000, 4.2497986E-003, 0.0000000E+000
 2.8036034E+000, 1.1793252E+002, 0.0000000E+000,-3.0458910E+001,-1.0453236E+002,-2.0391530E-001,-4.3886625E-003, 0.0000000E+000, 0.0000000E+000,-1.7703536E+001,-1.7267058E+001, 0.0000000E+000, 4.2498655E-003, 0.0000000E+000
 2.9118240E+000, 1.1807497E+002, 0.0000000E+000,-2.9854994E+001,-1.0499228E+002,-2.2126871E-001,-4.3677643E-003, 0.0000000E+000, 0.0000000E+000,-1.6348709E+001,-1.6997940E+001, 0.0000000E+000, 4.2499099E-003, 0.0000000E+000
 3.0118704E+000, 1.1797635E+002, 0.0000000E+000,-2.9110149E+001,-1.0594480E+002,-2.6339791E-001,-4.3504521E-003, 0.0000000E+000, 0.0000000E+000,-1.8281599E+001,-1.7346345E+001, 0.0000000E+000, 4.2499405E-003, 0.0000000E+000
 3.1086473E+000, 1.1737998E+002, 0.0000000E+000,-2.8533635E+001,-9.4818685E+001,-2.6697216E-001,-4.3513833E-003, 0.0000000E+000, 0.0000000E+000,-6.2854700E+000,-6.2436626E+000, 0.0000000E+000, 4.2499598E-003, 0.0000000E+000
 3.2054245E+000, 1.1751465E+002, 0.0000000E+000,-2.8330074E+001,-9.8046763E+001,-2.6293166E-001,-4.3713616E-003, 0.0000000E+000, 0.0000000E+000,-9.0058745E+000,-9.1294920E+000, 0.0000000E+000, 4.2499727E-003, 0.0000000E+000
 3.3022015E+000, 1.1748109E+002, 0.0000000E+000,-2.8612124E+001,-9.6579251E+001,-2.8120417E-001,-4.3930974E-003, 0.0000000E+000, 0.0000000E+000,-8.0586607E+000,-7.9958856E+000, 0.0000000E+000, 4.2499815E-003, 0.0000000E+000
 3.4128036E+000, 1.1720852E+002, 0.0000000E+000,-2.8533690E+001,-9.2217173E+001,-2.8488344E-001,-4.4100331E-003, 0.0000000E+000, 0.0000000E+000,-3.9291085E+000,-3.8316323E+000, 0.0000000E+000, 4.2499877E-003, 0.0000000E+000
 3.5095806E+000, 1.1727588E+002, 0.0000000E+000,-2.8449077E+001,-9.3857968E+001,-2.8309007E-001,-4.4236517E-003, 0.0000000E+000, 0.0000000E+000,-5.2511739E+000,-5.3186799E+000, 0.0000000E+000, 4.2499919E-003, 0.0000000E+000
 3.6063578E+000, 1.1793888E+002, 0.0000000E+000,-2.8263538E+001,-8.7888670E+001,-2.7383286E-001,-4.4407231E-003, 0.0000000E+000, 0.0000000E+000, 9.7924091E-001, 1.5084024E+000, 0.0000000E+000, 4.2499945E-003, 0.0000000E+000
 3.7031348E+000, 1.1834323E+002, 0.0000000E+000,-2.7990749E+001,-8.8246794E+001,-2.7498994E-001,-4.4573095E-003, 0.0000000E+000, 0.0000000E+000, 1.8301801E+000, 1.8262406E+000, 0.0000000E+000, 4.2499963E-003, 0.0000000E+000
 3.8137369E+000, 1.1816779E+002, 0.0000000E+000,-2.7435687E+001,-8.5927875E+001,-2.5676686E-001,-4.4601256E-003, 0.0000000E+000, 0.0000000E+000, 4.1788227E+000, 4.5430061E+000, 0.0000000E+000, 4.2499975E-003, 0.0000000E+000
