s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-2.5564365E-003, 0.0000000E+000,-7.4492732E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3021863E-003, 0.0000000E+000, 8.5184091E-004, 0.0000000E+000
 2.3119034E-001, 1.7996715E+001, 0.0000000E+000,-8.2016303E-007, 3.0315560E-001,-1.5820269E-009,-1.0105500E-003, 0.0000000E+000, 0.0000000E+000,-4.8043756E-003, 1.8298859E+001, 0.0000000E+000, 1.6200845E-003, 0.0000000E+000
 3.4678552E-001, 3.6543684E+001, 0.0000000E+000,-4.3733625E-001, 6.0707053E-001,-1.8062837E-002,-2.7524868E-003, 0.0000000E+000, 0.0000000E+000, 1.8262268E+001, 3.6692603E+001, 0.0000000E+000, 2.2510170E-003, 0.0000000E+000
 4.6238068E-001, 5.3270230E+001, 0.0000000E+000,-3.3365634E+000, 8.2446937E-001,-6.8445388E-002,-3.5653057E-003, 0.0000000E+000, 0.0000000E+000, 3.6444847E+001, 5.0686126E+001, 0.0000000E+000, 2.7305329E-003, 0.0000000E+000
 5.7797587E-001, 6.7049418E+001, 0.0000000E+000,-1.8412503E+001, 7.8057329E-001,-1.4635454E-001,-4.1522481E-003, 0.0000000E+000, 0.0000000E+000, 5.0155314E+001, 4.9266982E+001, 0.0000000E+000, 3.0739357E-003, 0.0000000E+000
 6.8030566E-001, 7.9320370E+001, 0.0000000E+000,-3.9164301E+001, 6.5013088E-001,-1.8428113E-001,-4.7919699E-003, 0.0000000E+000, 0.0000000E+000, 4.8442685E+001, 4.0617127E+001, 0.0000000E+000, 3.2870054E-003, 0.0000000E+000
 7.5261098E-001, 9.1226006E+001, 0.0000000E+000,-4.4208874E+001, 7.7088792E-001,-1.6796308E-001,-5.1981690E-003, 0.0000000E+000, 0.0000000E+000, 4.0148653E+001, 4.7614858E+001, 0.0000000E+000, 3.3978279E-003, 0.0000000E+000
 8.2491636E-001, 9.2281021E+001, 0.0000000E+000,-5.5738737E+001, 6.1919491E-001,-1.6127392E-001,-5.5155504E-003, 0.0000000E+000, 0.0000000E+000, 4.7441102E+001, 3.6994689E+001, 0.0000000E+000, 3.4831300E-003, 0.0000000E+000
 9.4334185E-001, 9.5744394E+001, 0.0000000E+000,-4.4049553E+001, 8.6643212E-001,-1.5891829E-001,-5.8705893E-003, 0.0000000E+000, 0.0000000E+000, 4.3068528E+001, 5.2396484E+001, 0.0000000E+000, 3.5600838E-003, 0.0000000E+000
 1.0350727E+000, 1.0014567E+002, 0.0000000E+000,-3.9496391E+001, 1.0131510E+000,-1.5874178E-001,-6.2017190E-003, 0.0000000E+000, 0.0000000E+000, 5.6132227E+001, 6.1497488E+001, 0.0000000E+000, 3.6208740E-003, 0.0000000E+000
 1.1078881E+000, 1.0764651E+002, 0.0000000E+000,-4.2309134E+001, 1.1056424E+000,-1.5028449E-001,-6.2728038E-003, 0.0000000E+000, 0.0000000E+000, 6.3644335E+001, 6.6286463E+001, 0.0000000E+000, 3.6551843E-003, 0.0000000E+000
 1.2177083E+000, 1.0925442E+002, 0.0000000E+000,-3.5637269E+001, 1.2522269E+000,-1.2926061E-001,-6.2532658E-003, 0.0000000E+000, 0.0000000E+000, 7.3016924E+001, 7.4733864E+001, 0.0000000E+000, 3.6823985E-003, 0.0000000E+000
 1.3072808E+000, 1.0583121E+002, 0.0000000E+000,-2.7159319E+001, 1.3392781E+000,-1.0389199E-001,-6.2252955E-003, 0.0000000E+000, 0.0000000E+000, 7.9487002E+001, 7.9901049E+001, 0.0000000E+000, 3.7041076E-003, 0.0000000E+000
 1.4059609E+000, 1.0294751E+002, 0.0000000E+000,-2.6487830E+001, 1.2878649E+000,-1.1037538E-001,-6.0605181E-003, 0.0000000E+000, 0.0000000E+000, 7.8636602E+001, 7.7631113E+001, 0.0000000E+000, 3.7182370E-003, 0.0000000E+000
 1.5002937E+000, 1.0148641E+002, 0.0000000E+000,-2.9524726E+001, 1.2006930E+000,-1.2742500E-001,-5.9473896E-003, 0.0000000E+000, 0.0000000E+000, 7.3683870E+001, 7.3029008E+001, 0.0000000E+000, 3.7283462E-003, 0.0000000E+000
 1.6134931E+000, 1.0436089E+002, 0.0000000E+000,-3.1107333E+001, 1.2235522E+000,-1.3904547E-001,-5.9793879E-003, 0.0000000E+000, 0.0000000E+000, 7.3789657E+001, 7.4332087E+001, 0.0000000E+000, 3.7356508E-003, 0.0000000E+000
 1.7038916E+000, 1.0416328E+002, 0.0000000E+000,-2.8399702E+001, 1.2684741E+000,-1.3496757E-001,-5.9326474E-003, 0.0000000E+000, 0.0000000E+000, 7.6584930E+001, 7.6891148E+001, 0.0000000E+000, 3.7404609E-003, 0.0000000E+000
 1.8034085E+000, 1.0176912E+002, 0.0000000E+000,-2.5470284E+001, 1.2641005E+000,-1.3755690E-001,-5.8686884E-003, 0.0000000E+000, 0.0000000E+000, 7.7504912E+001, 7.7419512E+001, 0.0000000E+000, 3.7434448E-003, 0.0000000E+000
 1.9085467E+000, 1.0337312E+002, 0.0000000E+000,-2.7461455E+001,-2.4111584E+000,-1.4791172E-001,-5.9336696E-003, 0.0000000E+000, 0.0000000E+000, 7.4365757E+001, 7.3346660E+001, 0.0000000E+000, 3.7456275E-003, 0.0000000E+000
 2.0136847E+000, 1.0525407E+002, 0.0000000E+000,-2.7409553E+001,-4.3106251E+001,-1.5486054E-001,-6.0699935E-003, 0.0000000E+000, 0.0000000E+000, 3.8184332E+001, 3.4577338E+001, 0.0000000E+000, 3.7471281E-003, 0.0000000E+000
 2.1038032E+000, 1.0509240E+002, 0.0000000E+000,-2.5503605E+001,-8.8091711E+001,-1.5595708E-001,-6.1727508E-003, 0.0000000E+000, 0.0000000E+000,-6.7453351E+000,-8.6650426E+000, 0.0000000E+000, 3.7480601E-003, 0.0000000E+000
 2.2089415E+000, 1.0391633E+002, 0.0000000E+000,-2.4405528E+001,-9.4470093E+001,-1.5672201E-001,-6.2181217E-003, 0.0000000E+000, 0.0000000E+000,-1.5361876E+001,-1.5122233E+001, 0.0000000E+000, 3.7486846E-003, 0.0000000E+000
 2.3140795E+000, 1.0249152E+002, 0.0000000E+000,-2.3480184E+001,-9.2632804E+001,-1.6505932E-001,-6.2187127E-003, 0.0000000E+000, 0.0000000E+000,-1.3942184E+001,-1.3792742E+001, 0.0000000E+000, 3.7491361E-003, 0.0000000E+000
 2.4117079E+000, 1.0107822E+002, 0.0000000E+000,-2.2949861E+001,-9.2227383E+001,-1.6866879E-001,-6.1994165E-003, 0.0000000E+000, 0.0000000E+000,-1.3558941E+001,-1.4273891E+001, 0.0000000E+000, 3.7494261E-003, 0.0000000E+000
 2.5024710E+000, 1.0139698E+002, 0.0000000E+000,-2.3598312E+001,-9.6529714E+001,-1.6879201E-001,-6.1753419E-003, 0.0000000E+000, 0.0000000E+000,-1.8680059E+001,-1.8906010E+001, 0.0000000E+000, 3.7496058E-003, 0.0000000E+000
 2.6034806E+000, 1.0151019E+002, 0.0000000E+000,-2.4123563E+001,-9.8813499E+001,-1.9155393E-001,-6.1467684E-003, 0.0000000E+000, 0.0000000E+000,-2.1806706E+001,-2.1624575E+001, 0.0000000E+000, 3.7497306E-003, 0.0000000E+000
 2.7044902E+000, 1.0180042E+002, 0.0000000E+000,-2.4228676E+001,-9.4254007E+001,-2.0493792E-001,-6.1190192E-003, 0.0000000E+000, 0.0000000E+000,-1.6965423E+001,-1.6893325E+001, 0.0000000E+000, 3.7498201E-003, 0.0000000E+000
 2.8054998E+000, 1.0228416E+002, 0.0000000E+000,-2.4343063E+001,-9.3584141E+001,-1.9087103E-001,-6.0906412E-003, 0.0000000E+000, 0.0000000E+000,-1.5829940E+001,-1.5840002E+001, 0.0000000E+000, 3.7498799E-003, 0.0000000E+000
 2.9065094E+000, 1.0232890E+002, 0.0000000E+000,-2.3979363E+001,-9.1665649E+001,-1.9234438E-001,-6.0579615E-003, 0.0000000E+000, 0.0000000E+000,-1.4107540E+001,-1.3514515E+001, 0.0000000E+000, 3.7499198E-003, 0.0000000E+000
 3.0075188E+000, 1.0227732E+002, 0.0000000E+000,-2.3346164E+001,-9.1097620E+001,-2.0267196E-001,-6.0220932E-003, 0.0000000E+000, 0.0000000E+000,-1.1828106E+001,-1.2375157E+001, 0.0000000E+000, 3.7499465E-003, 0.0000000E+000
 3.1085284E+000, 1.0192628E+002, 0.0000000E+000,-2.2874498E+001,-9.4592091E+001,-2.3470902E-001,-6.0028519E-003, 0.0000000E+000, 0.0000000E+000,-1.6478577E+001,-1.5781025E+001, 0.0000000E+000, 3.7499643E-003, 0.0000000E+000
 3.2095380E+000, 1.0151409E+002, 0.0000000E+000,-2.2556760E+001,-8.3029495E+001,-2.5143334E-001,-6.0179458E-003, 0.0000000E+000, 0.0000000E+000,-4.5402559E+000,-4.3296201E+000, 0.0000000E+000, 3.7499761E-003, 0.0000000E+000
 3.3105476E+000, 1.0174254E+002, 0.0000000E+000,-2.2331197E+001,-8.3164299E+001,-2.3980242E-001,-6.0317600E-003, 0.0000000E+000, 0.0000000E+000,-3.8990792E+000,-3.9987920E+000, 0.0000000E+000, 3.7499841E-003, 0.0000000E+000
 3.4115572E+000, 1.0187410E+002, 0.0000000E+000,-2.2562712E+001,-8.5929787E+001,-2.4090852E-001,-6.0500308E-003, 0.0000000E+000, 0.0000000E+000,-6.7051346E+000,-6.8653581E+000, 0.0000000E+000, 3.7499894E-003, 0.0000000E+000
 3.5125668E+000, 1.0187900E+002, 0.0000000E+000,-2.2544420E+001,-8.1619955E+001,-2.4988790E-001,-6.0671299E-003, 0.0000000E+000, 0.0000000E+000,-3.0193886E+000,-2.5413251E+000, 0.0000000E+000, 3.7499929E-003, 0.0000000E+000
 3.6135764E+000, 1.0196174E+002, 0.0000000E+000,-2.2606556E+001,-8.0084668E+001,-2.3908396E-001,-6.0609807E-003, 0.0000000E+000, 0.0000000E+000,-4.8057355E-001,-9.7462800E-001, 0.0000000E+000, 3.7499953E-003, 0.0000000E+000
