s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.0306330E-001, 2.0000000E+001
 2.0612660E-001, 1.9999999E+001
 3.0918990E-001, 1.9999981E+001
 4.1225320E-001, 2.0000011E+001
 4.5891930E-001, 1.9999982E+001
 5.0558540E-001, 1.9999981E+001
 5.5691810E-001, 2.0006990E+001
 6.1338408E-001, 2.0014706E+001
 6.6818516E-001, 2.0022229E+001
 7.2298624E-001, 2.0034245E+001
 7.7778732E-001, 2.0046319E+001
 8.1976230E-001, 2.0055618E+001
 8.6173729E-001, 2.0070348E+001
 9.0371227E-001, 2.0085203E+001
 9.3749516E-001, 2.0097277E+001
 9.7127805E-001, 2.0111373E+001
 9.9808243E-001, 2.0122698E+001
 1.0248868E+000, 2.0134173E+001
 1.0470011E+000, 2.0148235E+001
 1.0691153E+000, 2.0162497E+001
 1.0877589E+000, 2.0174702E+001
 1.1064025E+000, 2.0188840E+001
 1.1250461E+000, 2.0203230E+001
 1.1415872E+000, 2.0216203E+001
 1.1581282E+000, 2.0232105E+001
 1.1746692E+000, 2.0248177E+001
 1.1912103E+000, 2.0263930E+001
 1.2077513E+000, 2.0281645E+001
 1.2242923E+000, 2.0299911E+001
 1.2408333E+000, 2.0319656E+001
 1.2573744E+000, 2.0352158E+001
 1.2739154E+000, 2.0514228E+001
 1.2904564E+000, 2.7928736E+001
 1.3069975E+000, 5.7779556E+001
 1.3235385E+000, 1.1323298E+002
 1.3400795E+000, 1.6068146E+002
 1.3566205E+000, 1.7505053E+002
 1.3731616E+000, 1.8582825E+002
 1.3897026E+000, 1.9715928E+002
 1.4062436E+000, 2.0985082E+002
 1.4209906E+000, 2.2623201E+002
 1.4357376E+000, 2.5057879E+002
 1.4504846E+000, 2.9267020E+002
 1.4634249E+000, 3.5382785E+002
 1.4763653E+000, 4.2622298E+002
 1.4893057E+000, 4.7184462E+002
 1.5022460E+000, 4.8331505E+002
 1.5151864E+000, 4.6834807E+002
 1.5281267E+000, 4.3637872E+002
 1.5410671E+000, 3.9158990E+002
 1.5540074E+000, 3.6313653E+002
 1.5669478E+000, 3.3992881E+002
 1.5912031E+000, 3.1947343E+002
 1.6251479E+000, 2.9310635E+002
 1.6590928E+000, 2.7506040E+002
 1.6817227E+000, 2.7082974E+002
 1.7156675E+000, 2.1296010E+002
 1.7405604E+000, 1.6935917E+002
 1.7778997E+000, 2.8073345E+002
 1.8027925E+000, 4.5652679E+002
 1.8401319E+000, 4.3911295E+002
 1.8650247E+000, 4.1693665E+002
 1.9023640E+000, 4.6016742E+002
 1.9272569E+000, 4.1325110E+002
 1.9521498E+000, 3.9746565E+002
 1.9894891E+000, 4.2303307E+002
 2.0143820E+000, 5.1252670E+002
 2.0517213E+000, 5.1128655E+002
 2.0766142E+000, 5.0087671E+002
 2.1015070E+000, 5.0865518E+002
 2.1388464E+000, 5.2893699E+002
 2.1637392E+000, 5.3602722E+002
 2.2010785E+000, 5.3696858E+002
 2.2259714E+000, 5.4967530E+002
 2.2508643E+000, 5.5627181E+002
 2.2882036E+000, 5.4118870E+002
 2.3130965E+000, 5.4670211E+002
 2.3504358E+000, 5.6433317E+002
 2.3753287E+000, 5.5272564E+002
 2.4002216E+000, 5.4141945E+002
 2.4375609E+000, 5.3970377E+002
 2.4624537E+000, 5.4346672E+002
