s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6538468E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6538468E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-9.4168033E-007,-4.2620927E-003, 0.0000000E+000,-1.3885419E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6515763E-003, 0.0000000E+000, 1.1357879E-003, 0.0000000E+000
 2.3119034E-001, 4.0117730E+001, 0.0000000E+000,-9.3712710E-007, 6.7562170E-001,-3.0788142E-010,-1.8545542E-003, 0.0000000E+000, 0.0000000E+000,-8.2202455E-003, 4.0791496E+001, 0.0000000E+000, 2.1601127E-003, 0.0000000E+000
 3.4678552E-001, 8.1480308E+001, 0.0000000E+000,-8.1940212E-001, 1.3393858E+000,-4.9543419E-002,-6.6787310E-003, 0.0000000E+000, 0.0000000E+000, 4.0389905E+001, 8.1944069E+001, 0.0000000E+000, 3.0013559E-003, 0.0000000E+000
 4.6238068E-001, 1.1877023E+002, 0.0000000E+000,-1.6218895E+001, 1.6184189E+000,-1.8094224E-001,-7.4570398E-003, 0.0000000E+000, 0.0000000E+000, 7.9488141E+001, 1.0398135E+002, 0.0000000E+000, 3.6407106E-003, 0.0000000E+000
 5.5696142E-001, 1.5227907E+002, 0.0000000E+000,-9.8123031E+001, 8.5464095E-001,-3.0893038E-001,-9.3368791E-003, 0.0000000E+000, 0.0000000E+000, 1.0150436E+002, 5.4692410E+001, 0.0000000E+000, 4.0272233E-003, 0.0000000E+000
 6.1874598E-001, 1.7190534E+002, 0.0000000E+000,-8.8746819E+001, 1.2843793E+000,-2.6616749E-001,-1.0209818E-002, 0.0000000E+000, 0.0000000E+000, 5.3907916E+001, 8.4166523E+001, 0.0000000E+000, 4.2236938E-003, 0.0000000E+000
 7.3131651E-001, 1.4784910E+002, 0.0000000E+000,-9.6511127E+001, 8.7323646E-001,-2.6292354E-001,-1.1335052E-002, 0.0000000E+000, 0.0000000E+000, 6.0048994E+001, 5.1936951E+001, 0.0000000E+000, 4.4305770E-003, 0.0000000E+000
 8.3300328E-001, 1.4845157E+002, 0.0000000E+000,-5.4279082E+001, 1.5183609E+000,-2.2400226E-001,-1.2297342E-002, 0.0000000E+000, 0.0000000E+000, 7.2862013E+001, 9.5454545E+001, 0.0000000E+000, 4.6186535E-003, 0.0000000E+000
 9.0767503E-001, 2.2290860E+002, 0.0000000E+000,-9.2767592E+001, 2.1047720E+000,-2.2473843E-001,-1.2836124E-002, 0.0000000E+000, 0.0000000E+000, 1.1946075E+002, 1.3200821E+002, 0.0000000E+000, 4.7216950E-003, 0.0000000E+000
 1.0213608E+000, 2.5752604E+002, 0.0000000E+000,-1.1431974E+002, 2.3757876E+000,-2.2174594E-001,-1.3176768E-002, 0.0000000E+000, 0.0000000E+000, 1.4170847E+002, 1.4534717E+002, 0.0000000E+000, 4.8031866E-003, 0.0000000E+000
 1.1087484E+000, 2.6362891E+002, 0.0000000E+000,-1.0500862E+002, 2.6956661E+000,-1.9264919E-001,-1.3344261E-002, 0.0000000E+000, 0.0000000E+000, 1.5751761E+002, 1.6110997E+002, 0.0000000E+000, 4.8661248E-003, 0.0000000E+000
 1.2029855E+000, 2.5144226E+002, 0.0000000E+000,-7.9497442E+001, 2.9015631E+000,-1.8079066E-001,-1.3032573E-002, 0.0000000E+000, 0.0000000E+000, 1.7327516E+002, 1.7465256E+002, 0.0000000E+000, 4.9052498E-003, 0.0000000E+000
 1.3055489E+000, 2.3313995E+002, 0.0000000E+000,-7.6513982E+001, 2.6057404E+000,-2.1621618E-001,-1.2928906E-002, 0.0000000E+000, 0.0000000E+000, 1.6184891E+002, 1.5900256E+002, 0.0000000E+000, 4.9356534E-003, 0.0000000E+000
 1.4110427E+000, 2.2043072E+002, 0.0000000E+000,-7.4621348E+001, 2.4085385E+000,-2.2102296E-001,-1.3053679E-002, 0.0000000E+000, 0.0000000E+000, 1.4855056E+002, 1.4798383E+002, 0.0000000E+000, 4.9574781E-003, 0.0000000E+000
 1.5010660E+000, 2.2755001E+002, 0.0000000E+000,-7.9611700E+001, 2.4089351E+000,-2.1455978E-001,-1.2802548E-002, 0.0000000E+000, 0.0000000E+000, 1.5035646E+002, 1.5011988E+002, 0.0000000E+000, 4.9712671E-003, 0.0000000E+000
 1.6004133E+000, 2.1942347E+002, 0.0000000E+000,-7.8021755E+001, 2.2832936E+000,-2.3215548E-001,-1.2694443E-002, 0.0000000E+000, 0.0000000E+000, 1.4387827E+002, 1.4344016E+002, 0.0000000E+000, 4.9801776E-003, 0.0000000E+000
 1.7065990E+000, 2.2495452E+002, 0.0000000E+000,-7.3216627E+001,-6.0235910E+000,-2.4768406E-001,-1.2952437E-002, 0.0000000E+000, 0.0000000E+000, 1.4622605E+002, 1.4545366E+002, 0.0000000E+000, 4.9867892E-003, 0.0000000E+000
 1.8002470E+000, 2.3311699E+002, 0.0000000E+000,-6.8361906E+001,-1.3074665E+002,-2.5723392E-001,-1.3219731E-002, 0.0000000E+000, 0.0000000E+000, 3.9950051E+001, 3.3737977E+001, 0.0000000E+000, 4.9911702E-003, 0.0000000E+000
 1.9007471E+000, 2.3582011E+002, 0.0000000E+000,-6.5269654E+001,-1.8205431E+002,-2.6074663E-001,-1.3346240E-002, 0.0000000E+000, 0.0000000E+000,-1.2191301E+001,-1.1777943E+001, 0.0000000E+000, 4.9940151E-003, 0.0000000E+000
 2.0012472E+000, 2.3940797E+002, 0.0000000E+000,-6.8496612E+001,-1.6105050E+002,-3.0407826E-001,-1.3386243E-002, 0.0000000E+000, 0.0000000E+000, 8.9054762E+000, 9.5433914E+000, 0.0000000E+000, 4.9959954E-003, 0.0000000E+000
 2.1050181E+000, 2.3126971E+002, 0.0000000E+000,-6.7856641E+001,-1.7422300E+002,-3.0993762E-001,-1.3392837E-002, 0.0000000E+000, 0.0000000E+000,-8.3742258E+000,-1.1133262E+001, 0.0000000E+000, 4.9973318E-003, 0.0000000E+000
 2.2061341E+000, 2.2673285E+002, 0.0000000E+000,-6.5589259E+001,-1.8842963E+002,-3.0906404E-001,-1.3405360E-002, 0.0000000E+000, 0.0000000E+000,-2.6508898E+001,-2.7608512E+001, 0.0000000E+000, 4.9982280E-003, 0.0000000E+000
 2.3072500E+000, 2.2869886E+002, 0.0000000E+000,-6.4680467E+001,-2.1031518E+002,-2.9331342E-001,-1.3422280E-002, 0.0000000E+000, 0.0000000E+000,-4.6790234E+001,-4.6603520E+001, 0.0000000E+000, 4.9988174E-003, 0.0000000E+000
 2.4019392E+000, 2.3077816E+002, 0.0000000E+000,-6.4403259E+001,-2.0955304E+002,-3.0921716E-001,-1.3426556E-002, 0.0000000E+000, 0.0000000E+000,-4.3312625E+001,-4.3500789E+001, 0.0000000E+000, 4.9992003E-003, 0.0000000E+000
 2.5014367E+000, 2.3039969E+002, 0.0000000E+000,-6.2920213E+001,-2.0543680E+002,-3.3120410E-001,-1.3389536E-002, 0.0000000E+000, 0.0000000E+000,-3.8840546E+001,-3.8301923E+001, 0.0000000E+000, 4.9994566E-003, 0.0000000E+000
 2.6009340E+000, 2.2889524E+002, 0.0000000E+000,-6.1481402E+001,-2.0744713E+002,-4.0804264E-001,-1.3299041E-002, 0.0000000E+000, 0.0000000E+000,-3.9456670E+001,-4.0454634E+001, 0.0000000E+000, 4.9996350E-003, 0.0000000E+000
