s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 1.9999991E+001
 4.6238068E-001, 2.0000110E+001
 5.5702845E-001, 2.0000203E+001
 6.1868746E-001, 2.0000276E+001
 6.7496354E-001, 2.0008449E+001
 7.3123962E-001, 2.0016635E+001
 7.8751570E-001, 2.0024831E+001
 8.3266882E-001, 2.0035137E+001
 8.6981276E-001, 2.0043665E+001
 9.0695670E-001, 2.0052256E+001
 9.3967948E-001, 2.0067503E+001
 9.6786642E-001, 2.0080747E+001
 9.9605336E-001, 2.0094135E+001
 1.0214214E+000, 2.0109675E+001
 1.0467894E+000, 2.0125449E+001
 1.0674595E+000, 2.0138521E+001
 1.0881295E+000, 2.0159284E+001
 1.1087996E+000, 2.0180373E+001
 1.1256816E+000, 2.0197814E+001
 1.1425636E+000, 2.0219401E+001
 1.1594456E+000, 2.0241148E+001
 1.1741656E+000, 2.0259865E+001
 1.1888856E+000, 2.0282612E+001
 1.2036057E+000, 2.0305723E+001
 1.2183257E+000, 2.0329576E+001
 1.2330457E+000, 2.0356593E+001
 1.2477657E+000, 2.0386457E+001
 1.2624857E+000, 2.0453826E+001
 1.2772057E+000, 2.0701235E+001
 1.2919257E+000, 3.0987094E+001
 1.3066458E+000, 6.9597813E+001
 1.3213658E+000, 1.3631359E+002
 1.3360858E+000, 2.0338078E+002
 1.3508058E+000, 2.3311248E+002
 1.3655258E+000, 2.4746144E+002
 1.3802458E+000, 2.5278308E+002
 1.3949658E+000, 2.5492186E+002
 1.4096859E+000, 2.5440667E+002
 1.4244059E+000, 2.5960793E+002
 1.4391259E+000, 2.8781518E+002
 1.4538459E+000, 3.5048705E+002
 1.4685659E+000, 4.4341945E+002
 1.4832859E+000, 5.3996303E+002
 1.4964367E+000, 6.1402870E+002
 1.5095876E+000, 6.8297287E+002
 1.5227384E+000, 7.1180818E+002
 1.5358892E+000, 7.0788418E+002
 1.5476393E+000, 6.7982234E+002
 1.5593894E+000, 6.2878068E+002
 1.5711395E+000, 5.7205414E+002
 1.5946397E+000, 4.8054561E+002
 1.6274020E+000, 3.6216876E+002
 1.6589204E+000, 2.7967062E+002
 1.6904388E+000, 2.9884331E+002
 1.7114511E+000, 3.8936704E+002
 1.7461213E+000, 4.5640302E+002
 1.7807916E+000, 5.4754519E+002
 1.8050607E+000, 5.7777103E+002
 1.8304856E+000, 5.7230718E+002
 1.8686229E+000, 5.3635719E+002
 1.8940477E+000, 6.2203663E+002
 1.9321850E+000, 7.4932422E+002
 1.9576098E+000, 7.7890061E+002
 1.9830347E+000, 7.6349772E+002
 2.0211719E+000, 7.6181763E+002
 2.0465968E+000, 7.6575913E+002
 2.0801086E+000, 6.9382067E+002
 2.1024497E+000, 6.5086425E+002
 2.1359615E+000, 6.9029484E+002
 2.1694733E+000, 6.8929530E+002
 2.1918145E+000, 6.4725684E+002
 2.2253263E+000, 6.5210081E+002
 2.2548805E+000, 6.9287786E+002
 2.2854199E+000, 6.7606751E+002
 2.3179295E+000, 6.6687010E+002
 2.3504391E+000, 7.2945685E+002
 2.3721122E+000, 7.6704924E+002
 2.4046219E+000, 7.6714616E+002
 2.4371315E+000, 7.9532777E+002
 2.4696412E+000, 8.5388469E+002
