s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 1.9999991E+001
 4.6238068E-001, 2.0000110E+001
 5.5702802E-001, 2.0000203E+001
 6.1868650E-001, 2.0000276E+001
 6.7496272E-001, 2.0008449E+001
 7.3123893E-001, 2.0016635E+001
 7.8751515E-001, 2.0024830E+001
 8.3266527E-001, 2.0035134E+001
 8.6980824E-001, 2.0043661E+001
 9.0695121E-001, 2.0052251E+001
 9.3967441E-001, 2.0067497E+001
 9.6786919E-001, 2.0080743E+001
 9.9606397E-001, 2.0094134E+001
 1.0214299E+000, 2.0109672E+001
 1.0467958E+000, 2.0125445E+001
 1.0674644E+000, 2.0138515E+001
 1.0881330E+000, 2.0159276E+001
 1.1088015E+000, 2.0180362E+001
 1.1256817E+000, 2.0197801E+001
 1.1425618E+000, 2.0219379E+001
 1.1594420E+000, 2.0241117E+001
 1.1741615E+000, 2.0259827E+001
 1.1888810E+000, 2.0282564E+001
 1.2036005E+000, 2.0305665E+001
 1.2183200E+000, 2.0329508E+001
 1.2330395E+000, 2.0356516E+001
 1.2477590E+000, 2.0386371E+001
 1.2624785E+000, 2.0453732E+001
 1.2771980E+000, 2.0701180E+001
 1.2919175E+000, 3.0983981E+001
 1.3066370E+000, 6.9579502E+001
 1.3213565E+000, 1.3628266E+002
 1.3360760E+000, 2.0335563E+002
 1.3507955E+000, 2.3309739E+002
 1.3655150E+000, 2.4745834E+002
 1.3802345E+000, 2.5278664E+002
 1.3949540E+000, 2.5492467E+002
 1.4096735E+000, 2.5440637E+002
 1.4243930E+000, 2.5961406E+002
 1.4391125E+000, 2.8782343E+002
 1.4538320E+000, 3.5049542E+002
 1.4685515E+000, 4.4340645E+002
 1.4832710E+000, 5.3992827E+002
 1.4964275E+000, 6.1411149E+002
 1.5095841E+000, 6.8296880E+002
 1.5227407E+000, 7.1173905E+002
 1.5358972E+000, 7.0767240E+002
 1.5476485E+000, 6.7981479E+002
 1.5593998E+000, 6.2881048E+002
 1.5711511E+000, 5.7188316E+002
 1.5946537E+000, 4.8039931E+002
 1.6274191E+000, 3.6211488E+002
 1.6589401E+000, 2.7964444E+002
 1.6904611E+000, 2.9892945E+002
 1.7114751E+000, 3.8923773E+002
 1.7461482E+000, 4.5619151E+002
 1.7808214E+000, 5.4737554E+002
 1.8050926E+000, 5.7741548E+002
 1.8305195E+000, 5.7180376E+002
 1.8686599E+000, 5.3556463E+002
 1.8940869E+000, 6.2154713E+002
 1.9322273E+000, 7.4872891E+002
 1.9576543E+000, 7.7836472E+002
 1.9830813E+000, 7.6267507E+002
 2.0212217E+000, 7.6097908E+002
 2.0466486E+000, 7.6466504E+002
 2.0801819E+000, 6.9262803E+002
 2.1025373E+000, 6.5024890E+002
 2.1360706E+000, 6.9088770E+002
 2.1696038E+000, 6.8864382E+002
 2.1919593E+000, 6.4572066E+002
 2.2254925E+000, 6.5036238E+002
 2.2550312E+000, 6.9153958E+002
 2.2855545E+000, 6.7415837E+002
 2.3180471E+000, 6.6420277E+002
 2.3505397E+000, 7.2676740E+002
 2.3722014E+000, 7.6557441E+002
 2.4046940E+000, 7.6495751E+002
 2.4371866E+000, 7.9237162E+002
 2.4696791E+000, 8.5106309E+002
