s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000099E+001
 3.4678551E-001, 2.0000208E+001
 4.4072488E-001, 2.0000394E+001
 5.3466425E-001, 2.0000600E+001
 6.1352937E-001, 2.0000799E+001
 6.9239449E-001, 2.0008760E+001
 7.5151978E-001, 2.0014206E+001
 8.1064507E-001, 2.0019166E+001
 8.5886912E-001, 2.0027658E+001
 9.0709317E-001, 2.0035501E+001
 9.4757023E-001, 2.0041602E+001
 9.8804730E-001, 2.0056218E+001
 1.0244272E+000, 2.0068948E+001
 1.0608071E+000, 2.0081348E+001
 1.0915565E+000, 2.0095789E+001
 1.1223060E+000, 2.0110015E+001
 1.1462968E+000, 2.0120977E+001
 1.1702875E+000, 2.0138858E+001
 1.1899316E+000, 2.0153325E+001
 1.2095757E+000, 2.0167665E+001
 1.2292198E+000, 2.0181798E+001
 1.2488639E+000, 2.0195838E+001
 1.2685080E+000, 2.0209818E+001
 1.2881521E+000, 2.0225133E+001
 1.3055574E+000, 2.0238690E+001
 1.3229626E+000, 2.0252274E+001
 1.3403679E+000, 2.0268042E+001
 1.3577732E+000, 2.0283884E+001
 1.3751785E+000, 2.0299852E+001
 1.3925838E+000, 2.0316343E+001
 1.4099891E+000, 2.0333078E+001
 1.4273944E+000, 2.0350247E+001
 1.4447997E+000, 2.0366976E+001
 1.4622049E+000, 2.0384609E+001
 1.4796102E+000, 2.0405542E+001
 1.4970155E+000, 2.0435256E+001
 1.5161613E+000, 2.0488004E+001
 1.5353071E+000, 2.0593279E+001
 1.5544530E+000, 2.0810729E+001
 1.5735988E+000, 2.1388575E+001
 1.5927446E+000, 2.2675489E+001
 1.6118904E+000, 2.4773072E+001
 1.6310362E+000, 2.8020863E+001
 1.6501820E+000, 3.2414739E+001
 1.6660776E+000, 3.6667919E+001
 1.6819731E+000, 4.1159583E+001
 1.6978686E+000, 4.5531919E+001
 1.7137642E+000, 4.9266300E+001
 1.7296597E+000, 5.1883127E+001
 1.7455552E+000, 5.3250128E+001
 1.7614507E+000, 5.3542363E+001
 1.7773463E+000, 5.2859803E+001
 1.7932418E+000, 5.1180524E+001
 1.8091373E+000, 4.8727117E+001
 1.8250329E+000, 4.6138889E+001
 1.8409284E+000, 4.3580496E+001
 1.8568239E+000, 4.1089984E+001
 1.8727194E+000, 3.8827251E+001
 1.8886150E+000, 3.6871175E+001
 1.9045105E+000, 3.5165000E+001
 1.9204060E+000, 3.3655599E+001
 1.9363015E+000, 3.2295818E+001
 1.9521971E+000, 3.1058836E+001
 1.9680926E+000, 2.9937147E+001
 1.9839881E+000, 2.8926152E+001
 2.0157792E+000, 2.7608070E+001
 2.0475702E+000, 2.6135460E+001
 2.0793613E+000, 2.4931063E+001
 2.1111524E+000, 2.3946062E+001
 2.1429434E+000, 2.3161583E+001
 2.1747345E+000, 2.2551830E+001
 2.1906300E+000, 2.2184928E+001
 2.2224210E+000, 2.1885737E+001
 2.2558017E+000, 2.1545850E+001
 2.2907718E+000, 2.1262866E+001
 2.3257420E+000, 2.1039802E+001
 2.3432271E+000, 2.0908137E+001
 2.3781972E+000, 2.0807864E+001
 2.4131674E+000, 2.0707679E+001
 2.4306525E+000, 2.0654453E+001
 2.4656226E+000, 2.0617966E+001
