s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6538468E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6538468E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-9.4168033E-007,-4.5487756E-003, 0.0000000E+000,-1.4215260E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9712433E-003, 0.0000000E+000, 9.0863030E-004, 0.0000000E+000
 2.3119034E-001, 3.0981383E+001, 0.0000000E+000,-6.0627011E-006, 5.1963472E-001,-7.4495667E-006,-2.0735131E-003, 0.0000000E+000, 0.0000000E+000, 1.3105305E-002, 3.1498931E+001,-9.9024657E-001, 1.7280902E-003, 0.0000000E+000
 3.4678552E-001, 6.2581520E+001, 0.0000000E+000,-5.6456567E-001, 1.0299913E+000,-3.6637620E-002,-5.3733599E-003, 0.0000000E+000, 0.0000000E+000, 3.1343496E+001, 6.3004935E+001,-1.9546047E+000, 2.4010848E-003, 0.0000000E+000
 4.4072488E-001, 9.0607462E+001, 0.0000000E+000,-5.8514248E+000, 1.3668749E+000,-1.2118492E-001,-6.5232646E-003, 0.0000000E+000, 0.0000000E+000, 6.2215908E+001, 8.5995204E+001,-2.8698248E+000, 2.8285795E-003, 0.0000000E+000
 5.3466427E-001, 1.0921185E+002, 0.0000000E+000,-4.6122152E+001, 9.8860805E-001,-2.4086156E-001,-7.1991495E-003, 0.0000000E+000, 0.0000000E+000, 8.4276588E+001, 6.3830250E+001,-3.5644154E+000, 3.1568324E-003, 0.0000000E+000
 6.1352938E-001, 1.2781563E+002, 0.0000000E+000,-7.8033685E+001, 7.8169450E-001,-2.6101074E-001,-7.9518628E-003, 0.0000000E+000, 0.0000000E+000, 6.2960700E+001, 5.0294679E+001,-4.2071174E+000, 3.3668963E-003, 0.0000000E+000
 7.5151980E-001, 1.2252695E+002, 0.0000000E+000,-8.0152934E+001, 6.6858555E-001,-2.4754490E-001,-8.7655321E-003, 0.0000000E+000, 0.0000000E+000, 4.5813638E+001, 4.2786295E+001,-4.8983893E+000, 3.5686562E-003,-7.9052044E-026
 8.1064504E-001, 1.2742999E+002, 0.0000000E+000,-7.2763029E+001, 8.6166779E-001,-2.5153464E-001,-9.3967501E-003, 0.0000000E+000, 0.0000000E+000, 4.6068757E+001, 5.5267701E+001,-5.4729355E+000, 3.6992446E-003,-1.3536981E-024
 9.0709317E-001, 1.4086647E+002, 0.0000000E+000,-6.8846929E+001, 1.1279475E+000,-2.5433617E-001,-9.7596537E-003, 0.0000000E+000, 0.0000000E+000, 6.2439022E+001, 7.2883389E+001,-5.8751987E+000, 3.7716913E-003,-1.6877229E-023
 1.0244272E+000, 1.6854306E+002, 0.0000000E+000,-8.0029355E+001, 1.3757971E+000,-2.6586149E-001,-1.0064170E-002, 0.0000000E+000, 0.0000000E+000, 8.2329132E+001, 8.9613576E+001,-6.3472025E+000, 3.8464841E-003,-1.8197113E-022
 1.1223060E+000, 2.0370941E+002, 0.0000000E+000,-9.9028931E+001, 1.5975898E+000,-2.6698069E-001,-1.0351773E-002, 0.0000000E+000, 0.0000000E+000, 1.0259125E+002, 1.0600073E+002,-6.7478047E+000, 3.8984773E-003,-9.1543043E-022
 1.2095757E+000, 2.0994409E+002, 0.0000000E+000,-9.9346929E+001, 1.6376798E+000,-2.5739185E-001,-1.0559575E-002, 0.0000000E+000, 0.0000000E+000, 1.1069249E+002, 1.1196689E+002,-7.0482005E+000, 3.9281456E-003,-2.8692493E-021
 1.3055574E+000, 1.9070478E+002, 0.0000000E+000,-7.8403611E+001, 1.5201338E+000,-2.6741852E-001,-1.0546101E-002, 0.0000000E+000, 0.0000000E+000, 1.1336947E+002, 1.1354334E+002,-7.2914507E+000, 3.9497083E-003,-7.2068058E-021
 1.4099891E+000, 1.7744780E+002, 0.0000000E+000,-6.9426178E+001, 1.2450350E+000,-3.2601070E-001,-1.0353832E-002, 0.0000000E+000, 0.0000000E+000, 1.1029604E+002, 1.0893029E+002,-7.5156233E+000, 3.9660787E-003,-5.3537760E-019
 1.5161613E+000, 1.7434778E+002, 0.0000000E+000,-7.1406574E+001, 9.2450694E-001,-3.8362444E-001,-1.0087835E-002, 0.0000000E+000, 0.0000000E+000, 1.0339554E+002, 1.0347200E+002,-7.7103397E+000, 3.9777125E-003,-5.0671327E-016
 1.6118904E+000, 1.8171933E+002, 0.0000000E+000,-7.5915087E+001, 7.6133242E-001,-3.9843304E-001,-1.0147070E-002, 0.0000000E+000, 0.0000000E+000, 1.0619417E+002, 1.0615699E+002,-7.8648804E+000, 3.9851681E-003,-6.4941406E-013
 1.7137642E+000, 1.7310405E+002, 0.0000000E+000,-7.1243176E+001, 4.8131050E-001,-3.9601947E-001,-1.0298866E-002, 0.0000000E+000, 0.0000000E+000, 1.0315367E+002, 1.0193586E+002,-7.9925739E+000, 3.9899580E-003,-1.8455229E-009
 1.8091373E+000, 1.6944038E+002, 0.0000000E+000,-7.2403775E+001, 1.8010805E-001,-4.2720310E-001,-1.0435211E-002, 0.0000000E+000, 0.0000000E+000, 9.7308546E+001, 9.6779073E+001,-8.0982798E+000, 3.9932144E-003,-4.5643318E-006
 1.9045105E+000, 1.7407155E+002, 0.0000000E+000,-7.3041764E+001,-4.5436254E-001,-4.7734503E-001,-1.0494183E-002, 0.0000000E+000, 0.0000000E+000, 9.9442081E+001, 1.0008759E+002,-8.1811141E+000, 3.9953364E-003,-4.8497171E-004
 2.0157793E+000, 1.8059719E+002, 0.0000000E+000,-7.2449741E+001,-4.6923660E+000,-5.1407046E-001,-1.0568340E-002, 0.0000000E+000, 0.0000000E+000, 1.0185296E+002, 1.0293044E+002,-8.2419910E+000, 3.9968109E-003,-4.0268827E-003
 2.1111524E+000, 1.8294548E+002, 0.0000000E+000,-6.8148022E+001,-2.1385355E+001,-5.3001124E-001,-1.0668494E-002, 0.0000000E+000, 0.0000000E+000, 9.5436284E+001, 9.2871420E+001,-8.2640932E+000, 3.9977530E-003,-1.2657254E-002
 2.2065256E+000, 1.7696115E+002, 0.0000000E+000,-6.3225986E+001,-6.4682049E+001,-5.5158213E-001,-1.0621107E-002, 0.0000000E+000, 0.0000000E+000, 5.1635448E+001, 4.8490912E+001,-8.2565826E+000, 3.9983748E-003,-2.3976277E-002
