s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 2.0000009E+001
 4.6238068E-001, 2.0000002E+001
 5.5602757E-001, 1.9999992E+001
 6.1780816E-001, 1.9999990E+001
 6.7344054E-001, 2.0000651E+001
 7.2907293E-001, 2.0001320E+001
 7.8470531E-001, 2.0001990E+001
 8.2594411E-001, 2.0005072E+001
 8.6718291E-001, 2.0008163E+001
 9.0115579E-001, 2.0010717E+001
 9.3512868E-001, 2.0016056E+001
 9.6381276E-001, 2.0020573E+001
 9.8914574E-001, 2.0024570E+001
 1.0144787E+000, 2.0028957E+001
 1.0370930E+000, 2.0032882E+001
 1.0597074E+000, 2.0036815E+001
 1.0783215E+000, 2.0040248E+001
 1.0969356E+000, 2.0043688E+001
 1.1155498E+000, 2.0047136E+001
 1.1312758E+000, 2.0050228E+001
 1.1470018E+000, 2.0053326E+001
 1.1627278E+000, 2.0056429E+001
 1.1784538E+000, 2.0060485E+001
 1.1941798E+000, 2.0064548E+001
 1.2099058E+000, 2.0068620E+001
 1.2256319E+000, 2.0072868E+001
 1.2413579E+000, 2.0077123E+001
 1.2570839E+000, 2.0081386E+001
 1.2728099E+000, 2.0085908E+001
 1.2885359E+000, 2.0090436E+001
 1.3042619E+000, 2.0094969E+001
 1.3199879E+000, 2.0099658E+001
 1.3357139E+000, 2.0104349E+001
 1.3514399E+000, 2.0109040E+001
 1.3671659E+000, 2.0113717E+001
 1.3828920E+000, 2.0118390E+001
 1.3986180E+000, 2.0123058E+001
 1.4143440E+000, 2.0127540E+001
 1.4300700E+000, 2.0132012E+001
 1.4457960E+000, 2.0136472E+001
 1.4596363E+000, 2.0140485E+001
 1.4734765E+000, 2.0144485E+001
 1.4873168E+000, 2.0148468E+001
 1.5011571E+000, 2.0152992E+001
 1.5135129E+000, 2.0157011E+001
 1.5258687E+000, 2.0161012E+001
 1.5382245E+000, 2.0165301E+001
 1.5505803E+000, 2.0169567E+001
 1.5629361E+000, 2.0173807E+001
 1.5752919E+000, 2.0177999E+001
 1.6000035E+000, 2.0184225E+001
 1.6211959E+000, 2.0191358E+001
 1.6529846E+000, 2.0199450E+001
 1.6847732E+000, 2.0208118E+001
 1.7165619E+000, 2.0215405E+001
 1.7483505E+000, 2.0221874E+001
 1.7716622E+000, 2.0227370E+001
 1.8066297E+000, 2.0232925E+001
 1.8415972E+000, 2.0239633E+001
 1.8649089E+000, 2.0245414E+001
 1.8998764E+000, 2.0251342E+001
 1.9231880E+000, 2.0257128E+001
 1.9581555E+000, 2.0262665E+001
 1.9814672E+000, 2.0267979E+001
 2.0164347E+000, 2.0273162E+001
 2.0496461E+000, 2.0279108E+001
 2.0793453E+000, 2.0284377E+001
 2.1090445E+000, 2.0289415E+001
 2.1387437E+000, 2.0294325E+001
 2.1704228E+000, 2.0299179E+001
 2.1922022E+000, 2.0303163E+001
 2.2248713E+000, 2.0307069E+001
 2.2575404E+000, 2.0311677E+001
 2.2804088E+000, 2.0315562E+001
 2.3163448E+000, 2.0319638E+001
 2.3403022E+000, 2.0323762E+001
 2.3762382E+000, 2.0327926E+001
 2.4001955E+000, 2.0332130E+001
 2.4361316E+000, 2.0336361E+001
 2.4600889E+000, 2.0340648E+001
