s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 2.0000003E+001
 4.6238068E-001, 2.0000007E+001
 5.4098509E-001, 2.0000009E+001
 6.0004327E-001, 2.0000017E+001
 6.5367466E-001, 2.0000309E+001
 7.0730605E-001, 2.0000601E+001
 7.5478430E-001, 2.0000858E+001
 8.0226256E-001, 2.0003818E+001
 8.3962140E-001, 2.0006149E+001
 8.7698024E-001, 2.0008484E+001
 9.0458125E-001, 2.0014767E+001
 9.2826031E-001, 2.0020168E+001
 9.5193938E-001, 2.0025583E+001
 9.7561844E-001, 2.0035291E+001
 9.9634262E-001, 2.0043810E+001
 1.0170668E+000, 2.0052358E+001
 1.0350523E+000, 2.0060211E+001
 1.0530377E+000, 2.0068095E+001
 1.0710232E+000, 2.0076013E+001
 1.0866319E+000, 2.0083491E+001
 1.1022406E+000, 2.0091004E+001
 1.1178493E+000, 2.0098554E+001
 1.1334580E+000, 2.0108126E+001
 1.1490667E+000, 2.0117749E+001
 1.1627645E+000, 2.0126237E+001
 1.1764623E+000, 2.0134708E+001
 1.1901601E+000, 2.0143229E+001
 1.2038579E+000, 2.0151806E+001
 1.2175557E+000, 2.0159866E+001
 1.2312535E+000, 2.0167990E+001
 1.2449513E+000, 2.0176187E+001
 1.2586492E+000, 2.0184563E+001
 1.2723470E+000, 2.0192996E+001
 1.2874146E+000, 2.0202300E+001
 1.3024822E+000, 2.0211718E+001
 1.3175497E+000, 2.0220861E+001
 1.3326173E+000, 2.0229848E+001
 1.3476849E+000, 2.0239494E+001
 1.3627525E+000, 2.0249242E+001
 1.3778201E+000, 2.0259202E+001
 1.3912341E+000, 2.0268039E+001
 1.4046481E+000, 2.0276931E+001
 1.4180620E+000, 2.0287137E+001
 1.4314760E+000, 2.0299443E+001
 1.4448900E+000, 2.0314303E+001
 1.4583040E+000, 2.0331609E+001
 1.4717179E+000, 2.0351855E+001
 1.5119599E+000, 2.0397876E+001
 1.5387878E+000, 2.0548434E+001
 1.5622921E+000, 2.0884358E+001
 1.5975485E+000, 2.1374608E+001
 1.6210527E+000, 2.1807995E+001
 1.6563091E+000, 2.2111056E+001
 1.6915655E+000, 2.2344813E+001
 1.7150698E+000, 2.2514244E+001
 1.7526766E+000, 2.2682258E+001
 1.7785313E+000, 2.2830191E+001
 1.8015840E+000, 2.2891420E+001
 1.8344091E+000, 2.2861872E+001
 1.8637259E+000, 2.2750711E+001
 1.8930427E+000, 2.2594289E+001
 1.9223596E+000, 2.2398745E+001
 1.9516764E+000, 2.2180412E+001
 1.9809933E+000, 2.1960786E+001
 2.0103101E+000, 2.1754200E+001
 2.0493993E+000, 2.1539033E+001
 2.0796933E+000, 2.1350695E+001
 2.1011923E+000, 2.1232355E+001
 2.1334409E+000, 2.1132849E+001
 2.1678393E+000, 2.1033685E+001
 2.1914882E+000, 2.0966890E+001
 2.2242213E+000, 2.0919320E+001
 2.2555842E+000, 2.0880181E+001
 2.2869472E+000, 2.0855198E+001
 2.3183101E+000, 2.0840589E+001
 2.3496730E+000, 2.0834052E+001
 2.3705817E+000, 2.0833622E+001
 2.4019446E+000, 2.0836623E+001
 2.4353984E+000, 2.0843134E+001
 2.4698976E+000, 2.0852218E+001
