s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-6.0797955E-004, 0.0000000E+000,-1.4252780E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0340800E-003, 0.0000000E+000, 1.0222091E-003, 0.0000000E+000
 2.3119034E-001, 3.9384878E+001, 0.0000000E+000,-8.1441452E-007, 6.6852644E-001, 2.6967316E-010,-1.7750439E-003, 0.0000000E+000, 0.0000000E+000,-2.9852794E-003, 4.0051628E+001, 0.0000000E+000, 1.9441014E-003, 0.0000000E+000
 3.4678552E-001, 8.0076228E+001, 0.0000000E+000,-1.1328780E+000, 1.3203844E+000,-5.1536447E-002,-9.8088842E-003, 0.0000000E+000, 0.0000000E+000, 3.9537268E+001, 8.0202390E+001, 0.0000000E+000, 2.7012203E-003, 0.0000000E+000
 4.6238068E-001, 1.1666285E+002, 0.0000000E+000,-2.2819377E+001, 1.4830285E+000,-1.8363867E-001,-9.1818709E-003, 0.0000000E+000, 0.0000000E+000, 7.7891374E+001, 9.5133677E+001, 0.0000000E+000, 3.2766395E-003, 0.0000000E+000
 5.3715920E-001, 1.5235093E+002, 0.0000000E+000,-7.6638724E+001, 1.1805374E+000,-2.7005192E-001,-1.4730236E-002, 0.0000000E+000, 0.0000000E+000, 9.3559357E+001, 7.6607966E+001, 0.0000000E+000, 3.5598718E-003, 0.0000000E+000
 6.4602327E-001, 1.4500755E+002, 0.0000000E+000,-8.3484875E+001, 1.0125085E+000,-2.4714445E-001,-1.7250564E-002, 0.0000000E+000, 0.0000000E+000, 6.8039716E+001, 6.2270784E+001, 0.0000000E+000, 3.7985689E-003, 0.0000000E+000
 7.4550110E-001, 1.4401996E+002, 0.0000000E+000,-6.6140625E+001, 1.2833081E+000,-2.1814067E-001,-1.9463744E-002, 0.0000000E+000, 0.0000000E+000, 6.9050945E+001, 7.8925042E+001, 0.0000000E+000, 4.0211572E-003, 0.0000000E+000
 8.2831788E-001, 1.7180867E+002, 0.0000000E+000,-6.0309188E+001, 1.8091817E+000,-2.0580422E-001,-2.0779902E-002, 0.0000000E+000, 0.0000000E+000, 9.1743499E+001, 1.1308208E+002, 0.0000000E+000, 4.1573992E-003, 0.0000000E+000
 9.0892893E-001, 2.5249388E+002, 0.0000000E+000,-8.9782644E+001, 2.6123819E+000,-1.9580473E-001,-2.1358225E-002, 0.0000000E+000, 0.0000000E+000, 1.4872663E+002, 1.6510646E+002, 0.0000000E+000, 4.2427318E-003, 0.0000000E+000
