s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0418055E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0418055E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-1.0287415E-006,-6.0908416E-003, 0.0000000E+000,-2.0461154E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1379858E-003, 0.0000000E+000, 1.6355345E-003, 0.0000000E+000
 2.3119034E-001, 5.7769691E+001, 0.0000000E+000,-1.0212717E-006, 9.7289732E-001,-1.9059995E-010,-2.6887029E-003, 0.0000000E+000, 0.0000000E+000,-1.1840933E-002, 5.8739898E+001, 0.0000000E+000, 3.1105623E-003, 0.0000000E+000
 3.4678552E-001, 1.1733318E+002, 0.0000000E+000,-1.1481048E+000, 1.9291263E+000,-7.1355684E-002,-9.6544523E-003, 0.0000000E+000, 0.0000000E+000, 5.8160307E+001, 1.1803319E+002, 0.0000000E+000, 4.3219526E-003, 0.0000000E+000
 4.6238068E-001, 1.7102998E+002, 0.0000000E+000,-2.3639104E+001, 2.3219581E+000,-2.6212088E-001,-1.0717291E-002, 0.0000000E+000, 0.0000000E+000, 1.1442671E+002, 1.4943999E+002, 0.0000000E+000, 5.2426232E-003, 0.0000000E+000
 5.5666929E-001, 2.1934155E+002, 0.0000000E+000,-1.4987100E+002, 1.0926063E+000,-4.5115880E-001,-1.3283959E-002, 0.0000000E+000, 0.0000000E+000, 1.4602609E+002, 7.0098715E+001, 0.0000000E+000, 5.7977233E-003, 0.0000000E+000
 6.2003291E-001, 2.4288615E+002, 0.0000000E+000,-1.3705845E+002, 1.6157509E+000,-3.8973316E-001,-1.4006530E-002, 0.0000000E+000, 0.0000000E+000, 6.9458745E+001, 1.0703971E+002, 0.0000000E+000, 6.0874153E-003, 0.0000000E+000
 7.3359102E-001, 1.9622529E+002, 0.0000000E+000,-1.4032935E+002, 9.5547300E-001,-3.8525936E-001,-1.5782787E-002, 0.0000000E+000, 0.0000000E+000, 7.0962311E+001, 5.6450362E+001, 0.0000000E+000, 6.3862001E-003, 0.0000000E+000
 8.3565438E-001, 1.8798583E+002, 0.0000000E+000,-6.7274362E+001, 1.9197967E+000,-3.2858745E-001,-1.7136657E-002, 0.0000000E+000, 0.0000000E+000, 8.7657297E+001, 1.2228554E+002, 0.0000000E+000, 6.6563172E-003, 0.0000000E+000
 9.0975726E-001, 2.9071791E+002, 0.0000000E+000,-1.2698466E+002, 2.6314176E+000,-3.4159859E-001,-1.8007721E-002, 0.0000000E+000, 0.0000000E+000, 1.5310009E+002, 1.6600506E+002, 0.0000000E+000, 6.8027078E-003, 0.0000000E+000
 1.0108069E+000, 3.1772613E+002, 0.0000000E+000,-1.3919062E+002, 2.9218152E+000,-3.5664706E-001,-1.8614971E-002, 0.0000000E+000, 0.0000000E+000, 1.6975564E+002, 1.8108206E+002, 0.0000000E+000, 6.9152775E-003, 0.0000000E+000
 1.1149194E+000, 3.8561378E+002, 0.0000000E+000,-1.6309973E+002, 3.7098018E+000,-3.3335150E-001,-1.8878967E-002, 0.0000000E+000, 0.0000000E+000, 2.1548500E+002, 2.2587162E+002, 0.0000000E+000, 7.0067324E-003, 0.0000000E+000
