s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1162126E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-8.2245074E-007,-2.2407587E-003, 0.0000000E+000,-5.2815577E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7697369E-003, 0.0000000E+000, 5.5653606E-004, 0.0000000E+000
 2.3119034E-001, 1.9656493E+001, 0.0000000E+000,-8.2039535E-007, 3.3025915E-001,-1.7892601E-009,-6.4934682E-004, 0.0000000E+000, 0.0000000E+000,-4.0268920E-003, 1.9986102E+001, 0.0000000E+000, 1.0584552E-003, 0.0000000E+000
 3.4678552E-001, 3.9923518E+001, 0.0000000E+000,-5.1461916E-001, 6.4752355E-001,-2.5665424E-002,-2.9938364E-003, 0.0000000E+000, 0.0000000E+000, 1.9509783E+001, 4.0027763E+001, 0.0000000E+000, 1.4706644E-003, 0.0000000E+000
 4.6238068E-001, 5.8197184E+001, 0.0000000E+000,-1.2793289E+001, 6.9755642E-001,-8.8050360E-002,-2.9559257E-003, 0.0000000E+000, 0.0000000E+000, 3.8709947E+001, 4.6010444E+001, 0.0000000E+000, 1.7839482E-003, 0.0000000E+000
 5.3335327E-001, 7.5666339E+001, 0.0000000E+000,-4.0831731E+001, 5.5464986E-001,-1.2060614E-001,-4.4636631E-003, 0.0000000E+000, 0.0000000E+000, 4.4621876E+001, 3.5264188E+001, 0.0000000E+000, 1.9311320E-003, 0.0000000E+000
 6.4297420E-001, 8.1836363E+001, 0.0000000E+000,-3.7653683E+001, 7.1802972E-001,-9.9256343E-002,-5.2780131E-003, 0.0000000E+000, 0.0000000E+000, 3.9058529E+001, 4.4796175E+001, 0.0000000E+000, 2.0637148E-003, 0.0000000E+000
 7.3757493E-001, 8.9574769E+001, 0.0000000E+000,-3.5124110E+001, 8.9871970E-001,-8.9439954E-002,-5.8578863E-003, 0.0000000E+000, 0.0000000E+000, 4.7406255E+001, 5.5254081E+001, 0.0000000E+000, 2.1828471E-003, 0.0000000E+000
 8.0826974E-001, 1.0616672E+002, 0.0000000E+000,-4.1655894E+001, 1.0636902E+000,-8.3808285E-002,-6.1248020E-003, 0.0000000E+000, 0.0000000E+000, 6.2336068E+001, 6.5484586E+001, 0.0000000E+000, 2.2507657E-003, 0.0000000E+000
 9.0476602E-001, 1.2073958E+002, 0.0000000E+000,-4.7146386E+001, 1.2291203E+000,-7.2589702E-002,-6.2712270E-003, 0.0000000E+000, 0.0000000E+000, 7.2958088E+001, 7.4743456E+001, 0.0000000E+000, 2.3020485E-003, 0.0000000E+000
 1.0026612E+000, 1.1013668E+002, 0.0000000E+000,-3.6521204E+001, 1.2528470E+000,-6.2590771E-002,-6.2680913E-003, 0.0000000E+000, 0.0000000E+000, 7.4448738E+001, 7.4799464E+001, 0.0000000E+000, 2.3470803E-003, 0.0000000E+000
 1.1074202E+000, 1.0265982E+002, 0.0000000E+000,-2.9028886E+001, 1.2388153E+000,-6.6818227E-002,-6.2076642E-003, 0.0000000E+000, 0.0000000E+000, 7.4470102E+001, 7.4796720E+001, 0.0000000E+000, 2.3806206E-003, 0.0000000E+000
 1.2121793E+000, 1.0605426E+002, 0.0000000E+000,-3.1466006E+001, 1.2503792E+000,-7.0688508E-002,-6.2284079E-003, 0.0000000E+000, 0.0000000E+000, 7.5800555E+001, 7.5761716E+001, 0.0000000E+000, 2.4041452E-003, 0.0000000E+000
 1.3019727E+000, 1.0229338E+002, 0.0000000E+000,-2.9508939E+001, 1.2075027E+000,-7.5215589E-002,-6.1991793E-003, 0.0000000E+000, 0.0000000E+000, 7.4682516E+001, 7.3910530E+001, 0.0000000E+000, 2.4188897E-003, 0.0000000E+000
 1.4019871E+000, 1.0402537E+002, 0.0000000E+000,-3.2455430E+001, 1.1830346E+000,-7.5151654E-002,-6.3235386E-003, 0.0000000E+000, 0.0000000E+000, 7.2203971E+001, 7.2671495E+001, 0.0000000E+000, 2.4286222E-003, 0.0000000E+000
 1.5103976E+000, 1.1527957E+002, 0.0000000E+000,-3.5962240E+001, 1.3074922E+000,-7.6322707E-002,-6.3955385E-003, 0.0000000E+000, 0.0000000E+000, 7.9921752E+001, 8.0542109E+001, 0.0000000E+000, 2.4358471E-003, 0.0000000E+000
 1.6134545E+000, 1.1834699E+002, 0.0000000E+000,-3.6220460E+001,-1.2467209E+001,-7.8005264E-002,-6.3888706E-003, 0.0000000E+000, 0.0000000E+000, 7.2315761E+001, 6.9574931E+001, 0.0000000E+000, 2.4407479E-003, 0.0000000E+000
 1.7017889E+000, 1.1414290E+002, 0.0000000E+000,-3.3881384E+001,-6.4117103E+001,-8.0472904E-002,-6.3623031E-003, 0.0000000E+000, 0.0000000E+000, 1.9317892E+001, 1.6057580E+001, 0.0000000E+000, 2.4436984E-003, 0.0000000E+000
 1.8062577E+000, 1.1214877E+002, 0.0000000E+000,-3.2661764E+001,-8.8417995E+001,-8.4036473E-002,-6.3596733E-003, 0.0000000E+000, 0.0000000E+000,-7.7817501E+000,-9.0213893E+000, 0.0000000E+000, 2.4456896E-003, 0.0000000E+000
 1.9107265E+000, 1.1256395E+002, 0.0000000E+000,-3.2421844E+001,-1.0870008E+002,-9.0372371E-002,-6.3757546E-003, 0.0000000E+000, 0.0000000E+000,-2.7575009E+001,-2.8654725E+001, 0.0000000E+000, 2.4471610E-003, 0.0000000E+000
 2.0047483E+000, 1.1295562E+002, 0.0000000E+000,-3.1847293E+001,-1.1332766E+002,-2.2285725E-001,-6.3829426E-003, 0.0000000E+000, 0.0000000E+000,-3.3265912E+001,-3.2448580E+001, 0.0000000E+000, 2.4480948E-003, 0.0000000E+000
 2.1052997E+000, 1.1209659E+002, 0.0000000E+000,-3.0667240E+001,-1.0152099E+002,-2.2389225E-001,-6.3782790E-003, 0.0000000E+000, 0.0000000E+000,-2.0918479E+001,-2.0321912E+001, 0.0000000E+000, 2.4487102E-003, 0.0000000E+000
 2.2058508E+000, 1.1137728E+002, 0.0000000E+000,-2.9882189E+001,-8.5778503E+001,-1.7528462E-001,-6.3726072E-003, 0.0000000E+000, 0.0000000E+000,-5.5101745E+000,-4.4650645E+000, 0.0000000E+000, 2.4491372E-003, 0.0000000E+000
 2.3080266E+000, 1.1170331E+002, 0.0000000E+000,-2.9416535E+001,-8.9340677E+001,-1.8760514E-001,-6.3715836E-003, 0.0000000E+000, 0.0000000E+000,-6.5507723E+000,-7.2478760E+000, 0.0000000E+000, 2.4494228E-003, 0.0000000E+000
