s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 2.0000008E+001
 4.6238068E-001, 2.0000070E+001
 5.5929814E-001, 2.0000120E+001
 6.1852862E-001, 2.0000152E+001
 6.7294371E-001, 2.0002914E+001
 7.2735880E-001, 2.0005675E+001
 7.7414123E-001, 2.0008045E+001
 8.1458781E-001, 2.0012680E+001
 8.4737897E-001, 2.0016444E+001
 8.7209569E-001, 2.0019288E+001
 8.9681242E-001, 2.0025176E+001
 9.2152914E-001, 2.0031088E+001
 9.4242355E-001, 2.0036112E+001
 9.6331795E-001, 2.0041974E+001
 9.8421236E-001, 2.0047884E+001
 1.0028499E+000, 2.0053204E+001
 1.0214875E+000, 2.0060684E+001
 1.0401251E+000, 2.0068235E+001
 1.0587627E+000, 2.0075863E+001
 1.0753883E+000, 2.0083755E+001
 1.0920140E+000, 2.0091640E+001
 1.1086396E+000, 2.0099628E+001
 1.1252652E+000, 2.0108807E+001
 1.1418908E+000, 2.0118303E+001
 1.1585165E+000, 2.0128708E+001
 1.1751421E+000, 2.0168564E+001
 1.1917677E+000, 2.1495340E+001
 1.2083933E+000, 3.4024005E+001
 1.2250190E+000, 7.2209297E+001
 1.2416446E+000, 1.3219714E+002
 1.2582702E+000, 2.1232036E+002
 1.2748958E+000, 2.8267260E+002
 1.2915214E+000, 3.3022826E+002
 1.3081471E+000, 3.5739064E+002
 1.3247727E+000, 3.7037105E+002
 1.3413983E+000, 3.6576628E+002
 1.3562228E+000, 3.5795839E+002
 1.3710472E+000, 3.4409942E+002
 1.3858716E+000, 3.2855051E+002
 1.4006961E+000, 3.1249134E+002
 1.4155205E+000, 2.9990401E+002
 1.4303449E+000, 2.9230300E+002
 1.4451694E+000, 2.8684419E+002
 1.4599938E+000, 2.8611645E+002
 1.4748182E+000, 2.8085479E+002
 1.4896427E+000, 2.6867091E+002
 1.5044671E+000, 2.5081406E+002
 1.5192915E+000, 2.3318687E+002
 1.5341160E+000, 2.1551798E+002
 1.5637648E+000, 1.9860556E+002
 1.5934137E+000, 2.2935032E+002
 1.6230626E+000, 3.2289775E+002
 1.6527114E+000, 3.3334023E+002
 1.6823603E+000, 2.9793897E+002
 1.7120092E+000, 2.7534992E+002
 1.7416580E+000, 3.4225405E+002
 1.7713069E+000, 4.1010446E+002
 1.8009558E+000, 4.2103375E+002
 1.8320871E+000, 4.0728435E+002
 1.8647008E+000, 4.0053808E+002
 1.8973146E+000, 3.9665620E+002
 1.9299284E+000, 3.8259805E+002
 1.9625421E+000, 3.4986866E+002
 1.9934836E+000, 3.5420711E+002
 2.0227527E+000, 3.7541617E+002
 2.0520219E+000, 3.7505558E+002
 2.0812911E+000, 3.8084551E+002
 2.1105602E+000, 4.0570224E+002
 2.1427563E+000, 4.2968674E+002
 2.1749524E+000, 4.2934479E+002
 2.1910505E+000, 4.2299022E+002
 2.2232465E+000, 4.1591501E+002
 2.2554426E+000, 4.0263154E+002
 2.2876387E+000, 4.0304574E+002
 2.3198348E+000, 4.2576751E+002
 2.3520309E+000, 4.3265063E+002
 2.3842270E+000, 4.2299182E+002
 2.4003250E+000, 4.1846758E+002
 2.4325211E+000, 4.1660052E+002
 2.4647172E+000, 4.1111582E+002
