s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 1.9999992E+001
 3.4678551E-001, 1.9999974E+001
 4.6238068E-001, 2.0000020E+001
 5.7797585E-001, 2.0000061E+001
 6.4060093E-001, 2.0000087E+001
 7.0083021E-001, 2.0002824E+001
 7.6105949E-001, 2.0005578E+001
 8.2128877E-001, 2.0008344E+001
 8.6186320E-001, 2.0013863E+001
 9.0243763E-001, 2.0019417E+001
 9.3722558E-001, 2.0024216E+001
 9.6714554E-001, 2.0035147E+001
 9.9706551E-001, 2.0046147E+001
 1.0231656E+000, 2.0055815E+001
 1.0464875E+000, 2.0066175E+001
 1.0698093E+000, 2.0076637E+001
 1.0931312E+000, 2.0087222E+001
 1.1140825E+000, 2.0099760E+001
 1.1350337E+000, 2.0112445E+001
 1.1559850E+000, 2.0125285E+001
 1.1769363E+000, 2.0139752E+001
 1.1978875E+000, 2.0154310E+001
 1.2188388E+000, 2.0168853E+001
 1.2397901E+000, 2.0185218E+001
 1.2607413E+000, 2.0202435E+001
 1.2816926E+000, 2.0222479E+001
 1.3026439E+000, 2.0286010E+001
 1.3209875E+000, 2.4830777E+001
 1.3393312E+000, 4.1320085E+001
 1.3576748E+000, 8.2412281E+001
 1.3760185E+000, 1.3041677E+002
 1.3943621E+000, 1.5843674E+002
 1.4127057E+000, 1.7595883E+002
 1.4310494E+000, 1.9644928E+002
 1.4493930E+000, 2.2589470E+002
 1.4677367E+000, 2.4753829E+002
 1.4860803E+000, 2.7218559E+002
 1.5044240E+000, 2.9325422E+002
 1.5227676E+000, 2.9505688E+002
 1.5389394E+000, 2.8936226E+002
 1.5551113E+000, 2.6698939E+002
 1.5712831E+000, 2.5800762E+002
 1.5874549E+000, 2.3910543E+002
 1.6036267E+000, 2.2995727E+002
 1.6197985E+000, 2.2250944E+002
 1.6341465E+000, 2.3313814E+002
 1.6484946E+000, 2.4780129E+002
 1.6628426E+000, 2.5846143E+002
 1.6771906E+000, 2.6087748E+002
 1.6915387E+000, 2.5698288E+002
 1.7058867E+000, 2.3968143E+002
 1.7202347E+000, 2.2333526E+002
 1.7345828E+000, 2.0173841E+002
 1.7489308E+000, 1.8868463E+002
 1.7632789E+000, 1.7587207E+002
 1.7776269E+000, 1.6786429E+002
 1.7919749E+000, 1.6643891E+002
 1.8063230E+000, 1.8198289E+002
 1.8206710E+000, 2.2923570E+002
 1.8350190E+000, 2.7942378E+002
 1.8637151E+000, 3.1520139E+002
 1.8924112E+000, 3.2058497E+002
 1.9211072E+000, 3.0276287E+002
 1.9512381E+000, 2.7939267E+002
 1.9828038E+000, 2.8673763E+002
 2.0159478E+000, 3.2831434E+002
 2.0506700E+000, 3.3324676E+002
 2.0853922E+000, 3.4735368E+002
 2.1027534E+000, 3.6864817E+002
 2.1374756E+000, 3.6670554E+002
 2.1721979E+000, 3.5033708E+002
 2.2069201E+000, 3.2678108E+002
 2.2242812E+000, 3.2181653E+002
 2.2590035E+000, 3.2777514E+002
 2.2937257E+000, 3.3343428E+002
 2.3110868E+000, 3.3776261E+002
 2.3437635E+000, 3.4841461E+002
 2.3743946E+000, 3.5904972E+002
 2.4050256E+000, 3.5458913E+002
 2.4356567E+000, 3.3274537E+002
 2.4662878E+000, 3.0748617E+002
