s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2225254E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2225254E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-5.8647337E-007,-3.0502068E-003, 0.0000000E+000,-8.6027376E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9110670E-003, 0.0000000E+000, 5.8152339E-004, 0.0000000E+000
 2.3119034E-001, 1.9845027E+001, 0.0000000E+000,-5.8575875E-007, 3.3289331E-001,-5.6197259E-010,-1.2329553E-003, 0.0000000E+000, 0.0000000E+000,-5.7211068E-003, 2.0176686E+001, 0.0000000E+000, 1.1059777E-003, 0.0000000E+000
 3.4678552E-001, 4.0042945E+001, 0.0000000E+000,-3.9554797E-001, 6.5925568E-001,-2.2864636E-002,-3.4257182E-003, 0.0000000E+000, 0.0000000E+000, 2.0056441E+001, 4.0280362E+001, 0.0000000E+000, 1.5366942E-003, 0.0000000E+000
 4.6238068E-001, 5.8359480E+001, 0.0000000E+000,-5.1023018E+000, 8.5372254E-001,-8.4395763E-002,-4.1227079E-003, 0.0000000E+000, 0.0000000E+000, 3.9443784E+001, 5.4022382E+001, 0.0000000E+000, 1.8640438E-003, 0.0000000E+000
 5.7797587E-001, 7.3457490E+001, 0.0000000E+000,-4.1228459E+001, 5.1014788E-001,-1.6132496E-001,-4.9517028E-003, 0.0000000E+000, 0.0000000E+000, 5.2535125E+001, 3.2572902E+001, 0.0000000E+000, 2.0984734E-003, 0.0000000E+000
 6.4060092E-001, 9.2929515E+001, 0.0000000E+000,-4.1629191E+001, 8.1482571E-001,-1.4182806E-001,-5.6022507E-003, 0.0000000E+000, 0.0000000E+000, 3.1928693E+001, 5.1967720E+001, 0.0000000E+000, 2.1934203E-003, 0.0000000E+000
 7.0083022E-001, 9.4298676E+001, 0.0000000E+000,-6.3170784E+001, 5.4834518E-001,-1.3831534E-001,-5.9253225E-003, 0.0000000E+000, 0.0000000E+000, 5.1511777E+001, 3.1531996E+001, 0.0000000E+000, 2.2674177E-003, 0.0000000E+000
 8.2128876E-001, 9.0742228E+001, 0.0000000E+000,-3.9460837E+001, 8.3785634E-001,-1.2831811E-001,-6.3839255E-003, 0.0000000E+000, 0.0000000E+000, 3.6855618E+001, 5.1984545E+001, 0.0000000E+000, 2.3512298E-003, 0.0000000E+000
 9.0243763E-001, 1.1651132E+002, 0.0000000E+000,-5.7164627E+001, 9.9621975E-001,-1.1887505E-001,-6.6335942E-003, 0.0000000E+000, 0.0000000E+000, 5.8735666E+001, 6.0217407E+001, 0.0000000E+000, 2.4135920E-003, 0.0000000E+000
 1.0231656E+000, 1.2045714E+002, 0.0000000E+000,-5.4561677E+001, 1.1161932E+000,-1.0467524E-001,-6.7915679E-003, 0.0000000E+000, 0.0000000E+000, 6.5701917E+001, 6.6900186E+001, 0.0000000E+000, 2.4588393E-003, 0.0000000E+000
 1.1140825E+000, 1.1298970E+002, 0.0000000E+000,-4.4512652E+001, 1.1635542E+000,-8.8530473E-002,-6.8244304E-003, 0.0000000E+000, 0.0000000E+000, 6.8852260E+001, 6.9545253E+001, 0.0000000E+000, 2.4924772E-003, 0.0000000E+000
 1.2188388E+000, 1.0795339E+002, 0.0000000E+000,-4.2959270E+001, 1.0908305E+000,-9.1704596E-002,-6.7050966E-003, 0.0000000E+000, 0.0000000E+000, 6.7517065E+001, 6.5986541E+001, 0.0000000E+000, 2.5138912E-003, 0.0000000E+000
 1.3026439E+000, 1.0902920E+002, 0.0000000E+000,-4.7928771E+001, 1.0104384E+000,-1.0031686E-001,-6.6835771E-003, 0.0000000E+000, 0.0000000E+000, 6.2405547E+001, 6.2003870E+001, 0.0000000E+000, 2.5283678E-003, 0.0000000E+000
 1.4127058E+000, 1.1499331E+002, 0.0000000E+000,-5.2400377E+001, 1.0330456E+000,-1.0264259E-001,-6.6899223E-003, 0.0000000E+000, 0.0000000E+000, 6.3269850E+001, 6.3516650E+001, 0.0000000E+000, 2.5383057E-003, 0.0000000E+000
 1.5044240E+000, 1.1276430E+002, 0.0000000E+000,-5.1012698E+001, 1.0236213E+000,-1.0739875E-001,-6.6193279E-003, 0.0000000E+000, 0.0000000E+000, 6.2971080E+001, 6.2661201E+001, 0.0000000E+000, 2.5455242E-003, 0.0000000E+000
 1.6036267E+000, 1.1209334E+002, 0.0000000E+000,-5.0023992E+001, 1.0191415E+000,-1.1292082E-001,-6.6226304E-003, 0.0000000E+000, 0.0000000E+000, 6.2817106E+001, 6.2968945E+001, 0.0000000E+000, 2.5500663E-003, 0.0000000E+000
 1.7058867E+000, 1.1618017E+002, 0.0000000E+000,-5.0444043E+001, 1.0544234E+000,-1.1714773E-001,-6.7078566E-003, 0.0000000E+000, 0.0000000E+000, 6.6214949E+001, 6.6666692E+001, 0.0000000E+000, 2.5533274E-003, 0.0000000E+000
 1.8063229E+000, 1.1588635E+002, 0.0000000E+000,-4.7249355E+001,-2.0756134E+001,-1.2026003E-001,-6.7611961E-003, 0.0000000E+000, 0.0000000E+000, 5.0820605E+001, 4.7753836E+001, 0.0000000E+000, 2.5555474E-003, 0.0000000E+000
 1.9067593E+000, 1.1342949E+002, 0.0000000E+000,-4.4060717E+001,-6.8845737E+001,-1.2206501E-001,-6.7582558E-003, 0.0000000E+000, 0.0000000E+000, 2.3306776E+000, 3.9420789E-001, 0.0000000E+000, 2.5570197E-003, 0.0000000E+000
 2.0159478E+000, 1.1117068E+002, 0.0000000E+000,-4.3507856E+001,-7.1281372E+001,-1.3726504E-001,-6.7090628E-003, 0.0000000E+000, 0.0000000E+000,-4.2664762E+000,-3.7625266E+000, 0.0000000E+000, 2.5580423E-003, 0.0000000E+000
 2.1027534E+000, 1.1030897E+002, 0.0000000E+000,-4.3407822E+001,-6.7987838E+001,-1.5649400E-001,-6.6392883E-003, 0.0000000E+000, 0.0000000E+000,-5.8391303E-001,-1.2498277E+000, 0.0000000E+000, 2.5586856E-003, 0.0000000E+000
 2.2069201E+000, 1.1100417E+002, 0.0000000E+000,-4.3490648E+001,-7.9021455E+001,-1.3489721E-001,-6.5906934E-003, 0.0000000E+000, 0.0000000E+000,-1.0922407E+001,-1.1649419E+001, 0.0000000E+000, 2.5591009E-003, 0.0000000E+000
 2.3110869E+000, 1.1196053E+002, 0.0000000E+000,-4.4461008E+001,-8.1083013E+001,-1.4600125E-001,-6.5777898E-003, 0.0000000E+000, 0.0000000E+000,-1.4021211E+001,-1.3736065E+001, 0.0000000E+000, 2.5594072E-003, 0.0000000E+000
 2.4050257E+000, 1.1336653E+002, 0.0000000E+000,-4.4560510E+001,-8.4002117E+001,-1.7059113E-001,-6.6199544E-003, 0.0000000E+000, 0.0000000E+000,-1.4637282E+001,-1.5373307E+001, 0.0000000E+000, 2.5596004E-003, 0.0000000E+000
 2.5122344E+000, 1.1358127E+002, 0.0000000E+000,-4.3861828E+001,-9.2699320E+001,-2.1402609E-001,-6.7031071E-003, 0.0000000E+000, 0.0000000E+000,-2.3776273E+001,-2.3200612E+001, 0.0000000E+000, 2.5597320E-003, 0.0000000E+000
 2.6102538E+000, 1.1277283E+002, 0.0000000E+000,-4.3230382E+001,-7.9428847E+001,-2.4264631E-001,-6.7876484E-003, 0.0000000E+000, 0.0000000E+000,-1.1088236E+001,-1.0135835E+001, 0.0000000E+000, 2.5598228E-003, 0.0000000E+000
 2.7113364E+000, 1.1213714E+002, 0.0000000E+000,-4.1863409E+001,-7.2124637E+001,-2.2954793E-001,-6.8412648E-003, 0.0000000E+000, 0.0000000E+000,-2.1352144E+000,-2.0873007E+000, 0.0000000E+000, 2.5598811E-003, 0.0000000E+000
 2.8124187E+000, 1.1146153E+002, 0.0000000E+000,-4.1027142E+001,-7.7880629E+001,-2.3947042E-001,-6.8689975E-003, 0.0000000E+000, 0.0000000E+000,-7.6109576E+000,-7.6925841E+000, 0.0000000E+000, 2.5599206E-003, 0.0000000E+000
 2.9135013E+000, 1.1120939E+002, 0.0000000E+000,-4.0992036E+001,-6.9496567E+001,-2.5484630E-001,-6.8877996E-003, 0.0000000E+000, 0.0000000E+000,-1.3702130E-001, 4.5905605E-001, 0.0000000E+000, 2.5599470E-003, 0.0000000E+000
 3.0145838E+000, 1.1179715E+002, 0.0000000E+000,-4.1081570E+001,-6.5990826E+001,-2.3936448E-001,-6.9023526E-003, 0.0000000E+000, 0.0000000E+000, 4.1956935E+000, 4.4784903E+000, 0.0000000E+000, 2.5599646E-003, 0.0000000E+000
 3.1156664E+000, 1.1213189E+002, 0.0000000E+000,-4.1030161E+001,-6.5297755E+001,-2.3018082E-001,-6.9118339E-003, 0.0000000E+000, 0.0000000E+000, 5.6071748E+000, 5.5668828E+000, 0.0000000E+000, 2.5599764E-003, 0.0000000E+000
 3.2167490E+000, 1.1162038E+002, 0.0000000E+000,-4.0311773E+001,-6.4152102E+001,-2.0894122E-001,-6.9105815E-003, 0.0000000E+000, 0.0000000E+000, 6.7915393E+000, 6.9406567E+000, 0.0000000E+000, 2.5599843E-003, 0.0000000E+000
 3.3009844E+000, 1.1120594E+002, 0.0000000E+000,-4.0013485E+001,-6.4717804E+001,-1.9824970E-001,-6.8850635E-003, 0.0000000E+000, 0.0000000E+000, 6.4935635E+000, 6.2695187E+000, 0.0000000E+000, 2.5599892E-003, 0.0000000E+000
 3.4020669E+000, 1.1145890E+002, 0.0000000E+000,-4.0174956E+001,-6.5306845E+001,-2.3962831E-001,-6.8467934E-003, 0.0000000E+000, 0.0000000E+000, 5.8476162E+000, 5.7306272E+000, 0.0000000E+000, 2.5599925E-003, 0.0000000E+000
 3.5031493E+000, 1.1185245E+002, 0.0000000E+000,-4.0615564E+001,-6.3115499E+001,-2.5018849E-001,-6.8469308E-003, 0.0000000E+000, 0.0000000E+000, 7.1945607E+000, 7.8643500E+000, 0.0000000E+000, 2.5599950E-003, 0.0000000E+000
 3.6042318E+000, 1.1206245E+002, 0.0000000E+000,-4.0877672E+001,-5.4993492E+001,-2.4648297E-001,-6.8829163E-003, 0.0000000E+000, 0.0000000E+000, 1.5878886E+001, 1.5937923E+001, 0.0000000E+000, 2.5599967E-003, 0.0000000E+000
 3.7053144E+000, 1.1276188E+002, 0.0000000E+000,-4.1714953E+001,-6.1190447E+001,-2.0349656E-001,-6.8756884E-003, 0.0000000E+000, 0.0000000E+000, 1.0567363E+001, 9.6461077E+000, 0.0000000E+000, 2.5599978E-003, 0.0000000E+000
 3.8091531E+000, 1.1361288E+002, 0.0000000E+000,-4.2344824E+001,-7.4574345E+001,-1.9754559E-001,-6.8312836E-003, 0.0000000E+000, 0.0000000E+000,-2.5748773E+000,-3.5106693E+000, 0.0000000E+000, 2.5599985E-003, 0.0000000E+000
 3.9144750E+000, 1.1250447E+002, 0.0000000E+000,-4.1866139E+001,-7.8089886E+001,-2.1385579E-001,-6.8202405E-003, 0.0000000E+000, 0.0000000E+000,-8.4237610E+000,-7.6722274E+000, 0.0000000E+000, 2.5599990E-003, 0.0000000E+000
 4.0123801E+000, 1.1087583E+002, 0.0000000E+000,-4.0637703E+001,-6.2990719E+001,-2.1047011E-001,-6.7883750E-003, 0.0000000E+000, 0.0000000E+000, 6.9675049E+000, 7.0301446E+000, 0.0000000E+000, 2.5599994E-003, 0.0000000E+000
 4.1017113E+000, 1.0954786E+002, 0.0000000E+000,-3.9331655E+001,-7.3549676E+001,-2.0638798E-001,-6.7809014E-003, 0.0000000E+000, 0.0000000E+000,-2.8092808E+000,-3.5466431E+000, 0.0000000E+000, 2.5599996E-003, 0.0000000E+000
 4.2141523E+000, 1.0890648E+002, 0.0000000E+000,-3.9546240E+001,-6.6483450E+001,-2.2467118E-001,-6.8032221E-003, 0.0000000E+000, 0.0000000E+000, 1.6524574E+000, 2.6453144E+000, 0.0000000E+000, 2.5599997E-003, 0.0000000E+000
 4.3105307E+000, 1.1215495E+002, 0.0000000E+000,-4.1279926E+001,-6.0544482E+001,-1.9577848E-001,-6.8518152E-003, 0.0000000E+000, 0.0000000E+000, 1.0097834E+001, 1.0127910E+001, 0.0000000E+000, 2.5599998E-003, 0.0000000E+000
 4.4051266E+000, 1.1482104E+002, 0.0000000E+000,-4.1777560E+001,-7.0272576E+001,-1.9475815E-001,-6.9064905E-003, 0.0000000E+000, 0.0000000E+000, 2.9725460E+000, 2.5692359E+000, 0.0000000E+000, 2.5599999E-003, 0.0000000E+000
 4.5050926E+000, 1.1654376E+002, 0.0000000E+000,-4.1303549E+001,-7.3247112E+001,-2.1753941E-001,-6.9611707E-003, 0.0000000E+000, 0.0000000E+000, 1.3396481E+000, 1.7685947E+000, 0.0000000E+000, 2.5599999E-003, 0.0000000E+000
 4.6150556E+000, 1.1368133E+002, 0.0000000E+000,-3.9301633E+001,-6.7788590E+001,-2.3421761E-001,-7.0057405E-003, 0.0000000E+000, 0.0000000E+000, 6.2156023E+000, 6.3498836E+000, 0.0000000E+000, 2.5599999E-003, 0.0000000E+000
 4.7093091E+000, 1.1258025E+002, 0.0000000E+000,-3.8040906E+001,-6.3192602E+001,-2.5366923E-001,-7.0559198E-003, 0.0000000E+000, 0.0000000E+000, 1.0587076E+001, 1.1086019E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 4.8114171E+000, 1.1261294E+002, 0.0000000E+000,-3.9732462E+001,-6.0389979E+001,-2.6733927E-001,-7.0824312E-003, 0.0000000E+000, 0.0000000E+000, 1.2455278E+001, 1.2216081E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 4.9150963E+000, 1.1185816E+002, 0.0000000E+000,-3.9793257E+001,-5.3907452E+001,-2.8517013E-001,-7.0837362E-003, 0.0000000E+000, 0.0000000E+000, 1.7085877E+001, 1.7865197E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 5.0014958E+000, 1.1181963E+002, 0.0000000E+000,-3.8588632E+001,-5.0042830E+001,-2.0669992E-001,-7.0316369E-003, 0.0000000E+000, 0.0000000E+000, 2.2929705E+001, 2.2974440E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 5.1051750E+000, 1.1205999E+002, 0.0000000E+000,-3.8389295E+001,-5.0598906E+001,-2.4062820E-001,-7.0317253E-003, 0.0000000E+000, 0.0000000E+000, 2.2633037E+001, 2.2824131E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 5.2088542E+000, 1.1202408E+002, 0.0000000E+000,-3.8214211E+001,-5.5327062E+001,-2.2479500E-001,-7.1476057E-003, 0.0000000E+000, 0.0000000E+000, 1.9332002E+001, 1.8250864E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 5.3125329E+000, 1.1243262E+002, 0.0000000E+000,-4.0098971E+001,-6.2946868E+001,-2.2694130E-001,-7.0637805E-003, 0.0000000E+000, 0.0000000E+000, 9.7174788E+000, 9.1527774E+000, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 5.4162121E+000, 1.1391417E+002, 0.0000000E+000,-4.4685775E+001,-7.0860897E+001,-2.0835254E-001,-7.0044914E-003, 0.0000000E+000, 0.0000000E+000,-3.9292794E-001,-1.8478593E+000, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 5.5124936E+000, 1.1113285E+002, 0.0000000E+000,-4.5053263E+001,-8.3180915E+001,-2.2609097E-001,-6.9843764E-003, 0.0000000E+000, 0.0000000E+000,-1.6152293E+001,-1.7334401E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 5.6050768E+000, 1.0962082E+002, 0.0000000E+000,-4.2904727E+001,-8.6850974E+001,-3.3102177E-001,-6.9646944E-003, 0.0000000E+000, 0.0000000E+000,-2.1252146E+001,-2.0472867E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 5.7130899E+000, 1.1133595E+002, 0.0000000E+000,-4.3207840E+001,-8.3074608E+001,-4.0360322E-001,-6.8591849E-003, 0.0000000E+000, 0.0000000E+000,-1.5310248E+001,-1.5356966E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 5.8056731E+000, 1.1308205E+002, 0.0000000E+000,-4.1453021E+001,-7.6164161E+001,-3.3715279E-001,-6.9023369E-003, 0.0000000E+000, 0.0000000E+000,-6.7027146E+000,-4.8791883E+000, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 5.9044280E+000, 1.1178636E+002, 0.0000000E+000,-3.8301956E+001,-6.0714147E+001,-2.8360141E-001,-6.9475515E-003, 0.0000000E+000, 0.0000000E+000, 1.0872040E+001, 1.2479709E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
 6.0062690E+000, 1.1091517E+002, 0.0000000E+000,-3.6411406E+001,-4.3689931E+001,-2.4199338E-001,-6.9322743E-003, 0.0000000E+000, 0.0000000E+000, 2.9223084E+001, 3.0564907E+001, 0.0000000E+000, 2.5600000E-003, 0.0000000E+000
