s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000005E+001
 3.4678551E-001, 1.9999979E+001
 4.6238068E-001, 2.0000067E+001
 5.7797585E-001, 2.0000148E+001
 6.4150949E-001, 2.0000212E+001
 7.0282025E-001, 2.0008374E+001
 7.6413102E-001, 2.0016581E+001
 8.2544178E-001, 2.0024819E+001
 8.6854391E-001, 2.0037585E+001
 9.1164604E-001, 2.0050424E+001
 9.5025319E-001, 2.0062016E+001
 9.8886034E-001, 2.0084483E+001
 1.0274675E+000, 2.0107149E+001
 1.0604688E+000, 2.0126751E+001
 1.0934700E+000, 2.0151220E+001
 1.1215070E+000, 2.0172359E+001
 1.1451443E+000, 2.0190497E+001
 1.1687816E+000, 2.0217607E+001
 1.1924189E+000, 2.0245110E+001
 1.2104913E+000, 2.0266386E+001
 1.2285637E+000, 2.0292499E+001
 1.2466361E+000, 2.0318331E+001
 1.2647085E+000, 2.0344593E+001
 1.2827809E+000, 2.0378208E+001
 1.3008534E+000, 2.0413689E+001
 1.3169818E+000, 2.0451974E+001
 1.3331102E+000, 2.0552062E+001
 1.3492386E+000, 2.2047779E+001
 1.3653670E+000, 3.5036117E+001
 1.3814954E+000, 7.9362262E+001
 1.3976238E+000, 1.5710988E+002
 1.4137522E+000, 2.3968118E+002
 1.4298806E+000, 2.7532006E+002
 1.4460090E+000, 2.9719485E+002
 1.4621374E+000, 3.0302141E+002
 1.4782658E+000, 2.9782920E+002
 1.4943942E+000, 2.8882861E+002
 1.5105226E+000, 2.8206490E+002
 1.5266510E+000, 2.7589276E+002
 1.5427794E+000, 2.7103563E+002
 1.5589079E+000, 2.6782321E+002
 1.5750363E+000, 2.6978118E+002
 1.5911647E+000, 2.9463637E+002
 1.6072931E+000, 3.3144671E+002
 1.6234215E+000, 3.8463594E+002
 1.6368636E+000, 4.2759143E+002
 1.6503057E+000, 4.4633648E+002
 1.6637479E+000, 4.5474264E+002
 1.6771900E+000, 4.4264298E+002
 1.6906321E+000, 4.1377249E+002
 1.7040742E+000, 3.7448935E+002
 1.7161005E+000, 3.4454515E+002
 1.7281268E+000, 3.3006104E+002
 1.7401531E+000, 3.1394219E+002
 1.7521794E+000, 2.9793148E+002
 1.7642057E+000, 2.8987954E+002
 1.7762319E+000, 3.0358293E+002
 1.7882582E+000, 3.3660198E+002
 1.8002845E+000, 3.6093298E+002
 1.8363633E+000, 3.5126159E+002
 1.8604159E+000, 2.8512110E+002
 1.8964948E+000, 2.3668679E+002
 1.9205473E+000, 2.1382474E+002
 1.9566262E+000, 2.8953266E+002
 1.9818814E+000, 4.0448330E+002
 2.0215681E+000, 4.2949731E+002
 2.0480259E+000, 4.3642250E+002
 2.0744837E+000, 4.5614534E+002
 2.1009416E+000, 4.9009179E+002
 2.1406283E+000, 5.4238223E+002
 2.1670861E+000, 5.5415855E+002
 2.1920211E+000, 5.3704181E+002
 2.2271392E+000, 5.0593059E+002
 2.2505513E+000, 5.4504746E+002
 2.2856694E+000, 5.3660787E+002
 2.3207875E+000, 4.9003327E+002
 2.3441996E+000, 4.9653527E+002
 2.3793177E+000, 5.1502023E+002
 2.4027298E+000, 5.1066550E+002
 2.4378479E+000, 5.2160951E+002
 2.4612600E+000, 5.3130016E+002
