s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2225254E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2225254E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-5.8647337E-007,-2.0322568E-003, 0.0000000E+000,-3.3860349E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3714468E-003, 0.0000000E+000, 6.1786860E-004, 0.0000000E+000
 2.3119034E-001, 1.3286969E+001, 0.0000000E+000,-5.8593500E-007, 2.2340927E-001, 3.2296478E-010,-4.6238900E-004, 0.0000000E+000, 0.0000000E+000,-3.4497190E-003, 1.3509915E+001, 0.0000000E+000, 1.1751013E-003, 0.0000000E+000
 3.4678552E-001, 2.6947528E+001, 0.0000000E+000,-3.1652573E-001, 4.4620173E-001,-1.3830426E-002,-1.3083662E-003, 0.0000000E+000, 0.0000000E+000, 1.3476208E+001, 2.7062065E+001, 0.0000000E+000, 1.6327376E-003, 0.0000000E+000
 4.6238068E-001, 3.9289269E+001, 0.0000000E+000,-2.6620342E+000, 6.0080679E-001,-5.2341354E-002,-1.6661025E-003, 0.0000000E+000, 0.0000000E+000, 2.6823487E+001, 3.7174034E+001, 0.0000000E+000, 1.9805465E-003, 0.0000000E+000
 5.7797587E-001, 4.9457072E+001, 0.0000000E+000,-1.6972505E+001, 5.1950118E-001,-1.0867511E-001,-1.9594225E-003, 0.0000000E+000, 0.0000000E+000, 3.6671531E+001, 3.2893433E+001, 0.0000000E+000, 2.2296280E-003, 0.0000000E+000
 6.6836768E-001, 5.9656833E+001, 0.0000000E+000,-2.7992736E+001, 5.1499730E-001,-1.1909732E-001,-2.2726312E-003, 0.0000000E+000, 0.0000000E+000, 3.2283447E+001, 3.2057725E+001, 0.0000000E+000, 2.3688096E-003, 0.0000000E+000
 7.3742127E-001, 6.6218278E+001, 0.0000000E+000,-3.1892457E+001, 5.6772423E-001,-1.0677686E-001,-2.4652850E-003, 0.0000000E+000, 0.0000000E+000, 3.1743599E+001, 3.4784303E+001, 0.0000000E+000, 2.4493524E-003, 0.0000000E+000
 8.0647492E-001, 6.7343377E+001, 0.0000000E+000,-3.8686529E+001, 4.8866495E-001,-1.0071913E-001,-2.6188232E-003, 0.0000000E+000, 0.0000000E+000, 3.4653271E+001, 2.9042175E+001, 0.0000000E+000, 2.5121777E-003, 0.0000000E+000
 9.1897112E-001, 7.1069557E+001, 0.0000000E+000,-3.0733547E+001, 6.7626501E-001,-9.9083777E-002,-2.7832116E-003, 0.0000000E+000, 0.0000000E+000, 3.3868279E+001, 4.0910409E+001, 0.0000000E+000, 2.5695220E-003, 0.0000000E+000
 1.0023260E+000, 7.7175529E+001, 0.0000000E+000,-2.9272655E+001, 8.0228441E-001,-9.1545192E-002,-2.8847133E-003, 0.0000000E+000, 0.0000000E+000, 4.4267961E+001, 4.8610728E+001, 0.0000000E+000, 2.6145064E-003, 0.0000000E+000
