s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7719491E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-9.7800621E-007,-4.5432225E-003, 0.0000000E+000,-7.9169508E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3358956E-003, 0.0000000E+000, 1.3902044E-003, 0.0000000E+000
 2.3119034E-001, 2.9896504E+001, 0.0000000E+000,-9.7357350E-007, 5.0269569E-001,-3.2249424E-010,-1.0855508E-003, 0.0000000E+000, 0.0000000E+000,-7.7713857E-003, 3.0398113E+001, 0.0000000E+000, 2.6439780E-003, 0.0000000E+000
 3.4678552E-001, 6.0636988E+001, 0.0000000E+000,-6.8586736E-001, 1.0044564E+000,-3.1097824E-002,-3.0057811E-003, 0.0000000E+000, 0.0000000E+000, 3.0321055E+001, 6.0921473E+001, 0.0000000E+000, 3.6736597E-003, 0.0000000E+000
 4.6238068E-001, 8.8403297E+001, 0.0000000E+000,-5.8747516E+000, 1.3527724E+000,-1.1767872E-001,-3.7581746E-003, 0.0000000E+000, 0.0000000E+000, 6.0377228E+001, 8.3759881E+001, 0.0000000E+000, 4.4562297E-003, 0.0000000E+000
 5.7797587E-001, 1.1127899E+002, 0.0000000E+000,-4.0886825E+001, 1.1166700E+000,-2.4925065E-001,-4.3305290E-003, 0.0000000E+000, 0.0000000E+000, 8.2670920E+001, 7.1255258E+001, 0.0000000E+000, 5.0166630E-003, 0.0000000E+000
 6.7049319E-001, 1.3376124E+002, 0.0000000E+000,-7.7285003E+001, 8.9959387E-001,-2.9222218E-001,-4.8474494E-003, 0.0000000E+000, 0.0000000E+000, 7.0316107E+001, 5.7078757E+001, 0.0000000E+000, 5.3360828E-003, 0.0000000E+000
 7.3966676E-001, 1.4958258E+002, 0.0000000E+000,-9.0209572E+001, 9.6306871E-001,-2.6949335E-001,-5.1630753E-003, 0.0000000E+000, 0.0000000E+000, 5.6560732E+001, 6.0061419E+001, 0.0000000E+000, 5.5162194E-003, 0.0000000E+000
 8.0884027E-001, 1.5173925E+002, 0.0000000E+000,-1.1084733E+002, 6.9807893E-001,-2.6253356E-001,-5.4868375E-003, 0.0000000E+000, 0.0000000E+000, 5.9910930E+001, 4.1321981E+001, 0.0000000E+000, 5.6566366E-003, 0.0000000E+000
 9.2477655E-001, 1.4362077E+002, 0.0000000E+000,-7.5553457E+001, 1.1277812E+000,-2.5335097E-001,-5.8287137E-003, 0.0000000E+000, 0.0000000E+000, 5.3163940E+001, 6.8935917E+001, 0.0000000E+000, 5.7875084E-003, 0.0000000E+000
 1.0153341E+000, 1.4042190E+002, 0.0000000E+000,-6.0594288E+001, 1.3219836E+000,-2.6098328E-001,-6.2723127E-003, 0.0000000E+000, 0.0000000E+000, 7.4614842E+001, 8.0882338E+001, 0.0000000E+000, 5.8925632E-003, 0.0000000E+000
 1.1390779E+000, 1.7993836E+002, 0.0000000E+000,-7.8401065E+001, 1.6834108E+000,-2.4887002E-001,-6.4460685E-003, 0.0000000E+000, 0.0000000E+000, 9.4593135E+001, 1.0296539E+002, 0.0000000E+000, 5.9691216E-003, 0.0000000E+000
 1.2224259E+000, 1.9442165E+002, 0.0000000E+000,-7.5728737E+001, 2.0041468E+000,-2.2960316E-001,-6.3705733E-003, 0.0000000E+000, 0.0000000E+000, 1.1310284E+002, 1.2046109E+002, 0.0000000E+000, 6.0176007E-003, 0.0000000E+000
 1.3112677E+000, 1.8721051E+002, 0.0000000E+000,-6.0026821E+001, 2.1595910E+000,-1.9456644E-001,-6.4778694E-003, 0.0000000E+000, 0.0000000E+000, 1.2819720E+002, 1.2914223E+002, 0.0000000E+000, 6.0464052E-003, 0.0000000E+000
 1.4050090E+000, 1.7783700E+002, 0.0000000E+000,-5.0448066E+001, 2.1393896E+000,-1.8492256E-001,-6.3683509E-003, 0.0000000E+000, 0.0000000E+000, 1.3037615E+002, 1.2933703E+002, 0.0000000E+000, 6.0683878E-003, 0.0000000E+000
 1.5059659E+000, 1.7131432E+002, 0.0000000E+000,-5.2665199E+001, 1.9722412E+000,-2.2516593E-001,-6.2563713E-003, 0.0000000E+000, 0.0000000E+000, 1.2210038E+002, 1.2038994E+002, 0.0000000E+000, 6.0848177E-003, 0.0000000E+000
 1.6069229E+000, 1.7239081E+002, 0.0000000E+000,-5.6735764E+001, 1.9100747E+000,-2.5265796E-001,-6.3068451E-003, 0.0000000E+000, 0.0000000E+000, 1.1660779E+002, 1.1730616E+002, 0.0000000E+000, 6.0964840E-003, 0.0000000E+000
 1.7027100E+000, 1.7648411E+002, 0.0000000E+000,-5.4385227E+001, 2.0139336E+000,-2.5390606E-001,-6.3111335E-003, 0.0000000E+000, 0.0000000E+000, 1.2325424E+002, 1.2385260E+002, 0.0000000E+000, 6.1041108E-003, 0.0000000E+000
 1.8084302E+000, 1.7191695E+002, 0.0000000E+000,-5.1224109E+001, 1.7632700E+000,-2.5380619E-001,-6.2419631E-003, 0.0000000E+000, 0.0000000E+000, 1.2297892E+002, 1.2219606E+002, 0.0000000E+000, 6.1093412E-003, 0.0000000E+000
 1.9141502E+000, 1.6806245E+002, 0.0000000E+000,-5.0442968E+001,-1.8659991E+001,-2.6523739E-001,-6.1734691E-003, 0.0000000E+000, 0.0000000E+000, 1.0265492E+002, 9.8688084E+001, 0.0000000E+000, 6.1130147E-003, 0.0000000E+000
 2.0104997E+000, 1.6736318E+002, 0.0000000E+000,-5.1670094E+001,-8.7619250E+001,-2.8591451E-001,-6.2270957E-003, 0.0000000E+000, 0.0000000E+000, 3.3479976E+001, 2.7781699E+001, 0.0000000E+000, 6.1153306E-003, 0.0000000E+000
 2.1031010E+000, 1.7270972E+002, 0.0000000E+000,-5.1349354E+001,-1.5001246E+002,-2.9517230E-001,-6.3466085E-003, 0.0000000E+000, 0.0000000E+000,-2.8458312E+001,-2.8953620E+001, 0.0000000E+000, 6.1167969E-003, 0.0000000E+000
 2.2023168E+000, 1.7698933E+002, 0.0000000E+000,-5.0173888E+001,-1.4536419E+002,-2.9400151E-001,-6.4572306E-003, 0.0000000E+000, 0.0000000E+000,-2.0610616E+001,-1.8849199E+001, 0.0000000E+000, 6.1178194E-003, 0.0000000E+000
 2.3128800E+000, 1.7618555E+002, 0.0000000E+000,-4.6662020E+001,-1.3553625E+002,-2.8490468E-001,-6.5088387E-003, 0.0000000E+000, 0.0000000E+000,-6.6774601E+000,-6.3041297E+000, 0.0000000E+000, 6.1185637E-003, 0.0000000E+000
 2.4045043E+000, 1.7193339E+002, 0.0000000E+000,-4.2328587E+001,-1.2961209E+002,-2.8093054E-001,-6.5017078E-003, 0.0000000E+000, 0.0000000E+000,-2.1672079E-001,-2.9471425E-001, 0.0000000E+000, 6.1190422E-003, 0.0000000E+000
 2.5092177E+000, 1.6915234E+002, 0.0000000E+000,-4.0746049E+001,-1.4323544E+002,-2.8330529E-001,-6.4798017E-003, 0.0000000E+000, 0.0000000E+000,-1.3778429E+001,-1.5118933E+001, 0.0000000E+000, 6.1193521E-003, 0.0000000E+000
 2.6031384E+000, 1.6957434E+002, 0.0000000E+000,-4.1589387E+001,-1.6393066E+002,-2.9680952E-001,-6.4663928E-003, 0.0000000E+000, 0.0000000E+000,-3.4870238E+001,-3.6248986E+001, 0.0000000E+000, 6.1195639E-003, 0.0000000E+000
 2.7087991E+000, 1.7006121E+002, 0.0000000E+000,-4.2488317E+001,-1.6871612E+002,-3.3380196E-001,-6.4719436E-003, 0.0000000E+000, 0.0000000E+000,-4.1214165E+001,-4.1483506E+001, 0.0000000E+000, 6.1197070E-003, 0.0000000E+000
 2.8027198E+000, 1.7041058E+002, 0.0000000E+000,-4.2324174E+001,-1.6587109E+002,-3.5406555E-001,-6.4753608E-003, 0.0000000E+000, 0.0000000E+000,-3.9661431E+001,-3.8145230E+001, 0.0000000E+000, 6.1198037E-003, 0.0000000E+000
 2.9001625E+000, 1.7051926E+002, 0.0000000E+000,-4.1553919E+001,-1.4512729E+002,-3.6213312E-001,-6.4747393E-003, 0.0000000E+000, 0.0000000E+000,-1.7113373E+001,-1.6530559E+001, 0.0000000E+000, 6.1198662E-003, 0.0000000E+000
 3.0034752E+000, 1.7022170E+002, 0.0000000E+000,-4.0456651E+001,-1.4134627E+002,-3.8307756E-001,-6.4693158E-003, 0.0000000E+000, 0.0000000E+000,-1.2491212E+001,-1.1970769E+001, 0.0000000E+000, 6.1199105E-003, 0.0000000E+000
 3.1067879E+000, 1.6924890E+002, 0.0000000E+000,-3.9117744E+001,-1.3299010E+002,-3.6679355E-001,-6.4555726E-003, 0.0000000E+000, 0.0000000E+000,-3.0524332E+000,-3.2321908E+000, 0.0000000E+000, 6.1199408E-003, 0.0000000E+000
 3.2101007E+000, 1.6848475E+002, 0.0000000E+000,-3.8332772E+001,-1.3807462E+002,-3.7713831E-001,-6.4251638E-003, 0.0000000E+000, 0.0000000E+000,-7.6510603E+000,-8.3061991E+000, 0.0000000E+000, 6.1199608E-003, 0.0000000E+000
 3.3004992E+000, 1.6821221E+002, 0.0000000E+000,-3.8271339E+001,-1.4307828E+002,-3.9146786E-001,-6.3923288E-003, 0.0000000E+000, 0.0000000E+000,-1.3790444E+001,-1.3535274E+001, 0.0000000E+000, 6.1199735E-003, 0.0000000E+000
 3.4038119E+000, 1.6802475E+002, 0.0000000E+000,-3.8430092E+001,-1.3726802E+002,-3.8942388E-001,-6.3724360E-003, 0.0000000E+000, 0.0000000E+000,-8.4469979E+000,-8.0691567E+000, 0.0000000E+000, 6.1199820E-003, 0.0000000E+000
 3.5071247E+000, 1.6824896E+002, 0.0000000E+000,-3.8669206E+001,-1.3374745E+002,-4.2915168E-001,-6.3716804E-003, 0.0000000E+000, 0.0000000E+000,-4.5908045E+000,-4.6032174E+000, 0.0000000E+000, 6.1199881E-003, 0.0000000E+000
 3.6104374E+000, 1.6922616E+002, 0.0000000E+000,-3.9560587E+001,-1.3055161E+002,-4.4094195E-001,-6.3740317E-003, 0.0000000E+000, 0.0000000E+000,-1.4517580E+000,-1.3333515E+000, 0.0000000E+000, 6.1199921E-003, 0.0000000E+000
 3.7047102E+000, 1.6963750E+002, 0.0000000E+000,-4.0545165E+001,-1.2157943E+002,-4.2425441E-001,-6.3612212E-003, 0.0000000E+000, 0.0000000E+000, 6.5869006E+000, 7.0822968E+000, 0.0000000E+000, 6.1199947E-003, 0.0000000E+000
 3.8124108E+000, 1.6916284E+002, 0.0000000E+000,-3.9889715E+001,-1.2271927E+002,-4.4952770E-001,-6.3678529E-003, 0.0000000E+000, 0.0000000E+000, 6.8104916E+000, 6.0979577E+000, 0.0000000E+000, 6.1199965E-003, 0.0000000E+000
 3.9014485E+000, 1.6900939E+002, 0.0000000E+000,-4.0306883E+001,-1.3327183E+002,-5.0922837E-001,-6.4183827E-003, 0.0000000E+000, 0.0000000E+000,-5.1372417E+000,-5.0849696E+000, 0.0000000E+000, 6.1199976E-003, 0.0000000E+000
 4.0032058E+000, 1.6851962E+002, 0.0000000E+000,-3.9952760E+001,-1.2370905E+002,-4.3919269E-001,-6.4598990E-003, 0.0000000E+000, 0.0000000E+000, 4.2690748E+000, 4.4121543E+000, 0.0000000E+000, 6.1199984E-003, 0.0000000E+000
 4.1049628E+000, 1.6815672E+002, 0.0000000E+000,-3.8478698E+001,-1.3080335E+002,-4.2153133E-001,-6.4454075E-003, 0.0000000E+000, 0.0000000E+000,-1.0947930E+000,-1.5533054E+000, 0.0000000E+000, 6.1199989E-003, 0.0000000E+000
 4.2067204E+000, 1.6986188E+002, 0.0000000E+000,-3.8026284E+001,-1.2670420E+002,-4.5330782E-001,-6.4533822E-003, 0.0000000E+000, 0.0000000E+000, 3.4216844E+000, 4.6716271E+000, 0.0000000E+000, 6.1199993E-003, 0.0000000E+000
 4.3011007E+000, 1.7201111E+002, 0.0000000E+000,-3.8151592E+001,-1.2466560E+002,-4.7420333E-001,-6.4360309E-003, 0.0000000E+000, 0.0000000E+000, 8.8648091E+000, 8.7132779E+000, 0.0000000E+000, 6.1199995E-003, 0.0000000E+000
 4.4005570E+000, 1.7159598E+002, 0.0000000E+000,-3.7009251E+001,-1.2575158E+002,-4.4682105E-001,-6.4712281E-003, 0.0000000E+000, 0.0000000E+000, 8.2407377E+000, 8.3818570E+000, 0.0000000E+000, 6.1199997E-003, 0.0000000E+000
 4.5024996E+000, 1.7050918E+002, 0.0000000E+000,-3.6223833E+001,-1.2124889E+002,-4.3044073E-001,-6.5252989E-003, 0.0000000E+000, 0.0000000E+000, 1.1978740E+001, 1.2599493E+001, 0.0000000E+000, 6.1199998E-003, 0.0000000E+000
 4.6119018E+000, 1.6963389E+002, 0.0000000E+000,-3.6291435E+001,-1.1332504E+002,-4.1449140E-001,-6.5443570E-003, 0.0000000E+000, 0.0000000E+000, 2.0173003E+001, 1.9596375E+001, 0.0000000E+000, 6.1199999E-003, 0.0000000E+000
 4.7076283E+000, 1.6796485E+002, 0.0000000E+000,-3.6557174E+001,-1.1812991E+002,-3.9290679E-001,-6.5820106E-003, 0.0000000E+000, 0.0000000E+000, 1.2843284E+001, 1.2878276E+001, 0.0000000E+000, 6.1199999E-003, 0.0000000E+000
 4.8083797E+000, 1.6866483E+002, 0.0000000E+000,-3.7232957E+001,-1.1817951E+002,-4.0747946E-001,-6.5740263E-003, 0.0000000E+000, 0.0000000E+000, 1.2940723E+001, 1.2838313E+001, 0.0000000E+000, 6.1199999E-003, 0.0000000E+000
 4.9039412E+000, 1.7139933E+002, 0.0000000E+000,-3.9886793E+001,-1.1635751E+002,-4.1656984E-001,-6.5391059E-003, 0.0000000E+000, 0.0000000E+000, 1.4559631E+001, 1.4731917E+001, 0.0000000E+000, 6.1200000E-003, 0.0000000E+000
 5.0054746E+000, 1.7117431E+002, 0.0000000E+000,-3.9906081E+001,-1.3018823E+002,-4.6202028E-001,-6.5627167E-003, 0.0000000E+000, 0.0000000E+000, 1.4216562E+000, 6.1141535E-001, 0.0000000E+000, 6.1200000E-003, 0.0000000E+000
 5.1086869E+000, 1.7182438E+002, 0.0000000E+000,-3.8911527E+001,-1.2110332E+002,-4.7286652E-001,-6.5271661E-003, 0.0000000E+000, 0.0000000E+000, 9.4680235E+000, 1.1330137E+001, 0.0000000E+000, 6.1200000E-003, 0.0000000E+000
 5.2041826E+000, 1.6918346E+002, 0.0000000E+000,-3.6287309E+001,-9.9808643E+001,-4.5459209E-001,-6.4472785E-003, 0.0000000E+000, 0.0000000E+000, 3.2087657E+001, 3.2626467E+001, 0.0000000E+000, 6.1200000E-003, 0.0000000E+000
