s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 2.0000011E+001
 4.6238068E-001, 2.0000009E+001
 5.7797585E-001, 2.0000004E+001
 6.4084922E-001, 2.0000004E+001
 7.0159001E-001, 2.0000584E+001
 7.6233080E-001, 2.0001172E+001
 8.2307159E-001, 2.0001760E+001
 8.6430856E-001, 2.0005273E+001
 9.0554554E-001, 2.0008796E+001
 9.4678251E-001, 2.0012326E+001
 9.8245102E-001, 2.0017921E+001
 1.0140105E+000, 2.0022878E+001
 1.0414666E+000, 2.0027199E+001
 1.0689227E+000, 2.0031869E+001
 1.0918768E+000, 2.0035780E+001
 1.1148309E+000, 2.0039697E+001
 1.1377849E+000, 2.0043815E+001
 1.1559090E+000, 2.0047072E+001
 1.1740330E+000, 2.0050333E+001
 1.1921570E+000, 2.0053766E+001
 1.2102810E+000, 2.0057203E+001
 1.2284051E+000, 2.0060645E+001
 1.2465291E+000, 2.0064588E+001
 1.2646531E+000, 2.0068536E+001
 1.2827771E+000, 2.0072488E+001
 1.3009012E+000, 2.0076587E+001
 1.3190252E+000, 2.0080690E+001
 1.3371492E+000, 2.0084797E+001
 1.3552732E+000, 2.0089206E+001
 1.3733972E+000, 2.0093617E+001
 1.3915213E+000, 2.0098028E+001
 1.4096453E+000, 2.0102642E+001
 1.4277693E+000, 2.0107254E+001
 1.4458933E+000, 2.0111862E+001
 1.4640174E+000, 2.0116467E+001
 1.4821414E+000, 2.0121063E+001
 1.5002654E+000, 2.0125650E+001
 1.5183894E+000, 2.0130366E+001
 1.5365135E+000, 2.0135068E+001
 1.5546375E+000, 2.0139752E+001
 1.5727615E+000, 2.0144791E+001
 1.5890457E+000, 2.0149299E+001
 1.6053300E+000, 2.0153784E+001
 1.6216142E+000, 2.0158927E+001
 1.6358924E+000, 2.0163414E+001
 1.6501706E+000, 2.0167878E+001
 1.6644488E+000, 2.0172580E+001
 1.6787270E+000, 2.0177257E+001
 1.6930052E+000, 2.0181907E+001
 1.7072833E+000, 2.0186575E+001
 1.7199282E+000, 2.0190685E+001
 1.7325730E+000, 2.0194770E+001
 1.7452178E+000, 2.0198775E+001
 1.7578627E+000, 2.0202751E+001
 1.7705075E+000, 2.0206697E+001
 1.7831523E+000, 2.0210363E+001
 1.7957971E+000, 2.0214000E+001
 1.8084420E+000, 2.0217608E+001
 1.8349961E+000, 2.0222382E+001
 1.8628147E+000, 2.0228720E+001
 1.8906334E+000, 2.0234573E+001
 1.9323613E+000, 2.0241590E+001
 1.9601799E+000, 2.0248418E+001
 1.9879985E+000, 2.0253821E+001
 2.0158172E+000, 2.0259264E+001
 2.0436358E+000, 2.0264913E+001
 2.0714544E+000, 2.0270647E+001
 2.1131824E+000, 2.0277897E+001
 2.1410010E+000, 2.0285012E+001
 2.1688196E+000, 2.0290514E+001
 2.1966382E+000, 2.0295899E+001
 2.2244568E+000, 2.0301135E+001
 2.2522755E+000, 2.0306252E+001
 2.2800941E+000, 2.0311284E+001
 2.3186887E+000, 2.0317079E+001
 2.3433739E+000, 2.0322595E+001
 2.3816360E+000, 2.0328065E+001
 2.4087898E+000, 2.0333657E+001
 2.4359436E+000, 2.0338171E+001
 2.4630974E+000, 2.0342641E+001
