s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 2.0000009E+001
 4.6238068E-001, 2.0000001E+001
 5.5256601E-001, 1.9999992E+001
 6.1206529E-001, 1.9999988E+001
 6.6672591E-001, 2.0000666E+001
 7.2138652E-001, 2.0001349E+001
 7.7604713E-001, 2.0002035E+001
 8.2007364E-001, 2.0006268E+001
 8.5256173E-001, 2.0009400E+001
 8.8504982E-001, 2.0012540E+001
 9.1753791E-001, 2.0017763E+001
 9.4542706E-001, 2.0022257E+001
 9.6992573E-001, 2.0026214E+001
 9.9442440E-001, 2.0030508E+001
 1.0159182E+000, 2.0034285E+001
 1.0374120E+000, 2.0038071E+001
 1.0553767E+000, 2.0041405E+001
 1.0733415E+000, 2.0044748E+001
 1.0894341E+000, 2.0047749E+001
 1.1055268E+000, 2.0050880E+001
 1.1216195E+000, 2.0054018E+001
 1.1377121E+000, 2.0057164E+001
 1.1517653E+000, 2.0060151E+001
 1.1658184E+000, 2.0063145E+001
 1.1798716E+000, 2.0066146E+001
 1.1939247E+000, 2.0069282E+001
 1.2079779E+000, 2.0072424E+001
 1.2220310E+000, 2.0075573E+001
 1.2360842E+000, 2.0078887E+001
 1.2501373E+000, 2.0082206E+001
 1.2641904E+000, 2.0085529E+001
 1.2782436E+000, 2.0088942E+001
 1.2922967E+000, 2.0092359E+001
 1.3063499E+000, 2.0095777E+001
 1.3204030E+000, 2.0099157E+001
 1.3344562E+000, 2.0102537E+001
 1.3485093E+000, 2.0105916E+001
 1.3625625E+000, 2.0109125E+001
 1.3780209E+000, 2.0112652E+001
 1.3934794E+000, 2.0116173E+001
 1.4089378E+000, 2.0119733E+001
 1.4222445E+000, 2.0122790E+001
 1.4355511E+000, 2.0125840E+001
 1.4488577E+000, 2.0129289E+001
 1.4621643E+000, 2.0132724E+001
 1.4754709E+000, 2.0136141E+001
 1.4887776E+000, 2.0139849E+001
 1.5020842E+000, 2.0143534E+001
 1.5363743E+000, 2.0149776E+001
 1.5680776E+000, 2.0158307E+001
 1.5984874E+000, 2.0165563E+001
 1.6288972E+000, 2.0171795E+001
 1.6593070E+000, 2.0176926E+001
 1.6805938E+000, 2.0180738E+001
 1.7140446E+000, 2.0184580E+001
 1.7474954E+000, 2.0189069E+001
 1.7809462E+000, 2.0193525E+001
 1.8032467E+000, 2.0197354E+001
 1.8366974E+000, 2.0201294E+001
 1.8701482E+000, 2.0205871E+001
 1.8924487E+000, 2.0209436E+001
 1.9258995E+000, 2.0212810E+001
 1.9593503E+000, 2.0216730E+001
 1.9816508E+000, 2.0219937E+001
 2.0121166E+000, 2.0222793E+001
 2.0482372E+000, 2.0226339E+001
 2.0734449E+000, 2.0229445E+001
 2.1078955E+000, 2.0232165E+001
 2.1356240E+000, 2.0234752E+001
 2.1652011E+000, 2.0237053E+001
 2.1957024E+000, 2.0239432E+001
 2.2262038E+000, 2.0241888E+001
 2.2567051E+000, 2.0244442E+001
 2.2882232E+000, 2.0247141E+001
 2.3105908E+000, 2.0249529E+001
 2.3441423E+000, 2.0251995E+001
 2.3776938E+000, 2.0255009E+001
 2.4076370E+000, 2.0257902E+001
 2.4375803E+000, 2.0260752E+001
 2.4675235E+000, 2.0263634E+001
