s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2904675E-006,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2904675E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-8.1313894E-008,-1.7830756E-003, 0.0000000E+000,-3.6562552E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1487824E-003, 0.0000000E+000, 6.3502274E-004, 0.0000000E+000
 2.3498102E-001, 1.3553833E+001, 0.0000000E+000,-8.0113887E-008, 2.6630869E-001, 4.0516473E-010,-5.0466419E-004, 0.0000000E+000, 0.0000000E+000,-3.3917626E-003, 1.3819637E+001, 0.0000000E+000, 1.2058401E-003, 0.0000000E+000
 3.5247153E-001, 4.4914677E+000, 0.0000000E+000,-1.6034405E-001, 5.0054755E-002,-1.3385868E-002,-1.3177977E-003, 0.0000000E+000, 0.0000000E+000, 1.3649429E+001, 4.3664748E+000, 0.0000000E+000, 1.6718289E-003, 0.0000000E+000
 4.6996203E-001, 9.5990474E+001, 0.0000000E+000,-9.6910898E-001, 1.6000738E+000,-1.7608569E-002,-6.9103007E-004, 0.0000000E+000, 0.0000000E+000, 4.5995276E+000, 9.6603139E+001, 0.0000000E+000, 2.0232356E-003, 0.0000000E+000
 5.1692510E-001, 7.0798745E+001, 0.0000000E+000,-9.9014384E+000, 9.8907703E-001,-1.0083107E-001,-2.1640308E-003, 0.0000000E+000, 0.0000000E+000, 9.4665673E+001, 6.1783388E+001, 0.0000000E+000, 2.1340327E-003, 0.0000000E+000
 5.6388813E-001, 7.9408156E+001, 0.0000000E+000,-2.6785106E+001, 8.3870933E-001,-1.1627020E-001,-1.8257373E-003, 0.0000000E+000, 0.0000000E+000, 6.2290463E+001, 5.3343663E+001, 0.0000000E+000, 2.2298268E-003, 0.0000000E+000
 6.1554748E-001, 9.0504900E+001, 0.0000000E+000,-4.6363926E+001, 7.0614010E-001,-1.3945391E-001,-1.9431358E-003, 0.0000000E+000, 0.0000000E+000, 5.4032748E+001, 4.4705717E+001, 0.0000000E+000, 2.3196516E-003, 0.0000000E+000
 6.7237276E-001, 8.8049839E+001, 0.0000000E+000,-5.8077906E+001, 5.0670741E-001,-1.4127444E-001,-2.2178894E-003, 0.0000000E+000, 0.0000000E+000, 4.4086966E+001, 3.0335149E+001, 0.0000000E+000, 2.4019659E-003, 0.0000000E+000
 7.3488057E-001, 6.7674590E+001, 0.0000000E+000,-3.3868815E+001, 5.7487968E-001,-1.1077279E-001,-2.4467895E-003, 0.0000000E+000, 0.0000000E+000, 3.0040897E+001, 3.4267435E+001, 0.0000000E+000, 2.4755118E-003, 0.0000000E+000
 8.0363917E-001, 7.8713665E+001, 0.0000000E+000,-4.4419284E+001, 5.6503970E-001,-1.0438839E-001,-2.6567764E-003, 0.0000000E+000, 0.0000000E+000, 3.3861750E+001, 3.4752376E+001, 0.0000000E+000, 2.5394268E-003, 0.0000000E+000
 8.6428201E-001, 7.2191202E+001, 0.0000000E+000,-4.4104889E+001, 5.0388640E-001,-9.8085651E-002,-2.7885560E-003, 0.0000000E+000, 0.0000000E+000, 3.4480709E+001, 2.8489325E+001, 0.0000000E+000, 2.5838143E-003, 0.0000000E+000
 9.1351658E-001, 7.8500042E+001, 0.0000000E+000,-3.2727026E+001, 7.7217716E-001,-8.7801189E-002,-2.8790416E-003, 0.0000000E+000, 0.0000000E+000, 2.8609189E+001, 4.6454513E+001, 0.0000000E+000, 2.6131203E-003, 0.0000000E+000
 9.5481575E-001, 7.7354547E+001, 0.0000000E+000,-3.2554415E+001, 7.5291731E-001,-7.7749632E-002,-2.9038562E-003, 0.0000000E+000, 0.0000000E+000, 4.6259488E+001, 4.5472396E+001, 0.0000000E+000, 2.6338139E-003, 0.0000000E+000
 9.9169630E-001, 8.0709857E+001, 0.0000000E+000,-2.9766063E+001, 8.6344761E-001,-7.5961380E-002,-2.9324231E-003, 0.0000000E+000, 0.0000000E+000, 4.5436532E+001, 5.1728347E+001, 0.0000000E+000, 2.6497227E-003, 0.0000000E+000
 1.0237145E+000, 8.1127818E+001, 0.0000000E+000,-2.6615794E+001, 9.1685543E-001,-7.1391172E-002,-2.9352369E-003, 0.0000000E+000, 0.0000000E+000, 5.1653502E+001, 5.5354553E+001, 0.0000000E+000, 2.6618161E-003, 0.0000000E+000
 1.0557327E+000, 7.9873273E+001, 0.0000000E+000,-2.5244303E+001, 9.1627413E-001,-6.8576390E-002,-2.9276905E-003, 0.0000000E+000, 0.0000000E+000, 5.5295306E+001, 5.5473740E+001, 0.0000000E+000, 2.6725005E-003, 0.0000000E+000
 1.0831778E+000, 8.0072525E+001, 0.0000000E+000,-2.3811968E+001, 9.4906589E-001,-6.5645530E-002,-2.9134343E-003, 0.0000000E+000, 0.0000000E+000, 5.5375730E+001, 5.7141064E+001, 0.0000000E+000, 2.6806589E-003, 0.0000000E+000
 1.1106229E+000, 7.9531580E+001, 0.0000000E+000,-2.1360008E+001, 9.7380181E-001,-6.4626473E-002,-2.8946798E-003, 0.0000000E+000, 0.0000000E+000, 5.7068133E+001, 5.9077853E+001, 0.0000000E+000, 2.6879899E-003, 0.0000000E+000
 1.1380678E+000, 7.9064391E+001, 0.0000000E+000,-2.0777617E+001, 9.7075292E-001,-6.4615048E-002,-2.8746955E-003, 0.0000000E+000, 0.0000000E+000, 5.9076734E+001, 5.9190037E+001, 0.0000000E+000, 2.6945755E-003, 0.0000000E+000
 1.1613663E+000, 7.9638252E+001, 0.0000000E+000,-2.0680847E+001, 9.8094623E-001,-6.4972590E-002,-2.8589042E-003, 0.0000000E+000, 0.0000000E+000, 5.9139711E+001, 5.9870520E+001, 0.0000000E+000, 2.6996367E-003, 0.0000000E+000
 1.1846647E+000, 7.9029293E+001, 0.0000000E+000,-2.0630612E+001, 9.6467878E-001,-6.6555550E-002,-2.8476383E-003, 0.0000000E+000, 0.0000000E+000, 5.9832290E+001, 5.9293957E+001, 0.0000000E+000, 2.7042557E-003, 0.0000000E+000
 1.2079631E+000, 7.8706242E+001, 0.0000000E+000,-2.1208555E+001, 9.4543304E-001,-6.8682149E-002,-2.8383230E-003, 0.0000000E+000, 0.0000000E+000, 5.9313937E+001, 5.8371599E+001, 0.0000000E+000, 2.7084706E-003, 0.0000000E+000
 1.2312616E+000, 7.8451215E+001, 0.0000000E+000,-2.1931297E+001, 9.2917791E-001,-7.1191937E-002,-2.8330109E-003, 0.0000000E+000, 0.0000000E+000, 5.8394446E+001, 5.7375071E+001, 0.0000000E+000, 2.7123160E-003, 0.0000000E+000
 1.2545600E+000, 7.8277277E+001, 0.0000000E+000,-2.2768884E+001, 9.0604473E-001,-7.4248893E-002,-2.8298224E-003, 0.0000000E+000, 0.0000000E+000, 5.7396157E+001, 5.6337359E+001, 0.0000000E+000, 2.7158240E-003, 0.0000000E+000
 1.2750440E+000, 7.8841040E+001, 0.0000000E+000,-2.3455319E+001, 9.0177099E-001,-7.7022705E-002,-2.8292768E-003, 0.0000000E+000, 0.0000000E+000, 5.6363520E+001, 5.6207640E+001, 0.0000000E+000, 2.7186527E-003, 0.0000000E+000
 1.2955279E+000, 7.8714473E+001, 0.0000000E+000,-2.4310104E+001, 8.8400222E-001,-7.9488626E-002,-2.8299999E-003, 0.0000000E+000, 0.0000000E+000, 5.6220723E+001, 5.5206053E+001, 0.0000000E+000, 2.7212614E-003, 0.0000000E+000
 1.3160119E+000, 7.8746493E+001, 0.0000000E+000,-2.5159945E+001, 8.6735949E-001,-8.1966180E-002,-2.8310096E-003, 0.0000000E+000, 0.0000000E+000, 5.5227197E+001, 5.4369110E+001, 0.0000000E+000, 2.7236672E-003, 0.0000000E+000
 1.3364959E+000, 7.9126794E+001, 0.0000000E+000,-2.5727115E+001, 8.6236102E-001,-8.3997565E-002,-2.8333659E-003, 0.0000000E+000, 0.0000000E+000, 5.4400031E+001, 5.4175209E+001, 0.0000000E+000, 2.7258855E-003, 0.0000000E+000
 1.3569798E+000, 7.9242081E+001, 0.0000000E+000,-2.6292478E+001, 8.5428130E-001,-8.5793630E-002,-2.8361208E-003, 0.0000000E+000, 0.0000000E+000, 5.4196796E+001, 5.3715254E+001, 0.0000000E+000, 2.7279309E-003, 0.0000000E+000
 1.3774638E+000, 7.9450001E+001, 0.0000000E+000,-2.6648851E+001, 8.5208413E-001,-8.7225256E-002,-2.8390200E-003, 0.0000000E+000, 0.0000000E+000, 5.3731023E+001, 5.3563170E+001, 0.0000000E+000, 2.7298168E-003, 0.0000000E+000
 1.3979478E+000, 7.9540747E+001, 0.0000000E+000,-2.6976059E+001, 8.4550966E-001,-8.8531365E-002,-2.8421726E-003, 0.0000000E+000, 0.0000000E+000, 5.3587945E+001, 5.3318824E+001, 0.0000000E+000, 2.7315554E-003, 0.0000000E+000
 1.4184318E+000, 7.9675844E+001, 0.0000000E+000,-2.7124088E+001, 8.4483562E-001,-8.9523896E-002,-2.8453822E-003, 0.0000000E+000, 0.0000000E+000, 5.3333262E+001, 5.3304223E+001, 0.0000000E+000, 2.7331583E-003, 0.0000000E+000
