s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4443015E-006,-3.3306691E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4443015E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-5.3541438E-008,-4.3821649E-003, 0.0000000E+000,-9.2569629E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3079148E-003, 0.0000000E+000, 9.3038216E-004, 0.0000000E+000
 2.3498102E-001, 3.0632259E+001, 0.0000000E+000,-5.2748846E-008, 5.9976066E-001,-7.6326956E-010,-1.2515974E-003, 0.0000000E+000, 0.0000000E+000,-8.7818385E-003, 3.1230768E+001, 0.0000000E+000, 1.7666960E-003, 0.0000000E+000
 3.5247153E-001, 3.5408110E+001, 0.0000000E+000,-7.0366045E-001, 5.5111823E-001,-3.4620401E-002,-4.5499112E-003, 0.0000000E+000, 0.0000000E+000, 2.9776907E+001, 3.5216398E+001, 0.0000000E+000, 2.4494237E-003, 0.0000000E+000
 4.6996203E-001, 9.9484120E+001, 0.0000000E+000,-1.5152498E+001, 1.2333630E+000,-8.8339256E-002,-4.7395125E-003, 0.0000000E+000, 0.0000000E+000, 3.3962828E+001, 8.5471906E+001, 0.0000000E+000, 2.9642755E-003, 0.0000000E+000
 5.4917407E-001, 9.3625160E+001, 0.0000000E+000,-1.2716966E+002,-2.3810454E-001,-1.6457999E-001,-6.0192537E-003, 0.0000000E+000, 0.0000000E+000, 7.9174752E+001,-3.3953203E+001, 0.0000000E+000, 3.2252166E-003, 0.0000000E+000
 5.8262157E-001, 1.3029185E+002, 0.0000000E+000,-2.5145659E+001, 1.6161067E+000,-1.1553657E-001,-7.8393785E-003, 0.0000000E+000, 0.0000000E+000,-3.3145721E+001, 1.0663892E+002, 0.0000000E+000, 3.3172927E-003, 0.0000000E+000
 6.1606908E-001, 1.3205813E+002, 0.0000000E+000,-7.0426759E+001, 1.0117702E+000,-1.1186892E-001,-8.1103656E-003, 0.0000000E+000, 0.0000000E+000, 1.0487119E+002, 6.2523165E+001, 0.0000000E+000, 3.3997760E-003, 0.0000000E+000
 6.5286130E-001, 1.3867001E+002, 0.0000000E+000,-6.4202803E+001, 1.2035248E+000,-1.0009976E-001,-8.4096640E-003, 0.0000000E+000, 0.0000000E+000, 6.1986775E+001, 7.5562221E+001, 0.0000000E+000, 3.4803785E-003, 0.0000000E+000
 6.9333279E-001, 1.3519102E+002, 0.0000000E+000,-7.1922673E+001, 1.0475678E+000,-1.0180750E-001,-8.8483623E-003, 0.0000000E+000, 0.0000000E+000, 7.4767678E+001, 6.4205260E+001, 0.0000000E+000, 3.5579784E-003, 0.0000000E+000
 7.3785144E-001, 1.2538968E+002, 0.0000000E+000,-6.1335713E+001, 1.0727371E+000,-9.7356459E-002,-9.2830643E-003, 0.0000000E+000, 0.0000000E+000, 6.3670398E+001, 6.5020064E+001, 0.0000000E+000, 3.6314602E-003, 0.0000000E+000
 7.8237003E-001, 1.4653536E+002, 0.0000000E+000,-6.6359527E+001, 1.2931554E+000,-9.0771802E-002,-9.5250516E-003, 0.0000000E+000, 0.0000000E+000, 6.4487496E+001, 8.1368691E+001, 0.0000000E+000, 3.6940581E-003, 0.0000000E+000
 8.2116973E-001, 1.5570648E+002, 0.0000000E+000,-7.3409683E+001, 1.3533332E+000,-8.8434769E-002,-9.6352772E-003, 0.0000000E+000, 0.0000000E+000, 8.1164549E+001, 8.3552060E+001, 0.0000000E+000, 3.7408852E-003, 0.0000000E+000
 8.5996944E-001, 1.7999972E+002, 0.0000000E+000,-8.4498319E+001, 1.5503517E+000,-9.0760662E-002,-9.7820642E-003, 0.0000000E+000, 0.0000000E+000, 8.3588125E+001, 9.6951210E+001, 0.0000000E+000, 3.7814341E-003, 0.0000000E+000
 8.8703281E-001, 1.8943263E+002, 0.0000000E+000,-8.6210263E+001, 1.6844524E+000,-8.6267105E-002,-9.7920991E-003, 0.0000000E+000, 0.0000000E+000, 9.6521838E+001, 1.0481076E+002, 0.0000000E+000, 3.8064229E-003, 0.0000000E+000
 9.1056263E-001, 2.0750894E+002, 0.0000000E+000,-9.6947751E+001, 1.8075251E+000,-8.8323617E-002,-9.8100562E-003, 0.0000000E+000, 0.0000000E+000, 1.0462289E+002, 1.1227058E+002, 0.0000000E+000, 3.8261684E-003, 0.0000000E+000
 9.3409252E-001, 2.0957363E+002, 0.0000000E+000,-1.0522216E+002, 1.7203643E+000,-8.7272544E-002,-9.8117437E-003, 0.0000000E+000, 0.0000000E+000, 1.1187638E+002, 1.0597475E+002, 0.0000000E+000, 3.8442269E-003, 0.0000000E+000
 9.5762241E-001, 2.0063298E+002, 0.0000000E+000,-1.0723143E+002, 1.5719122E+000,-8.7517613E-002,-9.7970888E-003, 0.0000000E+000, 0.0000000E+000, 1.0583343E+002, 9.4876145E+001, 0.0000000E+000, 3.8607356E-003, 0.0000000E+000
 9.7567451E-001, 1.9744604E+002, 0.0000000E+000,-9.3112215E+001, 1.7444947E+000,-8.5055007E-002,-9.7809727E-003, 0.0000000E+000, 0.0000000E+000, 9.4902015E+001, 1.0598349E+002, 0.0000000E+000, 3.8724303E-003, 0.0000000E+000
 9.9372661E-001, 1.8709788E+002, 0.0000000E+000,-8.7117793E+001, 1.6540125E+000,-8.4463671E-002,-9.7426719E-003, 0.0000000E+000, 0.0000000E+000, 1.0569047E+002, 1.0153989E+002, 0.0000000E+000, 3.8833415E-003, 0.0000000E+000
 1.0117787E+000, 1.7976157E+002, 0.0000000E+000,-8.2923046E+001, 1.5735825E+000,-8.5732633E-002,-9.7156892E-003, 0.0000000E+000, 0.0000000E+000, 1.0122599E+002, 9.8316653E+001, 0.0000000E+000, 3.8935197E-003, 0.0000000E+000
 1.0298308E+000, 1.7263565E+002, 0.0000000E+000,-7.4690193E+001, 1.5847390E+000,-8.5371650E-002,-9.6938874E-003, 0.0000000E+000, 0.0000000E+000, 9.8288704E+001, 9.9435127E+001, 0.0000000E+000, 3.9030123E-003, 0.0000000E+000
 1.0448542E+000, 1.6817041E+002, 0.0000000E+000,-7.0478218E+001, 1.5843647E+000,-8.6656357E-002,-9.7001547E-003, 0.0000000E+000, 0.0000000E+000, 9.9246289E+001, 9.9180196E+001, 0.0000000E+000, 3.9104219E-003, 0.0000000E+000
 1.0598776E+000, 1.6249782E+002, 0.0000000E+000,-6.6542882E+001, 1.5514529E+000,-8.9432823E-002,-9.7022731E-003, 0.0000000E+000, 0.0000000E+000, 9.9010560E+001, 9.7407254E+001, 0.0000000E+000, 3.9174120E-003, 0.0000000E+000
 1.0749010E+000, 1.5963498E+002, 0.0000000E+000,-6.2208461E+001, 1.5251907E+000,-1.0002963E-001,-9.6994615E-003, 0.0000000E+000, 0.0000000E+000, 9.7361872E+001, 9.8841983E+001, 0.0000000E+000, 3.9240057E-003, 0.0000000E+000
 1.0899243E+000, 1.5784480E+002, 0.0000000E+000,-6.0728196E+001, 1.4876611E+000,-1.0394598E-001,-9.6955924E-003, 0.0000000E+000, 0.0000000E+000, 9.8783652E+001, 9.8490628E+001, 0.0000000E+000, 3.9302248E-003, 0.0000000E+000
 1.1049478E+000, 1.5682510E+002, 0.0000000E+000,-6.0147382E+001, 1.4620317E+000,-1.0772261E-001,-9.6970644E-003, 0.0000000E+000, 0.0000000E+000, 9.8342546E+001, 9.8022329E+001, 0.0000000E+000, 3.9360901E-003, 0.0000000E+000
 1.1199712E+000, 1.5520796E+002, 0.0000000E+000,-5.9424479E+001, 1.4378489E+000,-1.1088452E-001,-9.7006246E-003, 0.0000000E+000, 0.0000000E+000, 9.7935164E+001, 9.7100740E+001, 0.0000000E+000, 3.9416212E-003, 0.0000000E+000
 1.1349945E+000, 1.5423775E+002, 0.0000000E+000,-5.9567678E+001, 1.4270265E+000,-1.1314335E-001,-9.7149479E-003, 0.0000000E+000, 0.0000000E+000, 9.7162674E+001, 9.5974236E+001, 0.0000000E+000, 3.9468368E-003, 0.0000000E+000
 1.1500179E+000, 1.5431053E+002, 0.0000000E+000,-5.9709113E+001, 1.3927191E+000,-1.2459923E-001,-9.7362713E-003, 0.0000000E+000, 0.0000000E+000, 9.6056442E+001, 9.5859800E+001, 0.0000000E+000, 3.9517544E-003, 0.0000000E+000
 1.1650413E+000, 1.5650914E+002, 0.0000000E+000,-6.0782143E+001, 1.3410335E+000,-1.3051830E-001,-9.7550051E-003, 0.0000000E+000, 0.0000000E+000, 9.5857559E+001, 9.6927760E+001, 0.0000000E+000, 3.9563907E-003, 0.0000000E+000
 1.1800647E+000, 1.5832560E+002, 0.0000000E+000,-6.1996746E+001, 1.3125009E+000,-1.3192889E-001,-9.7634083E-003, 0.0000000E+000, 0.0000000E+000, 9.6816813E+001, 9.7499658E+001, 0.0000000E+000, 3.9607615E-003, 0.0000000E+000
 1.1950880E+000, 1.5953232E+002, 0.0000000E+000,-6.3387033E+001, 1.2982771E+000,-1.3162789E-001,-9.7699669E-003, 0.0000000E+000, 0.0000000E+000, 9.7430057E+001, 9.7302171E+001, 0.0000000E+000, 3.9648818E-003, 0.0000000E+000
 1.2101115E+000, 1.6207353E+002, 0.0000000E+000,-6.5601614E+001, 1.3046785E+000,-1.2997402E-001,-9.7770591E-003, 0.0000000E+000, 0.0000000E+000, 9.7268403E+001, 9.7636840E+001, 0.0000000E+000, 3.9687657E-003, 0.0000000E+000
 1.2251348E+000, 1.6491627E+002, 0.0000000E+000,-6.7345480E+001, 1.2906407E+000,-1.3317208E-001,-9.7814025E-003, 0.0000000E+000, 0.0000000E+000, 9.7553517E+001, 9.8718480E+001, 0.0000000E+000, 3.9724265E-003, 0.0000000E+000
 1.2401582E+000, 1.6822493E+002, 0.0000000E+000,-6.9397453E+001, 1.2102242E+000,-1.5066144E-001,-9.7836669E-003, 0.0000000E+000, 0.0000000E+000, 9.8613950E+001, 9.9877253E+001, 0.0000000E+000, 3.9758769E-003, 0.0000000E+000
 1.2566839E+000, 1.7236578E+002, 0.0000000E+000,-7.1824255E+001, 1.1798716E+000,-1.5190911E-001,-9.7826370E-003, 0.0000000E+000, 0.0000000E+000, 9.9735242E+001, 1.0155971E+002, 0.0000000E+000, 3.9794434E-003, 0.0000000E+000
 1.2732097E+000, 1.7858225E+002, 0.0000000E+000,-7.4630048E+001, 1.2031087E+000,-1.5040441E-001,-9.7775429E-003, 0.0000000E+000, 0.0000000E+000, 1.0139649E+002, 1.0499513E+002, 0.0000000E+000, 3.9827847E-003, 0.0000000E+000
 1.2897354E+000, 1.7705681E+002, 0.0000000E+000,-7.9147495E+001, 1.1568868E+000,-1.4734632E-001,-9.7737026E-003, 0.0000000E+000, 0.0000000E+000, 1.0495473E+002, 9.8909079E+001, 0.0000000E+000, 3.9859148E-003, 0.0000000E+000
 1.3062611E+000, 1.7195001E+002, 0.0000000E+000,-7.7199486E+001, 1.0027477E+000,-1.6320014E-001,-9.7836661E-003, 0.0000000E+000, 0.0000000E+000, 9.8847374E+001, 9.5580284E+001, 0.0000000E+000, 3.9888469E-003, 0.0000000E+000
 1.3227868E+000, 1.6741932E+002, 0.0000000E+000,-7.3432837E+001, 9.1395810E-001,-1.8074504E-001,-9.7972463E-003, 0.0000000E+000, 0.0000000E+000, 9.5739279E+001, 9.4709903E+001, 0.0000000E+000, 3.9915934E-003, 0.0000000E+000
 1.3393126E+000, 1.6283443E+002, 0.0000000E+000,-7.0458671E+001, 8.7113961E-001,-1.8308492E-001,-9.8139408E-003, 0.0000000E+000, 0.0000000E+000, 9.4824953E+001, 9.3054003E+001, 0.0000000E+000, 3.9941659E-003, 0.0000000E+000
 1.3558383E+000, 1.5865272E+002, 0.0000000E+000,-6.7803598E+001, 9.1316083E-001,-1.7856206E-001,-9.8271533E-003, 0.0000000E+000, 0.0000000E+000, 9.3088941E+001, 9.1573891E+001, 0.0000000E+000, 3.9965753E-003, 0.0000000E+000
 1.3723640E+000, 1.5578575E+002, 0.0000000E+000,-6.6344738E+001, 7.7939022E-001,-1.9875915E-001,-9.8387953E-003, 0.0000000E+000, 0.0000000E+000, 9.1680897E+001, 9.0011801E+001, 0.0000000E+000, 3.9988319E-003, 0.0000000E+000
 1.3867171E+000, 1.5665967E+002, 0.0000000E+000,-6.5953092E+001, 7.4461009E-001,-2.1868432E-001,-9.8529122E-003, 0.0000000E+000, 0.0000000E+000, 9.0151057E+001, 9.1222655E+001, 0.0000000E+000, 4.0006754E-003, 0.0000000E+000
 1.4010701E+000, 1.5475035E+002, 0.0000000E+000,-6.5805558E+001, 7.3231283E-001,-2.1890146E-001,-9.8665093E-003, 0.0000000E+000, 0.0000000E+000, 9.1334324E+001, 8.9448341E+001, 0.0000000E+000, 4.0024167E-003, 0.0000000E+000
 1.4154232E+000, 1.5456915E+002, 0.0000000E+000,-6.5846522E+001, 8.1384503E-001,-2.1095157E-001,-9.8821698E-003, 0.0000000E+000, 0.0000000E+000, 8.9682075E+001, 8.9315642E+001, 0.0000000E+000, 4.0040616E-003, 0.0000000E+000
 1.4297763E+000, 1.5575945E+002, 0.0000000E+000,-6.6443483E+001, 8.1546281E-001,-2.2308912E-001,-9.8977589E-003, 0.0000000E+000, 0.0000000E+000, 8.9528357E+001, 8.9898440E+001, 0.0000000E+000, 4.0056153E-003, 0.0000000E+000
 1.4441293E+000, 1.5677430E+002, 0.0000000E+000,-6.7153379E+001, 7.9071764E-001,-2.3780326E-001,-9.9159489E-003, 0.0000000E+000, 0.0000000E+000, 9.0050608E+001, 9.0163924E+001, 0.0000000E+000, 4.0070829E-003, 0.0000000E+000
 1.4728355E+000, 1.5963478E+002, 0.0000000E+000,-6.9013735E+001, 8.8395994E-001,-2.3883423E-001,-9.9378011E-003, 0.0000000E+000, 0.0000000E+000, 9.0558618E+001, 9.1256232E+001, 0.0000000E+000, 4.0091238E-003, 0.0000000E+000
 1.5015416E+000, 1.6321764E+002, 0.0000000E+000,-7.0323154E+001, 1.0285767E+000,-2.3692708E-001,-9.9627838E-003, 0.0000000E+000, 0.0000000E+000, 9.2628733E+001, 9.3676174E+001, 0.0000000E+000, 4.0115991E-003, 0.0000000E+000
 1.5302478E+000, 1.6752528E+002, 0.0000000E+000,-7.1311884E+001, 1.1534698E+000,-2.3940116E-001,-9.9837875E-003, 0.0000000E+000, 0.0000000E+000, 9.5113027E+001, 9.7117482E+001, 0.0000000E+000, 4.0138071E-003, 0.0000000E+000
 1.5677562E+000, 1.7774579E+002, 0.0000000E+000,-7.5583340E+001, 1.3622002E+000,-2.2974393E-001,-1.0000695E-002, 0.0000000E+000, 0.0000000E+000, 1.0100569E+002, 1.0328491E+002, 0.0000000E+000, 4.0159935E-003, 0.0000000E+000
 1.5927618E+000, 1.8314658E+002, 0.0000000E+000,-7.9073990E+001, 1.3505613E+000,-2.2103146E-001,-1.0011718E-002, 0.0000000E+000, 0.0000000E+000, 1.0508674E+002, 1.0519211E+002, 0.0000000E+000, 4.0178787E-003, 0.0000000E+000
 1.6302701E+000, 1.8624300E+002, 0.0000000E+000,-7.9251023E+001,-2.0032566E+000,-2.0017216E-001,-1.0021413E-002, 0.0000000E+000, 0.0000000E+000, 1.0507918E+002, 1.0477853E+002, 0.0000000E+000, 4.0195293E-003, 0.0000000E+000
 1.6552758E+000, 1.8775212E+002, 0.0000000E+000,-7.9070063E+001,-1.8634131E+001,-1.8482818E-001,-1.0024230E-002, 0.0000000E+000, 0.0000000E+000, 9.4798140E+001, 8.9853070E+001, 0.0000000E+000, 4.0209987E-003, 0.0000000E+000
 1.6802814E+000, 1.8748588E+002, 0.0000000E+000,-7.8673363E+001,-4.6552537E+001,-1.7097735E-001,-1.0023999E-002, 0.0000000E+000, 0.0000000E+000, 6.9542683E+001, 6.2078974E+001, 0.0000000E+000, 4.0220445E-003, 0.0000000E+000
 1.7177898E+000, 1.8620586E+002, 0.0000000E+000,-7.6855471E+001,-8.8370112E+001,-1.5691395E-001,-1.0021930E-002, 0.0000000E+000, 0.0000000E+000, 2.8367731E+001, 2.0813345E+001, 0.0000000E+000, 4.0232087E-003, 0.0000000E+000
 1.7440456E+000, 1.8460066E+002, 0.0000000E+000,-7.5205041E+001,-1.2734733E+002,-1.4675732E-001,-1.0018801E-002, 0.0000000E+000, 0.0000000E+000,-1.1218812E+001,-1.8108490E+001, 0.0000000E+000, 4.0242740E-003, 0.0000000E+000
 1.7715518E+000, 1.8392881E+002, 0.0000000E+000,-7.4427096E+001,-1.5058728E+002,-1.4086609E-001,-1.0017128E-002, 0.0000000E+000, 0.0000000E+000,-3.6993563E+001,-4.1236458E+001, 0.0000000E+000, 4.0250692E-003, 0.0000000E+000
 1.8128110E+000, 1.8312051E+002, 0.0000000E+000,-7.4949914E+001,-1.6750055E+002,-1.3696024E-001,-1.0016610E-002, 0.0000000E+000, 0.0000000E+000,-5.6448511E+001,-5.9476923E+001, 0.0000000E+000, 4.0259552E-003, 0.0000000E+000
 1.8403172E+000, 1.8124469E+002, 0.0000000E+000,-7.4582886E+001,-1.7314043E+002,-1.6055564E-001,-1.0018337E-002, 0.0000000E+000, 0.0000000E+000,-6.6541960E+001,-6.6649207E+001, 0.0000000E+000, 4.0267348E-003, 0.0000000E+000
 1.8678234E+000, 1.7985156E+002, 0.0000000E+000,-7.3748722E+001,-1.6813360E+002,-2.4019803E-001,-1.0022398E-002, 0.0000000E+000, 0.0000000E+000,-6.3902749E+001,-6.2280978E+001, 0.0000000E+000, 4.0272830E-003, 0.0000000E+000
 1.8953296E+000, 1.7898581E+002, 0.0000000E+000,-7.2844304E+001,-1.6174779E+002,-2.9051274E-001,-1.0027675E-002, 0.0000000E+000, 0.0000000E+000,-5.7406825E+001,-5.5906820E+001, 0.0000000E+000, 4.0277742E-003, 0.0000000E+000
 1.9228357E+000, 1.7850589E+002, 0.0000000E+000,-7.2035080E+001,-1.5828656E+002,-4.2580184E-001,-1.0034261E-002, 0.0000000E+000, 0.0000000E+000,-5.2398664E+001,-5.2251588E+001, 0.0000000E+000, 4.0282143E-003, 0.0000000E+000
 1.9503418E+000, 1.7841257E+002, 0.0000000E+000,-7.1548413E+001,-1.5939827E+002,-4.6188362E-001,-1.0041043E-002, 0.0000000E+000, 0.0000000E+000,-5.2292573E+001,-5.3006039E+001, 0.0000000E+000, 4.0286085E-003, 0.0000000E+000
 1.9916011E+000, 1.7875951E+002, 0.0000000E+000,-7.0923613E+001,-1.6201863E+002,-5.8606925E-001,-1.0048775E-002, 0.0000000E+000, 0.0000000E+000,-5.4620079E+001,-5.4778851E+001, 0.0000000E+000, 4.0290423E-003, 0.0000000E+000
 2.0191073E+000, 1.7886774E+002, 0.0000000E+000,-7.0319930E+001,-1.6355569E+002,-5.5508676E-001,-1.0053613E-002, 0.0000000E+000, 0.0000000E+000,-5.5518273E+001,-5.5573025E+001, 0.0000000E+000, 4.0294238E-003, 0.0000000E+000
 2.0466135E+000, 1.7829544E+002, 0.0000000E+000,-6.9943238E+001,-1.5915481E+002,-5.3100508E-001,-1.0055910E-002, 0.0000000E+000, 0.0000000E+000,-5.2966723E+001,-5.1343670E+001, 0.0000000E+000, 4.0296922E-003, 0.0000000E+000
 2.0741196E+000, 1.7730423E+002, 0.0000000E+000,-6.9465424E+001,-1.4696956E+002,-4.6448073E-001,-1.0055582E-002, 0.0000000E+000, 0.0000000E+000,-4.3284062E+001,-3.9605288E+001, 0.0000000E+000, 4.0299326E-003, 0.0000000E+000
 2.1030011E+000, 1.7669052E+002, 0.0000000E+000,-6.9007094E+001,-1.3242490E+002,-4.3117330E-001,-1.0049528E-002, 0.0000000E+000, 0.0000000E+000,-2.8427012E+001,-2.5182694E+001, 0.0000000E+000, 4.0301555E-003, 0.0000000E+000
 2.1332579E+000, 1.7773330E+002, 0.0000000E+000,-6.8783788E+001,-1.2018095E+002,-3.6290460E-001,-1.0040351E-002, 0.0000000E+000, 0.0000000E+000,-1.4930511E+001,-1.1604382E+001, 0.0000000E+000, 4.0303634E-003, 0.0000000E+000
 2.1635146E+000, 1.7971410E+002, 0.0000000E+000,-6.9571280E+001,-1.1340712E+002,-3.3108404E-001,-1.0032827E-002, 0.0000000E+000, 0.0000000E+000,-5.3330196E+000,-3.6054172E+000, 0.0000000E+000, 4.0305499E-003, 0.0000000E+000
 2.1937714E+000, 1.8151228E+002, 0.0000000E+000,-7.0253097E+001,-1.0988952E+002,-3.4317449E-001,-1.0032091E-002, 0.0000000E+000, 0.0000000E+000,-5.1095071E-002, 1.0164585E+000, 0.0000000E+000, 4.0307152E-003, 0.0000000E+000
 2.2240281E+000, 1.8190816E+002, 0.0000000E+000,-7.0570623E+001,-1.0686256E+002,-3.7867748E-001,-1.0045028E-002, 0.0000000E+000, 0.0000000E+000, 3.3576611E+000, 4.0862578E+000, 0.0000000E+000, 4.0308616E-003, 0.0000000E+000
 2.2542849E+000, 1.8125626E+002, 0.0000000E+000,-6.9879982E+001,-1.0405423E+002,-3.4974691E-001,-1.0075136E-002, 0.0000000E+000, 0.0000000E+000, 6.2910986E+000, 6.9622212E+000, 0.0000000E+000, 4.0309913E-003, 0.0000000E+000
 2.2845418E+000, 1.8052025E+002, 0.0000000E+000,-6.9060707E+001,-1.0140046E+002,-3.2452137E-001,-1.0119239E-002, 0.0000000E+000, 0.0000000E+000, 9.0654557E+000, 9.7244393E+000, 0.0000000E+000, 4.0311063E-003, 0.0000000E+000
 2.3147986E+000, 1.8032716E+002, 0.0000000E+000,-6.8662244E+001,-9.9521653E+001,-3.1088355E-001,-1.0167941E-002, 0.0000000E+000, 0.0000000E+000, 1.1386770E+001, 1.1822208E+001, 0.0000000E+000, 4.0312082E-003, 0.0000000E+000
