s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4909464E-006, 5.5511151E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4909464E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-5.4484753E-008,-3.1629570E-003, 0.0000000E+000,-9.2521595E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0882275E-003, 0.0000000E+000, 5.7595086E-004, 0.0000000E+000
 2.3498102E-001, 1.8804178E+001, 0.0000000E+000,-5.4077829E-008, 3.6006481E-001, 5.6149045E-011,-1.3727057E-003, 0.0000000E+000, 0.0000000E+000,-6.1796948E-003, 1.9162870E+001, 0.0000000E+000, 1.0936689E-003, 0.0000000E+000
 3.5247153E-001, 1.4871479E+001, 0.0000000E+000,-2.5592992E-001, 2.2666048E-001,-1.9834219E-002,-3.3904609E-003, 0.0000000E+000, 0.0000000E+000, 1.8892408E+001, 1.4818985E+001, 0.0000000E+000, 1.5163099E-003, 0.0000000E+000
 4.6996203E-001, 1.0264139E+002, 0.0000000E+000,-1.9156941E+000, 1.6433140E+000,-4.0217270E-002,-3.2701675E-003, 0.0000000E+000, 0.0000000E+000, 1.5317862E+001, 1.0232553E+002, 0.0000000E+000, 1.8350277E-003, 0.0000000E+000
 5.3692198E-001, 7.8006807E+001, 0.0000000E+000,-4.6529711E+001, 5.3699963E-001,-1.3598928E-001,-4.6318992E-003, 0.0000000E+000, 0.0000000E+000, 9.8009594E+001, 3.1873474E+001, 0.0000000E+000, 1.9740990E-003, 0.0000000E+000
 6.0388190E-001, 1.0352201E+002, 0.0000000E+000,-4.7900371E+001, 8.9077145E-001,-1.2591808E-001,-5.0986719E-003, 0.0000000E+000, 0.0000000E+000, 3.3518341E+001, 5.6381397E+001, 0.0000000E+000, 2.0866746E-003, 0.0000000E+000
 6.7753780E-001, 8.7953465E+001, 0.0000000E+000,-1.1590928E+002,-3.1005817E-001,-1.5451477E-001,-5.4855234E-003, 0.0000000E+000, 0.0000000E+000, 5.4831860E+001,-2.8425876E+001, 0.0000000E+000, 2.1846140E-003, 0.0000000E+000
 7.2573525E-001, 7.2195472E+001, 0.0000000E+000,-3.0033600E+001, 7.0359417E-001,-1.0692375E-001,-5.9103013E-003, 0.0000000E+000, 0.0000000E+000,-2.8320613E+001, 4.2752633E+001, 0.0000000E+000, 2.2363742E-003, 0.0000000E+000
 7.7393270E-001, 6.6219011E+001, 0.0000000E+000,-3.2650732E+001, 5.5252408E-001,-8.7484246E-002,-6.1336739E-003, 0.0000000E+000, 0.0000000E+000, 4.2095073E+001, 3.4027185E+001, 0.0000000E+000, 2.2799278E-003, 0.0000000E+000
 8.2694989E-001, 6.9193469E+001, 0.0000000E+000,-3.0280529E+001, 6.3102169E-001,-9.1732003E-002,-6.3702178E-003, 0.0000000E+000, 0.0000000E+000, 3.3671696E+001, 3.9445859E+001, 0.0000000E+000, 2.3197595E-003, 0.0000000E+000
 8.8526875E-001, 9.8652423E+001, 0.0000000E+000,-4.0407580E+001, 9.3544205E-001,-8.7482228E-002,-6.5552226E-003, 0.0000000E+000, 0.0000000E+000, 3.9393500E+001, 5.9086247E+001, 0.0000000E+000, 2.3553961E-003, 0.0000000E+000
 9.2742884E-001, 1.1146336E+002, 0.0000000E+000,-7.1433047E+001, 7.1897009E-001,-8.9086789E-002,-6.6160390E-003, 0.0000000E+000, 0.0000000E+000, 5.8588288E+001, 4.0653580E+001, 0.0000000E+000, 2.3766946E-003, 0.0000000E+000
 9.6516204E-001, 1.0678556E+002, 0.0000000E+000,-4.3220933E+001, 1.0571467E+000,-9.4421635E-002,-6.7377242E-003, 0.0000000E+000, 0.0000000E+000, 4.0651364E+001, 6.4520614E+001, 0.0000000E+000, 2.3930639E-003, 0.0000000E+000
 1.0028952E+000, 1.0946605E+002, 0.0000000E+000,-5.8911264E+001, 8.6874792E-001,-8.3483754E-002,-6.7356287E-003, 0.0000000E+000, 0.0000000E+000, 6.4375156E+001, 5.1333316E+001, 0.0000000E+000, 2.4072283E-003, 0.0000000E+000
 1.0364529E+000, 1.1656682E+002, 0.0000000E+000,-5.1985503E+001, 1.0970637E+000,-8.8947273E-002,-6.7856507E-003, 0.0000000E+000, 0.0000000E+000, 5.1295814E+001, 6.5582646E+001, 0.0000000E+000, 2.4182053E-003, 0.0000000E+000
 1.0657134E+000, 1.1381070E+002, 0.0000000E+000,-5.1399005E+001, 1.0549880E+000,-8.0140969E-002,-6.7609548E-003, 0.0000000E+000, 0.0000000E+000, 6.5505157E+001, 6.3379779E+001, 0.0000000E+000, 2.4266785E-003, 0.0000000E+000
 1.0949739E+000, 1.1055741E+002, 0.0000000E+000,-4.9956158E+001, 1.0288776E+000,-8.0697920E-002,-6.7457721E-003, 0.0000000E+000, 0.0000000E+000, 6.3288433E+001, 6.1542688E+001, 0.0000000E+000, 2.4342405E-003, 0.0000000E+000
 1.1201563E+000, 1.1111788E+002, 0.0000000E+000,-4.4343682E+001, 1.1289749E+000,-7.8768757E-002,-6.7241052E-003, 0.0000000E+000, 0.0000000E+000, 6.1500085E+001, 6.7817678E+001, 0.0000000E+000, 2.4400922E-003, 0.0000000E+000
 1.1453388E+000, 1.0899077E+002, 0.0000000E+000,-4.4080416E+001, 1.0896956E+000,-7.8567371E-002,-6.7024066E-003, 0.0000000E+000, 0.0000000E+000, 6.7761937E+001, 6.5914785E+001, 0.0000000E+000, 2.4453951E-003, 0.0000000E+000
 1.1705211E+000, 1.0749482E+002, 0.0000000E+000,-4.4392169E+001, 1.0586535E+000,-7.9386730E-002,-6.6820063E-003, 0.0000000E+000, 0.0000000E+000, 6.5883353E+001, 6.4075238E+001, 0.0000000E+000, 2.4501997E-003, 0.0000000E+000
