s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3124266E-005,-1.9428903E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3124266E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-1.0616200E-007,-2.2563066E-003, 0.0000000E+000,-6.0126825E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8576810E-003, 0.0000000E+000, 7.6055049E-004, 0.0000000E+000
 2.3498102E-001, 1.5529712E+001, 0.0000000E+000,-1.0276469E-007, 3.0296255E-001, 1.8891607E-009,-8.1965375E-004, 0.0000000E+000, 0.0000000E+000,-4.0925739E-003, 1.5831855E+001, 0.0000000E+000, 1.4442038E-003, 0.0000000E+000
 3.5247153E-001, 5.4129046E+000, 0.0000000E+000,-1.9431826E-001, 7.4873866E-002,-1.5503101E-002,-2.3250026E-003, 0.0000000E+000, 0.0000000E+000, 1.5398079E+001, 5.2756321E+000, 0.0000000E+000, 2.0023067E-003, 0.0000000E+000
 4.6996203E-001, 9.4326885E+001, 0.0000000E+000,-1.2796614E+000, 1.5550506E+000,-2.1306973E-002,-1.0996061E-003, 0.0000000E+000, 0.0000000E+000, 5.5597133E+000, 9.4579867E+001, 0.0000000E+000, 2.4231776E-003, 0.0000000E+000
 5.3373301E-001, 6.2419219E+001, 0.0000000E+000,-1.7419855E+001, 7.2252281E-001,-1.0510558E-001,-3.4894024E-003, 0.0000000E+000, 0.0000000E+000, 9.1511528E+001, 4.5613292E+001, 0.0000000E+000, 2.5989113E-003, 0.0000000E+000
 5.9750402E-001, 7.9606526E+001, 0.0000000E+000,-3.9903654E+001, 6.2758193E-001,-1.3333723E-001,-3.5609686E-003, 0.0000000E+000, 0.0000000E+000, 4.6326977E+001, 4.0193555E+001, 0.0000000E+000, 2.7426860E-003, 0.0000000E+000
 6.6765207E-001, 1.0275606E+002, 0.0000000E+000,-5.1491182E+001, 8.3125080E-001,-1.3284599E-001,-3.9127337E-003, 0.0000000E+000, 0.0000000E+000, 4.0400767E+001, 5.1959372E+001, 0.0000000E+000, 2.8692990E-003, 0.0000000E+000
 7.3433161E-001, 8.9340547E+001, 0.0000000E+000,-6.2930690E+001, 4.8959185E-001,-1.3022587E-001,-4.3063929E-003, 0.0000000E+000, 0.0000000E+000, 5.1161441E+001, 2.6764916E+001, 0.0000000E+000, 2.9641657E-003, 0.0000000E+000
 7.9417956E-001, 7.3126242E+001, 0.0000000E+000,-2.7929328E+001, 7.6056813E-001,-1.0411691E-001,-4.7357444E-003, 0.0000000E+000, 0.0000000E+000, 2.6646567E+001, 4.5848630E+001, 0.0000000E+000, 3.0319817E-003, 0.0000000E+000
 8.5402751E-001, 8.5095876E+001, 0.0000000E+000,-3.6487744E+001, 8.0970188E-001,-9.7631774E-002,-4.9804442E-003, 0.0000000E+000, 0.0000000E+000, 4.5617341E+001, 4.9315221E+001, 0.0000000E+000, 3.0864023E-003, 0.0000000E+000
 9.0473193E-001, 9.2309601E+001, 0.0000000E+000,-4.2162003E+001, 8.5883772E-001,-9.2827335E-002,-5.1376388E-003, 0.0000000E+000, 0.0000000E+000, 4.8876958E+001, 5.0908470E+001, 0.0000000E+000, 3.1238741E-003, 0.0000000E+000
 9.4338048E-001, 9.7743423E+001, 0.0000000E+000,-3.5967908E+001, 1.0376553E+000,-8.8486466E-002,-5.2303253E-003, 0.0000000E+000, 0.0000000E+000, 5.0868805E+001, 6.2719453E+001, 0.0000000E+000, 3.1479753E-003, 0.0000000E+000
 9.8202896E-001, 9.6670034E+001, 0.0000000E+000,-3.5656948E+001, 1.0321177E+000,-8.4309777E-002,-5.2819220E-003, 0.0000000E+000, 0.0000000E+000, 6.2526976E+001, 6.1955612E+001, 0.0000000E+000, 3.1687687E-003, 0.0000000E+000
 1.0142014E+000, 9.8690307E+001, 0.0000000E+000,-3.3824118E+001, 1.0991988E+000,-8.3760357E-002,-5.3198882E-003, 0.0000000E+000, 0.0000000E+000, 6.1791956E+001, 6.5876308E+001, 0.0000000E+000, 3.1838710E-003, 0.0000000E+000
 1.0427278E+000, 9.9286780E+001, 0.0000000E+000,-3.0230745E+001, 1.1723605E+000,-7.9802889E-002,-5.3246457E-003, 0.0000000E+000, 0.0000000E+000, 6.5806939E+001, 7.0143268E+001, 0.0000000E+000, 3.1957787E-003, 0.0000000E+000
 1.0712541E+000, 9.6770489E+001, 0.0000000E+000,-2.9156233E+001, 1.1532486E+000,-7.6022016E-002,-5.3081011E-003, 0.0000000E+000, 0.0000000E+000, 7.0066692E+001, 6.8686174E+001, 0.0000000E+000, 3.2064394E-003, 0.0000000E+000
 1.0997806E+000, 9.3388539E+001, 0.0000000E+000,-2.7212514E+001, 1.1286728E+000,-7.2284806E-002,-5.2706498E-003, 0.0000000E+000, 0.0000000E+000, 6.8601826E+001, 6.7227143E+001, 0.0000000E+000, 3.2159800E-003, 0.0000000E+000
 1.1235257E+000, 9.3185539E+001, 0.0000000E+000,-2.3451088E+001, 1.1916001E+000,-6.9851061E-002,-5.2217584E-003, 0.0000000E+000, 0.0000000E+000, 6.7103931E+001, 7.0850979E+001, 0.0000000E+000, 3.2231504E-003, 0.0000000E+000
 1.1472709E+000, 9.2490548E+001, 0.0000000E+000,-2.2108120E+001, 1.1998522E+000,-6.9204076E-002,-5.1846459E-003, 0.0000000E+000, 0.0000000E+000, 7.0806364E+001, 7.1507892E+001, 0.0000000E+000, 3.2296849E-003, 0.0000000E+000
 1.1710161E+000, 9.1174011E+001, 0.0000000E+000,-2.1945089E+001, 1.1732312E+000,-6.9465808E-002,-5.1522756E-003, 0.0000000E+000, 0.0000000E+000, 7.1493165E+001, 7.0327535E+001, 0.0000000E+000, 3.2356387E-003, 0.0000000E+000
 1.1922988E+000, 9.0406643E+001, 0.0000000E+000,-2.2233246E+001, 1.1524601E+000,-7.0072469E-002,-5.1346930E-003, 0.0000000E+000, 0.0000000E+000, 7.0288372E+001, 6.9250650E+001, 0.0000000E+000, 3.2405232E-003, 0.0000000E+000
 1.2135816E+000, 8.9706305E+001, 0.0000000E+000,-2.2574002E+001, 1.1341885E+000,-7.2153439E-002,-5.1267040E-003, 0.0000000E+000, 0.0000000E+000, 6.9268015E+001, 6.8189211E+001, 0.0000000E+000, 3.2450155E-003, 0.0000000E+000
 1.2348642E+000, 8.9554216E+001, 0.0000000E+000,-2.3465688E+001, 1.1128834E+000,-7.5062662E-002,-5.1226137E-003, 0.0000000E+000, 0.0000000E+000, 6.8247926E+001, 6.7121227E+001, 0.0000000E+000, 3.2491467E-003, 0.0000000E+000
 1.2561469E+000, 8.9037746E+001, 0.0000000E+000,-2.4266424E+001, 1.0865624E+000,-7.8567973E-002,-5.1184159E-003, 0.0000000E+000, 0.0000000E+000, 6.7202045E+001, 6.5774199E+001, 0.0000000E+000, 3.2529453E-003, 0.0000000E+000
 1.2774297E+000, 8.8788111E+001, 0.0000000E+000,-2.5414224E+001, 1.0608070E+000,-8.2154858E-002,-5.1184460E-003, 0.0000000E+000, 0.0000000E+000, 6.5836048E+001, 6.4347420E+001, 0.0000000E+000, 3.2564378E-003, 0.0000000E+000
 1.2987124E+000, 8.8849783E+001, 0.0000000E+000,-2.6415875E+001, 1.0442566E+000,-8.5421584E-002,-5.1242422E-003, 0.0000000E+000, 0.0000000E+000, 6.4405430E+001, 6.3387619E+001, 0.0000000E+000, 3.2596486E-003, 0.0000000E+000
 1.3199952E+000, 8.9098592E+001, 0.0000000E+000,-2.7361891E+001, 1.0307400E+000,-8.8122357E-002,-5.1352782E-003, 0.0000000E+000, 0.0000000E+000, 6.3416489E+001, 6.2674183E+001, 0.0000000E+000, 3.2626001E-003, 0.0000000E+000
 1.3412778E+000, 8.9690737E+001, 0.0000000E+000,-2.7929706E+001, 1.0298417E+000,-9.0078624E-002,-5.1479907E-003, 0.0000000E+000, 0.0000000E+000, 6.2730369E+001, 6.2695646E+001, 0.0000000E+000, 3.2653131E-003, 0.0000000E+000
 1.3625605E+000, 9.0740645E+001, 0.0000000E+000,-2.8320786E+001, 1.0386138E+000,-9.1244435E-002,-5.1593372E-003, 0.0000000E+000, 0.0000000E+000, 6.2729866E+001, 6.3362069E+001, 0.0000000E+000, 3.2678067E-003, 0.0000000E+000
 1.3838433E+000, 9.1361219E+001, 0.0000000E+000,-2.8483152E+001, 1.0479305E+000,-9.1834576E-002,-5.1687948E-003, 0.0000000E+000, 0.0000000E+000, 6.3312035E+001, 6.3828994E+001, 0.0000000E+000, 3.2700985E-003, 0.0000000E+000
 1.4051260E+000, 9.2320455E+001, 0.0000000E+000,-2.8502141E+001, 1.0622046E+000,-9.1956873E-002,-5.1753527E-003, 0.0000000E+000, 0.0000000E+000, 6.3781969E+001, 6.4783387E+001, 0.0000000E+000, 3.2722046E-003, 0.0000000E+000
 1.4264088E+000, 9.2773138E+001, 0.0000000E+000,-2.8297331E+001, 1.0756666E+000,-9.1868553E-002,-5.1780058E-003, 0.0000000E+000, 0.0000000E+000, 6.4721312E+001, 6.5454427E+001, 0.0000000E+000, 3.2741401E-003, 0.0000000E+000
