s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4327199E-006, 3.3306691E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4327199E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-5.3258577E-008,-9.3533511E-004, 0.0000000E+000,-6.3551143E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5708998E-003, 0.0000000E+000, 9.3776614E-004, 0.0000000E+000
 2.3498102E-001, 3.3256260E+001, 0.0000000E+000,-4.8057937E-008, 5.6560155E-001, 1.3548119E-009,-8.8235954E-004, 0.0000000E+000, 0.0000000E+000,-2.5072351E-003, 3.3820979E+001, 0.0000000E+000, 1.7807174E-003, 0.0000000E+000
 3.5247153E-001, 6.3974790E+001, 0.0000000E+000,-1.3870666E+000, 1.0158279E+000,-3.1295559E-002,-3.6710726E-003, 0.0000000E+000, 0.0000000E+000, 3.1517921E+001, 6.3568585E+001, 0.0000000E+000, 2.4688636E-003, 0.0000000E+000
 4.3023083E-001, 8.3172828E+001, 0.0000000E+000,-2.5234984E+001, 8.9747298E-001,-9.1434515E-002,-5.3045140E-003, 0.0000000E+000, 0.0000000E+000, 6.1989639E+001, 5.8738578E+001, 0.0000000E+000, 2.8305575E-003, 0.0000000E+000
 4.9914238E-001, 8.7079002E+001, 0.0000000E+000,-5.4485224E+001, 5.7891541E-001,-1.1465176E-001,-1.0683879E-002, 0.0000000E+000, 0.0000000E+000, 5.7979114E+001, 3.3047358E+001, 0.0000000E+000, 3.0921873E-003, 0.0000000E+000
 5.5811751E-001, 1.2640543E+002, 0.0000000E+000,-3.0543591E+001, 1.4932957E+000,-6.9572372E-002,-1.3461612E-002, 0.0000000E+000, 0.0000000E+000, 3.4309370E+001, 9.7272096E+001, 0.0000000E+000, 3.2766217E-003, 0.0000000E+000
 5.9939325E-001, 1.3414341E+002, 0.0000000E+000,-6.5753628E+001, 1.1268646E+000,-9.6016562E-002,-1.3676385E-002, 0.0000000E+000, 0.0000000E+000, 9.6263847E+001, 6.9406951E+001, 0.0000000E+000, 3.3864665E-003, 0.0000000E+000
 6.4066899E-001, 1.4534913E+002, 0.0000000E+000,-5.2451571E+001, 1.4934691E+000,-8.2762078E-002,-1.5554666E-002, 0.0000000E+000, 0.0000000E+000, 6.9602790E+001, 9.4292711E+001, 0.0000000E+000, 3.4822018E-003, 0.0000000E+000
 6.7471087E-001, 1.7835858E+002, 0.0000000E+000,-6.0344745E+001, 1.8589979E+000,-8.3827821E-002,-1.6115001E-002, 0.0000000E+000, 0.0000000E+000, 9.4303793E+001, 1.1977289E+002, 0.0000000E+000, 3.5515976E-003, 0.0000000E+000
 7.0875281E-001, 1.8665009E+002, 0.0000000E+000,-8.0367944E+001, 1.7314097E+000,-8.5846819E-002,-1.6702312E-002, 0.0000000E+000, 0.0000000E+000, 1.1882884E+002, 1.0791100E+002, 0.0000000E+000, 3.6132105E-003, 0.0000000E+000
 7.4279469E-001, 2.0042473E+002, 0.0000000E+000,-8.3594624E+001, 1.8815725E+000,-8.7684729E-002,-1.7284008E-002, 0.0000000E+000, 0.0000000E+000, 1.0849329E+002, 1.1860671E+002, 0.0000000E+000, 3.6678004E-003, 0.0000000E+000
 7.6907885E-001, 2.1973559E+002, 0.0000000E+000,-8.4381557E+001, 2.1664411E+000,-8.7585578E-002,-1.7512171E-002, 0.0000000E+000, 0.0000000E+000, 1.1825274E+002, 1.3741537E+002, 0.0000000E+000, 3.7055969E-003, 0.0000000E+000
 7.9536301E-001, 2.2607416E+002, 0.0000000E+000,-9.5508098E+001, 2.1044291E+000,-8.4467502E-002,-1.7676078E-002, 0.0000000E+000, 0.0000000E+000, 1.3713228E+002, 1.3256835E+002, 0.0000000E+000, 3.7399389E-003, 0.0000000E+000
 8.2164711E-001, 2.3694313E+002, 0.0000000E+000,-1.0334697E+002, 2.1802109E+000,-8.8103379E-002,-1.7848213E-002, 0.0000000E+000, 0.0000000E+000, 1.3297650E+002, 1.3567042E+002, 0.0000000E+000, 3.7711144E-003, 0.0000000E+000
 8.4139371E-001, 2.3861769E+002, 0.0000000E+000,-1.0111438E+002, 2.2777703E+000,-8.6098007E-002,-1.7857035E-002, 0.0000000E+000, 0.0000000E+000, 1.3534225E+002, 1.3967712E+002, 0.0000000E+000, 3.7926156E-003, 0.0000000E+000
 8.6114031E-001, 2.2904856E+002, 0.0000000E+000,-9.7783415E+001, 2.2142040E+000,-8.4229587E-002,-1.7881967E-002, 0.0000000E+000, 0.0000000E+000, 1.3918106E+002, 1.3337724E+002, 0.0000000E+000, 3.8125890E-003, 0.0000000E+000
