s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3056604E-005, 5.6205041E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3056604E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-1.0505751E-007,-2.4589373E-003, 0.0000000E+000,-7.0154942E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1605917E-003, 0.0000000E+000, 6.4240673E-004, 0.0000000E+000
 2.3498102E-001, 2.1744336E+001, 0.0000000E+000,-1.0253640E-007, 3.9468839E-001, 3.8906154E-009,-8.7244722E-004, 0.0000000E+000, 0.0000000E+000,-4.4314370E-003, 2.2138152E+001, 0.0000000E+000, 1.2198615E-003, 0.0000000E+000
 3.5247153E-001, 2.0117093E+001, 0.0000000E+000,-3.4984169E-001, 3.1786042E-001,-2.4203172E-002,-3.5489785E-003, 0.0000000E+000, 0.0000000E+000, 2.1466719E+001, 2.0057359E+001, 0.0000000E+000, 1.6912688E-003, 0.0000000E+000
 4.6996203E-001, 1.0824914E+002, 0.0000000E+000,-5.1252169E+000, 1.6027312E+000,-5.3537895E-002,-3.3103620E-003, 0.0000000E+000, 0.0000000E+000, 2.0372071E+001, 1.0466981E+002, 0.0000000E+000, 2.0467616E-003, 0.0000000E+000
 5.2991587E-001, 1.0748781E+002, 0.0000000E+000,-8.8151595E+001, 4.3762331E-001,-1.4373705E-001,-4.3199974E-003, 0.0000000E+000, 0.0000000E+000, 9.9792604E+001, 1.9625778E+001, 0.0000000E+000, 2.1871088E-003, 0.0000000E+000
 5.8986968E-001, 1.2075128E+002, 0.0000000E+000,-2.6953738E+001, 1.4542011E+000,-7.9747434E-002,-5.5963630E-003, 0.0000000E+000, 0.0000000E+000, 2.1156488E+001, 9.5166397E+001, 0.0000000E+000, 2.3033964E-003, 0.0000000E+000
 6.5581888E-001, 8.7431924E+001, 0.0000000E+000,-1.7044135E+002,-1.0070179E+000,-1.5683714E-001,-5.2905668E-003, 0.0000000E+000, 0.0000000E+000, 9.2382089E+001,-8.4178569E+001, 0.0000000E+000, 2.4072948E-003, 0.0000000E+000
 6.8262887E-001, 1.0491910E+002, 0.0000000E+000,-3.6758787E+001, 1.0908794E+000,-1.2807873E-001,-6.3005662E-003, 0.0000000E+000, 0.0000000E+000,-8.4264900E+001, 6.9116809E+001, 0.0000000E+000, 2.4432577E-003, 0.0000000E+000
 7.0943892E-001, 9.7053529E+001, 0.0000000E+000,-4.7196715E+001, 7.9491834E-001,-9.7424422E-002,-6.3877185E-003, 0.0000000E+000, 0.0000000E+000, 6.8524512E+001, 5.0547920E+001, 0.0000000E+000, 2.4759911E-003, 0.0000000E+000
