s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3121910E-006,-4.4408921E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3121910E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-8.1924289E-008,-4.7706900E-003, 0.0000000E+000,-1.1582633E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9290352E-003, 0.0000000E+000, 9.1561419E-004, 0.0000000E+000
 2.3498102E-001, 3.0421476E+001, 0.0000000E+000,-8.0381570E-008, 5.8043562E-001,-1.0192230E-009,-1.6168488E-003, 0.0000000E+000, 0.0000000E+000,-8.7245970E-003, 3.1000295E+001, 0.0000000E+000, 1.7386532E-003, 0.0000000E+000
 3.5247153E-001, 3.4289444E+001, 0.0000000E+000,-6.8985282E-001, 5.3588159E-001,-3.4409199E-002,-4.5523021E-003, 0.0000000E+000, 0.0000000E+000, 2.9597709E+001, 3.4096511E+001, 0.0000000E+000, 2.4105440E-003, 0.0000000E+000
 4.6996203E-001, 9.3094350E+001, 0.0000000E+000,-1.4488476E+001, 1.1547811E+000,-8.7476748E-002,-4.7567144E-003, 0.0000000E+000, 0.0000000E+000, 3.2742469E+001, 7.9668421E+001, 0.0000000E+000, 2.9172235E-003, 0.0000000E+000
 5.4297221E-001, 9.3354960E+001, 0.0000000E+000,-1.1277240E+002,-9.2398735E-002,-1.6219520E-001,-6.1667455E-003, 0.0000000E+000, 0.0000000E+000, 7.5098086E+001,-1.9678201E+001, 0.0000000E+000, 3.1561200E-003, 0.0000000E+000
 5.8445060E-001, 1.3192422E+002, 0.0000000E+000,-1.9533519E+001, 1.7355869E+000,-9.8859449E-002,-7.8055828E-003, 0.0000000E+000, 0.0000000E+000,-1.9128477E+001, 1.1401962E+002, 0.0000000E+000, 3.2693129E-003, 0.0000000E+000
 6.2592894E-001, 1.2826402E+002, 0.0000000E+000,-9.2273949E+001, 6.5458767E-001,-1.1775465E-001,-7.7153480E-003, 0.0000000E+000, 0.0000000E+000, 1.1152309E+002, 3.6519188E+001, 0.0000000E+000, 3.3680534E-003, 0.0000000E+000
 6.7155510E-001, 1.3652564E+002, 0.0000000E+000,-5.6570274E+001, 1.2796590E+000,-8.8461879E-002,-8.3947349E-003, 0.0000000E+000, 0.0000000E+000, 3.5998661E+001, 8.1138166E+001, 0.0000000E+000, 3.4617517E-003, 0.0000000E+000
 7.2174394E-001, 1.1677773E+002, 0.0000000E+000,-9.0352212E+001, 5.1389014E-001,-1.0347920E-001,-8.4240661E-003, 0.0000000E+000, 0.0000000E+000, 8.0293780E+001, 2.6827505E+001, 0.0000000E+000, 3.5489699E-003, 0.0000000E+000
 7.7193272E-001, 1.0206686E+002, 0.0000000E+000,-3.8401275E+001, 1.0534187E+000,-9.1863940E-002,-9.1769058E-003, 0.0000000E+000, 0.0000000E+000, 2.6038481E+001, 6.4617965E+001, 0.0000000E+000, 3.6218619E-003, 0.0000000E+000
 8.1687874E-001, 1.3708101E+002, 0.0000000E+000,-5.2087893E+001, 1.3473205E+000,-7.9369848E-002,-9.2691089E-003, 0.0000000E+000, 0.0000000E+000, 6.4400439E+001, 8.6251798E+001, 0.0000000E+000, 3.6767282E-003, 0.0000000E+000
 8.5548031E-001, 1.4770615E+002, 0.0000000E+000,-6.4464957E+001, 1.3456817E+000,-8.4406983E-002,-9.4302799E-003, 0.0000000E+000, 0.0000000E+000, 8.5664589E+001, 8.4493042E+001, 0.0000000E+000, 3.7170847E-003, 0.0000000E+000
