s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3441228E-006, 8.3266727E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3441228E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-8.3069911E-008,-3.9664683E-003, 0.0000000E+000,-9.8487951E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9514309E-003, 0.0000000E+000, 6.2763876E-004, 0.0000000E+000
 2.3498102E-001, 2.0603691E+001, 0.0000000E+000,-8.2493547E-008, 3.9793745E-001, 1.4375256E-009,-1.4245204E-003, 0.0000000E+000, 0.0000000E+000,-6.7716259E-003, 2.1000204E+001, 0.0000000E+000, 1.1918187E-003, 0.0000000E+000
 3.5247153E-001, 1.6245680E+001, 0.0000000E+000,-2.9712079E-001, 2.4637294E-001,-2.2138510E-002,-3.6719233E-003, 0.0000000E+000, 0.0000000E+000, 2.0665168E+001, 1.6169122E+001, 0.0000000E+000, 1.6523890E-003, 0.0000000E+000
 4.6996203E-001, 1.1303448E+002, 0.0000000E+000,-2.2913769E+000, 1.7905974E+000,-4.4808970E-002,-3.5209188E-003, 0.0000000E+000, 0.0000000E+000, 1.6778522E+001, 1.1248537E+002, 0.0000000E+000, 1.9997096E-003, 0.0000000E+000
 5.3333402E-001, 8.8368073E+001, 0.0000000E+000,-5.8673636E+001, 5.2624124E-001,-1.4912834E-001,-4.9209370E-003, 0.0000000E+000, 0.0000000E+000, 1.0769587E+002, 3.0066629E+001, 0.0000000E+000, 2.1439111E-003, 0.0000000E+000
 5.9670603E-001, 1.0647496E+002, 0.0000000E+000,-4.9790243E+001, 9.0887352E-001,-1.2581432E-001,-5.4439297E-003, 0.0000000E+000, 0.0000000E+000, 3.1556016E+001, 5.7462336E+001, 0.0000000E+000, 2.2620447E-003, 0.0000000E+000
 6.6641521E-001, 8.5990118E+001, 0.0000000E+000,-1.1912952E+002,-3.8959306E-001,-1.5422433E-001,-5.8801559E-003, 0.0000000E+000, 0.0000000E+000, 5.5556583E+001,-3.3689104E+001, 0.0000000E+000, 2.3662352E-003, 0.0000000E+000
 7.0637631E-001, 7.2233869E+001, 0.0000000E+000,-3.2711702E+001, 6.5823816E-001,-1.2225493E-001,-6.3077546E-003, 0.0000000E+000, 0.0000000E+000,-3.3773392E+001, 4.0051842E+001, 0.0000000E+000, 2.4155701E-003, 0.0000000E+000
 7.4633741E-001, 6.8141390E+001, 0.0000000E+000,-3.3881260E+001, 5.6128758E-001,-9.4158587E-002,-6.5288116E-003, 0.0000000E+000, 0.0000000E+000, 3.9465072E+001, 3.4720730E+001, 0.0000000E+000, 2.4583788E-003, 0.0000000E+000
 7.9029459E-001, 6.7763977E+001, 0.0000000E+000,-3.0425132E+001, 6.0305259E-001,-9.7276047E-002,-6.7621210E-003, 0.0000000E+000, 0.0000000E+000, 3.4357803E+001, 3.7837859E+001, 0.0000000E+000, 2.4988473E-003, 0.0000000E+000
 8.3864754E-001, 8.2572027E+001, 0.0000000E+000,-3.0467825E+001, 8.2923527E-001,-9.4765170E-002,-6.9611648E-003, 0.0000000E+000, 0.0000000E+000, 3.7942189E+001, 5.2831711E+001, 0.0000000E+000, 2.5364263E-003, 0.0000000E+000
 8.8286066E-001, 1.1139493E+002, 0.0000000E+000,-5.6510095E+001, 9.0646292E-001,-9.6908998E-002,-7.0885440E-003, 0.0000000E+000, 0.0000000E+000, 5.2368244E+001, 5.5687295E+001, 0.0000000E+000, 2.5653369E-003, 0.0000000E+000
