s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4893279E-006, 1.1102230E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4893279E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-5.4247464E-008,-2.7708062E-003, 0.0000000E+000,-6.3970941E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4105699E-003, 0.0000000E+000, 8.9346223E-004, 0.0000000E+000
 2.3498102E-001, 1.8245276E+001, 0.0000000E+000,-5.2499886E-008, 3.2653752E-001, 6.9376282E-010,-8.1469088E-004, 0.0000000E+000, 0.0000000E+000,-4.7988454E-003, 1.8570999E+001, 0.0000000E+000, 1.6965890E-003, 0.0000000E+000
 3.5247153E-001, 1.5808164E+001, 0.0000000E+000,-2.8574051E-001, 2.4749187E-001,-1.8707214E-002,-2.7003569E-003, 0.0000000E+000, 0.0000000E+000, 1.8199656E+001, 1.5748508E+001, 0.0000000E+000, 2.3522244E-003, 0.0000000E+000
 4.6996203E-001, 8.8433015E+001, 0.0000000E+000,-2.9763034E+000, 1.3936987E+000,-3.9516739E-002,-2.3710144E-003, 0.0000000E+000, 0.0000000E+000, 1.5999719E+001, 8.6808523E+001, 0.0000000E+000, 2.8466455E-003, 0.0000000E+000
 5.5804151E-001, 7.9128420E+001, 0.0000000E+000,-4.4308144E+001, 5.6239579E-001,-1.3213597E-001,-3.1535819E-003, 0.0000000E+000, 0.0000000E+000, 8.3092830E+001, 3.5247383E+001, 0.0000000E+000, 3.1216148E-003, 0.0000000E+000
 6.4612103E-001, 1.1003422E+002, 0.0000000E+000,-4.9138617E+001, 9.6119004E-001,-1.2234867E-001,-4.5647049E-003, 0.0000000E+000, 0.0000000E+000, 3.6069969E+001, 6.1729878E+001, 0.0000000E+000, 3.3288072E-003, 0.0000000E+000
 7.0782173E-001, 1.1307616E+002, 0.0000000E+000,-7.8331904E+001, 6.4189227E-001,-1.2991983E-001,-4.8707353E-003, 0.0000000E+000, 0.0000000E+000, 6.1459544E+001, 3.5251355E+001, 0.0000000E+000, 3.4409944E-003, 0.0000000E+000
 7.5825536E-001, 9.1671234E+001, 0.0000000E+000,-4.1208783E+001, 8.4676565E-001,-1.1629131E-001,-5.3586581E-003, 0.0000000E+000, 0.0000000E+000, 3.5396428E+001, 5.1187567E+001, 0.0000000E+000, 3.5161154E-003, 0.0000000E+000
 8.0868900E-001, 9.1871275E+001, 0.0000000E+000,-3.6087751E+001, 9.1958445E-001,-1.0473357E-001,-5.6134816E-003, 0.0000000E+000, 0.0000000E+000, 5.0897803E+001, 5.6592761E+001, 0.0000000E+000, 3.5786686E-003, 0.0000000E+000
 8.5912257E-001, 9.7750226E+001, 0.0000000E+000,-3.4334381E+001, 1.0380978E+000,-9.9379928E-002,-5.8336726E-003, 0.0000000E+000, 0.0000000E+000, 5.6226118E+001, 6.4348729E+001, 0.0000000E+000, 3.6305861E-003, 0.0000000E+000
 8.9803648E-001, 1.2597223E+002, 0.0000000E+000,-5.6690467E+001, 1.1464899E+000,-9.7760050E-002,-5.9235313E-003, 0.0000000E+000, 0.0000000E+000, 6.3963291E+001, 7.0324574E+001, 0.0000000E+000, 3.6644523E-003, 0.0000000E+000
 9.3695033E-001, 1.2945880E+002, 0.0000000E+000,-5.5604616E+001, 1.2341304E+000,-9.5930853E-002,-6.0166508E-003, 0.0000000E+000, 0.0000000E+000, 7.0120986E+001, 7.4986363E+001, 0.0000000E+000, 3.6936806E-003, 0.0000000E+000
 9.7196782E-001, 1.2902133E+002, 0.0000000E+000,-5.5013160E+001, 1.2437559E+000,-9.3398324E-002,-6.0783972E-003, 0.0000000E+000, 0.0000000E+000, 7.4775117E+001, 7.5152449E+001, 0.0000000E+000, 3.7165195E-003, 0.0000000E+000
 1.0009031E+000, 1.2874100E+002, 0.0000000E+000,-5.1614985E+001, 1.3040747E+000,-9.3360991E-002,-6.1110754E-003, 0.0000000E+000, 0.0000000E+000, 7.5001061E+001, 7.8330622E+001, 0.0000000E+000, 3.7332080E-003, 0.0000000E+000
