s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4848853E-006,-4.5796700E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4848853E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-5.4446547E-008,-1.7798792E-003, 0.0000000E+000,-8.8673580E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6666694E-003, 0.0000000E+000, 6.2763876E-004, 0.0000000E+000
 2.3498102E-001, 2.1124367E+001, 0.0000000E+000,-5.3136186E-008, 3.8143468E-001, 1.3598603E-009,-1.1778453E-003, 0.0000000E+000, 0.0000000E+000,-4.3002832E-003, 2.1504624E+001, 0.0000000E+000, 1.1918187E-003, 0.0000000E+000
 3.5247153E-001, 1.7829920E+001, 0.0000000E+000,-2.6258566E-001, 2.8280190E-001,-2.2425218E-002,-3.6022614E-003, 0.0000000E+000, 0.0000000E+000, 2.1026532E+001, 1.7824109E+001, 0.0000000E+000, 1.6523890E-003, 0.0000000E+000
 4.6996203E-001, 1.1197084E+002, 0.0000000E+000,-2.7795665E+000, 1.7672713E+000,-4.7214801E-002,-3.3633815E-003, 0.0000000E+000, 0.0000000E+000, 1.8156666E+001, 1.1090796E+002, 0.0000000E+000, 1.9997096E-003, 0.0000000E+000
 5.3764433E-001, 9.3513669E+001, 0.0000000E+000,-5.1455184E+001, 7.1173662E-001,-1.5210419E-001,-4.6993962E-003, 0.0000000E+000, 0.0000000E+000, 1.0703207E+002, 4.2613418E+001, 0.0000000E+000, 2.1527316E-003, 0.0000000E+000
 6.0532665E-001, 1.1189811E+002, 0.0000000E+000,-5.2167397E+001, 9.3919633E-001,-1.4024980E-001,-5.5638093E-003, 0.0000000E+000, 0.0000000E+000, 4.3428924E+001, 6.0524097E+001, 0.0000000E+000, 2.2763010E-003, 0.0000000E+000
 6.6852093E-001, 1.1143450E+002, 0.0000000E+000,-8.4412163E+001, 5.1975658E-001,-1.5169191E-001,-6.0589066E-003, 0.0000000E+000, 0.0000000E+000, 6.0167425E+001, 2.7384341E+001, 0.0000000E+000, 2.3690109E-003, 0.0000000E+000
 7.1621764E-001, 9.2566548E+001, 0.0000000E+000,-4.2880941E+001, 8.3768462E-001,-1.2628107E-001,-6.5181312E-003, 0.0000000E+000, 0.0000000E+000, 2.7509555E+001, 5.0390492E+001, 0.0000000E+000, 2.4266877E-003, 0.0000000E+000
