s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3054436E-005,-1.1102230E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3054436E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-1.0481861E-007,-3.8965824E-003, 0.0000000E+000,-8.6669906E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7633863E-003, 0.0000000E+000, 7.9747042E-004, 0.0000000E+000
 2.3498102E-001, 2.6253587E+001, 0.0000000E+000,-1.0338904E-007, 5.0786470E-001, 2.9067947E-009,-1.2420203E-003, 0.0000000E+000, 0.0000000E+000,-7.5296973E-003, 2.6760210E+001, 0.0000000E+000, 1.5143108E-003, 0.0000000E+000
 3.5247153E-001, 2.6765153E+001, 0.0000000E+000,-5.2276763E-001, 4.1028145E-001,-2.9968139E-002,-4.1758041E-003, 0.0000000E+000, 0.0000000E+000, 2.5809929E+001, 2.6618523E+001, 0.0000000E+000, 2.0995060E-003, 0.0000000E+000
 4.6996203E-001, 1.0309921E+002, 0.0000000E+000,-8.0704900E+000, 1.4425317E+000,-7.1120162E-002,-4.3749822E-003, 0.0000000E+000, 0.0000000E+000, 2.6353664E+001, 9.6395760E+001, 0.0000000E+000, 2.5408075E-003, 0.0000000E+000
 5.2773291E-001, 9.5463514E+001, 0.0000000E+000,-1.1119496E+002,-5.0340675E-002,-1.5876124E-001,-5.5311144E-003, 0.0000000E+000, 0.0000000E+000, 8.9977249E+001,-1.5946082E+001, 0.0000000E+000, 2.7092354E-003, 0.0000000E+000
 5.7673341E-001, 9.5762988E+001, 0.0000000E+000,-1.6198622E+001, 1.2455780E+000,-8.2191517E-002,-6.6991477E-003, 0.0000000E+000, 0.0000000E+000,-1.5126943E+001, 8.0721054E+001, 0.0000000E+000, 2.8301160E-003, 0.0000000E+000
 6.2573391E-001, 8.5739346E+001, 0.0000000E+000,-7.1007551E+001, 2.8069137E-001,-1.0828965E-001,-6.9889177E-003, 0.0000000E+000, 0.0000000E+000, 7.7988889E+001, 1.4897207E+001, 0.0000000E+000, 2.9330889E-003, 0.0000000E+000
 6.7473441E-001, 1.0180037E+002, 0.0000000E+000,-3.7402393E+001, 1.0356448E+000,-7.8231693E-002,-7.5207651E-003, 0.0000000E+000, 0.0000000E+000, 1.4597043E+001, 6.5347869E+001, 0.0000000E+000, 3.0202946E-003, 0.0000000E+000
 7.2863495E-001, 8.6695746E+001, 0.0000000E+000,-5.4533090E+001, 5.5645499E-001,-8.2059269E-002,-7.7273215E-003, 0.0000000E+000, 0.0000000E+000, 6.4341606E+001, 3.2629324E+001, 0.0000000E+000, 3.1004504E-003, 0.0000000E+000
 7.8253549E-001, 1.0531068E+002, 0.0000000E+000,-3.9666120E+001, 1.0596938E+000,-8.2500093E-002,-8.2977456E-003, 0.0000000E+000, 0.0000000E+000, 3.2335248E+001, 6.6613461E+001, 0.0000000E+000, 3.1665191E-003, 0.0000000E+000
 8.2549763E-001, 1.2944660E+002, 0.0000000E+000,-6.2943461E+001, 1.0878473E+000,-7.4719578E-002,-8.3334606E-003, 0.0000000E+000, 0.0000000E+000, 6.6207937E+001, 6.7507936E+001, 0.0000000E+000, 3.2106035E-003, 0.0000000E+000
 8.6400306E-001, 1.3058336E+002, 0.0000000E+000,-5.7569783E+001, 1.1975717E+000,-8.1236476E-002,-8.5014990E-003, 0.0000000E+000, 0.0000000E+000, 6.7344463E+001, 7.4121408E+001, 0.0000000E+000, 3.2445615E-003, 0.0000000E+000
 8.9506626E-001, 1.4439478E+002, 0.0000000E+000,-6.5760563E+001, 1.2991745E+000,-7.9080102E-002,-8.5545565E-003, 0.0000000E+000, 0.0000000E+000, 7.3918311E+001, 7.9845753E+001, 0.0000000E+000, 3.2685968E-003, 0.0000000E+000
 9.2256373E-001, 1.5925772E+002, 0.0000000E+000,-7.6026192E+001, 1.3743069E+000,-8.0226039E-002,-8.5737120E-003, 0.0000000E+000, 0.0000000E+000, 7.9625473E+001, 8.4517035E+001, 0.0000000E+000, 3.2876407E-003, 0.0000000E+000
 9.5006126E-001, 1.6032514E+002, 0.0000000E+000,-7.2186648E+001, 1.4618757E+000,-8.0230117E-002,-8.5971515E-003, 0.0000000E+000, 0.0000000E+000, 8.4326482E+001, 8.9511538E+001, 0.0000000E+000, 3.3047929E-003, 0.0000000E+000
 9.7755873E-001, 1.5996574E+002, 0.0000000E+000,-8.1293387E+001, 1.3344881E+000,-7.9506098E-002,-8.5887545E-003, 0.0000000E+000, 0.0000000E+000, 8.9375858E+001, 7.9918745E+001, 0.0000000E+000, 3.3202328E-003, 0.0000000E+000
 9.9850041E-001, 1.6667898E+002, 0.0000000E+000,-8.1740720E+001, 1.4317830E+000,-7.8711955E-002,-8.5904756E-003, 0.0000000E+000, 0.0000000E+000, 7.9928803E+001, 8.6282745E+001, 0.0000000E+000, 3.3309449E-003, 0.0000000E+000
 1.0194421E+000, 1.5795636E+002, 0.0000000E+000,-7.1684271E+001, 1.4563019E+000,-7.7106787E-002,-8.5707398E-003, 0.0000000E+000, 0.0000000E+000, 8.6172248E+001, 8.7642710E+001, 0.0000000E+000, 3.3408262E-003, 0.0000000E+000
 1.0403838E+000, 1.5600437E+002, 0.0000000E+000,-7.2570784E+001, 1.4120118E+000,-7.8056532E-002,-8.5596990E-003, 0.0000000E+000, 0.0000000E+000, 8.7412273E+001, 8.4758978E+001, 0.0000000E+000, 3.3499389E-003, 0.0000000E+000
 1.0589248E+000, 1.5376212E+002, 0.0000000E+000,-6.9389848E+001, 1.4241178E+000,-7.7504610E-002,-8.5433737E-003, 0.0000000E+000, 0.0000000E+000, 8.4577611E+001, 8.5710347E+001, 0.0000000E+000, 3.3574121E-003, 0.0000000E+000
 1.0774659E+000, 1.4949263E+002, 0.0000000E+000,-6.3520264E+001, 1.4488279E+000,-7.7784129E-002,-8.5397470E-003, 0.0000000E+000, 0.0000000E+000, 8.5628885E+001, 8.7334870E+001, 0.0000000E+000, 3.3643658E-003, 0.0000000E+000
 1.0960069E+000, 1.4650748E+002, 0.0000000E+000,-6.2234718E+001, 1.4199914E+000,-7.9210400E-002,-8.5408950E-003, 0.0000000E+000, 0.0000000E+000, 8.7274630E+001, 8.5604997E+001, 0.0000000E+000, 3.3708351E-003, 0.0000000E+000
 1.1145480E+000, 1.4371740E+002, 0.0000000E+000,-6.0700852E+001, 1.3974077E+000,-8.0754080E-002,-8.5423857E-003, 0.0000000E+000, 0.0000000E+000, 8.5504559E+001, 8.4324659E+001, 0.0000000E+000, 3.3768531E-003, 0.0000000E+000
 1.1309736E+000, 1.4331091E+002, 0.0000000E+000,-5.7700338E+001, 1.4323518E+000,-8.1920937E-002,-8.5464645E-003, 0.0000000E+000, 0.0000000E+000, 8.4288180E+001, 8.6952454E+001, 0.0000000E+000, 3.3818321E-003, 0.0000000E+000
 1.1473993E+000, 1.4314515E+002, 0.0000000E+000,-5.7968818E+001, 1.4227027E+000,-8.2752166E-002,-8.5487891E-003, 0.0000000E+000, 0.0000000E+000, 8.6912080E+001, 8.6507730E+001, 0.0000000E+000, 3.3865011E-003, 0.0000000E+000
 1.1638249E+000, 1.4257139E+002, 0.0000000E+000,-5.8581767E+001, 1.4031393E+000,-8.3629289E-002,-8.5490783E-003, 0.0000000E+000, 0.0000000E+000, 8.6438412E+001, 8.5300586E+001, 0.0000000E+000, 3.3908789E-003, 0.0000000E+000
 1.1802506E+000, 1.4414351E+002, 0.0000000E+000,-5.7677601E+001, 1.4387370E+000,-8.3870246E-002,-8.5497649E-003, 0.0000000E+000, 0.0000000E+000, 8.5264521E+001, 8.7812225E+001, 0.0000000E+000, 3.3949835E-003, 0.0000000E+000
 1.1966763E+000, 1.4494301E+002, 0.0000000E+000,-5.9092863E+001, 1.4283675E+000,-8.3755602E-002,-8.5518490E-003, 0.0000000E+000, 0.0000000E+000, 8.7769187E+001, 8.7186209E+001, 0.0000000E+000, 3.3988314E-003, 0.0000000E+000
 1.2131020E+000, 1.4501896E+002, 0.0000000E+000,-6.0193186E+001, 1.4119976E+000,-8.3927521E-002,-8.5559408E-003, 0.0000000E+000, 0.0000000E+000, 8.7143582E+001, 8.6145288E+001, 0.0000000E+000, 3.4024387E-003, 0.0000000E+000
 1.2295276E+000, 1.4685816E+002, 0.0000000E+000,-6.0246413E+001, 1.4372369E+000,-8.3805425E-002,-8.5582038E-003, 0.0000000E+000, 0.0000000E+000, 8.6137840E+001, 8.7956621E+001, 0.0000000E+000, 3.4058199E-003, 0.0000000E+000
 1.2459532E+000, 1.4677904E+002, 0.0000000E+000,-6.1314488E+001, 1.4190866E+000,-8.3766445E-002,-8.5623915E-003, 0.0000000E+000, 0.0000000E+000, 8.7921782E+001, 8.6791308E+001, 0.0000000E+000, 3.4089892E-003, 0.0000000E+000
 1.2623789E+000, 1.4550250E+002, 0.0000000E+000,-6.1566258E+001, 1.3951436E+000,-8.3958505E-002,-8.5667175E-003, 0.0000000E+000, 0.0000000E+000, 8.6728754E+001, 8.5238857E+001, 0.0000000E+000, 3.4119596E-003, 0.0000000E+000
 1.2788045E+000, 1.4422573E+002, 0.0000000E+000,-6.0668037E+001, 1.3885316E+000,-8.4182366E-002,-8.5708764E-003, 0.0000000E+000, 0.0000000E+000, 8.5240154E+001, 8.4853474E+001, 0.0000000E+000, 3.4147435E-003, 0.0000000E+000
