s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-3.2604111E-006, 0.0000000E+000,-3.0079432E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7125674E-006, 0.0000000E+000, 1.5360000E-006, 0.0000000E+000
 2.3498102E-001, 3.2933774E-002, 0.0000000E+000,-4.4410577E-007, 5.6105581E-004, 4.2273153E-009,-5.8449552E-006, 0.0000000E+000, 0.0000000E+000,-9.1779385E-006, 3.3488545E-002, 0.0000000E+000, 2.9952000E-006, 0.0000000E+000
 3.5247153E-001, 6.6339036E-002, 0.0000000E+000,-7.9252621E-006, 1.1316623E-003,-1.1242337E-005,-8.8095547E-006, 0.0000000E+000, 0.0000000E+000, 3.3477760E-002, 6.7442722E-002, 0.0000000E+000, 4.5312000E-006, 0.0000000E+000
 4.6996203E-001, 1.0602194E-001, 0.0000000E+000,-2.2937186E-003, 1.7700446E-003,-3.5346421E-005,-1.1605756E-005, 0.0000000E+000, 0.0000000E+000, 6.7425815E-002, 1.0545131E-001, 0.0000000E+000, 5.9904000E-006, 0.0000000E+000
 5.8745253E-001, 1.5142433E-001, 0.0000000E+000,-4.9441148E-003, 2.5000362E-003,-8.2887057E-005,-1.4527746E-005, 0.0000000E+000, 0.0000000E+000, 1.0542464E-001, 1.4888284E-001, 0.0000000E+000, 7.5264000E-006, 0.0000000E+000
 7.0494306E-001, 1.9880867E-001, 0.0000000E+000,-8.1531065E-003, 3.2542682E-003,-1.5858572E-004,-1.7284234E-005, 0.0000000E+000, 0.0000000E+000, 1.4885291E-001, 1.9373396E-001, 0.0000000E+000, 8.9856000E-006, 0.0000000E+000
 8.2243359E-001, 2.4733763E-001, 0.0000000E+000,-1.2569721E-002, 4.0067593E-003,-2.6622203E-004,-2.0163535E-005, 0.0000000E+000, 0.0000000E+000, 1.9370260E-001, 2.3848828E-001, 0.0000000E+000, 1.0521600E-005, 0.0000000E+000
 9.3992406E-001, 2.9820892E-001, 0.0000000E+000,-1.7957703E-002, 4.7818767E-003,-4.0886904E-004,-2.3000623E-005, 0.0000000E+000, 0.0000000E+000, 2.3846270E-001, 2.8460123E-001, 0.0000000E+000, 1.2057600E-005, 0.0000000E+000
 1.0574145E+000, 3.6686581E-001, 0.0000000E+000,-2.3581448E-002, 5.8546197E-003,-5.9021754E-004,-2.8931028E-005, 0.0000000E+000, 0.0000000E+000, 2.8458201E-001, 3.4851983E-001, 0.0000000E+000, 1.5308800E-005, 0.0000000E+000
 1.1749051E+000, 4.7472065E-001, 0.0000000E+000,-3.1494030E-002, 7.5573228E-003,-8.2303615E-004,-3.8681018E-005, 0.0000000E+000, 0.0000000E+000, 3.4850319E-001, 4.4992222E-001, 0.0000000E+000, 2.0684800E-005, 0.0000000E+000
 1.2923956E+000, 6.0941945E-001, 0.0000000E+000,-4.2245538E-002, 9.6670848E-003,-1.1387467E-003,-4.8145031E-005, 0.0000000E+000, 0.0000000E+000, 4.4990650E-001, 5.7565411E-001, 0.0000000E+000, 2.5792000E-005, 0.0000000E+000
 1.4098861E+000, 7.7155601E-001, 0.0000000E+000,-5.4732925E-002, 1.2213073E-002,-1.5564396E-003,-5.8181374E-005, 0.0000000E+000, 0.0000000E+000, 5.7565407E-001, 7.2742153E-001, 0.0000000E+000, 3.1168000E-005, 0.0000000E+000
 1.5273767E+000, 9.5370702E-001, 0.0000000E+000,-7.3295385E-002, 1.4994552E-002,-2.0975910E-003,-6.8303778E-005, 0.0000000E+000, 0.0000000E+000, 7.2745203E-001, 8.9324029E-001, 0.0000000E+000, 3.6544000E-005, 0.0000000E+000
 1.6448672E+000, 1.1442514E+000, 0.0000000E+000,-9.7174654E-002, 1.7827562E-002,-2.7671487E-003,-7.8095937E-005, 0.0000000E+000, 0.0000000E+000, 8.9332305E-001, 1.0620590E+000, 0.0000000E+000, 4.1651200E-005, 0.0000000E+000
 1.7623576E+000, 1.3341085E+000, 0.0000000E+000,-1.2754649E-001, 2.0536963E-002,-3.5469133E-003,-8.8533185E-005, 0.0000000E+000, 0.0000000E+000, 1.0622238E+000, 1.2234635E+000, 0.0000000E+000, 4.7027200E-005, 0.0000000E+000
 1.8798481E+000, 1.5129850E+000, 0.0000000E+000,-2.4140929E-001, 2.1633646E-002,-4.3962361E-003,-9.8602213E-005, 0.0000000E+000, 0.0000000E+000, 1.2237381E+000, 1.2887146E+000, 0.0000000E+000, 5.2134400E-005, 0.0000000E+000
 1.9973387E+000, 1.6819366E+000, 0.0000000E+000,-2.7578531E-001, 2.3928832E-002,-5.2503827E-003,-1.0924039E-004, 0.0000000E+000, 0.0000000E+000, 1.2891410E+000, 1.4247205E+000, 0.0000000E+000, 5.7510400E-005, 0.0000000E+000
