s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-5.1717102E-006, 0.0000000E+000,-4.7333069E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0260480E-005, 0.0000000E+000, 1.5360000E-006, 0.0000000E+000
 2.3498102E-001, 5.4367873E-002, 0.0000000E+000,-3.5534358E-007, 9.2538777E-004, 1.9791106E-009,-9.1604692E-006, 0.0000000E+000, 0.0000000E+000,-1.5830765E-005, 5.5283747E-002, 0.0000000E+000, 2.9952000E-006, 0.0000000E+000
 3.5247153E-001, 1.0668941E-001, 0.0000000E+000,-2.1513416E-003, 1.7779357E-003,-1.9302429E-005,-1.3749500E-005, 0.0000000E+000, 0.0000000E+000, 5.5257441E-002, 1.0628295E-001, 0.0000000E+000, 4.5312000E-006, 0.0000000E+000
 4.6996203E-001, 1.7947084E-001, 0.0000000E+000,-6.3212614E-003, 2.9467602E-003,-6.9709851E-005,-1.8040605E-005, 0.0000000E+000, 0.0000000E+000, 1.0622107E-001, 1.7600858E-001, 0.0000000E+000, 5.9904000E-006, 0.0000000E+000
 5.8745253E-001, 2.6068067E-001, 0.0000000E+000,-1.3267820E-002, 4.2079001E-003,-1.6796234E-004,-2.2517180E-005, 0.0000000E+000, 0.0000000E+000, 1.7588536E-001, 2.5143027E-001, 0.0000000E+000, 7.5264000E-006, 0.0000000E+000
 7.0494306E-001, 3.5693447E-001, 0.0000000E+000,-2.2754946E-002, 5.6832141E-003,-3.2648274E-004,-2.6779369E-005, 0.0000000E+000, 0.0000000E+000, 2.5121783E-001, 3.3950948E-001, 0.0000000E+000, 8.9856000E-006, 0.0000000E+000
 8.2243359E-001, 4.5861197E-001, 0.0000000E+000,-3.6720239E-002, 7.1682651E-003,-5.6089274E-004,-3.1236640E-005, 0.0000000E+000, 0.0000000E+000, 3.3917071E-001, 4.2846786E-001, 0.0000000E+000, 1.0521600E-005, 0.0000000E+000
 9.3992406E-001, 5.7707085E-001, 0.0000000E+000,-5.5191706E-002, 8.8651257E-003,-8.7833975E-004,-3.5757517E-005, 0.0000000E+000, 0.0000000E+000, 4.2797571E-001, 5.2983017E-001, 0.0000000E+000, 1.2057600E-005, 0.0000000E+000
 1.0574145E+000, 7.1823109E-001, 0.0000000E+000,-7.6824564E-002, 1.0886446E-002,-1.2899540E-003,-4.5499160E-005, 0.0000000E+000, 0.0000000E+000, 5.2913661E-001, 6.5095752E-001, 0.0000000E+000, 1.5308800E-005, 0.0000000E+000
 1.1749051E+000, 9.1836796E-001, 0.0000000E+000,-1.4899486E-001, 1.3046738E-002,-1.8049187E-003,-6.1549031E-005, 0.0000000E+000, 0.0000000E+000, 6.5001739E-001, 7.8055337E-001, 0.0000000E+000, 2.0684800E-005, 0.0000000E+000
 1.2923956E+000, 1.1459387E+000, 0.0000000E+000,-2.2562898E-001, 1.5593588E-002,-2.4480489E-003,-7.7064401E-005, 0.0000000E+000, 0.0000000E+000, 7.7927660E-001, 9.3337818E-001, 0.0000000E+000, 2.5792000E-005, 0.0000000E+000
 1.4098861E+000, 1.3903302E+000, 0.0000000E+000,-2.5735876E-001, 1.9194184E-002,-3.2051211E-003,-9.3503436E-005, 0.0000000E+000, 0.0000000E+000, 9.3170211E-001, 1.1488670E+000, 0.0000000E+000, 3.1168000E-005, 0.0000000E+000
 1.5273767E+000, 1.6249796E+000, 0.0000000E+000,-3.1269944E-001, 2.2216395E-002,-4.0303448E-003,-1.1005335E-004, 0.0000000E+000, 0.0000000E+000, 1.1466968E+000, 1.3303561E+000, 0.0000000E+000, 3.6544000E-005, 0.0000000E+000
 1.6448672E+000, 1.8725791E+000, 0.0000000E+000,-3.9004875E-001, 2.5101676E-002,-4.7927718E-003,-1.2590452E-004, 0.0000000E+000, 0.0000000E+000, 1.3277799E+000, 1.5027133E+000, 0.0000000E+000, 4.1651200E-005, 0.0000000E+000
 1.7623576E+000, 2.0863977E+000, 0.0000000E+000,-4.7973928E-001, 2.7209907E-002,-5.3761970E-003,-1.4261836E-004, 0.0000000E+000, 0.0000000E+000, 1.4997656E+000, 1.6283495E+000, 0.0000000E+000, 4.7027200E-005, 0.0000000E+000
 1.8798481E+000, 2.2597620E+000, 0.0000000E+000,-6.3944488E-001, 2.7449469E-002,-5.6426110E-003,-1.5857295E-004, 0.0000000E+000, 0.0000000E+000, 1.6252301E+000, 1.6419654E+000, 0.0000000E+000, 5.2134400E-005, 0.0000000E+000
 1.9973387E+000, 2.3751520E+000, 0.0000000E+000,-8.2225998E-001, 2.6321387E-002,-5.5256397E-003,-1.7534565E-004, 0.0000000E+000, 0.0000000E+000, 1.6388415E+000, 1.5735124E+000, 0.0000000E+000, 5.7510400E-005, 0.0000000E+000
 2.1148291E+000, 2.4703519E+000, 0.0000000E+000,-9.6420304E-001, 2.5571587E-002,-5.1325891E-003,-1.9992872E-004, 0.0000000E+000, 0.0000000E+000, 1.5704076E+000, 1.5263879E+000, 0.0000000E+000, 6.5484800E-005, 0.0000000E+000
 2.2323196E+000, 2.5601533E+000, 0.0000000E+000,-1.0158415E+000, 2.6253865E-002,-4.9719931E-003,-2.2590413E-004, 0.0000000E+000, 0.0000000E+000, 1.5231927E+000, 1.5653678E+000, 0.0000000E+000, 7.3932800E-005, 0.0000000E+000
 2.3498101E+000, 2.6438619E+000, 0.0000000E+000,-9.6732674E-001, 2.8525745E-002,-4.8461995E-003,-2.5173848E-004, 0.0000000E+000, 0.0000000E+000, 1.5621073E+000, 1.6999630E+000, 0.0000000E+000, 8.2380800E-005, 0.0000000E+000
 2.4433341E+000, 3.1009593E+000, 0.0000000E+000,-1.0861887E+000, 3.4286595E-002,-4.6762486E-003,-2.7087982E-004, 0.0000000E+000, 0.0000000E+000, 1.6969722E+000, 2.0441101E+000, 0.0000000E+000, 8.8716800E-005, 0.0000000E+000
 2.5368578E+000, 3.2980801E+000, 0.0000000E+000,-1.1207138E+000, 3.6978314E-002,-4.6122874E-003,-2.9114481E-004, 0.0000000E+000, 0.0000000E+000, 2.0412138E+000, 2.2094412E+000, 0.0000000E+000, 9.5475200E-005, 0.0000000E+000
 2.6152604E+000, 3.8072702E+000, 0.0000000E+000,-1.1186487E+000, 4.5686207E-002,-4.5667631E-003,-3.0735091E-004, 0.0000000E+000, 0.0000000E+000, 2.2072387E+000, 2.7294335E+000, 0.0000000E+000, 1.0096640E-004, 0.0000000E+000
 2.6936629E+000, 4.0951753E+000, 0.0000000E+000,-1.1108487E+000, 5.0671145E-002,-4.7443529E-003,-3.2336925E-004, 0.0000000E+000, 0.0000000E+000, 2.7269553E+000, 3.0299300E+000, 0.0000000E+000, 1.0645760E-004, 0.0000000E+000
 2.7641201E+000, 4.5125280E+000, 0.0000000E+000,-1.3201536E+000, 5.4204884E-002,-4.9583744E-003,-3.3796948E-004, 0.0000000E+000, 0.0000000E+000, 3.0276085E+000, 3.2412829E+000, 0.0000000E+000, 1.1152640E-004, 0.0000000E+000
 2.8345776E+000, 4.7709969E+000, 0.0000000E+000,-1.3494328E+000, 5.8059504E-002,-5.2966341E-003,-3.5118419E-004, 0.0000000E+000, 0.0000000E+000, 3.2387346E+000, 3.4739758E+000, 0.0000000E+000, 1.1617280E-004, 0.0000000E+000
