s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-9.2987293E-007, 0.0000000E+000,-4.8731951E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7726548E-006, 0.0000000E+000, 3.8400000E-007, 0.0000000E+000
 2.3498102E-001, 8.7469654E-003, 0.0000000E+000,-3.5534616E-007, 1.4811200E-004, 2.1524249E-009,-9.4843536E-007, 0.0000000E+000, 0.0000000E+000,-2.6781559E-006, 8.8937758E-003, 0.0000000E+000, 7.4880000E-007, 0.0000000E+000
 3.5247153E-001, 1.8586419E-002, 0.0000000E+000,-2.2104429E-006, 3.1575255E-004,-2.9794516E-006,-1.4318987E-006, 0.0000000E+000, 0.0000000E+000, 8.8898954E-003, 1.8895550E-002, 0.0000000E+000, 1.1328000E-006, 0.0000000E+000
 4.6996203E-001, 2.9043604E-002, 0.0000000E+000,-6.7117459E-006, 4.9388506E-004,-9.2749846E-006,-1.8892961E-006, 0.0000000E+000, 0.0000000E+000, 1.8887696E-002, 2.9519613E-002, 0.0000000E+000, 1.4976000E-006, 0.0000000E+000
 5.8745253E-001, 3.9976293E-002, 0.0000000E+000,-1.3800578E-005, 6.7989809E-004,-1.9920878E-005,-2.3688400E-006, 0.0000000E+000, 0.0000000E+000, 2.9504934E-002, 4.0620101E-002, 0.0000000E+000, 1.8816000E-006, 0.0000000E+000
 7.0494306E-001, 5.1374357E-002, 0.0000000E+000,-2.2994198E-005, 8.7369292E-004,-3.7687977E-005,-2.8226331E-006, 0.0000000E+000, 0.0000000E+000, 4.0594100E-002, 5.2184545E-002, 0.0000000E+000, 2.2464000E-006, 0.0000000E+000
 8.2243359E-001, 6.3188450E-002, 0.0000000E+000,-1.4209030E-003, 1.0506328E-003,-6.2721868E-005,-3.2986842E-006, 0.0000000E+000, 0.0000000E+000, 5.2145422E-002, 6.2752159E-002, 0.0000000E+000, 2.6304000E-006, 0.0000000E+000
 9.3992406E-001, 7.5650938E-002, 0.0000000E+000,-3.0199677E-003, 1.2350788E-003,-9.5080593E-005,-3.7738843E-006, 0.0000000E+000, 0.0000000E+000, 6.2696003E-002, 7.3767195E-002, 0.0000000E+000, 3.0144000E-006, 0.0000000E+000
