s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007, 1.5178249E-006, 0.0000000E+000,-2.3070157E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0292398E-006, 0.0000000E+000, 3.8400000E-007, 0.0000000E+000
 2.3498102E-001, 1.4772775E-002, 0.0000000E+000,-2.4008555E-007, 2.5513045E-004, 1.8283456E-009,-4.4943378E-006, 0.0000000E+000, 0.0000000E+000,-9.4993714E-007, 1.5023173E-002, 0.0000000E+000, 7.4880000E-007, 0.0000000E+000
 3.5247153E-001, 3.0920021E-002, 0.0000000E+000,-3.5945366E-006, 5.3200432E-004,-5.0444364E-006,-6.7916377E-006, 0.0000000E+000, 0.0000000E+000, 1.5020219E-002, 3.1436595E-002, 0.0000000E+000, 1.1328000E-006, 0.0000000E+000
 4.6996203E-001, 4.9207804E-002, 0.0000000E+000,-1.1066690E-005, 8.4514063E-004,-1.5561383E-005,-8.9693560E-006, 0.0000000E+000, 0.0000000E+000, 3.1432026E-002, 5.0017347E-002, 0.0000000E+000, 1.4976000E-006, 0.0000000E+000
 5.8745253E-001, 6.8600756E-002, 0.0000000E+000,-2.3042572E-005, 1.1769756E-003,-3.3436758E-005,-1.1256991E-005, 0.0000000E+000, 0.0000000E+000, 5.0010395E-002, 6.9709995E-002, 0.0000000E+000, 1.8816000E-006, 0.0000000E+000
 7.0494306E-001, 8.8566555E-002, 0.0000000E+000,-3.9090297E-005, 1.5182772E-003,-6.3765080E-005,-1.3425668E-005, 0.0000000E+000, 0.0000000E+000, 6.9699156E-002, 8.9968551E-002, 0.0000000E+000, 2.2464000E-006, 0.0000000E+000
 8.2243359E-001, 1.0896101E-001, 0.0000000E+000,-6.1118963E-005, 1.8666706E-003,-1.0684183E-004,-1.5704020E-005, 0.0000000E+000, 0.0000000E+000, 8.9958706E-002, 1.1064401E-001, 0.0000000E+000, 2.6304000E-006, 0.0000000E+000
 9.3992406E-001, 1.3004571E-001, 0.0000000E+000,-8.8626003E-005, 2.2264273E-003,-1.6407156E-004,-1.7978607E-005, 0.0000000E+000, 0.0000000E+000, 1.1063599E-001, 1.3200146E-001, 0.0000000E+000, 3.0144000E-006, 0.0000000E+000
 1.0574145E+000, 1.5659473E-001, 0.0000000E+000,-2.6694657E-003, 2.6369887E-003,-2.3648099E-004,-2.2249416E-005, 0.0000000E+000, 0.0000000E+000, 1.3199538E-001, 1.5630352E-001, 0.0000000E+000, 3.7376000E-006, 0.0000000E+000
 1.1749051E+000, 1.9690376E-001, 0.0000000E+000,-5.6253392E-003, 3.2772050E-003,-3.2679967E-004,-2.9022806E-005, 0.0000000E+000, 0.0000000E+000, 1.5630366E-001, 1.9419981E-001, 0.0000000E+000, 4.8896000E-006, 0.0000000E+000
 1.2923956E+000, 2.4769690E-001, 0.0000000E+000,-9.1794932E-003, 4.0852953E-003,-4.4442598E-004,-3.5466417E-005, 0.0000000E+000, 0.0000000E+000, 1.9420298E-001, 2.4212281E-001, 0.0000000E+000, 5.9840000E-006, 0.0000000E+000
 1.4098861E+000, 3.0560690E-001, 0.0000000E+000,-1.3242893E-002, 5.0053646E-003,-5.9822009E-004,-4.2242489E-005, 0.0000000E+000, 0.0000000E+000, 2.4213332E-001, 2.9672891E-001, 0.0000000E+000, 7.1360000E-006, 0.0000000E+000
 1.5273767E+000, 3.7066396E-001, 0.0000000E+000,-1.8498213E-002, 6.0260227E-003,-7.9231008E-004,-4.9005654E-005, 0.0000000E+000, 0.0000000E+000, 2.9674933E-001, 3.5735045E-001, 0.0000000E+000, 8.2880000E-006, 0.0000000E+000
 1.6448672E+000, 4.3917174E-001, 0.0000000E+000,-2.4789431E-002, 7.0867361E-003,-1.0324034E-003,-5.5440508E-005, 0.0000000E+000, 0.0000000E+000, 3.5738380E-001, 4.2038120E-001, 0.0000000E+000, 9.3824000E-006, 0.0000000E+000
 1.7623576E+000, 5.0996239E-001, 0.0000000E+000,-3.1575144E-002, 8.1774306E-003,-1.3203041E-003,-6.2250261E-005, 0.0000000E+000, 0.0000000E+000, 4.2043829E-001, 4.8518213E-001, 0.0000000E+000, 1.0534400E-005, 0.0000000E+000
 1.8798481E+000, 5.7975763E-001, 0.0000000E+000,-4.0075539E-002, 9.2209498E-003,-1.6509547E-003,-6.8783102E-005, 0.0000000E+000, 0.0000000E+000, 4.8527322E-001, 5.4718331E-001, 0.0000000E+000, 1.1628800E-005, 0.0000000E+000
 1.9973387E+000, 6.4667055E-001, 0.0000000E+000,-4.9484805E-002, 1.0199569E-002,-2.0175889E-003,-7.5695923E-005, 0.0000000E+000, 0.0000000E+000, 5.4731452E-001, 6.0529203E-001, 0.0000000E+000, 1.2780800E-005, 0.0000000E+000
 2.1148291E+000, 7.2588400E-001, 0.0000000E+000,-5.8394243E-002, 1.1400333E-002,-2.4050510E-003,-8.8584817E-005, 0.0000000E+000, 0.0000000E+000, 6.0547667E-001, 6.7639645E-001, 0.0000000E+000, 1.4950400E-005, 0.0000000E+000
 2.2323196E+000, 8.2098167E-001, 0.0000000E+000,-6.9417885E-002, 1.2835925E-002,-2.8098798E-003,-1.0230060E-004, 0.0000000E+000, 0.0000000E+000, 6.7663756E-001, 7.6148753E-001, 0.0000000E+000, 1.7254400E-005, 0.0000000E+000
 2.3498101E+000, 9.2446562E-001, 0.0000000E+000,-8.1563372E-002, 1.4394556E-002,-3.2292821E-003,-1.1605008E-004, 0.0000000E+000, 0.0000000E+000, 7.6178443E-001, 8.5395147E-001, 0.0000000E+000, 1.9558400E-005, 0.0000000E+000
 2.4673007E+000, 1.0321009E+000, 0.0000000E+000,-9.2782871E-002, 1.6039180E-002,-3.6459898E-003,-1.2914978E-004, 0.0000000E+000, 0.0000000E+000, 8.5430896E-001, 9.5158211E-001, 0.0000000E+000, 2.1747200E-005, 0.0000000E+000
 2.5847912E+000, 1.1405120E+000, 0.0000000E+000,-1.7596692E-001, 1.6469966E-002,-4.0433216E-003,-1.4294482E-004, 0.0000000E+000, 0.0000000E+000, 9.5200881E-001, 9.7682877E-001, 0.0000000E+000, 2.4051200E-005, 0.0000000E+000
 2.7022817E+000, 1.2498754E+000, 0.0000000E+000,-1.9441641E-001, 1.8022777E-002,-4.3926356E-003,-1.5608079E-004, 0.0000000E+000, 0.0000000E+000, 9.7733421E-001, 1.0689330E+000, 0.0000000E+000, 2.6240000E-005, 0.0000000E+000
 2.8197722E+000, 1.3398287E+000, 0.0000000E+000,-2.0459958E-001, 1.9386511E-002,-4.6717267E-003,-1.6989976E-004, 0.0000000E+000, 0.0000000E+000, 1.0695051E+000, 1.1497740E+000, 0.0000000E+000, 2.8544000E-005, 0.0000000E+000
 2.9372628E+000, 1.4310344E+000, 0.0000000E+000,-2.2005095E-001, 2.0683334E-002,-4.8369922E-003,-1.8372714E-004, 0.0000000E+000, 0.0000000E+000, 1.1504268E+000, 1.2266461E+000, 0.0000000E+000, 3.0848000E-005, 0.0000000E+000
 3.0547533E+000, 1.5263098E+000, 0.0000000E+000,-2.3221389E-001, 2.2108386E-002,-4.8949384E-003,-1.9893074E-004, 0.0000000E+000, 0.0000000E+000, 1.2273646E+000, 1.3111104E+000, 0.0000000E+000, 3.3382400E-005, 0.0000000E+000
 3.1722438E+000, 1.6301799E+000, 0.0000000E+000,-2.4103944E-001, 2.3740489E-002,-5.0455465E-003,-2.1732908E-004, 0.0000000E+000, 0.0000000E+000, 1.3117864E+000, 1.4076181E+000, 0.0000000E+000, 3.6454400E-005, 0.0000000E+000
 3.2897344E+000, 1.7384442E+000, 0.0000000E+000,-2.5293844E-001, 2.5396515E-002,-5.1806404E-003,-2.3482127E-004, 0.0000000E+000, 0.0000000E+000, 1.4082885E+000, 1.5054868E+000, 0.0000000E+000, 3.9372800E-005, 0.0000000E+000
 3.4072249E+000, 1.8448575E+000, 0.0000000E+000,-2.9540983E-001, 2.6500288E-002,-5.1702968E-003,-2.5319806E-004, 0.0000000E+000, 0.0000000E+000, 1.5062577E+000, 1.5705244E+000, 0.0000000E+000, 4.2444800E-005, 0.0000000E+000
