s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-6.1263417E-006, 0.0000000E+000,-4.7542245E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1324779E-005, 0.0000000E+000, 1.5360000E-006, 0.0000000E+000
 2.3498102E-001, 5.3727418E-002, 0.0000000E+000,-4.4411052E-007, 9.1345341E-004, 4.2876960E-009,-9.2384128E-006, 0.0000000E+000, 0.0000000E+000,-1.5581461E-005, 5.4631193E-002, 0.0000000E+000, 2.9952000E-006, 0.0000000E+000
 3.5247153E-001, 1.0623800E-001, 0.0000000E+000,-2.6609553E-003, 1.7627114E-003,-1.8342787E-005,-1.3924470E-005, 0.0000000E+000, 0.0000000E+000, 5.4613021E-002, 1.0530749E-001, 0.0000000E+000, 4.5312000E-006, 0.0000000E+000
 4.6996203E-001, 1.7254249E-001, 0.0000000E+000,-6.7156761E-003, 2.8227811E-003,-6.1348302E-005,-1.8344783E-005, 0.0000000E+000, 0.0000000E+000, 1.0527769E-001, 1.6856990E-001, 0.0000000E+000, 5.9904000E-006, 0.0000000E+000
 5.8745253E-001, 2.4941190E-001, 0.0000000E+000,-1.3160762E-002, 4.0221129E-003,-1.4500584E-004,-2.2964195E-005, 0.0000000E+000, 0.0000000E+000, 1.6852604E-001, 2.4010528E-001, 0.0000000E+000, 7.5264000E-006, 0.0000000E+000
 7.0494306E-001, 3.3186360E-001, 0.0000000E+000,-2.1698251E-002, 5.2806904E-003,-2.7894979E-004,-2.7322572E-005, 0.0000000E+000, 0.0000000E+000, 2.4005404E-001, 3.1513977E-001, 0.0000000E+000, 8.9856000E-006, 0.0000000E+000
 8.2243359E-001, 4.1893233E-001, 0.0000000E+000,-3.3734700E-002, 6.5564168E-003,-4.7138557E-004,-3.1851471E-005, 0.0000000E+000, 0.0000000E+000, 3.1508550E-001, 3.9125081E-001, 0.0000000E+000, 1.0521600E-005, 0.0000000E+000
 9.3992406E-001, 5.1423086E-001, 0.0000000E+000,-4.8765918E-002, 7.9206938E-003,-7.2963989E-004,-3.6322263E-005, 0.0000000E+000, 0.0000000E+000, 3.9120367E-001, 4.7261968E-001, 0.0000000E+000, 1.2057600E-005, 0.0000000E+000
 1.0574145E+000, 6.4168019E-001, 0.0000000E+000,-6.5239322E-002, 9.8064141E-003,-1.0595357E-003,-4.5944286E-005, 0.0000000E+000, 0.0000000E+000, 4.7258909E-001, 5.8514180E-001, 0.0000000E+000, 1.5308800E-005, 0.0000000E+000
 1.1749051E+000, 8.2372255E-001, 0.0000000E+000,-8.8956163E-002, 1.2494453E-002,-1.4866376E-003,-6.1839368E-005, 0.0000000E+000, 0.0000000E+000, 5.8512294E-001, 7.4571237E-001, 0.0000000E+000, 2.0684800E-005, 0.0000000E+000
 1.2923956E+000, 1.0529737E+000, 0.0000000E+000,-1.2043224E-001, 1.5850121E-002,-2.0509304E-003,-7.7059679E-005, 0.0000000E+000, 0.0000000E+000, 7.4571218E-001, 9.4626358E-001, 0.0000000E+000, 2.5792000E-005, 0.0000000E+000
 1.4098861E+000, 1.3261821E+000, 0.0000000E+000,-1.7169898E-001, 1.9610752E-002,-2.7823742E-003,-9.3203610E-005, 0.0000000E+000, 0.0000000E+000, 9.4630978E-001, 1.1712183E+000, 0.0000000E+000, 3.1168000E-005, 0.0000000E+000
