s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-3.1365062E-006, 0.0000000E+000,-4.9077960E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4885154E-006, 0.0000000E+000, 1.5360000E-006, 0.0000000E+000
 2.3498102E-001, 5.5068058E-002, 0.0000000E+000,-4.4410482E-007, 9.4011696E-004, 4.2278677E-009,-9.5366875E-006, 0.0000000E+000, 0.0000000E+000,-1.1654147E-005, 5.5998198E-002, 0.0000000E+000, 2.9952000E-006, 0.0000000E+000
 3.5247153E-001, 1.0878478E-001, 0.0000000E+000,-1.3106236E-005, 1.8570633E-003,-1.8801149E-005,-1.4373626E-005, 0.0000000E+000, 0.0000000E+000, 5.5981114E-002, 1.1059556E-001, 0.0000000E+000, 4.5312000E-006, 0.0000000E+000
 4.6996203E-001, 1.7648420E-001, 0.0000000E+000,-3.2719832E-003, 2.9561860E-003,-6.4455890E-005,-1.8935739E-005, 0.0000000E+000, 0.0000000E+000, 1.1056597E-001, 1.7608501E-001, 0.0000000E+000, 5.9904000E-006, 0.0000000E+000
 5.8745253E-001, 2.5612825E-001, 0.0000000E+000,-8.2209659E-003, 4.2302615E-003,-1.5263768E-004,-2.3702852E-005, 0.0000000E+000, 0.0000000E+000, 1.7604159E-001, 2.5196121E-001, 0.0000000E+000, 7.5264000E-006, 0.0000000E+000
 7.0494306E-001, 3.4119589E-001, 0.0000000E+000,-1.4782050E-002, 5.5686238E-003,-2.9452283E-004,-2.8199640E-005, 0.0000000E+000, 0.0000000E+000, 2.5190841E-001, 3.3165974E-001, 0.0000000E+000, 8.9856000E-006, 0.0000000E+000
 8.2243359E-001, 4.3145253E-001, 0.0000000E+000,-2.3918079E-002, 6.9498824E-003,-4.9926050E-004,-3.2866188E-005, 0.0000000E+000, 0.0000000E+000, 3.3160242E-001, 4.1395220E-001, 0.0000000E+000, 1.0521600E-005, 0.0000000E+000
 9.3992406E-001, 5.3078522E-001, 0.0000000E+000,-3.5348479E-002, 8.4458441E-003,-7.7543858E-004,-3.7485973E-005, 0.0000000E+000, 0.0000000E+000, 4.1390303E-001, 5.0306966E-001, 0.0000000E+000, 1.2057600E-005, 0.0000000E+000
 1.0574145E+000, 6.6246058E-001, 0.0000000E+000,-4.7976536E-002, 1.0472138E-002,-1.1313981E-003,-4.7445814E-005, 0.0000000E+000, 0.0000000E+000, 5.0303638E-001, 6.2377734E-001, 0.0000000E+000, 1.5308800E-005, 0.0000000E+000
 1.1749051E+000, 8.5116236E-001, 0.0000000E+000,-6.6022766E-002, 1.3376076E-002,-1.5916751E-003,-6.3866561E-005, 0.0000000E+000, 0.0000000E+000, 6.2376144E-001, 7.9686013E-001, 0.0000000E+000, 2.0684800E-005, 0.0000000E+000
 1.2923956E+000, 1.0879805E+000, 0.0000000E+000,-9.0012422E-002, 1.6993700E-002,-2.2014988E-003,-7.9596722E-005, 0.0000000E+000, 0.0000000E+000, 7.9686019E-001, 1.0126807E+000, 0.0000000E+000, 2.5792000E-005, 0.0000000E+000
 1.4098861E+000, 1.3700057E+000, 0.0000000E+000,-1.1842968E-001, 2.1301199E-002,-2.9907806E-003,-9.6295516E-005, 0.0000000E+000, 0.0000000E+000, 1.0127229E+000, 1.2697901E+000, 0.0000000E+000, 3.1168000E-005, 0.0000000E+000
 1.5273767E+000, 1.6824311E+000, 0.0000000E+000,-2.2771758E-001, 2.4739564E-002,-3.9760566E-003,-1.1321854E-004, 0.0000000E+000, 0.0000000E+000, 1.2699094E+000, 1.4753638E+000, 0.0000000E+000, 3.6544000E-005, 0.0000000E+000
 1.6448672E+000, 2.0114224E+000, 0.0000000E+000,-3.1349827E-001, 2.8869967E-002,-5.1287764E-003,-1.2953901E-004, 0.0000000E+000, 0.0000000E+000, 1.4756081E+000, 1.7215358E+000, 0.0000000E+000, 4.1651200E-005, 0.0000000E+000
 1.7623576E+000, 2.2898512E+000, 0.0000000E+000,-3.5507091E-001, 3.2885734E-002,-6.4024193E-003,-1.4678403E-004, 0.0000000E+000, 0.0000000E+000, 1.7218831E+000, 1.9611168E+000, 0.0000000E+000, 4.7027200E-005, 0.0000000E+000
 1.8798481E+000, 2.5476612E+000, 0.0000000E+000,-4.2558736E-001, 3.6061480E-002,-7.6375392E-003,-1.6324475E-004, 0.0000000E+000, 0.0000000E+000, 1.9616382E+000, 2.1503345E+000, 0.0000000E+000, 5.2134400E-005, 0.0000000E+000
 1.9973387E+000, 2.7768757E+000, 0.0000000E+000,-5.0759850E-001, 3.8559939E-002,-8.6703316E-003,-1.8055439E-004, 0.0000000E+000, 0.0000000E+000, 2.1510844E+000, 2.2989862E+000, 0.0000000E+000, 5.7510400E-005, 0.0000000E+000
 2.1148291E+000, 3.0048078E+000, 0.0000000E+000,-5.7344081E-001, 4.1314671E-002,-9.3506576E-003,-2.0590824E-004, 0.0000000E+000, 0.0000000E+000, 2.2999490E+000, 2.4631251E+000, 0.0000000E+000, 6.5484800E-005, 0.0000000E+000
 2.2323196E+000, 3.2352544E+000, 0.0000000E+000,-6.5981786E-001, 4.3769237E-002,-9.5931106E-003,-2.3278730E-004, 0.0000000E+000, 0.0000000E+000, 2.4642227E+000, 2.6093798E+000, 0.0000000E+000, 7.3932800E-005, 0.0000000E+000
 2.3498101E+000, 3.4580888E+000, 0.0000000E+000,-7.4222620E-001, 4.6179637E-002,-9.5531323E-003,-2.5974174E-004, 0.0000000E+000, 0.0000000E+000, 2.6104540E+000, 2.7522293E+000, 0.0000000E+000, 8.2380800E-005, 0.0000000E+000
 2.4673007E+000, 3.6650751E+000, 0.0000000E+000,-8.5591392E-001, 4.7809018E-002,-9.8047455E-003,-2.8543637E-004, 0.0000000E+000, 0.0000000E+000, 2.7529727E+000, 2.8468800E+000, 0.0000000E+000, 9.0406400E-005, 0.0000000E+000
 2.5847912E+000, 3.8505133E+000, 0.0000000E+000,-1.0234362E+000, 4.8162380E-002,-9.5155956E-003,-3.1238747E-004, 0.0000000E+000, 0.0000000E+000, 2.8478747E+000, 2.8654116E+000, 0.0000000E+000, 9.8854400E-005, 0.0000000E+000
 2.7022817E+000, 3.9922078E+000, 0.0000000E+000,-1.0665801E+000, 4.9914273E-002,-8.8657091E-003,-3.3783553E-004, 0.0000000E+000, 0.0000000E+000, 2.8663796E+000, 2.9663385E+000, 0.0000000E+000, 1.0688000E-004, 0.0000000E+000
 2.8062458E+000, 4.3711964E+000, 0.0000000E+000,-1.1087178E+000, 5.5675652E-002,-8.6946247E-003,-3.6168659E-004, 0.0000000E+000, 0.0000000E+000, 2.9670759E+000, 3.3090980E+000, 0.0000000E+000, 1.1448320E-004, 0.0000000E+000
 2.8984120E+000, 4.7301669E+000, 0.0000000E+000,-1.1996988E+000, 6.0207762E-002,-8.4523223E-003,-3.8143842E-004, 0.0000000E+000, 0.0000000E+000, 3.3102412E+000, 3.5818421E+000, 0.0000000E+000, 1.2081920E-004, 0.0000000E+000
 2.9905784E+000, 4.9165345E+000, 0.0000000E+000,-1.2830669E+000, 6.1944886E-002,-8.1720201E-003,-4.0102366E-004, 0.0000000E+000, 0.0000000E+000, 3.5831698E+000, 3.6868394E+000, 0.0000000E+000, 1.2715520E-004, 0.0000000E+000
 3.0660906E+000, 5.5115423E+000, 0.0000000E+000,-1.2297415E+000, 7.2983187E-002,-7.9716364E-003,-4.2358427E-004, 0.0000000E+000, 0.0000000E+000, 3.6881004E+000, 4.3463888E+000, 0.0000000E+000, 1.3454720E-004, 0.0000000E+000
 3.1416028E+000, 5.7780429E+000, 0.0000000E+000,-1.3740239E+000, 7.5004524E-002,-8.3195256E-003,-4.4696002E-004, 0.0000000E+000, 0.0000000E+000, 4.3474015E+000, 4.4702570E+000, 0.0000000E+000, 1.4228480E-004, 0.0000000E+000
 3.2082200E+000, 6.2910032E+000, 0.0000000E+000,-1.5281784E+000, 8.1133951E-002,-8.7232575E-003,-4.6645167E-004, 0.0000000E+000, 0.0000000E+000, 4.4715037E+000, 4.8347690E+000, 0.0000000E+000, 1.4883200E-004, 0.0000000E+000
 3.2748373E+000, 6.5709646E+000, 0.0000000E+000,-1.1577110E+000, 9.2145196E-002,-9.3650886E-003,-4.8576443E-004, 0.0000000E+000, 0.0000000E+000, 4.8358701E+000, 5.4955480E+000, 0.0000000E+000, 1.5537920E-004, 0.0000000E+000
 3.3414545E+000, 6.9225272E+000, 0.0000000E+000,-1.1267087E+000, 9.8618820E-002,-1.0075818E-002,-5.0492451E-004, 0.0000000E+000, 0.0000000E+000, 5.4968114E+000, 5.8838566E+000, 0.0000000E+000, 1.6192640E-004, 0.0000000E+000
 3.4004960E+000, 7.3588607E+000, 0.0000000E+000,-1.3537188E+000, 1.0216527E-001,-1.0780454E-002,-5.2242056E-004, 0.0000000E+000, 0.0000000E+000, 5.8852798E+000, 6.0960043E+000, 0.0000000E+000, 1.6787840E-004, 0.0000000E+000
 3.4595373E+000, 7.5802284E+000, 0.0000000E+000,-1.4318020E+000, 1.0454013E-001,-1.1603162E-002,-5.3988470E-004, 0.0000000E+000, 0.0000000E+000, 6.0973838E+000, 6.2408235E+000, 0.0000000E+000, 1.7383040E-004, 0.0000000E+000
 3.5185785E+000, 7.8632995E+000, 0.0000000E+000,-1.4453450E+000, 1.0908805E-001,-1.2439628E-002,-5.5558557E-004, 0.0000000E+000, 0.0000000E+000, 6.2424182E+000, 6.5140474E+000, 0.0000000E+000, 1.7918720E-004, 0.0000000E+000
 3.5709589E+000, 8.2184599E+000, 0.0000000E+000,-1.4737404E+000, 1.1462962E-001,-1.3213985E-002,-5.7144680E-004, 0.0000000E+000, 0.0000000E+000, 6.5155665E+000, 6.8455637E+000, 0.0000000E+000, 1.8454400E-004, 0.0000000E+000
 3.6233389E+000, 8.3529040E+000, 0.0000000E+000,-1.6152508E+000, 1.1445356E-001,-1.4045489E-002,-5.8728426E-004, 0.0000000E+000, 0.0000000E+000, 6.8468765E+000, 6.8374740E+000, 0.0000000E+000, 1.8990080E-004, 0.0000000E+000
 3.6757190E+000, 8.5764545E+000, 0.0000000E+000,-1.7823888E+000, 1.1536897E-001,-1.4860255E-002,-6.0316835E-004, 0.0000000E+000, 0.0000000E+000, 6.8391924E+000, 6.8939713E+000, 0.0000000E+000, 1.9525760E-004, 0.0000000E+000
 3.7280993E+000, 8.7886345E+000, 0.0000000E+000,-1.9840684E+000, 1.1552162E-001,-1.5680110E-002,-6.1741904E-004, 0.0000000E+000, 0.0000000E+000, 6.8957450E+000, 6.9037901E+000, 0.0000000E+000, 2.0001920E-004, 0.0000000E+000
 3.7804794E+000, 8.9969458E+000, 0.0000000E+000,-2.1642432E+000, 1.1596584E-001,-1.6484865E-002,-6.3358751E-004, 0.0000000E+000, 0.0000000E+000, 6.9056740E+000, 6.9315499E+000, 0.0000000E+000, 2.0537600E-004, 0.0000000E+000
 3.8260980E+000, 9.3445407E+000, 0.0000000E+000,-2.3122828E+000, 1.1935222E-001,-1.7202697E-002,-6.4814551E-004, 0.0000000E+000, 0.0000000E+000, 6.9335806E+000, 7.1337593E+000, 0.0000000E+000, 2.1013760E-004, 0.0000000E+000
 3.8717165E+000, 9.4330319E+000, 0.0000000E+000,-2.4441658E+000, 1.1856532E-001,-1.7892241E-002,-6.6099784E-004, 0.0000000E+000, 0.0000000E+000, 7.1358608E+000, 7.0888781E+000, 0.0000000E+000, 2.1430400E-004, 0.0000000E+000
 3.9173350E+000, 9.6060918E+000, 0.0000000E+000,-2.4980178E+000, 1.2058048E-001,-1.8514009E-002,-6.7571091E-004, 0.0000000E+000, 0.0000000E+000, 7.0912707E+000, 7.2094648E+000, 0.0000000E+000, 2.1906560E-004, 0.0000000E+000
 3.9629533E+000, 9.7618454E+000, 0.0000000E+000,-2.6960561E+000, 1.1984691E-001,-1.9072416E-002,-6.8877564E-004, 0.0000000E+000, 0.0000000E+000, 7.2118741E+000, 7.1658750E+000, 0.0000000E+000, 2.2323200E-004, 0.0000000E+000
 4.0085721E+000, 9.9137434E+000, 0.0000000E+000,-2.8816398E+000, 1.1927078E-001,-1.9552496E-002,-7.0435362E-004, 0.0000000E+000, 0.0000000E+000, 7.1683037E+000, 7.1311175E+000, 0.0000000E+000, 2.2822400E-004, 0.0000000E+000
 4.0541902E+000, 1.0072867E+001, 0.0000000E+000,-2.8310327E+000, 1.2283715E-001,-1.9947761E-002,-7.2337720E-004, 0.0000000E+000, 0.0000000E+000, 7.1333155E+000, 7.3440006E+000, 0.0000000E+000, 2.3436800E-004, 0.0000000E+000
 4.0998087E+000, 1.0231079E+001, 0.0000000E+000,-2.8342330E+000, 1.2545986E-001,-2.0257687E-002,-7.4007274E-004, 0.0000000E+000, 0.0000000E+000, 7.3461093E+000, 7.5013085E+000, 0.0000000E+000, 2.3974400E-004, 0.0000000E+000
 4.1403818E+000, 1.0557336E+001, 0.0000000E+000,-2.8771722E+000, 1.3027709E-001,-2.0498306E-002,-7.5664381E-004, 0.0000000E+000, 0.0000000E+000, 7.5031065E+000, 7.7891862E+000, 0.0000000E+000, 2.4512000E-004, 0.0000000E+000
 4.1809549E+000, 1.0680538E+001, 0.0000000E+000,-2.9699085E+000, 1.3073777E-001,-2.0703519E-002,-7.7321461E-004, 0.0000000E+000, 0.0000000E+000, 7.7910811E+000, 7.8198903E+000, 0.0000000E+000, 2.5049600E-004, 0.0000000E+000
 4.2215281E+000, 1.0870313E+001, 0.0000000E+000,-3.1800769E+000, 1.3038377E-001,-2.0875905E-002,-7.8972961E-004, 0.0000000E+000, 0.0000000E+000, 7.8218506E+000, 7.7989544E+000, 0.0000000E+000, 2.5587200E-004, 0.0000000E+000
 4.2621007E+000, 1.1067114E+001, 0.0000000E+000,-3.2089458E+000, 1.3319713E-001,-2.1030337E-002,-8.0397591E-004, 0.0000000E+000, 0.0000000E+000, 7.8010892E+000, 7.9695311E+000, 0.0000000E+000, 2.6048000E-004, 0.0000000E+000
 4.3026738E+000, 1.1260847E+001, 0.0000000E+000,-3.1583446E+000, 1.3730288E-001,-2.1178319E-002,-8.2050554E-004, 0.0000000E+000, 0.0000000E+000, 7.9716453E+000, 8.2178065E+000, 0.0000000E+000, 2.6585600E-004, 0.0000000E+000
 4.3432469E+000, 1.1465344E+001, 0.0000000E+000,-3.3246968E+000, 1.3788529E-001,-2.1322461E-002,-8.3703831E-004, 0.0000000E+000, 0.0000000E+000, 8.2201840E+000, 8.2563728E+000, 0.0000000E+000, 2.7123200E-004, 0.0000000E+000
 4.3838201E+000, 1.1683431E+001, 0.0000000E+000,-3.3731932E+000, 1.4068217E-001,-2.1457269E-002,-8.5358323E-004, 0.0000000E+000, 0.0000000E+000, 8.2588046E+000, 8.4286089E+000, 0.0000000E+000, 2.7660800E-004, 0.0000000E+000
 4.4243927E+000, 1.1905047E+001, 0.0000000E+000,-3.3044123E+000, 1.4551037E-001,-2.1587200E-002,-8.6784089E-004, 0.0000000E+000, 0.0000000E+000, 8.4311800E+000, 8.7236902E+000, 0.0000000E+000, 2.8121600E-004, 0.0000000E+000
 4.4649658E+000, 1.2127117E+001, 0.0000000E+000,-3.3365378E+000, 1.4823580E-001,-2.1730505E-002,-8.8438391E-004, 0.0000000E+000, 0.0000000E+000, 8.7262161E+000, 8.9161998E+000, 0.0000000E+000, 2.8659200E-004, 0.0000000E+000
 4.5055389E+000, 1.2355958E+001, 0.0000000E+000,-3.3795589E+000, 1.0429292E-001,-2.1872444E-002,-9.0090901E-004, 0.0000000E+000, 0.0000000E+000, 8.9110896E+000, 9.0579183E+000, 0.0000000E+000, 2.9196800E-004, 0.0000000E+000
 4.5461121E+000, 1.2586324E+001, 0.0000000E+000,-3.4164943E+000,-1.3829114E-001,-2.2017844E-002,-9.1739507E-004, 0.0000000E+000, 0.0000000E+000, 8.9896208E+000, 9.0086030E+000, 0.0000000E+000, 2.9734400E-004, 0.0000000E+000
 4.5819817E+000, 1.2983763E+001, 0.0000000E+000,-3.5060528E+000,-6.1501641E-001,-2.2165157E-002,-9.3147531E-004, 0.0000000E+000, 0.0000000E+000, 8.8171537E+000, 8.8395971E+000, 0.0000000E+000, 3.0195200E-004, 0.0000000E+000
 4.6178513E+000, 1.3131098E+001, 0.0000000E+000,-3.6123748E+000,-1.3049126E+000,-2.2342956E-002,-9.4551791E-004, 0.0000000E+000, 0.0000000E+000, 8.5180974E+000, 8.1905220E+000, 0.0000000E+000, 3.0656000E-004, 0.0000000E+000
 4.6537209E+000, 1.3332047E+001, 0.0000000E+000,-3.6029384E+000,-2.0443972E+000,-2.2527250E-002,-9.5948853E-004, 0.0000000E+000, 0.0000000E+000, 7.7965757E+000, 7.6612246E+000, 0.0000000E+000, 3.1116800E-004, 0.0000000E+000
 4.6895905E+000, 1.3529385E+001, 0.0000000E+000,-3.6428899E+000,-2.6754210E+000,-2.2716520E-002,-9.7341896E-004, 0.0000000E+000, 0.0000000E+000, 7.2972915E+000, 7.1873844E+000, 0.0000000E+000, 3.1577600E-004, 0.0000000E+000
 4.7254601E+000, 1.3719669E+001, 0.0000000E+000,-3.6809247E+000,-3.1405979E+000,-2.2912015E-002,-9.8728655E-004, 0.0000000E+000, 0.0000000E+000, 6.9116334E+000, 6.8742468E+000, 0.0000000E+000, 3.2038400E-004, 0.0000000E+000
 4.7613301E+000, 1.3913461E+001, 0.0000000E+000,-3.6664415E+000,-3.4669213E+000,-2.3115575E-002,-1.0010867E-003, 0.0000000E+000, 0.0000000E+000, 6.6764946E+000, 6.7559811E+000, 0.0000000E+000, 3.2499200E-004, 0.0000000E+000
 4.7971997E+000, 1.4113039E+001, 0.0000000E+000,-3.7022627E+000,-3.7286635E+000,-2.3326838E-002,-1.0148282E-003, 0.0000000E+000, 0.0000000E+000, 6.6092640E+000, 6.6577709E+000, 0.0000000E+000, 3.2960000E-004, 0.0000000E+000
 4.8330693E+000, 1.4317593E+001, 0.0000000E+000,-3.8906566E+000,-4.0016831E+000,-2.3548019E-002,-1.0285147E-003, 0.0000000E+000, 0.0000000E+000, 6.5285608E+000, 6.4006771E+000, 0.0000000E+000, 3.3420800E-004, 0.0000000E+000
 4.8689389E+000, 1.4523266E+001, 0.0000000E+000,-3.9141865E+000,-4.3943946E+000,-2.3781927E-002,-1.0398762E-003, 0.0000000E+000, 0.0000000E+000, 6.2398698E+000, 6.1898628E+000, 0.0000000E+000, 3.3804800E-004, 0.0000000E+000
 4.9048085E+000, 1.4726500E+001, 0.0000000E+000,-3.9357563E+000,-4.9386639E+000,-2.4033526E-002,-1.0534656E-003, 0.0000000E+000, 0.0000000E+000, 5.9650129E+000, 5.8269925E+000, 0.0000000E+000, 3.4265600E-004, 0.0000000E+000
 4.9406781E+000, 1.4931398E+001, 0.0000000E+000,-3.9530562E+000,-5.6144574E+000,-2.4306873E-002,-1.0670010E-003, 0.0000000E+000, 0.0000000E+000, 5.5075710E+000, 5.3385101E+000, 0.0000000E+000, 3.4726400E-004, 0.0000000E+000
 4.9765477E+000, 1.5138943E+001, 0.0000000E+000,-3.9410077E+000,-6.3200971E+000,-2.4594362E-002,-1.0804866E-003, 0.0000000E+000, 0.0000000E+000, 4.9731847E+000, 4.8521634E+000, 0.0000000E+000, 3.5187200E-004, 0.0000000E+000
 5.0124178E+000, 1.5349325E+001, 0.0000000E+000,-3.9880853E+000,-6.9753759E+000,-2.4889867E-002,-1.0947710E-003, 0.0000000E+000, 0.0000000E+000, 4.4872782E+000, 4.3598793E+000, 0.0000000E+000, 3.5676800E-004, 0.0000000E+000
 5.0482874E+000, 1.5569150E+001, 0.0000000E+000,-4.0538940E+000,-7.5160266E+000,-2.5218437E-002,-1.1112086E-003, 0.0000000E+000, 0.0000000E+000, 4.0593832E+000, 3.9728994E+000, 0.0000000E+000, 3.6241280E-004, 0.0000000E+000
 5.0841570E+000, 1.5799243E+001, 0.0000000E+000,-4.0985924E+000,-7.8083399E+000,-2.5594091E-002,-1.1275922E-003, 0.0000000E+000, 0.0000000E+000, 3.7490516E+000, 3.8655890E+000, 0.0000000E+000, 3.6805760E-004, 0.0000000E+000
 5.1200266E+000, 1.6035221E+001, 0.0000000E+000,-4.1733584E+000,-7.8406394E+000,-2.6184386E-002,-1.1439103E-003, 0.0000000E+000, 0.0000000E+000, 3.7793461E+000, 3.9938944E+000, 0.0000000E+000, 3.7370240E-004, 0.0000000E+000
 5.1558962E+000, 1.6278668E+001, 0.0000000E+000,-4.2721379E+000,-7.7207642E+000,-2.6708251E-002,-1.1601821E-003, 0.0000000E+000, 0.0000000E+000, 4.0150537E+000, 4.2578974E+000, 0.0000000E+000, 3.7934720E-004, 0.0000000E+000
 5.1917658E+000, 1.6528423E+001, 0.0000000E+000,-4.3419731E+000,-7.5762499E+000,-2.7497528E-002,-1.1764266E-003, 0.0000000E+000, 0.0000000E+000, 4.3308316E+000, 4.5815258E+000, 0.0000000E+000, 3.8499200E-004, 0.0000000E+000
 5.2276354E+000, 1.6781804E+001, 0.0000000E+000,-4.4607595E+000,-7.4899881E+000,-2.8071436E-002,-1.1926419E-003, 0.0000000E+000, 0.0000000E+000, 4.6419250E+000, 4.8017920E+000, 0.0000000E+000, 3.9063680E-004, 0.0000000E+000
 5.2635050E+000, 1.7040860E+001, 0.0000000E+000,-4.5337082E+000,-7.4760437E+000,-3.4075445E-002,-1.2088403E-003, 0.0000000E+000, 0.0000000E+000, 4.8295220E+000, 4.9958240E+000, 0.0000000E+000, 3.9628160E-004, 0.0000000E+000
 5.2993751E+000, 1.7303719E+001, 0.0000000E+000,-4.5721049E+000,-7.5627051E+000,-3.4418716E-002,-1.2250323E-003, 0.0000000E+000, 0.0000000E+000, 4.9818001E+000, 5.1332650E+000, 0.0000000E+000, 4.0192640E-004, 0.0000000E+000
 5.3352447E+000, 1.7564263E+001, 0.0000000E+000,-4.6870791E+000,-7.7936640E+000,-3.4687054E-002,-1.2412257E-003, 0.0000000E+000, 0.0000000E+000, 5.0596314E+000, 5.0475914E+000, 0.0000000E+000, 4.0757120E-004, 0.0000000E+000
 5.3711143E+000, 1.7826536E+001, 0.0000000E+000,-4.7520728E+000,-8.1497210E+000,-3.4717526E-002,-1.2574328E-003, 0.0000000E+000, 0.0000000E+000, 4.9224977E+000, 4.8887672E+000, 0.0000000E+000, 4.1321600E-004, 0.0000000E+000
 5.4069839E+000, 1.8090916E+001, 0.0000000E+000,-4.8057208E+000,-8.4753654E+000,-3.4880808E-002,-1.2736650E-003, 0.0000000E+000, 0.0000000E+000, 4.7499752E+000, 4.7736749E+000, 0.0000000E+000, 4.1886080E-004, 0.0000000E+000
 5.4428535E+000, 1.8353124E+001, 0.0000000E+000,-4.8750190E+000,-8.7246873E+000,-3.5028672E-002,-1.2899467E-003, 0.0000000E+000, 0.0000000E+000, 4.6199219E+000, 4.7170991E+000, 0.0000000E+000, 4.2450560E-004, 0.0000000E+000
 5.4787230E+000, 1.8612515E+001, 0.0000000E+000,-4.9528358E+000,-8.8790900E+000,-3.5165355E-002,-1.3062718E-003, 0.0000000E+000, 0.0000000E+000, 4.6168280E+000, 4.7441171E+000, 0.0000000E+000, 4.3015040E-004, 0.0000000E+000
 5.5145926E+000, 1.8871162E+001, 0.0000000E+000,-5.0141861E+000,-8.9081822E+000,-3.5304292E-002,-1.3226661E-003, 0.0000000E+000, 0.0000000E+000, 4.7066258E+000, 4.9121667E+000, 0.0000000E+000, 4.3579520E-004, 0.0000000E+000
 5.5504627E+000, 1.9128259E+001, 0.0000000E+000,-5.1283431E+000,-8.9056998E+000,-3.5455750E-002,-1.3391462E-003, 0.0000000E+000, 0.0000000E+000, 4.9115595E+000, 5.0574210E+000, 0.0000000E+000, 4.4144000E-004, 0.0000000E+000
 5.5863323E+000, 1.9385533E+001, 0.0000000E+000,-5.2357451E+000,-8.9036528E+000,-3.5620888E-002,-1.3557294E-003, 0.0000000E+000, 0.0000000E+000, 5.0735640E+000, 5.2091580E+000, 0.0000000E+000, 4.4708480E-004, 0.0000000E+000
 5.6222019E+000, 1.9640563E+001, 0.0000000E+000,-5.2756340E+000,-9.0141904E+000,-3.5819430E-002,-1.3724215E-003, 0.0000000E+000, 0.0000000E+000, 5.1862343E+000, 5.3135468E+000, 0.0000000E+000, 4.5272960E-004, 0.0000000E+000
 5.6580715E+000, 1.9890779E+001, 0.0000000E+000,-5.3898830E+000,-9.2233359E+000,-3.9900898E-002,-1.3892271E-003, 0.0000000E+000, 0.0000000E+000, 5.2350681E+000, 5.2362703E+000, 0.0000000E+000, 4.5837440E-004, 0.0000000E+000
 5.6939411E+000, 2.0139424E+001, 0.0000000E+000,-5.4627688E+000,-9.5203696E+000,-4.1682066E-002,-1.4061559E-003, 0.0000000E+000, 0.0000000E+000, 5.1028597E+000, 5.1131977E+000, 0.0000000E+000, 4.6401920E-004, 0.0000000E+000
 5.7298107E+000, 2.0385109E+001, 0.0000000E+000,-5.4798842E+000,-9.8446666E+000,-4.1563450E-002,-1.4231957E-003, 0.0000000E+000, 0.0000000E+000, 4.9534251E+000, 5.0175719E+000, 0.0000000E+000, 4.6966400E-004, 0.0000000E+000
 5.7656803E+000, 2.0624475E+001, 0.0000000E+000,-5.5686315E+000,-1.0094741E+001,-4.4865682E-002,-1.4403230E-003, 0.0000000E+000, 0.0000000E+000, 4.8925864E+000, 4.9147963E+000, 0.0000000E+000, 4.7530880E-004, 0.0000000E+000
 5.8015504E+000, 2.0864459E+001, 0.0000000E+000,-5.6522919E+000,-1.0177044E+001,-4.5027706E-002,-1.4575211E-003, 0.0000000E+000, 0.0000000E+000, 4.8319436E+000, 4.9886376E+000, 0.0000000E+000, 4.8095360E-004, 0.0000000E+000
 5.8374200E+000, 2.1103603E+001, 0.0000000E+000,-5.6567024E+000,-1.0151435E+001,-4.4278220E-002,-1.4747607E-003, 0.0000000E+000, 0.0000000E+000, 4.9722324E+000, 5.2497126E+000, 0.0000000E+000, 4.8659840E-004, 0.0000000E+000
