s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-6.7791969E-007, 0.0000000E+000,-7.5321323E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7865953E-006, 0.0000000E+000, 3.8400000E-007, 0.0000000E+000
 2.3498102E-001, 8.3345459E-003, 0.0000000E+000,-3.5534578E-007, 1.4176674E-004, 2.1525551E-009,-1.4659231E-006, 0.0000000E+000, 0.0000000E+000,-2.7015674E-006, 8.4744935E-003, 0.0000000E+000, 7.4880000E-007, 0.0000000E+000
 3.5247153E-001, 1.7722630E-002, 0.0000000E+000,-2.1142673E-006, 3.0219392E-004,-2.8387037E-006,-2.2131703E-006, 0.0000000E+000, 0.0000000E+000, 8.4707396E-003, 1.8017658E-002, 0.0000000E+000, 1.1328000E-006, 0.0000000E+000
 4.6996203E-001, 2.7681144E-002, 0.0000000E+000,-6.4073887E-006, 4.7231437E-004,-8.8421955E-006,-2.9201262E-006, 0.0000000E+000, 0.0000000E+000, 1.8010116E-002, 2.8135288E-002, 0.0000000E+000, 1.4976000E-006, 0.0000000E+000
 5.8745253E-001, 3.8072207E-002, 0.0000000E+000,-1.3163419E-005, 6.4961589E-004,-1.8811324E-005,-3.6613034E-006, 0.0000000E+000, 0.0000000E+000, 2.8121370E-002, 3.8686186E-002, 0.0000000E+000, 1.8816000E-006, 0.0000000E+000
 7.0494306E-001, 4.8893294E-002, 0.0000000E+000,-2.1922355E-005, 8.3410191E-004,-3.5565221E-005,-4.3626635E-006, 0.0000000E+000, 0.0000000E+000, 3.8661555E-002, 4.9665545E-002, 0.0000000E+000, 2.2464000E-006, 0.0000000E+000
 8.2243359E-001, 6.0100270E-002, 0.0000000E+000,-3.4164098E-005, 1.0249258E-003,-5.9123125E-005,-5.0983682E-006, 0.0000000E+000, 0.0000000E+000, 4.9628313E-002, 6.1026810E-002, 0.0000000E+000, 2.6304000E-006, 0.0000000E+000
 9.3992406E-001, 7.1777484E-002, 0.0000000E+000,-1.5507613E-003, 1.1978497E-003,-9.0363326E-005,-5.8326284E-006, 0.0000000E+000, 0.0000000E+000, 6.0973051E-002, 7.1328376E-002, 0.0000000E+000, 3.0144000E-006, 0.0000000E+000
