s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-3.6066321E-004, 0.0000000E+000,-1.8366746E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4468613E-004, 0.0000000E+000, 7.6800000E-005, 0.0000000E+000
 2.3498102E-001, 2.5431947E+000, 0.0000000E+000,-3.5522052E-007, 4.9484914E-002, 2.5179704E-009,-3.0513078E-004, 0.0000000E+000, 0.0000000E+000,-8.3657280E-004, 2.5923741E+000, 0.0000000E+000, 1.4976000E-004, 0.0000000E+000
 3.5247153E-001, 9.1561488E-001, 0.0000000E+000,-3.9404054E-002, 8.4230203E-003,-1.9639000E-003,-5.2377408E-004, 0.0000000E+000, 0.0000000E+000, 2.5647599E+000, 8.8214617E-001, 0.0000000E+000, 2.2656000E-004, 0.0000000E+000
 4.6996203E-001, 2.1811652E+001, 0.0000000E+000,-1.6216819E-001, 3.9151289E-001,-2.7600487E-003,-5.0748560E-004, 0.0000000E+000, 0.0000000E+000, 9.0269001E-001, 2.2037729E+001, 0.0000000E+000, 2.9952000E-004, 0.0000000E+000
 5.8745253E-001, 8.9421661E+000, 0.0000000E+000,-2.8804557E+000, 9.4927574E-002,-3.3675063E-002,-1.0211675E-003, 0.0000000E+000, 0.0000000E+000, 2.1406192E+001, 6.1219417E+000, 0.0000000E+000, 3.7632000E-004, 0.0000000E+000
 7.0494306E-001, 3.0809522E+001, 0.0000000E+000,-4.6035141E+000, 4.2872059E-001,-3.6569502E-002,-1.2091852E-003, 0.0000000E+000, 0.0000000E+000, 6.2838972E+000, 2.6596950E+001, 0.0000000E+000, 4.4928000E-004, 0.0000000E+000
 7.9222077E-001, 3.2047742E+001, 0.0000000E+000,-2.0600225E+001, 2.0209914E-001,-5.9632513E-002,-1.3820806E-003, 0.0000000E+000, 0.0000000E+000, 2.5926752E+001, 1.1588601E+001, 0.0000000E+000, 5.0688000E-004, 0.0000000E+000
 8.7005776E-001, 3.4883891E+001, 0.0000000E+000,-1.1569458E+001, 3.9686944E-001,-3.2979252E-002,-1.6288982E-003, 0.0000000E+000, 0.0000000E+000, 1.1412487E+001, 2.3676695E+001, 0.0000000E+000, 5.5680000E-004, 0.0000000E+000
 9.3577820E-001, 3.0725051E+001, 0.0000000E+000,-1.6020073E+001, 2.5832694E-001,-3.3163971E-002,-1.7659545E-003, 0.0000000E+000, 0.0000000E+000, 2.3559914E+001, 1.4928376E+001, 0.0000000E+000, 5.9904000E-004, 0.0000000E+000
 9.8629034E-001, 3.1092195E+001, 0.0000000E+000,-1.2284561E+001, 3.2307884E-001,-3.4718386E-002,-1.8758601E-003, 0.0000000E+000, 0.0000000E+000, 1.4916644E+001, 1.9094118E+001, 0.0000000E+000, 6.2976000E-004, 0.0000000E+000
