s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007, 1.5675389E-006, 0.0000000E+000,-2.3047656E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0926890E-006, 0.0000000E+000, 3.8400000E-007, 0.0000000E+000
 2.3498102E-001, 1.5152119E-002, 0.0000000E+000,-3.5534170E-007, 2.6153451E-004, 1.9781432E-009,-4.4855297E-006, 0.0000000E+000, 0.0000000E+000,-1.6436741E-006, 1.5408815E-002, 0.0000000E+000, 7.4880000E-007, 0.0000000E+000
 3.5247153E-001, 3.1862981E-002, 0.0000000E+000,-3.7165841E-006, 5.4796012E-004,-5.1654839E-006,-6.7718201E-006, 0.0000000E+000, 0.0000000E+000, 1.5403180E-002, 3.2395287E-002, 0.0000000E+000, 1.1328000E-006, 0.0000000E+000
 4.6996203E-001, 5.0211224E-002, 0.0000000E+000,-1.1455177E-005, 8.6195024E-004,-1.6298630E-005,-8.9346182E-006, 0.0000000E+000, 0.0000000E+000, 3.2382191E-002, 5.1036486E-002, 0.0000000E+000, 1.4976000E-006, 0.0000000E+000
 5.8745253E-001, 6.9943494E-002, 0.0000000E+000,-2.3796300E-005, 1.1992131E-003,-3.8331369E-005,-1.1202024E-005, 0.0000000E+000, 0.0000000E+000, 5.1008624E-002, 7.1069378E-002, 0.0000000E+000, 1.8816000E-006, 0.0000000E+000
 7.0494306E-001, 9.0880035E-002, 0.0000000E+000,-1.4227628E-003, 1.5329267E-003,-7.3189573E-005,-1.3348263E-005, 0.0000000E+000, 0.0000000E+000, 7.1022183E-002, 9.0903661E-002, 0.0000000E+000, 2.2464000E-006, 0.0000000E+000
 8.2243359E-001, 1.1309515E-001, 0.0000000E+000,-3.1502884E-003, 1.8824988E-003,-1.2190091E-004,-1.5603188E-005, 0.0000000E+000, 0.0000000E+000, 9.0829847E-002, 1.1168986E-001, 0.0000000E+000, 2.6304000E-006, 0.0000000E+000
 9.3992406E-001, 1.3612860E-001, 0.0000000E+000,-5.2009297E-003, 2.2400678E-003,-1.8621637E-004,-1.7861663E-005, 0.0000000E+000, 0.0000000E+000, 1.1158180E-001, 1.3296366E-001, 0.0000000E+000, 3.0144000E-006, 0.0000000E+000
 1.0574145E+000, 1.6493318E-001, 0.0000000E+000,-7.3763348E-003, 2.6947409E-003,-2.6726368E-004,-2.2070616E-005, 0.0000000E+000, 0.0000000E+000, 1.3281280E-001, 1.5996225E-001, 0.0000000E+000, 3.7376000E-006, 0.0000000E+000
 1.1749051E+000, 2.0855420E-001, 0.0000000E+000,-1.0191217E-002, 3.3922382E-003,-3.6989283E-004,-2.8718516E-005, 0.0000000E+000, 0.0000000E+000, 1.5975740E-001, 2.0135661E-001, 0.0000000E+000, 4.8896000E-006, 0.0000000E+000
 1.2923956E+000, 2.6311778E-001, 0.0000000E+000,-1.3775069E-002, 4.2618128E-003,-5.0402953E-004,-3.5107528E-005, 0.0000000E+000, 0.0000000E+000, 2.0108172E-001, 2.5306539E-001, 0.0000000E+000, 5.9840000E-006, 0.0000000E+000
 1.4098861E+000, 3.2626840E-001, 0.0000000E+000,-1.7851462E-002, 5.2681450E-003,-6.7904528E-004,-4.1893948E-005, 0.0000000E+000, 0.0000000E+000, 2.5270027E-001, 3.1296414E-001, 0.0000000E+000, 7.1360000E-006, 0.0000000E+000
 1.5273767E+000, 3.9529649E-001, 0.0000000E+000,-2.3670395E-002, 6.3435144E-003,-8.9856704E-004,-4.8739969E-005, 0.0000000E+000, 0.0000000E+000, 3.1248373E-001, 3.7702230E-001, 0.0000000E+000, 8.2880000E-006, 0.0000000E+000
 1.6448672E+000, 4.6418484E-001, 0.0000000E+000,-3.0750210E-002, 7.3935082E-003,-1.1634508E-003,-5.5300715E-005, 0.0000000E+000, 0.0000000E+000, 3.7640376E-001, 4.3960939E-001, 0.0000000E+000, 9.3824000E-006, 0.0000000E+000
 1.7623576E+000, 5.3061813E-001, 0.0000000E+000,-3.7930251E-002, 8.3995371E-003,-1.4633273E-003,-6.2227242E-005, 0.0000000E+000, 0.0000000E+000, 4.3883796E-001, 4.9956186E-001, 0.0000000E+000, 1.0534400E-005, 0.0000000E+000
 1.8798481E+000, 5.9145336E-001, 0.0000000E+000,-4.7020103E-002, 9.2772860E-003,-1.7798116E-003,-6.8840536E-005, 0.0000000E+000, 0.0000000E+000, 4.9863282E-001, 5.5186189E-001, 0.0000000E+000, 1.1628800E-005, 0.0000000E+000
 1.9973387E+000, 6.4619058E-001, 0.0000000E+000,-6.1020170E-002, 9.9685371E-003,-2.0879988E-003,-7.5800674E-005, 0.0000000E+000, 0.0000000E+000, 5.5078143E-001, 5.9297514E-001, 0.0000000E+000, 1.2780800E-005, 0.0000000E+000
 2.1148291E+000, 7.1075960E-001, 0.0000000E+000,-1.0627296E-001, 1.0299609E-002,-2.3585982E-003,-8.8736500E-005, 0.0000000E+000, 0.0000000E+000, 5.9176575E-001, 6.1233891E-001, 0.0000000E+000, 1.4950400E-005, 0.0000000E+000
 2.2323196E+000, 7.9065701E-001, 0.0000000E+000,-1.1519827E-001, 1.1513705E-002,-2.5836936E-003,-1.0249084E-004, 0.0000000E+000, 0.0000000E+000, 6.1102699E-001, 6.8428626E-001, 0.0000000E+000, 1.7254400E-005, 0.0000000E+000
 2.3498101E+000, 8.6882366E-001, 0.0000000E+000,-1.2449119E-001, 1.2692435E-002,-2.7562478E-003,-1.1626146E-004, 0.0000000E+000, 0.0000000E+000, 6.8288803E-001, 7.5415240E-001, 0.0000000E+000, 1.9558400E-005, 0.0000000E+000
 2.4673007E+000, 9.5323093E-001, 0.0000000E+000,-1.3092192E-001, 1.4027054E-002,-2.8613096E-003,-1.2936842E-004, 0.0000000E+000, 0.0000000E+000, 7.5271399E-001, 8.3334539E-001, 0.0000000E+000, 2.1747200E-005, 0.0000000E+000
 2.5847912E+000, 1.0385041E+000, 0.0000000E+000,-1.4174720E-001, 1.5304133E-002,-2.8904578E-003,-1.4316566E-004, 0.0000000E+000, 0.0000000E+000, 8.3190703E-001, 9.0902744E-001, 0.0000000E+000, 2.4051200E-005, 0.0000000E+000
 2.7022817E+000, 1.1216886E+000, 0.0000000E+000,-1.5411748E-001, 1.6523939E-002,-2.8386781E-003,-1.5629099E-004, 0.0000000E+000, 0.0000000E+000, 9.0761712E-001, 9.8110008E-001, 0.0000000E+000, 2.6240000E-005, 0.0000000E+000
 2.8197722E+000, 1.1995228E+000, 0.0000000E+000,-1.5862191E-001, 1.7788525E-002,-2.7769440E-003,-1.7009396E-004, 0.0000000E+000, 0.0000000E+000, 9.7971610E-001, 1.0557424E+000, 0.0000000E+000, 2.8544000E-005, 0.0000000E+000
 2.9372628E+000, 1.2716335E+000, 0.0000000E+000,-1.7310832E-001, 1.8781618E-002,-2.7772351E-003,-1.8387936E-004, 0.0000000E+000, 0.0000000E+000, 1.0543588E+000, 1.1143457E+000, 0.0000000E+000, 3.0848000E-005, 0.0000000E+000
 3.0547533E+000, 1.3429281E+000, 0.0000000E+000,-2.0733267E-001, 1.9426379E-002,-2.8100606E-003,-1.9899480E-004, 0.0000000E+000, 0.0000000E+000, 1.1129157E+000, 1.1520127E+000, 0.0000000E+000, 3.3382400E-005, 0.0000000E+000
 3.1722438E+000, 1.4262034E+000, 0.0000000E+000,-2.1325955E-001, 2.0759942E-002,-2.7921695E-003,-2.1724193E-004, 0.0000000E+000, 0.0000000E+000, 1.1505775E+000, 1.2306944E+000, 0.0000000E+000, 3.6454400E-005, 0.0000000E+000
 3.2897344E+000, 1.5317608E+000, 0.0000000E+000,-2.2857064E-001, 2.2307985E-002,-2.7580129E-003,-2.3450694E-004, 0.0000000E+000, 0.0000000E+000, 1.2292705E+000, 1.3225057E+000, 0.0000000E+000, 3.9372800E-005, 0.0000000E+000
 3.3894167E+000, 1.7835645E+000, 0.0000000E+000,-2.3123829E-001, 2.6557522E-002,-2.7315919E-003,-2.4983303E-004, 0.0000000E+000, 0.0000000E+000, 1.3211610E+000, 1.5759023E+000, 0.0000000E+000, 4.1984000E-005, 0.0000000E+000
 3.4890993E+000, 1.9190047E+000, 0.0000000E+000,-2.3701168E-001, 2.8767186E-002,-2.8185517E-003,-2.6507192E-004, 0.0000000E+000, 0.0000000E+000, 1.5744069E+000, 1.7076766E+000, 0.0000000E+000, 4.4595200E-005, 0.0000000E+000
 3.5763209E+000, 2.1495583E+000, 0.0000000E+000,-2.5010609E-001, 3.2470459E-002,-2.9211534E-003,-2.7751687E-004, 0.0000000E+000, 0.0000000E+000, 1.7062562E+000, 1.9287240E+000, 0.0000000E+000, 4.6745600E-005, 0.0000000E+000
 3.6635425E+000, 2.2699802E+000, 0.0000000E+000,-2.8516571E-001, 3.3924365E-002,-3.1103516E-003,-2.9079522E-004, 0.0000000E+000, 0.0000000E+000, 1.9271153E+000, 2.0153377E+000, 0.0000000E+000, 4.9049600E-005, 0.0000000E+000
 3.7507641E+000, 2.4159237E+000, 0.0000000E+000,-2.9676397E-001, 3.6209189E-002,-3.3177270E-003,-3.0312205E-004, 0.0000000E+000, 0.0000000E+000, 2.0136369E+000, 2.1517480E+000, 0.0000000E+000, 5.1200000E-005, 0.0000000E+000
 3.8379858E+000, 2.5500763E+000, 0.0000000E+000,-3.2429092E-001, 3.8017561E-002,-3.6079983E-003,-3.1632225E-004, 0.0000000E+000, 0.0000000E+000, 2.1498877E+000, 2.2598786E+000, 0.0000000E+000, 5.3504000E-005, 0.0000000E+000
