s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007, 2.2202668E-004, 0.0000000E+000,-3.7117901E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4939238E-004, 0.0000000E+000, 7.6800000E-005, 0.0000000E+000
 2.3498102E-001, 2.8976652E+000, 0.0000000E+000,-2.3925824E-007, 5.0796254E-002, 6.2830021E-010,-5.9877993E-004, 0.0000000E+000, 0.0000000E+000,-2.2002601E-004, 2.9478625E+000, 0.0000000E+000, 1.4976000E-004, 0.0000000E+000
 3.5247153E-001, 1.3105012E+000, 0.0000000E+000,-5.7506379E-002, 2.0798292E-002,-1.9794367E-003,-9.5029867E-004, 0.0000000E+000, 0.0000000E+000, 2.8544815E+000, 1.2708634E+000, 0.0000000E+000, 2.2656000E-004, 0.0000000E+000
 4.6996203E-001, 2.0992639E+001, 0.0000000E+000,-1.7659219E-001, 3.5757201E-001,-3.0583026E-003,-9.8186559E-004, 0.0000000E+000, 0.0000000E+000, 1.2736470E+000, 2.1169579E+001, 0.0000000E+000, 2.9952000E-004, 0.0000000E+000
 5.8745253E-001, 8.1098486E+000, 0.0000000E+000,-8.7351831E-001, 1.2146126E-001,-2.8668260E-002,-1.9950324E-003, 0.0000000E+000, 0.0000000E+000, 2.0860903E+001, 7.3271282E+000, 0.0000000E+000, 3.7632000E-004, 0.0000000E+000
 7.0494306E-001, 5.3193469E+001, 0.0000000E+000,-2.0768420E+000, 8.5300583E-001,-3.7024957E-002,-1.9825046E-003, 0.0000000E+000, 0.0000000E+000, 7.4172900E+000, 5.1930625E+001, 0.0000000E+000, 4.4928000E-004, 0.0000000E+000
 8.0716741E-001, 2.6644946E+001, 0.0000000E+000,-2.3931169E+001, 5.6550355E-002,-1.1220817E-001,-2.6987734E-003, 0.0000000E+000, 0.0000000E+000, 5.1045087E+001, 2.6554204E+000, 0.0000000E+000, 5.1840000E-004, 0.0000000E+000
 9.0939176E-001, 4.0373006E+001, 0.0000000E+000,-1.1357139E+001, 4.8090900E-001,-6.3072718E-002,-3.2678326E-003, 0.0000000E+000, 0.0000000E+000, 2.2616777E+000, 2.9430435E+001, 0.0000000E+000, 5.8368000E-004, 0.0000000E+000
 9.8598820E-001, 4.1959497E+001, 0.0000000E+000,-1.8589234E+001, 3.9967925E-001,-6.7727224E-002,-3.5614920E-003, 0.0000000E+000, 0.0000000E+000, 2.9366260E+001, 2.3698654E+001, 0.0000000E+000, 6.2976000E-004, 0.0000000E+000
 1.0625846E+000, 3.6947715E+001, 0.0000000E+000,-1.4300190E+001, 3.8568073E-001,-6.2430727E-002,-3.8878074E-003, 0.0000000E+000, 0.0000000E+000, 2.3706916E+001, 2.2966887E+001, 0.0000000E+000, 6.7968000E-004, 0.0000000E+000
 1.1172352E+000, 3.7936025E+001, 0.0000000E+000,-1.3692805E+001, 4.1630033E-001,-5.6592624E-002,-4.0967506E-003, 0.0000000E+000, 0.0000000E+000, 2.2934361E+001, 2.4598832E+001, 0.0000000E+000, 7.1424000E-004, 0.0000000E+000
 1.1718857E+000, 3.6359001E+001, 0.0000000E+000,-1.1805212E+001, 4.2154523E-001,-5.2295134E-002,-4.2998707E-003, 0.0000000E+000, 0.0000000E+000, 2.4601887E+001, 2.4918739E+001, 0.0000000E+000, 7.4880000E-004, 0.0000000E+000
 1.2181456E+000, 3.8051730E+001, 0.0000000E+000,-1.0976329E+001, 4.6248891E-001,-4.8390167E-002,-4.4689208E-003, 0.0000000E+000, 0.0000000E+000, 2.4890014E+001, 2.7485031E+001, 0.0000000E+000, 7.7952000E-004, 0.0000000E+000
 1.2571479E+000, 3.8933066E+001, 0.0000000E+000,-1.0318742E+001, 4.8997318E-001,-4.5441558E-002,-4.6101080E-003, 0.0000000E+000, 0.0000000E+000, 2.7475629E+001, 2.9054246E+001, 0.0000000E+000, 8.0640000E-004, 0.0000000E+000
 1.2961503E+000, 3.8865873E+001, 0.0000000E+000,-9.4053106E+000, 5.0506367E-001,-4.2332911E-002,-4.7231764E-003, 0.0000000E+000, 0.0000000E+000, 2.9046017E+001, 2.9918570E+001, 0.0000000E+000, 8.2944000E-004, 0.0000000E+000
 1.3309592E+000, 3.9941052E+001, 0.0000000E+000,-9.0537788E+000, 5.2787039E-001,-3.9170713E-002,-4.8269176E-003, 0.0000000E+000, 0.0000000E+000, 2.9913000E+001, 3.1371146E+001, 0.0000000E+000, 8.5248000E-004, 0.0000000E+000
 1.3657680E+000, 4.0587905E+001, 0.0000000E+000,-8.7812697E+000, 5.4358038E-001,-3.6690900E-002,-4.9186090E-003, 0.0000000E+000, 0.0000000E+000, 3.1348578E+001, 3.2308606E+001, 0.0000000E+000, 8.7552000E-004, 0.0000000E+000
 1.3952641E+000, 4.2218036E+001, 0.0000000E+000,-8.1977045E+000, 5.8078856E-001,-3.6403851E-002,-4.9849549E-003, 0.0000000E+000, 0.0000000E+000, 3.2301877E+001, 3.4559731E+001, 0.0000000E+000, 8.9472000E-004, 0.0000000E+000
 1.4247603E+000, 4.2580979E+001, 0.0000000E+000,-8.3127534E+000, 5.8287351E-001,-3.7427655E-002,-5.0317941E-003, 0.0000000E+000, 0.0000000E+000, 3.4562514E+001, 3.4808640E+001, 0.0000000E+000, 9.1008000E-004, 0.0000000E+000
 1.4542567E+000, 4.3289382E+001, 0.0000000E+000,-8.5621308E+000, 5.8931351E-001,-3.8991422E-002,-5.1008039E-003, 0.0000000E+000, 0.0000000E+000, 3.4814638E+001, 3.5272473E+001, 0.0000000E+000, 9.2928000E-004, 0.0000000E+000
 1.4837528E+000, 4.4343766E+001, 0.0000000E+000,-8.5449001E+000, 6.0586071E-001,-4.1020163E-002,-5.1770939E-003, 0.0000000E+000, 0.0000000E+000, 3.5276343E+001, 3.6358529E+001, 0.0000000E+000, 9.4848000E-004, 0.0000000E+000
 1.5132490E+000, 4.5163157E+001, 0.0000000E+000,-9.0464610E+000, 6.0870811E-001,-4.3788341E-002,-5.2597803E-003, 0.0000000E+000, 0.0000000E+000, 3.6372814E+001, 3.6676356E+001, 0.0000000E+000, 9.6768000E-004, 0.0000000E+000
 1.5395192E+000, 4.6372236E+001, 0.0000000E+000,-9.8329449E+000, 6.1408958E-001,-4.6896270E-002,-5.3503949E-003, 0.0000000E+000, 0.0000000E+000, 3.6692365E+001, 3.7101134E+001, 0.0000000E+000, 9.8688000E-004, 0.0000000E+000
 1.5657893E+000, 4.7043587E+001, 0.0000000E+000,-1.0897608E+001, 6.0607281E-001,-5.0319127E-002,-5.4258610E-003, 0.0000000E+000, 0.0000000E+000, 3.7117566E+001, 3.6696307E+001, 0.0000000E+000, 1.0022400E-003, 0.0000000E+000
 1.5920596E+000, 4.7920269E+001, 0.0000000E+000,-1.1537963E+001, 6.0884353E-001,-5.3803219E-002,-5.5048332E-003, 0.0000000E+000, 0.0000000E+000, 3.6713508E+001, 3.6931841E+001, 0.0000000E+000, 1.0176000E-003, 0.0000000E+000
 1.6183298E+000, 4.8688640E+001, 0.0000000E+000,-1.2454449E+001, 6.0582775E-001,-5.7254714E-002,-5.6070987E-003, 0.0000000E+000, 0.0000000E+000, 3.6950992E+001, 3.6777157E+001, 0.0000000E+000, 1.0368000E-003, 0.0000000E+000
 1.6445999E+000, 4.9352337E+001, 0.0000000E+000,-1.3223464E+001, 6.0345156E-001,-6.0747466E-002,-5.6928917E-003, 0.0000000E+000, 0.0000000E+000, 3.6795376E+001, 3.6665884E+001, 0.0000000E+000, 1.0521600E-003, 0.0000000E+000
 1.6708701E+000, 5.0038871E+001, 0.0000000E+000,-1.3776528E+001, 6.0566187E-001,-6.3790438E-002,-5.7795641E-003, 0.0000000E+000, 0.0000000E+000, 3.6682331E+001, 3.6798435E+001, 0.0000000E+000, 1.0675200E-003, 0.0000000E+000
 1.6971403E+000, 5.0881000E+001, 0.0000000E+000,-1.4308899E+001, 6.1070365E-001,-6.6340506E-002,-5.8857647E-003, 0.0000000E+000, 0.0000000E+000, 3.6808148E+001, 3.7110578E+001, 0.0000000E+000, 1.0867200E-003, 0.0000000E+000
