s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-1.6952003E-004, 0.0000000E+000,-1.1097044E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8084593E-004, 0.0000000E+000, 7.6800000E-005, 0.0000000E+000
 2.3498102E-001, 1.6296760E+000, 0.0000000E+000,-3.5495094E-007, 2.9638427E-002, 1.9641203E-009,-1.7712777E-004, 0.0000000E+000, 0.0000000E+000,-4.3387030E-004, 1.6591369E+000, 0.0000000E+000, 1.4976000E-004, 0.0000000E+000
 3.5247153E-001, 8.9843555E-001, 0.0000000E+000,-3.4295716E-002, 1.2305816E-002,-1.1272558E-003,-2.8540925E-004, 0.0000000E+000, 0.0000000E+000, 1.6245471E+000, 8.7503298E-001, 0.0000000E+000, 2.2656000E-004, 0.0000000E+000
 4.6996203E-001, 1.1573017E+001, 0.0000000E+000,-1.5752792E-001, 1.9938770E-001,-1.8759527E-003,-2.9804338E-004, 0.0000000E+000, 0.0000000E+000, 8.7947323E-001, 1.1612703E+001, 0.0000000E+000, 2.9952000E-004, 0.0000000E+000
 5.8745253E-001, 4.8092377E+000, 0.0000000E+000,-5.8439386E-001, 6.8028873E-002,-1.5854962E-002,-6.0832834E-004, 0.0000000E+000, 0.0000000E+000, 1.1485078E+001, 4.2764094E+000, 0.0000000E+000, 3.7632000E-004, 0.0000000E+000
 7.0494306E-001, 2.7197804E+001, 0.0000000E+000,-1.5715459E+000, 4.2779976E-001,-2.0275484E-002,-6.3874856E-004, 0.0000000E+000, 0.0000000E+000, 4.4087602E+000, 2.6033144E+001, 0.0000000E+000, 4.4928000E-004, 0.0000000E+000
 8.2243359E-001, 1.5411212E+001, 0.0000000E+000,-1.5914617E+001,-3.0473471E-003,-5.9983948E-002,-8.0090015E-004, 0.0000000E+000, 0.0000000E+000, 2.5453712E+001,-5.6723718E-001, 0.0000000E+000, 5.2608000E-004, 0.0000000E+000
 9.1394597E-001, 2.5010745E+001, 0.0000000E+000,-5.5067529E+000, 3.2886962E-001,-2.7547134E-002,-1.0313495E-003, 0.0000000E+000, 0.0000000E+000,-9.5077032E-001, 1.9804283E+001, 0.0000000E+000, 5.8368000E-004, 0.0000000E+000
