s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007,-1.7369026E-004, 0.0000000E+000,-1.2617976E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0011007E-004, 0.0000000E+000, 7.6800000E-005, 0.0000000E+000
 2.3498102E-001, 1.6225523E+000, 0.0000000E+000,-2.3983838E-007, 2.8815409E-002, 8.6647864E-010,-2.1710992E-004, 0.0000000E+000, 0.0000000E+000,-4.3081061E-004, 1.6511504E+000, 0.0000000E+000, 1.4976000E-004, 0.0000000E+000
 3.5247153E-001, 9.8184016E-001, 0.0000000E+000,-4.6220034E-002, 1.4073407E-002,-1.0113168E-003,-3.0937316E-004, 0.0000000E+000, 0.0000000E+000, 1.6364031E+000, 9.4837284E-001, 0.0000000E+000, 2.2656000E-004, 0.0000000E+000
 4.6996203E-001, 9.9264274E+000, 0.0000000E+000,-1.0861008E-001, 1.7671226E-001,-1.7447648E-003,-3.7709006E-004, 0.0000000E+000, 0.0000000E+000, 9.5056660E-001, 9.9924077E+000, 0.0000000E+000, 2.9952000E-004, 0.0000000E+000
 5.8745253E-001, 2.7194383E+000, 0.0000000E+000,-3.0474021E-001, 3.5107439E-002,-1.1876771E-002,-6.1049451E-004, 0.0000000E+000, 0.0000000E+000, 9.7952889E+000, 2.4373183E+000, 0.0000000E+000, 3.7632000E-004, 0.0000000E+000
 7.0494306E-001, 2.9172015E+001, 0.0000000E+000,-8.0791489E-001, 4.8742334E-001,-1.3963701E-002,-5.6161380E-004, 0.0000000E+000, 0.0000000E+000, 2.5099574E+000, 2.8836998E+001, 0.0000000E+000, 4.4928000E-004, 0.0000000E+000
 8.2243359E-001, 1.0365111E+001, 0.0000000E+000,-5.4890019E+000, 7.8190109E-002,-5.6776845E-002,-8.7999174E-004, 0.0000000E+000, 0.0000000E+000, 2.8366366E+001, 4.8966425E+000, 0.0000000E+000, 5.2608000E-004, 0.0000000E+000
 9.3992406E-001, 2.5159459E+001, 0.0000000E+000,-5.7867152E+000, 3.2406729E-001,-4.8870102E-002,-1.0425373E-003, 0.0000000E+000, 0.0000000E+000, 4.9590178E+000, 1.9646899E+001, 0.0000000E+000, 6.0288000E-004, 0.0000000E+000
 1.0422850E+000, 2.5034013E+001, 0.0000000E+000,-9.6772350E+000, 2.5891487E-001,-5.6129408E-002,-1.1709709E-003, 0.0000000E+000, 0.0000000E+000, 1.9597506E+001, 1.5558392E+001, 0.0000000E+000, 6.6816000E-004, 0.0000000E+000
 1.1300499E+000, 2.6363405E+001, 0.0000000E+000,-9.3924210E+000, 2.8801443E-001,-4.8079394E-002,-1.3081674E-003, 0.0000000E+000, 0.0000000E+000, 1.5568060E+001, 1.7209611E+001, 0.0000000E+000, 7.2192000E-004, 0.0000000E+000
 1.2004528E+000, 2.5023982E+001, 0.0000000E+000,-9.4898245E+000, 2.6659411E-001,-4.6593914E-002,-1.4084042E-003, 0.0000000E+000, 0.0000000E+000, 1.7172684E+001, 1.5752750E+001, 0.0000000E+000, 7.6800000E-004, 0.0000000E+000
 1.2628914E+000, 2.3840186E+001, 0.0000000E+000,-8.4384443E+000, 2.6472465E-001,-4.2362988E-002,-1.4892869E-003, 0.0000000E+000, 0.0000000E+000, 1.5740964E+001, 1.5622614E+001, 0.0000000E+000, 8.0640000E-004, 0.0000000E+000
 1.3190798E+000, 2.3704518E+001, 0.0000000E+000,-7.8662204E+000, 2.7187509E-001,-3.8740998E-002,-1.5631395E-003, 0.0000000E+000, 0.0000000E+000, 1.5615840E+001, 1.6069868E+001, 0.0000000E+000, 8.4480000E-004, 0.0000000E+000
 1.3679910E+000, 2.3923515E+001, 0.0000000E+000,-7.4482666E+000, 2.8212488E-001,-3.5832233E-002,-1.6189672E-003, 0.0000000E+000, 0.0000000E+000, 1.6068545E+001, 1.6719922E+001, 0.0000000E+000, 8.7552000E-004, 0.0000000E+000
 1.4114681E+000, 2.4058044E+001, 0.0000000E+000,-6.8876735E+000, 2.9454973E-001,-3.2674287E-002,-1.6651031E-003, 0.0000000E+000, 0.0000000E+000, 1.6719221E+001, 1.7430581E+001, 0.0000000E+000, 9.0240000E-004, 0.0000000E+000
 1.4549452E+000, 2.4050998E+001, 0.0000000E+000,-6.6371904E+000, 2.9787995E-001,-2.9884870E-002,-1.7078755E-003, 0.0000000E+000, 0.0000000E+000, 1.7433980E+001, 1.7680095E+001, 0.0000000E+000, 9.2928000E-004, 0.0000000E+000
 1.4927204E+000, 2.4806840E+001, 0.0000000E+000,-6.4267370E+000, 3.1419029E-001,-2.7578854E-002,-1.7475574E-003, 0.0000000E+000, 0.0000000E+000, 1.7688881E+001, 1.8664967E+001, 0.0000000E+000, 9.5616000E-004, 0.0000000E+000
 1.5304955E+000, 2.5149785E+001, 0.0000000E+000,-6.0883504E+000, 3.2545400E-001,-2.6481218E-002,-1.7775169E-003, 0.0000000E+000, 0.0000000E+000, 1.8671691E+001, 1.9358630E+001, 0.0000000E+000, 9.7920000E-004, 0.0000000E+000
 1.5682707E+000, 2.5617124E+001, 0.0000000E+000,-6.0165002E+000, 3.3401937E-001,-2.6155299E-002,-1.8044260E-003, 0.0000000E+000, 0.0000000E+000, 1.9371453E+001, 1.9906683E+001, 0.0000000E+000, 1.0022400E-003, 0.0000000E+000
 1.6007246E+000, 2.6540988E+001, 0.0000000E+000,-5.9789451E+000, 3.5000472E-001,-2.6512370E-002,-1.8312893E-003, 0.0000000E+000, 0.0000000E+000, 1.9916024E+001, 2.0883704E+001, 0.0000000E+000, 1.0252800E-003, 0.0000000E+000
