s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-6.7138210E-004, 0.0000000E+000,-2.8225717E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5399473E-004, 0.0000000E+000, 1.3440000E-004, 0.0000000E+000
 2.3498102E-001, 4.4534741E+000, 0.0000000E+000,-3.5512456E-007, 9.1891820E-002, 2.3637500E-009,-4.4954971E-004, 0.0000000E+000, 0.0000000E+000,-1.4645880E-003, 4.5449161E+000, 0.0000000E+000, 2.6208000E-004, 0.0000000E+000
 3.5247153E-001, 1.4183683E+000, 0.0000000E+000,-5.1819877E-002, 1.1120341E-002,-3.9262253E-003,-8.9564992E-004, 0.0000000E+000, 0.0000000E+000, 4.5252116E+000, 1.3728469E+000, 0.0000000E+000, 3.9648000E-004, 0.0000000E+000
 4.6996203E-001, 3.7990911E+001, 0.0000000E+000,-2.3984949E-001, 6.5466494E-001,-5.2359566E-003,-6.3947246E-004, 0.0000000E+000, 0.0000000E+000, 1.4389641E+000, 3.8399851E+001, 0.0000000E+000, 5.2416000E-004, 0.0000000E+000
 5.2205080E-001, 2.1643974E+001, 0.0000000E+000,-2.6634030E+000, 3.0792633E-001,-3.0939935E-002,-1.6362333E-003, 0.0000000E+000, 0.0000000E+000, 3.7882928E+001, 1.9255921E+001, 0.0000000E+000, 5.8464000E-004, 0.0000000E+000
 5.7934839E-001, 3.1803216E+001, 0.0000000E+000,-8.3853968E+000, 3.7298310E-001,-4.5485247E-002,-1.5663073E-003, 0.0000000E+000, 0.0000000E+000, 1.9498020E+001, 2.3743751E+001, 0.0000000E+000, 6.5184000E-004, 0.0000000E+000
 6.4237571E-001, 4.1606898E+001, 0.0000000E+000,-2.2419883E+001, 3.1554122E-001,-6.3802358E-002,-1.7809318E-003, 0.0000000E+000, 0.0000000E+000, 2.4051344E+001, 1.9436973E+001, 0.0000000E+000, 7.1904000E-004, 0.0000000E+000
 7.1170586E-001, 4.1857450E+001, 0.0000000E+000,-2.7208698E+001, 2.5667155E-001,-6.0781730E-002,-2.1176144E-003, 0.0000000E+000, 0.0000000E+000, 1.8960692E+001, 1.4842523E+001, 0.0000000E+000, 7.9968000E-004, 0.0000000E+000
 7.8796893E-001, 3.8016991E+001, 0.0000000E+000,-1.6830303E+001, 3.6453904E-001,-4.2553856E-002,-2.4540306E-003, 0.0000000E+000, 0.0000000E+000, 1.4706276E+001, 2.1506219E+001, 0.0000000E+000, 8.8032000E-004, 0.0000000E+000
 8.5450107E-001, 4.1274630E+001, 0.0000000E+000,-1.9136448E+001, 3.7435261E-001,-3.8871305E-002,-2.7192220E-003, 0.0000000E+000, 0.0000000E+000, 2.1286493E+001, 2.2470944E+001, 0.0000000E+000, 9.5424000E-004, 0.0000000E+000
