s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007,-6.7752915E-004, 0.0000000E+000,-3.2772400E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0054932E-003, 0.0000000E+000, 1.3440000E-004, 0.0000000E+000
 2.3498102E-001, 4.4025325E+000, 0.0000000E+000,-2.3992893E-007, 8.4913734E-002, 9.8783062E-010,-5.5352546E-004, 0.0000000E+000, 0.0000000E+000,-1.4469323E-003, 4.4868925E+000, 0.0000000E+000, 2.6208000E-004, 0.0000000E+000
 3.5247153E-001, 1.2905583E+000, 0.0000000E+000,-6.9600018E-002, 9.7622431E-003,-3.3911856E-003,-9.2092417E-004, 0.0000000E+000, 0.0000000E+000, 4.4428743E+000, 1.2264084E+000, 0.0000000E+000, 3.9648000E-004, 0.0000000E+000
 4.6996203E-001, 3.7305761E+001, 0.0000000E+000,-2.6458607E-001, 6.6949564E-001,-4.4773679E-003,-9.8991137E-004, 0.0000000E+000, 0.0000000E+000, 1.2630628E+000, 3.7705203E+001, 0.0000000E+000, 5.2416000E-004, 0.0000000E+000
 5.8745253E-001, 1.4438037E+001, 0.0000000E+000,-4.5497380E+000, 1.5545956E-001,-5.7367015E-002,-1.7843604E-003, 0.0000000E+000, 0.0000000E+000, 3.6649239E+001, 9.9846076E+000, 0.0000000E+000, 6.5856000E-004, 0.0000000E+000
 7.0494306E-001, 5.6403165E+001, 0.0000000E+000,-8.1935313E+000, 7.8243452E-001,-6.5250205E-002,-2.0363342E-003, 0.0000000E+000, 0.0000000E+000, 1.0393728E+001, 4.8924782E+001, 0.0000000E+000, 7.8624000E-004, 0.0000000E+000
 7.8648949E-001, 5.9438570E+001, 0.0000000E+000,-4.2497293E+001, 3.0483120E-001,-1.1694388E-001,-2.3479626E-003, 0.0000000E+000, 0.0000000E+000, 4.8127057E+001, 1.7126816E+001, 0.0000000E+000, 8.8032000E-004, 0.0000000E+000
 8.6803591E-001, 6.4036707E+001, 0.0000000E+000,-2.5964297E+001, 6.4102472E-001,-7.0930645E-002,-2.7867810E-003, 0.0000000E+000, 0.0000000E+000, 1.6779292E+001, 3.8639717E+001, 0.0000000E+000, 9.7440000E-004, 0.0000000E+000
