s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007, 3.0077028E-004, 0.0000000E+000,-5.5430977E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5377954E-004, 0.0000000E+000, 1.3440000E-004, 0.0000000E+000
 2.3498102E-001, 5.0132535E+000, 0.0000000E+000,-2.3863592E-007, 8.8253861E-002, 1.3852165E-009,-8.0695515E-004, 0.0000000E+000, 0.0000000E+000,-3.8085319E-004, 5.1007001E+000, 0.0000000E+000, 2.6208000E-004, 0.0000000E+000
 3.5247153E-001, 1.9452959E+000, 0.0000000E+000,-7.0875009E-002, 3.0655820E-002,-3.7659275E-003,-1.5767607E-003, 0.0000000E+000, 0.0000000E+000, 4.8543852E+000, 1.8997340E+000, 0.0000000E+000, 3.9648000E-004, 0.0000000E+000
 4.6996203E-001, 3.8042672E+001, 0.0000000E+000,-2.8249975E-001, 6.4801835E-001,-5.5165784E-003,-1.1763548E-003, 0.0000000E+000, 0.0000000E+000, 1.9088173E+000, 3.8401498E+001, 0.0000000E+000, 5.2416000E-004, 0.0000000E+000
 5.8745253E-001, 1.6000091E+001, 0.0000000E+000,-3.6058243E+000, 2.0496632E-001,-5.8371613E-002,-3.3528205E-003, 0.0000000E+000, 0.0000000E+000, 3.7090883E+001, 1.2537509E+001, 0.0000000E+000, 6.5856000E-004, 0.0000000E+000
 7.0494306E-001, 5.2975066E+001, 0.0000000E+000,-7.0762203E+000, 7.4886019E-001,-7.1451401E-002,-3.8366950E-003, 0.0000000E+000, 0.0000000E+000, 1.2541608E+001, 4.6572418E+001, 0.0000000E+000, 7.8624000E-004, 0.0000000E+000
 7.9687721E-001, 6.6367208E+001, 0.0000000E+000,-2.7409378E+001, 6.4039362E-001,-1.1848275E-001,-4.4857656E-003, 0.0000000E+000, 0.0000000E+000, 4.5711386E+001, 3.9475254E+001, 0.0000000E+000, 8.9376000E-004, 0.0000000E+000
 8.6258250E-001, 7.0935109E+001, 0.0000000E+000,-2.8084537E+001, 7.1802925E-001,-9.8010739E-002,-5.2616483E-003, 0.0000000E+000, 0.0000000E+000, 3.8785905E+001, 4.3465328E+001, 0.0000000E+000, 9.6768000E-004, 0.0000000E+000
 9.2828780E-001, 6.4503053E+001, 0.0000000E+000,-3.0096367E+001, 5.8371647E-001,-9.1045911E-002,-5.7869333E-003, 0.0000000E+000, 0.0000000E+000, 4.3311375E+001, 3.4893569E+001, 0.0000000E+000, 1.0416000E-003, 0.0000000E+000
 9.8543155E-001, 6.2409148E+001, 0.0000000E+000,-2.6762224E+001, 6.1198829E-001,-8.6323298E-002,-6.1949262E-003, 0.0000000E+000, 0.0000000E+000, 3.4857791E+001, 3.6166394E+001, 0.0000000E+000, 1.1020800E-003, 0.0000000E+000
 1.0321734E+000, 6.3063192E+001, 0.0000000E+000,-2.2983423E+001, 6.8385832E-001,-7.7297608E-002,-6.5130298E-003, 0.0000000E+000, 0.0000000E+000, 3.6154678E+001, 4.0679817E+001, 0.0000000E+000, 1.1558400E-003, 0.0000000E+000
 1.0733798E+000, 6.3575718E+001, 0.0000000E+000,-2.0669616E+001, 7.2802372E-001,-7.2235452E-002,-6.7738465E-003, 0.0000000E+000, 0.0000000E+000, 4.0605108E+001, 4.3555117E+001, 0.0000000E+000, 1.2028800E-003, 0.0000000E+000
 1.1145862E+000, 6.3269482E+001, 0.0000000E+000,-1.9235927E+001, 7.4865037E-001,-6.8059900E-002,-7.0234989E-003, 0.0000000E+000, 0.0000000E+000, 4.3499463E+001, 4.4707121E+001, 0.0000000E+000, 1.2499200E-003, 0.0000000E+000
 1.1457047E+000, 6.5935143E+001, 0.0000000E+000,-1.8058833E+001, 8.1612759E-001,-6.3924276E-002,-7.1877969E-003, 0.0000000E+000, 0.0000000E+000, 4.4671240E+001, 4.8621326E+001, 0.0000000E+000, 1.2835200E-003, 0.0000000E+000
 1.1768233E+000, 6.4844614E+001, 0.0000000E+000,-1.6660440E+001, 8.1925375E-001,-6.0120087E-002,-7.3390746E-003, 0.0000000E+000, 0.0000000E+000, 4.8582345E+001, 4.8935968E+001, 0.0000000E+000, 1.3171200E-003, 0.0000000E+000
 1.2079418E+000, 6.4596474E+001, 0.0000000E+000,-1.5751237E+001, 8.3302435E-001,-5.6721781E-002,-7.4731819E-003, 0.0000000E+000, 0.0000000E+000, 4.8879191E+001, 4.9614067E+001, 0.0000000E+000, 1.3507200E-003, 0.0000000E+000
 1.2340184E+000, 6.6155265E+001, 0.0000000E+000,-1.4932796E+001, 8.7489408E-001,-5.4012277E-002,-7.5989680E-003, 0.0000000E+000, 0.0000000E+000, 4.9565207E+001, 5.2035752E+001, 0.0000000E+000, 1.3843200E-003, 0.0000000E+000
 1.2600951E+000, 6.6347893E+001, 0.0000000E+000,-1.3775771E+001, 8.9436907E-001,-5.3549916E-002,-7.6833758E-003, 0.0000000E+000, 0.0000000E+000, 5.2013608E+001, 5.3405257E+001, 0.0000000E+000, 1.4112000E-003, 0.0000000E+000
 1.2861718E+000, 6.7002945E+001, 0.0000000E+000,-1.3549289E+001, 9.0733118E-001,-5.4313865E-002,-7.7643161E-003, 0.0000000E+000, 0.0000000E+000, 5.3401893E+001, 5.4298908E+001, 0.0000000E+000, 1.4380800E-003, 0.0000000E+000
 1.3122485E+000, 6.8019160E+001, 0.0000000E+000,-1.3610916E+001, 9.2170434E-001,-5.5717141E-002,-7.8819427E-003, 0.0000000E+000, 0.0000000E+000, 5.4280224E+001, 5.5266350E+001, 0.0000000E+000, 1.4716800E-003, 0.0000000E+000
 1.3383251E+000, 6.9194825E+001, 0.0000000E+000,-1.3609109E+001, 9.3642097E-001,-5.8034595E-002,-7.9732767E-003, 0.0000000E+000, 0.0000000E+000, 5.5279412E+001, 5.6456129E+001, 0.0000000E+000, 1.4985600E-003, 0.0000000E+000
 1.3603336E+000, 7.0902734E+001, 0.0000000E+000,-1.4381128E+001, 9.4904312E-001,-6.0513172E-002,-8.0787955E-003, 0.0000000E+000, 0.0000000E+000, 5.6475058E+001, 5.7402057E+001, 0.0000000E+000, 1.5254400E-003, 0.0000000E+000
 1.3823420E+000, 7.1550244E+001, 0.0000000E+000,-1.5334063E+001, 9.4177066E-001,-6.3876885E-002,-8.1583438E-003, 0.0000000E+000, 0.0000000E+000, 5.7416422E+001, 5.7085916E+001, 0.0000000E+000, 1.5456000E-003, 0.0000000E+000
 1.4043504E+000, 7.2546027E+001, 0.0000000E+000,-1.6756195E+001, 9.3191287E-001,-6.7647540E-002,-8.2733613E-003, 0.0000000E+000, 0.0000000E+000, 5.7110625E+001, 5.6645824E+001, 0.0000000E+000, 1.5724800E-003, 0.0000000E+000
 1.4263588E+000, 7.3859348E+001, 0.0000000E+000,-1.7914274E+001, 9.3220631E-001,-7.1511593E-002,-8.3959790E-003, 0.0000000E+000, 0.0000000E+000, 5.6675323E+001, 5.6797373E+001, 0.0000000E+000, 1.5993600E-003, 0.0000000E+000
 1.4483672E+000, 7.5034948E+001, 0.0000000E+000,-1.9263331E+001, 9.2757122E-001,-7.5403065E-002,-8.4929627E-003, 0.0000000E+000, 0.0000000E+000, 5.6824237E+001, 5.6615292E+001, 0.0000000E+000, 1.6195200E-003, 0.0000000E+000
 1.4703757E+000, 7.6291002E+001, 0.0000000E+000,-2.0209206E+001, 9.3066893E-001,-7.9237690E-002,-8.6224325E-003, 0.0000000E+000, 0.0000000E+000, 5.6645769E+001, 5.6924604E+001, 0.0000000E+000, 1.6464000E-003, 0.0000000E+000
 1.4923841E+000, 7.7669072E+001, 0.0000000E+000,-2.1624648E+001, 9.2891226E-001,-8.2634956E-002,-8.7537223E-003, 0.0000000E+000, 0.0000000E+000, 5.6947520E+001, 5.6881948E+001, 0.0000000E+000, 1.6732800E-003, 0.0000000E+000
 1.5143925E+000, 7.9115010E+001, 0.0000000E+000,-2.2694636E+001, 9.3420385E-001,-8.5675390E-002,-8.8569534E-003, 0.0000000E+000, 0.0000000E+000, 5.6904455E+001, 5.7260045E+001, 0.0000000E+000, 1.6934400E-003, 0.0000000E+000
