s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007,-3.8579863E-004, 0.0000000E+000,-1.2958970E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1562838E-004, 0.0000000E+000, 1.3440000E-004, 0.0000000E+000
 2.3498102E-001, 2.9789908E+000, 0.0000000E+000,-2.3973295E-007, 5.3862433E-002,-1.1694991E-009,-2.1359314E-004, 0.0000000E+000, 0.0000000E+000,-7.4598646E-004, 3.0326394E+000, 0.0000000E+000, 2.6208000E-004, 0.0000000E+000
 3.5247153E-001, 1.3718873E+000, 0.0000000E+000,-6.0355096E-002, 1.7849764E-002,-2.0892244E-003,-3.3435237E-004, 0.0000000E+000, 0.0000000E+000, 2.9835332E+000, 1.3269584E+000, 0.0000000E+000, 3.9648000E-004, 0.0000000E+000
 4.6996203E-001, 2.1232425E+001, 0.0000000E+000,-2.3284417E-001, 3.6726294E-001,-3.2207596E-003,-3.6857819E-004, 0.0000000E+000, 0.0000000E+000, 1.3367409E+000, 2.1363254E+001, 0.0000000E+000, 5.2416000E-004, 0.0000000E+000
 5.8745253E-001, 8.2061837E+000, 0.0000000E+000,-1.0181192E+000, 1.1511327E-001,-2.9433930E-002,-6.9415345E-004, 0.0000000E+000, 0.0000000E+000, 2.1128138E+001, 7.2730497E+000, 0.0000000E+000, 6.5856000E-004, 0.0000000E+000
 7.0494306E-001, 5.6510822E+001, 0.0000000E+000,-2.5233328E+000, 8.9984665E-001,-3.7350878E-002,-6.8350994E-004, 0.0000000E+000, 0.0000000E+000, 7.5862006E+000, 5.4849301E+001, 0.0000000E+000, 7.8624000E-004, 0.0000000E+000
 8.0312866E-001, 2.7938699E+001, 0.0000000E+000,-2.7126634E+001, 2.7624510E-002,-1.1343348E-001,-9.0884651E-004, 0.0000000E+000, 0.0000000E+000, 5.3826421E+001, 7.2534787E-001, 0.0000000E+000, 9.0048000E-004, 0.0000000E+000
 9.0131426E-001, 4.0075491E+001, 0.0000000E+000,-1.1993087E+001, 4.6268158E-001,-6.2707393E-002,-1.1236021E-003, 0.0000000E+000, 0.0000000E+000, 4.7247387E-001, 2.8481256E+001, 0.0000000E+000, 1.0080000E-003, 0.0000000E+000
