s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 9.9920072E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6815421E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-4.4421310E-007,-6.0350340E-004, 0.0000000E+000,-3.2987866E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3382628E-004, 0.0000000E+000, 1.3440000E-004, 0.0000000E+000
 2.3498102E-001, 4.6864831E+000, 0.0000000E+000,-4.4370019E-007, 8.8662223E-002, 4.8247497E-009,-5.5235869E-004, 0.0000000E+000, 0.0000000E+000,-1.3234207E-003, 4.7745925E+000, 0.0000000E+000, 2.6208000E-004, 0.0000000E+000
 3.5247153E-001, 1.2674770E+000, 0.0000000E+000,-6.7311002E-002, 1.0358696E-002,-3.6427242E-003,-9.1610931E-004, 0.0000000E+000, 0.0000000E+000, 4.7126614E+000, 1.2059659E+000, 0.0000000E+000, 3.9648000E-004, 0.0000000E+000
 4.6996203E-001, 4.2177386E+001, 0.0000000E+000,-2.5932426E-001, 7.4870863E-001,-4.7007149E-003,-9.7529389E-004, 0.0000000E+000, 0.0000000E+000, 1.2437485E+000, 4.2661095E+001, 0.0000000E+000, 5.2416000E-004, 0.0000000E+000
 5.4581618E-001, 1.9722000E+001, 0.0000000E+000,-2.0238308E+000, 2.8814909E-001,-4.2330972E-002,-1.7086292E-003, 0.0000000E+000, 0.0000000E+000, 4.2018955E+001, 1.7942279E+001, 0.0000000E+000, 6.1152000E-004, 0.0000000E+000
 6.2925571E-001, 5.1509954E+001, 0.0000000E+000,-5.7716300E+000, 7.4127563E-001,-6.2116406E-002,-1.5360183E-003, 0.0000000E+000, 0.0000000E+000, 1.8432440E+001, 4.6415947E+001, 0.0000000E+000, 7.0560000E-004, 0.0000000E+000
 7.2103924E-001, 5.1108310E+001, 0.0000000E+000,-3.8032416E+001, 2.3126764E-001,-1.2439070E-001,-2.0466140E-003, 0.0000000E+000, 0.0000000E+000, 4.5893126E+001, 1.3180724E+001, 0.0000000E+000, 8.0640000E-004, 0.0000000E+000
 8.2200110E-001, 6.4820664E+001, 0.0000000E+000,-1.9638407E+001, 7.4104513E-001,-7.3173599E-002,-2.5676919E-003, 0.0000000E+000, 0.0000000E+000, 1.2933734E+001, 4.5847561E+001, 0.0000000E+000, 9.2064000E-004, 0.0000000E+000
 8.8895249E-001, 6.1518451E+001, 0.0000000E+000,-3.9780029E+001, 3.9003560E-001,-8.6035030E-002,-2.8049968E-003, 0.0000000E+000, 0.0000000E+000, 4.5604102E+001, 2.2039618E+001, 0.0000000E+000, 9.9456000E-004, 0.0000000E+000
 9.4576818E-001, 6.1587643E+001, 0.0000000E+000,-2.7214668E+001, 5.7545191E-001,-8.3410218E-002,-3.0604039E-003, 0.0000000E+000, 0.0000000E+000, 2.2219217E+001, 3.4861956E+001, 0.0000000E+000, 1.0617600E-003, 0.0000000E+000
 1.0025839E+000, 5.4272663E+001, 0.0000000E+000,-3.1919330E+001, 3.9364476E-001,-7.4105203E-002,-3.2485024E-003, 0.0000000E+000, 0.0000000E+000, 3.4719567E+001, 2.2669624E+001, 0.0000000E+000, 1.1222400E-003, 0.0000000E+000
 1.0593996E+000, 5.2765974E+001, 0.0000000E+000,-2.4126203E+001, 4.9268246E-001,-6.7685216E-002,-3.4652555E-003, 0.0000000E+000, 0.0000000E+000, 2.2728283E+001, 2.9061303E+001, 0.0000000E+000, 1.1894400E-003, 0.0000000E+000
