s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005,-3.0531133E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6948932E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-3.5546236E-007,-3.7678128E-004, 0.0000000E+000,-1.0897469E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8611143E-004, 0.0000000E+000, 1.3440000E-004, 0.0000000E+000
 2.3498102E-001, 2.9829078E+000, 0.0000000E+000,-3.5479091E-007, 5.5642143E-002, 1.8364335E-009,-1.6578055E-004, 0.0000000E+000, 0.0000000E+000,-7.4833644E-004, 3.0383838E+000, 0.0000000E+000, 2.6208000E-004, 0.0000000E+000
 3.5247153E-001, 1.3724934E+000, 0.0000000E+000,-4.3892373E-002, 1.7508975E-002,-2.3341333E-003,-3.1776442E-004, 0.0000000E+000, 0.0000000E+000, 2.9607426E+000, 1.3434581E+000, 0.0000000E+000, 3.9648000E-004, 0.0000000E+000
 4.6996203E-001, 2.2925102E+001, 0.0000000E+000,-2.3961055E-001, 3.9880170E-001,-3.5914749E-003,-2.4893249E-004, 0.0000000E+000, 0.0000000E+000, 1.3613984E+000, 2.3080453E+001, 0.0000000E+000, 5.2416000E-004, 0.0000000E+000
 5.8745253E-001, 1.0486959E+001, 0.0000000E+000,-2.7000853E+000, 1.2309120E-001,-3.5437747E-002,-6.4661645E-004, 0.0000000E+000, 0.0000000E+000, 2.2268432E+001, 7.8738803E+000, 0.0000000E+000, 6.5856000E-004, 0.0000000E+000
 7.0494306E-001, 2.9795282E+001, 0.0000000E+000,-4.9435677E+000, 4.0373926E-001,-4.0557741E-002,-7.7746054E-004, 0.0000000E+000, 0.0000000E+000, 7.8748269E+000, 2.5214119E+001, 0.0000000E+000, 7.8624000E-004, 0.0000000E+000
 7.9455096E-001, 3.5964633E+001, 0.0000000E+000,-1.3258036E+001, 3.7577597E-001,-5.6126877E-002,-8.9648664E-004, 0.0000000E+000, 0.0000000E+000, 2.4675742E+001, 2.3025350E+001, 0.0000000E+000, 8.8704000E-004, 0.0000000E+000
 8.6335778E-001, 3.7406907E+001, 0.0000000E+000,-1.3533113E+001, 4.0693432E-001,-4.3660631E-002,-1.0664181E-003, 0.0000000E+000, 0.0000000E+000, 2.2698735E+001, 2.4236001E+001, 0.0000000E+000, 9.6768000E-004, 0.0000000E+000
