s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007,-3.1510189E-006, 0.0000000E+000,-3.0062197E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3972875E-006, 0.0000000E+000, 1.5360000E-006, 0.0000000E+000
 2.3498102E-001, 3.2503661E-002, 0.0000000E+000,-2.4008493E-007, 5.5372455E-004, 1.8298644E-009,-5.8398273E-006, 0.0000000E+000, 0.0000000E+000,-8.4612372E-006, 3.3051307E-002, 0.0000000E+000, 2.9952000E-006, 0.0000000E+000
 3.5247153E-001, 6.6883244E-002, 0.0000000E+000,-7.8154697E-006, 1.1407591E-003,-1.1109007E-005,-8.7962119E-006, 0.0000000E+000, 0.0000000E+000, 3.3042128E-002, 6.7996282E-002, 0.0000000E+000, 4.5312000E-006, 0.0000000E+000
 4.6996203E-001, 1.0763498E-001, 0.0000000E+000,-2.4188194E-005, 1.8364947E-003,-3.5562915E-005,-1.1580939E-005, 0.0000000E+000, 0.0000000E+000, 6.7981321E-002, 1.0940014E-001, 0.0000000E+000, 5.9904000E-006, 0.0000000E+000
 5.8745253E-001, 1.5236926E-001, 0.0000000E+000,-2.8119117E-003, 2.5525176E-003,-8.5054099E-005,-1.4489000E-005, 0.0000000E+000, 0.0000000E+000, 1.0937537E-001, 1.5201032E-001, 0.0000000E+000, 7.5264000E-006, 0.0000000E+000
 7.0494306E-001, 2.0026883E-001, 0.0000000E+000,-6.3459963E-003, 3.3098898E-003,-1.6288021E-004,-1.7231482E-005, 0.0000000E+000, 0.0000000E+000, 1.5198369E-001, 1.9705261E-001, 0.0000000E+000, 8.9856000E-006, 0.0000000E+000
 8.2243359E-001, 2.4974863E-001, 0.0000000E+000,-1.0964007E-002, 4.0751221E-003,-2.7323773E-004,-2.0100145E-005, 0.0000000E+000, 0.0000000E+000, 1.9702546E-001, 2.4256640E-001, 0.0000000E+000, 1.0521600E-005, 0.0000000E+000
 9.3992406E-001, 3.0176579E-001, 0.0000000E+000,-1.6557748E-002, 4.8664890E-003,-4.1940527E-004,-2.2962955E-005, 0.0000000E+000, 0.0000000E+000, 2.4254777E-001, 2.8963216E-001, 0.0000000E+000, 1.2057600E-005, 0.0000000E+000
 1.0574145E+000, 3.6993561E-001, 0.0000000E+000,-2.2686643E-002, 5.9226593E-003,-6.0521974E-004,-2.9043378E-005, 0.0000000E+000, 0.0000000E+000, 2.8961935E-001, 3.5253736E-001, 0.0000000E+000, 1.5308800E-005, 0.0000000E+000
 1.1749051E+000, 4.7303024E-001, 0.0000000E+000,-3.0770430E-002, 7.5404335E-003,-8.4119515E-004,-3.8951373E-005, 0.0000000E+000, 0.0000000E+000, 3.5252887E-001, 4.4892010E-001, 0.0000000E+000, 2.0684800E-005, 0.0000000E+000
 1.2923956E+000, 6.0571794E-001, 0.0000000E+000,-4.1506721E-002, 9.6168434E-003,-1.1556069E-003,-4.8297614E-005, 0.0000000E+000, 0.0000000E+000, 4.4891979E-001, 5.7262416E-001, 0.0000000E+000, 2.5792000E-005, 0.0000000E+000
 1.4098861E+000, 7.6570261E-001, 0.0000000E+000,-5.4514812E-002, 1.2117140E-002,-1.5681897E-003,-5.8180352E-005, 0.0000000E+000, 0.0000000E+000, 5.7264185E-001, 7.2167857E-001, 0.0000000E+000, 3.1168000E-005, 0.0000000E+000
 1.5273767E+000, 9.4853486E-001, 0.0000000E+000,-7.2848372E-002, 1.4915050E-002,-2.1007556E-003,-6.8268312E-005, 0.0000000E+000, 0.0000000E+000, 7.2172911E-001, 8.8843252E-001, 0.0000000E+000, 3.6544000E-005, 0.0000000E+000
 1.6448672E+000, 1.1386276E+000, 0.0000000E+000,-9.6422474E-002, 1.7745506E-002,-2.7592800E-003,-7.8095391E-005, 0.0000000E+000, 0.0000000E+000, 8.8854218E-001, 1.0571132E+000, 0.0000000E+000, 4.1651200E-005, 0.0000000E+000
 1.7623576E+000, 1.3290067E+000, 0.0000000E+000,-1.2292463E-001, 2.0530510E-002,-3.5248072E-003,-8.8565540E-005, 0.0000000E+000, 0.0000000E+000, 1.0573068E+000, 1.2229992E+000, 0.0000000E+000, 4.7027200E-005, 0.0000000E+000
 1.8798481E+000, 1.5067064E+000, 0.0000000E+000,-2.3694848E-001, 2.1603972E-002,-4.3605135E-003,-9.8652017E-005, 0.0000000E+000, 0.0000000E+000, 1.2232980E+000, 1.2869027E+000, 0.0000000E+000, 5.2134400E-005, 0.0000000E+000
 1.9973387E+000, 1.6758289E+000, 0.0000000E+000,-2.8096152E-001, 2.3737686E-002,-5.1952975E-003,-1.0929545E-004, 0.0000000E+000, 0.0000000E+000, 1.2873431E+000, 1.4133005E+000, 0.0000000E+000, 5.7510400E-005, 0.0000000E+000
 2.1148291E+000, 1.8192003E+000, 0.0000000E+000,-3.0217031E-001, 2.5810803E-002,-5.9732651E-003,-1.2476088E-004, 0.0000000E+000, 0.0000000E+000, 1.4138419E+000, 1.5367427E+000, 0.0000000E+000, 6.5484800E-005, 0.0000000E+000
 2.2323196E+000, 1.9812428E+000, 0.0000000E+000,-3.4292538E-001, 2.7870983E-002,-6.6171599E-003,-1.4114858E-004, 0.0000000E+000, 0.0000000E+000, 1.5374151E+000, 1.6594301E+000, 0.0000000E+000, 7.3932800E-005, 0.0000000E+000
 2.3498101E+000, 2.1537386E+000, 0.0000000E+000,-3.8711263E-001, 3.0054112E-002,-7.0765901E-003,-1.5757433E-004, 0.0000000E+000, 0.0000000E+000, 1.6602336E+000, 1.7894459E+000, 0.0000000E+000, 8.2380800E-005, 0.0000000E+000
